wL5SAQ,,QmVyYmF5ZWZm,,,,,QmVyYmF5ZWZm,,
wb5SAQ,,W0JlcmJheWVmZl0KVGhpcy4uYW5kLi50aGF0Li4gYWxsIGd1eXMKYXJlIGRpc3RydXN0ZnVsLi4uaG1tLi4uCm1ha2UgbWUgYSBicmFnZ2FydC4=,,,,,W0JlcmJheWVmZl0KSXNzby4uLiBlLi4uIGFxdWlsby4uLiB0b2RvcyBvcyBjYXJhcwpzw6NvIGRlc2NvbmZpYWRvcy4uLiBobW0uLi4KZmF6ZW0gZGUgbWltIHVtIGZhbmZhcnLDo28u,,
wr5SAQ,,RG8geW91IGhhdmUgc29tZSBwcm9ibGVtPw==,,,,,Vm9jw6ogdGVtIGFsZ3VtIHByb2JsZW1hPw==,,
w75SAQ,,W0JlcmJheWVmZl0KdW0/IEkgaGF2ZW4ndCBzZWVuIHlvdSwKbWF5YmUgeW91IGFyZSBhIHRyYXZlbGVyIHRvIGFub3RoZXIgcHJvdmluY2U/CklmIHlvdSBhcmUgYSB0cmF2ZWxlciwgaGF2ZSBzZWVuIG1hbnkKbWFydmVsb3VzIHRoaW5ncyB0aHJvdWdoIGhlcmUgYW5kIHRoZXJlPw==,,,,,W0JlcmJheWVmZl0KSHVtPyBFdSBuw6NvIG8gdmksCnRhbHZleiB2b2PDqiBzZWphIHVtIHZpYWphbnRlIGRlIG91dHJhIHByb3bDrW5jaWE/ClNlIHZvY8OqIMOpIHVtIHZpYWphbnRlLCBqw6Egdml1IG11aXRhcwpjb2lzYXMgbWFyYXZpbGhvc2FzIHBvciBhcXVpIGUgcG9yIGFsaT8=,,
xL5SAQ,,W0JlcmJheWVmZl0KR29vZCwgeW91IHdpbGwgcHJvYmFibHkgYmUgaW50ZXJlc3RlZAppbiBteSBzdG9yeSBzdXJlbHkuLgpHdXlzIHdobyBsaXZlIGluIGEgdmlsbGFnZSBhcmUgYWxsIGJsb2NraGVhZGVkCnNvIHRoZXkgdHJlYXQgbWUgYXMgYW4gaWRpb3QuLi4u,,,,,W0JlcmJheWVmZl0KQm9tLCB2b2PDqiBwcm92YXZlbG1lbnRlIHZhaSBzZSBpbnRlcmVzc2FyCmVtIG1pbmhhIGhpc3TDs3JpYSwgY29tIGNlcnRlemEuLi4KT3MgY2FyYXMgcXVlIG1vcmFtIGVtIHVtYSB2aWxhIHPDo28gdG9kb3MgZXN0w7pwaWRvcwplbnTDo28gZWxlcyBtZSB0cmF0YW0gY29tbyB1bSBpZGlvdGEuLi4u,,
xb5SAQ,,SSdtIG5vdCBpbnRlcmVzdGVkIGluIHRoYXQgc3Rvcnku,,,,,TsOjbyBlc3RvdSBpbnRlcmVzc2FkbyBuZXNzYSBoaXN0w7NyaWEu,,
xr5SAQ,,VGVsbCBtZS4=,,,,,RGlnYS1tZS4=,,
x75SAQ,,W0JlcmJheWVmZl0KSW5kZWVkLi4uIFlvdSBhcmUgbm90IGludGVyZXN0ZWQuLi4KVGhhdCdzIG9rLg==,,,,,W0JlcmJheWVmZl0uCkRlIGZhdG8uLi4gVm9jw6ogbsOjbyBlc3TDoSBpbnRlcmVzc2Fkby4uLgpOw6NvIHRlbSBwcm9ibGVtYS4=,,
yL5SAQ,,W0JlcmJheWVmZl0KSWYgeW91IGNoYW5nZSB5b3VyIG1pbmQsCnlvdSBjYW4gdGFsayB0byBtZSB3aGVuZXZlci4=,,,,,W0JlcmJheWVmZl0uClNlIHZvY8OqIG11ZGFyIGRlIGlkZWlhLApwb2RlIGZhbGFyIGNvbWlnbyBxdWFuZG8gcXVpc2VyLg==,,
yb5SAQ,,W0JlcmJheWVmZl0KR29vZCwgSSBoYXZlIGJlZW4gdGhpbmtpbmcgdGhhdApJIHdvdWxkIHRlbGwgeW91IHRoaXMgc3RvcnkgZnJvbSB0aGUgZmlyc3QgLg==,,,,,W0JlcmJheWVmZl0KQm9tLCBldSBlc3RhdmEgcGVuc2FuZG8gcXVlCkV1IGxoZSBjb250YXJpYSBlc3NhIGhpc3TDs3JpYSBkZXNkZSBvIGluw61jaW8u,,
yr5SAQ,,W0JlcmJheWVmZl0KWW91IHNlZW0gdG8gaGF2ZSBzcGVudCBqdXN0IGEgZmV3IGRheXMKaGVyZSwgaGF2ZSB5b3UgZXZlciBoZWFyZAphYm91dCBNb3ZpbmcgSXNsYW5kPw==,,,,,W0JlcmJheWVmZl0KVm9jw6ogcGFyZWNlIHRlciBwYXNzYWRvIGFwZW5hcyBhbGd1bnMgZGlhcwphcXVpLCB2b2PDqiBqw6Egb3V2aXUgZmFsYXIKc29icmUgTW92aW5nIElzbGFuZD8=,,
