AJvRBg,,U2FsaW0gSGFtaWQ=,,,,,TcODwqFxdWluYSBkZSBWZW5kYXMgUXVlYnJhZGE=,,U2FsaW0gSGFtaWQ=
AZvRBg,,LSBVbmFibGUgdG8gY29udGludWU6IEludmVudG9yeSBpcyBmdWxsLiAt,,,,,U2FsaW0gSGFtaWQ=,,LU5vIHNlIHB1ZWRlIGNvbnRpbnVhcjogdHUgaW52ZW50YXJpbyBlc3TDoSBsbGVuby4t
ApvRBg,,WW91ciBpdGVtcyBhcmUgdG9vIGhlYXZ5ISBQbGVhc2UgZW1wdHkgeW91ciBiYWcgYW5kIHRyeSBhZ2Fpbi4=,,,,,LSBWb2PDg8KqIGVzdMODwqEgY2FycmVnYW5kbyBpdGVucyBkZW1haXMgcGFyYSBjb250aW51YXIgY29tIGVzc2EgbWlzc8ODwqNvLiAt,,wqFUdXMgb2JqZXRvcyBwZXNhbiBkZW1hc2lhZG8hIFZhY8OtYSB0dSBib2xzbyB5IHZ1ZWx2ZSBhIGludGVudGFyLg==
A5vRBg,,W1NhbGltIEhhbWlkXQpIdWg/ClRoaXMgaXMgYSB0cmFpbmluZyBncm91bmQgZm9yIG5vdmljZXMu,,,,,Vm9jw4PCqiBlc3TDg8KhIHNvYnJlY2FycmVnYWRvLiBWb2PDg8KqIG7Dg8KjbyBwb2RlIGNvbnRpbnVhci4gQWxpdmllIGEgc3VhIGNhcmdhIGFudGVzLg==,,W1NhbGltSGFtaWRdCsK/RWg/CkVzdGUgZXMgdW4gY2FtcG8gZGUgZW50cmVuYW1pZW50byBwYXJhIHByaW5jaXBpYW50ZXMu
BJvRBg,,W1NhbGltIEhhbWlkXQpJIGRvbid0IHRoaW5rIHRoaXMgcGxhY2Ugd2lsbCBiZSBvZiBtdWNoIGhlbHAgdG8geW91LiBXaHkgZG9uJ3QgeW91IGdvIHNvbWV3aGVyZSBlbHNlPw==,,,,,W1NhbGltIEhhbWlkXQpIdW0/CkVzc2Ugw4PCqSB1bSBjZW50cm8gZWR1Y2FjaW9uYWwgYXBlbmFzIHBhcmEgQXByZW5kaXplcy4=,,W1NhbGltSGFtaWRdCk5vIGNyZW8gcXVlIHRlIHB1ZWRhIHNlciBkZSBtdWNoYSBheXVkYS4gwr9Qb3IgcXXDqSBubyB0ZSB2YXMgYSBvdHJvIGxhZG8/
BZvRBg,,W1NhbGltIEhhbWlkXQpXb3cuCllvdSByZW1pbmQgbWUgb2YgYSBiYWJ5IGxhbWIgdGhhdCdzIGxvc3QgaXRzIHdheS4gSWYgeW91J3JlIG5vdCBlbnJvbGxlZCBpbiB0aGUgYWNhZGVteSwgaXQgd291bGRuJ3QgYmUgdmVyeSB3aXNlIG9mIHlvdSB0byBlbnRlciBoZXJlLg==,,,,,W1NhbGltIEhhbWlkXQpWb2PDg8KqIG7Dg8KjbyBwYXJlY2UgcHJlY2lzYXIgZGEgbWluaGEgYWp1ZGEuIFBvciBxdWUgbsODwqNvIHZhaSBwYXJhIG91dHJvIGx1Z2FyPw==,,W1NhbGltSGFtaWRdClZheWEuCk1lIHJlY3VlcmRhcyBhIHVuIGNvcmRlcml0byBxdWUgc2UgcGVyZGnDsyBkZWwgcmViYcOxby4gU2kgbm8gdGUgaW5zY3JpYmlzdGUgZW4gbGEgYWNhZGVtaWEsIG5vIHNlcsOtYSBtdXkgc2Vuc2F0byBkZSB0dSBwYXJ0ZSBlbnRyYXIgYXF1w60u
BpvRBg,,W1NhbGltIEhhbWlkXQpQbGVhc2UgZ28gdG8gdGhlIGlucXVpcnkgb2ZmaWNlIGF0IHRoZSBlbnRyYW5jZSBvZiB0aGUgYWNhZGVteSBpZiB5b3Ugd2FudCB0byBoYXZlIGEgbG9vayBhcm91bmQu,,,,,W1NhbGltIEhhbWlkXQpPb2ghClPDg8KzIGRlIG9saGFyLCBwb3NzbyBhZmlybWFyIHF1ZSB2b2PDg8KqIGVzdMODwqEgcGVyZGlkby4gQSBtZW5vcyBxdWUgc2VqYSBlc3R1ZGFudGUgZGEgQWNhZGVtaWEsIHZvY8ODwqogbsODwqNvIGRldmVyaWEgZXN0YXIgYXF1aS4=,,W1NhbGltSGFtaWRdClNpIHF1aWVyZXMgZWNoYXIgdW4gdmlzdGF6bywgdmUgYSBsYSBvZmljaW5hIGRlIGluZm9ybWFjacOzbiBlbiBsYSBlbnRyYWRhIGRlIGxhIGFjYWRlbWlhLg==
B5vRBg,,W1NhbGltIEhhbWlkXQpXb3cuCkkgc2VlIHRoYXQgeW91J3JlIHJlYWR5IHRvIGdldCBhIG5ldyBqb2Iu,,,,,W1NhbGltIEhhbWlkXQpTZSBkZXNlamEgdmFnYXIgbGl2cmVtZW50ZSBwb3IgZXNzZSBsdWdhciwgdm9jw4PCqiBkZXZlIHNlIGluc2NyZXZlciBuYSBBY2FkZW1pYSwgbm8gQ2VudHJvIGRlIEluZm9ybWHDg8Knw4PCtWVzIG5hIGVudHJhZGEu,,W1NhbGltSGFtaWRdClZheWEuClZlbyBxdWUgeWEgdGUgcHJlcGFyYXN0ZSBwYXJhIG9idGVuZXIgdW5hIG51ZXZhIGNsYXNlLg==
CJvRBg,,W1NhbGltIEhhbWlkXQpEbyB5b3Ugd2FudCB0byBiZWNvbWUgYSBtZXJjaGFudD8gSSBjYW4gaGVscCB5b3UgaWYgeW91IGRvLg==,,,,,W1NhbGltIEhhbWlkXQpPb29oLgpQb3NzbyB2ZXIgcXVlIHZvY8ODwqogZXN0w4PCoSBjb20gdHVkbyBwcm9udG8gcGFyYSB1bWEgbm92YSBjbGFzc2Uu,,W1NhbGltSGFtaWRdCsK/UXVpZXJlcyBjb252ZXJ0aXJ0ZSBlbiBjb21lcmNpYW50ZT8gUHVlZG8gYXl1ZGFydGUgYSBoYWNlcmxvLg==
CZvRBg,,Tm90IGludGVyZXN0ZWQu,,,,,W1NhbGltIEhhbWlkXQpEaWdhLCB2b2PDg8KqIHRlbSBpbnRlcmVzc2Ugbm8gY2FtaW5obyBkbyBNZXJjYWRvcj8gRXUgcG9zc28gdGUgYWp1ZGFyLg==,,Tm8gbWUgaW50ZXJlc2Eu
CpvRBg,,WWVzLg==,,,,,TsODwqNvLg==,,U8OtLg==
