QBgEAw,,U2FsaW0gSGFtaWQ=,,,,,U2FsaW0gSGFtaWQ=,,U2FsaW0gSGFtaWQ=
QRgEAw,,LSBZb3UncmUgY2FycnlpbmcgdG9vIG1hbnkgaXRlbXMgdG8gcHJvY2VlZCB3aXRoIHRoaXMgcXVlc3QuIC0=,,,,,LSBWb2PDqiBlc3TDoSBjYXJyZWdhbmRvIGl0ZW5zIGRlbWFpcyBwYXJhIHByb3NzZWd1aXIgY29tIGVzc2EgbWlzc8Ojby4gLQ==,,LUxsZXZhcyBkZW1hc2lhZG9zIG9iamV0b3MgcGFyYSBjb250aW51YXIgY29uIGVzdGEgbWlzacOzbi4t
QhgEAw,,WW91J3JlIG92ZXJ3ZWlnaHQuIFlvdSBjYW4ndCBwcm9jZWVkIGFueSBmdXJ0aGVyLiBQbGVhc2UgbGlnaHRlbiB5b3VyIHdlaWdodCBmaXJzdC4=,,,,,Vm9jw6ogZXN0w6EgY29tIG11aXRvIHBlc28uIE7Do28gw6kgcG9zc8OtdmVsIHByb3NzZWd1aXIuIFJlZHV6YSBvIHNldSBwZXNvLg==,,TGxldmFzIG11Y2hvIHBlc28uIE5vIHB1ZWRlcyBjb250aW51YXIuIERpc21pbnV5ZSBlbCBwZXNvIHF1ZSBsbGV2YXMgcHJpbWVyby4=
QxgEAw,,W1NhbGltIEhhbWlkXQpNbT8KVGhpcyBpcyBhbiBlZHVjYXRpb25hbCBjZW50ZXIgZm9yIE5vdmljZXMgb25seS4=,,,,,W1NhbGltIEhhbWlkXQpNbT8KRXN0ZSDDqSB1bSBjZW50cm8gZWR1Y2FjaW9uYWwgYXBlbmFzIHBhcmEgYXByZW5kaXplcy4=,,W1NhbGltSGFtaWRdCsK/TW0/CkVzdGUgZXMgdW4gY2VudHJvIGVkdWNhdGl2byBzb2xvIHBhcmEgUHJpbmNpcGlhbnRlcy4=
RBgEAw,,W1NhbGltIEhhbWlkXQpZb3UgZG9uJ3QgbG9vayBsaWtlIHlvdSBuZWVkIG15IGhlbHAuIFdoeSBkb24ndCB5b3UgZ28gZWxzZXdoZXJlPw==,,,,,W1NhbGltIEhhbWlkXQpOw6NvIHBhcmVjZSBxdWUgdm9jw6ogcHJlY2lzYSBkYSBtaW5oYSBhanVkYS4gUG9yIHF1ZSBuw6NvIHZhaSBwYXJhIG91dHJvIGx1Z2FyPw==,,W1NhbGltSGFtaWRdCk5vIHBhcmVjZSBxdWUgbmVjZXNpdGVzIG1pIGF5dWRhLiDCv1BvciBxdcOpIG5vIHRlIHZhcyBhIG90cm8gbGFkbz8=
RRgEAw,,W1NhbGltIEhhbWlkXQpPb28hCkkgY2FuIHRlbGwganVzdCBmcm9tIGEgZ2xhbmNlIHRoYXQgeW91J3JlIGEgbG9zdCBsYW1iLiBVbmxlc3MgeW91J3JlIGEgc3R1ZGVudCBhdCB0aGUgQWNhZGVteSwgeW91IHNob3VsZG4ndCBiZSBoZXJlLg==,,,,,W1NhbGltIEhhbWlkXQpPb29oIQpQb3NzbyBkaXplciwgc8OzIGRlIG9saGFyLCBxdWUgdm9jw6ogw6kgdW0gY2FybmVpcm8gcGVyZGlkby4gQSBtZW5vcyBxdWUgc2VqYSBlc3R1ZGFudGUgZGEgQWNhZGVtaWEsIHZvY8OqIG7Do28gZGV2ZXJpYSBlc3RhciBhcXVpLg==,,W1NhbGltSGFtaWRdCsKhQWFhYXkhCkNvbiBzb2xvIHZlcnRlIG1lIGRveSBjdWVudGEgZGUgcXVlIHRlIHBlcmRpc3RlLiBBIG1lbm9zIHF1ZSBzZWFzIGVzdHVkaWFudGUgZGUgbGEgQWNhZGVtaWEsIG5vIGRlYmVyw61hcyBlc3RhciBhcXXDrS4=
RhgEAw,,W1NhbGltIEhhbWlkXQpJZiB5b3Ugd2FudCB0byByb2FtIHRoaXMgcGxhY2UgZnJlZWx5IHdpdGhvdXQgcGh5c2ljYWwgcmVzdHJhaW50LCB0aGVuIHlvdSBzaG91bGQgYXBwbHkgZm9yIHRoZSBBY2FkZW15IGF0IHRoZSBJbmZvcm1hdGlvbiBDZW50ZXIgYnkgdGhlIGVudHJhbmNlLg==,,,,,W1NhbGltIEhhbWlkXQpTZSBxdWlzZXIgYW5kYXIgbGl2cmVtZW50ZSBwb3IgZXN0ZSBsdWdhciBzZW0gcmVzdHJpw6fDtWVzIGbDrXNpY2FzLCBkZXZlIGluc2NyZXZlci1zZSBuYSBBY2FkZW1pYSwgbm8gQ2VudHJvIGRlIEluZm9ybWHDp8O1ZXMgbMOhIG5hIGVudHJhZGEu,,W1NhbGltSGFtaWRdClNpIGRlc2VhcyByZWNvcnJlciBsaWJyZW1lbnRlIGVzdGUgbHVnYXIgc2luIHJlc3RyaWNjaW9uZXMgZsOtc2ljYXMsIGRlYmVyw6FzIHNvbGljaXRhcmxvIGxhIEFjYWRlbWlhIGVuIGVsIENlbnRybyBkZSBpbmZvcm1hY2nDs24gcXVlIGVzdMOhIGp1bnRvIGEgbGEgZW50cmFkYS4=
RxgEAw,,W1NhbGltIEhhbWlkXQpPb29oLApJIGNhbiB0ZWxsIHlvdSdyZSBwcmltZWQgZm9yIGEgbmV3IGpvYi4=,,,,,W1NhbGltIEhhbWlkXQpPb29oLApQb3NzbyBkaXplciBxdWUgdm9jw6ogZXN0w6EgY29tIHR1ZG8gcHJvbnRvIHBhcmEgdW1hIG5vdmEgY2xhc3NlLg==,,W1NhbGltSGFtaWRdCk9vb2gsCnB1ZWRvIHZlciBxdWUgdGllbmVzIGxvIG5lY2VzYXJpbyBwYXJhIHRlbmVyIHVuYSBudWV2YSBjbGFzZS4=
SBgEAw,,W1NhbGltIEhhbWlkXQpTYXksIHdvdWxkIHlvdSBiZSBpbnRlcmVzdGVkIGluIHRoZSBwYXRoIG9mIHRoZSBNZXJjaGFudD8gSSBjYW4gaGVscCB5b3Uu,,,,,W1NhbGltIEhhbWlkXQpEaWdhLW1lLCBlc3RhcmlhIGludGVyZXNzYWRvIG5vIGNhbWluaG8gZG8gTWVyY2Fkb3I/IEV1IHBvc3NvIGxoZSBhanVkYXIu,,W1NhbGltSGFtaWRdCkRpbWUsIMK/dGUgaW50ZXJlc2Fyw61hIGVsIGNhbWlubyBkZWwgQ29tZXJjaWFudGU/IFB1ZWRvIGF5dWRhcnRlIGNvbiBlc28u
SRgEAw,,Tm8u,,,,,TsOjby4=,,Tm8u
ShgEAw,,WWVzLg==,,,,,U2ltLg==,,U8OtLg==
