4IyLAg,,R2F0ZWtlZXBlcg==,,,,,UG9ydGVpcm8=,,R2F0ZWtlZXBlcg==
4YyLAg,,W0dhdGVrZWVwZXIgUmlrdV0KV2VsY29tZSB0byAKS2luYXNlIC0gQmx1ZSBHYWxsaW5vCnRoZSBvbmUgb2YgTG9jYWwgU3BlY2lhbGl0eSBpbiBBbGRlYmFyYW4uCkhvd2V2ZXIsZnJvbSB0aGUgNHRoIEZsb29yIG9mIHRoaXMgQ2xvY2sgVG93ZXIsCllvdSBtYXkgbm90IGVudGVyLgpQbGVhc2UgZ28gYmFjayB0byB3aGVyZSB5b3UncmUgZnJvbS4=,,,,,W0d1YXJkacOjbyBSaWt1XQpCZW0tdmluZG8gYW8gCktpbmFzZSAtIEdhbGxpbm8gQXp1bAphIGVzcGVjaWFsaWRhZGUgbG9jYWwgZW0gQWxkZWJhcmFuLgpObyBlbnRhbnRvLCBubyA0wrogYW5kYXIgZGVzc2EgVG9ycmUgZG8gUmVsw7NnaW8sClZvY8OqIG7Do28gcG9kZSBlbnRyYXIuClBvciBmYXZvciwgdm9sdGUgcGFyYSBvIGx1Z2FyIGRlIG9uZGUgdm9jw6ogdmVpby4=,,W1BvcnRlcm8gUmlrdV0KVGUgZG95IGxhIGJpZW52ZW5pZGEgYWwgcGlzbyAzIApkZSBsYSBUb3JyZSBkZWwgcmVsb2osCnNpdGlvIGRlIGxhIGVzcGVjaWFsaWRhZCBkZSBBbGRlYmFyYW4uClNpbiBlbWJhcmdvLCBubyBwdWVkbyBkYXJ0ZSBhY2Nlc28gYWwgcGlzbyA0CmRlIGVzdGEgdG9ycmUuClBvciBmYXZvciwgdnVlbHZlIGRlIGRvbmRlIHZpbmlzdGUu
4oyLAg,,QWJvdXQgQ2xvY2sgVG93ZXI=,,,,,U29icmUgYSBUb3JyZSBkbyBSZWzDs2dpbw==,,QWNlcmNhIGRlIGxhIFRvcnJlIGRlbCByZWxvai4=
44yLAg,,QWJvdXQgdGhlIDR0aCBGbG9vcg==,,,,,U29icmUgbyA0wrogQW5kYXI=,,QWNlcmNhIGRlbCBwaXNvIDQu
5IyLAg,,TW92ZSB0byB0aGUgNHRoIEZsb29y,,,,,TXVkYXIgcGFyYSBvIDTCuiBBbmRhcg==,,SXIgYWwgcGlzbyA0Lg==
5YyLAg,,RW5kIERpYWxvZ3Vl,,,,,RW5jZXJyYXIgRGnDoWxvZ28=,,RGVqYXIgZGUgaGFibGFyLg==
5oyLAg,,W0dhdGVrZWVwZXIgUmlrdV0KSG9tZWxhbmQgb2YgQWxjaGVteSxBbGRlYmFyYW4hCkxvbmcgVGltZSBhZ28sIHRoZXJlIHdlcmUKMyBMZWdlbmRhcnkgQWxjaGVtaXN0cy4uLlRoZXkgYXJlCkJydWtlIFNlaW1lciwKUGhpbGlwIFdhcmlzZXosCkFuZC4u,,,,,W0d1YXJkacOjbyBSaWt1XQpQw6F0cmlhIGRhIEFscXVpbWlhLCBBbGRlYmFyYW4hCkjDoSBtdWl0byB0ZW1wbywgaGF2aWEKMyBBbHF1aW1pc3RhcyBMZW5kw6FyaW9zLi4uIEVsZXMgZXJhbQpCcnVrZSBTZWltZXIsClBoaWxpcCBXYXJpc2V6LApFLi4u,,W1BvcnRlcm8gUmlrdV0KwqFFbCBob2dhciBkZSBsYSBhbHF1aW1pYSBlbiBBbGRlYmFyYW4hCkhhY2UgbXVjaG8gdGllbXBvLCBodWJvCjMgYWxxdWltaXN0YXMgbGVnZW5kYXJpb3MsIGN1eW9zIG5vbWJyZXMgZXJhbgpCcnVrZSBTZWltZXIsClBoaWxpcCBXYXJpc2V6LApZ4oCm
54yLAg,,W0dhdGVrZWVwZXIgUmlrdV0KUm9tZXJvIFNwZWNpYWxyZSEKVGhpcyB2ZW5lcmFibGUgYXJjaGl0ZWN0dXJlIGlzCnRoZWlyIG1hc3RlcnBpZWNlLgpJIGFzc3VtZSB5b3Ugd291bGQgZmVlbCBzb21ldGhpbmcgdW51c3VhbApXaGlsZSBvbiB0aGUgd2F5IHRvIHRoaXMgZmxvb3IsCkV2ZXJ5IGZlYXR1cmUgb2YgVGhpcyBDbG9ja3Rvd2VyIA==,,,,,W0d1YXJkacOjbyBSaWt1XQpSb21lcm8gU3BlY2lhbHJlIQpFc3NhIGFycXVpdGV0dXJhIHZlbmVyw6F2ZWwgw6kgYQpzdWEgb2JyYS1wcmltYS4KUHJlc3VtbyBxdWUgdm9jw6ogc2VudGlyw6EgYWxnbyBpbmNvbXVtCkVucXVhbnRvIGVzdGl2ZXIgYSBjYW1pbmhvIGRlc3RlIGFuZGFyLApUb2RhcyBhcyBjYXJhY3RlcsOtc3RpY2FzIGRlc3NhIFRvcnJlIGRvIFJlbMOzZ2lv,,W1BvcnRlcm8gUmlrdV0KUm9tZXJvIFNwZWNpYWxyZS4KRXN0YSB2ZW5lcmFibGUgY29uc3RydWNjacOzbiBlcwpzdSBvYnJhIG1hZXN0cmEuClNlZ3VyYW1lbnRlIHNlbnRpc3RlIGFsZ28gaW51c3VhbApjdWFuZG8gdGUgZGlyaWfDrWFzIGEgZXN0ZSBwaXNvLgpUb2RhcyBsYXMgcGllemFzIHF1ZSBjb25mb3JtYW4gZXN0YSBUb3JyZSBkZWwgcmVsb2og
6IyLAg,,W0dhdGVrZWVwZXIgUmlrdV0KQ29uc2lzdHMgb2YgTXlzdGVyaW91cyBBbmNpZW50IE1hZ2ljcy4KSWYgeW91IGp1c3Qgd2FuZGVyIGFyb3VuZCBoZXJlCiB3aXRob3V0IGFueSBpbnRlbnRpb24=,,,,,W0d1YXJkacOjbyBSaWt1XQpDb25zaXN0ZSBlbSBtYWdpYXMgYW50aWdhcyBtaXN0ZXJpb3Nhcy4KU2Ugdm9jw6ogc2ltcGxlc21lbnRlIHZhZ2FyIHBvciBhcXVpCnNlbSBuZW5odW1hIGludGVuw6fDo28=,,W1BvcnRlcm8gUmlrdV0Kc2UgYmFzYW4gZW4gbGEgbWlzdGVyaW9zYSBtYWdpYSBhbnRpZ3VhLgpTaSBzb2xvIGRlYW1idWxhcyBwb3IgYXF1w60KIHNpbiBuaW5nw7puIHByb3DDs3NpdG8s
6YyLAg,,W0dhdGVrZWVwZXIgUmlrdV0KQnkgYW55IG1lYW5zLApZb3Ugd2lsbCBtZWV0IHdpdGggYSBtaXNoYXAKYnkgR2F0ZWtlZXBlciBDcmVhdHVyZXMuClBsZWFzZSBiZSBjYXJlZnVsIC4u,,,,,W0d1YXJkacOjbyBSaWt1XQpEZSBxdWFscXVlciBmb3JtYSwKVm9jw6ogdmFpIHNlIGRlcGFyYXIgY29tIHVtIGFjaWRlbnRlCmNhdXNhZG8gcG9yIENyaWF0dXJhcyBHdWFyZGnDo3MuClBvciBmYXZvciwgdGVuaGEgY3VpZGFkby4uLg==,,W1BvcnRlcm8gUmlrdV0Kc2luIGR1ZGEgdGUgaGFsbGFyw6FzCmVuIHVuIHBlcmNhbmNlCmNvbiBsYXMgY3JpYXR1cmFzIGd1YXJkaWFuYXMuClBvciBmYXZvciwgdGVuIGN1aWRhZG/igKY=
6oyLAg,,W0dhdGVrZWVwZXIgUmlrdV0KQW5jaWVudCBBbGNoZW1pc3RzClNlYWxlZCB0aGUgR2F0ZSBvZiA0dGggRmxvb3IgdXNpbmcgYW4gQWxjaGVtaXN0aWMgRGV2aWNlIApUbyBrZWVwIHNvbWV0aGluZwpGcm9tIEV2aWwgQ3JlYXR1cmVzIGFuZCBIdW1hbiBFbmVtaWVzLgpUbyBnbyB0aHJvdWdoIHRoaXMgZG9vcg==,,,,,W0d1YXJkacOjbyBSaWt1XQpBbHF1aW1pc3RhcyBBbnRpZ29zClNlbGFyYW0gbyBwb3J0w6NvIGRvIDTCuiBhbmRhciB1c2FuZG8gdW0gZGlzcG9zaXRpdm8gYWxxdcOtbWljbyAKUGFyYSBtYW50ZXIgYWxnbwpEZSBjcmlhdHVyYXMgbWFsaWduYXMgZSBpbmltaWdvcyBodW1hbm9zLgpQYXJhIHBhc3NhciBwb3IgZXNzYSBwb3J0YQ==,,W1BvcnRlcm8gUmlrdV0KTG9zIGFudGlndW9zIGFscXVpbWlzdGFzCnNlbGxhcm9uIGxhIHB1ZXJ0YSBkZWwgcGlzbyA0IGNvbiB1biBhcnRlZmFjdG8gYWxxdcOtbWljbyAKYSBmaW4gZGUgbWFudGVuZXIgYWxlamFkYXMKYSBsYXMgY3JpYXR1cmFzIG1hbGlnbmFzIHkgbG9zIGVuZW1pZ29zIGh1bWFub3MuClBhcmEgYXRyYXZlc2FyIGVzdGEgcHVlcnRhLA==
