oKN8Aw,,Um90ZXJ0,,,,,Um90ZXJ0,,Um90ZXJ0
oaN8Aw,,LSBZb3VyIGludmVudG9yeSBpcyB0b28gZnVsbCB0byBjb250aW51ZS4gLQ==,,,,,LSBTZXUgaW52ZW50w6FyaW8gZXN0w6EgbXVpdG8gY2hlaW8gcGFyYSBjb250aW51YXIuIC0=,,KFR1IGludmVudGFyaW8gZXN0w6EgZGVtYXNpYWRvIGxsZW5vIHBhcmEgY29udGludWFyKS4=
oqN8Aw,,W1JvdGVydF0KSXMgdGhlcmUgbm8gb25lIHN0cm9uZyBlbm91Z2g/CllvdSdyZSBqdXN0IGEga2lkLiBHbyB0cmFpbiBzb21lIG1vcmUuIFlvdSBkb24ndCBsaWtlIG15IGF0dGl0dWRlPyBUaGVuIGdldCBzdHJvbmdlci4=,,,,,W1JvdGVydF0KTsOjbyBow6EgbmluZ3XDqW0gZm9ydGUgbyBzdWZpY2llbnRlPwpWb2PDqiDDqSBhcGVuYXMgdW1hIGNyaWFuw6dhLiBWw6EgdHJlaW5hciB1bSBwb3VjbyBtYWlzLiBOw6NvIGdvc3RhIGRhIG1pbmhhIGF0aXR1ZGU/IEVudMOjbyBmaXF1ZSBtYWlzIGZvcnRlLg==,,W1JvdGhlYXJ0XQrCv05vIGhheSBuYWRpZSBjb24gbGEgZnVlcnphIHN1ZmljaWVudGU/ClBlcm8gc2kgbm8gZXJlcyBtw6FzIHF1ZSB1biBuacOxby4gVmUgYSBlbnRyZW5hciB1biBwb2NvIG3DoXMuIMK/Tm8gdGUgZ3VzdGEgbWkgYWN0aXR1ZD8gRW50b25jZXMsIGhhenRlIG3DoXMgZnVlcnRlLg==
o6N8Aw,,XjRENERGRlRoaXMgcXVlc3QgaXMgZm9yIExldmVsIDEyMCBhbmQgdXAuXjAwMDAwMA==,,,,,XjRENERGRkVzdGEgbWlzc8OjbyDDqSBwYXJhIG8gbsOtdmVsIDEyMCBlIHN1cGVyaW9yLl4wMDAwMDA=,,XjRENERGRkVzdGEgbWlzacOzbiByZXF1aWVyZSBhbCBtZW5vcyBuaXZlbCAxMjAuXjAwMDAwMA==
pKN8Aw,,W1JvdGVydF0KVGhpcyBpcyBob3BlbGVzcy4KVGhpcyBwbGFjZSBpcyBtYWQu,,,,,W1JvdGVydF0KSXNzbyDDqSBpbsO6dGlsLgpFc3RlIGx1Z2FyIMOpIHVtYSBsb3VjdXJhLg==,,W1JvdGhlYXJ0XQpObyBoYXkgc2FsdmFjacOzbi4KRXN0ZSBsdWdhciBlcyB1bmEgbG9jdXJhLg==
paN8Aw,,TWlzdHkgSXNsYW5kIFB1cmlmaWNhdGlvbg==,,,,,UHVyaWZpY2HDp8OjbyBkYSBJbGhhIE1pc3R5,,UHVyaWZpY2FjacOzbiBkZSBsYSBJc2xhIGFuw7NuaW1hLg==
pqN8Aw,,Q3J5aW5nIGFuZCBNb3JlIENyeWluZw==,,,,,Q2hvcm8gZSBNYWlzIENob3Jv,,TGxhbnRvIGluY2VzYW50ZS4=
p6N8Aw,,TWFyaW9uZXR0ZSdzIERlYWQgTWFzdGVy,,,,,TWVzdHJlIE1vcnRvIGRhIE1hcmlvbmV0ZQ==,,U2XDsW9yIGRlIGxhcyBtYXJpb25ldGFzIG11ZXJ0YXM=
qKN8Aw,,VGFsaw==,,,,,Q29udmVyc2Fy,,SGFibGFyLg==
qaN8Aw,,W1JvdGVydF0KVGhlcmUgYXJlIHN0aWxsIHpvbWJpZXMgaW5zaWRlIHRoZSBtb25hc3RlcnkgYW5kIHRoZSBpc2xhbmQuCkJ1dCB0aGF0IGRvZXNuJ3QgbWVhbiB3ZSBoYXZlIHRvIHB1c2ggb3VyIGxpbWl0cy4=,,,,,W1JvdGVydF0KQWluZGEgaMOhIHp1bWJpcyBkZW50cm8gZG8gbW9zdGVpcm8gZSBkYSBpbGhhLgpNYXMgaXNzbyBuw6NvIHNpZ25pZmljYSBxdWUgdGVuaGFtb3MgcXVlIHVsdHJhcGFzc2FyIG5vc3NvcyBsaW1pdGVzLg==,,W1JvdGhlYXJ0XQpUb2RhdsOtYSBoYXkgem9tYmlzIGRlbnRybyBkZWwgbW9uYXN0ZXJpbyB5IGRlIGxhIGlzbGEsCnBlcm8gZXNvIG5vIHNpZ25pZmljYSBxdWUgdGVuZ2Ftb3MgcXVlIGZvcnphcm5vcyBtw6FzIGFsbMOhIGRlIG51ZXN0cm9zIGzDrW1pdGVzLg==
qqN8Aw,,W1JvdGVydF0KV2UnbGwgdGFrZSBhIGJyZWFrIGZpcnN0LgpUcmFpbmluZyBpcyByZXBldGl0aW9ucyBvZiBwcmFjdGljZSBhbmQgcmVzdC4=,,,,,W1JvdGVydF0KVmFtb3MgZmF6ZXIgdW0gaW50ZXJ2YWxvIHByaW1laXJvLgpPIHRyZWluYW1lbnRvIGNvbnNpc3RlIGVtIHJlcGV0acOnw7VlcyBkZSBwcsOhdGljYSBlIGRlc2NhbnNvLg==,,W1JvdGhlYXJ0XQpQcmltZXJvLCB0b21lbW9zIHVuIGRlc2NhbnNvLgpFbCBlbnRyZW5hbWllbnRvIGltcGxpY2EgY2ljbG9zIGRlIHByw6FjdGljYSB5IGRlc2NhbnNvLg==
