YFfOAQ,,TXl1,,,,,TXl1,,
YVfOAQ,,W015dV0KTWVvdy4uLg==,,,,,W015dV0KTWlhdS4uLg==,,
YlfOAQ,,W015dV0KT2g/IEFyZW4ndCB5b3UgYW4gYWR2ZW50dXJlcj8KV2hhdCBicmluZ3MgeW91IGhlcmU/IEhvLCB5b3UgYXJlIG5vdCBoZXJlIHRvIGhhcm0gV2lsZCBSb3NlLCBhcmUgeW91PwooTWVvdyEp,,,,,W015dV0KT2g/IFZvY8OqIG7Do28gw6kgdW0gYXZlbnR1cmVpcm8/Ck8gcXVlIG8gdHJheiBhcXVpPyBIbywgdm9jw6ogbsOjbyBlc3TDoSBhcXVpIHBhcmEgcHJlanVkaWNhciBhIFdpbGQgUm9zZSwgZXN0w6E/CihNaWF1ISk=,,
Y1fOAQ,,TWVvdy4uPw==,,,,,TWlhdS4uLj8=,,
ZFfOAQ,,W015dV0KQWgsIE5ldmVyIG1pbmQgdGhhdC4KVGhpcyBwbGFjZSBpcyB0aGUgdmlsbGFnZSBvZiBEZXNlcnRlZCBwZW9wbGUuCkhvbWVsYW5kIG9mIHRob3NlIHdobyB3YWxrIGluIHRoZSBzaGFkb3dzIGFuZCBsYXkgbG93Lg==,,,,,W015dV0KQWgsIGlzc28gbsOjbyBpbXBvcnRhLgpFc3RlIGx1Z2FyIMOpIG8gdmlsYXJlam8gZG9zIERlc2VydG9zLgpBIHRlcnJhIG5hdGFsIGRhcXVlbGVzIHF1ZSBhbmRhbSBuYXMgc29tYnJhcyBlIHNlIGVzY29uZGVtLg==,,
ZVfOAQ,,W015dV0KLi4uLmFuZCB5ZXQsIG91ciBwZWFjZSBpcyBiZWluZyBkaXN0dXJiZWQgYnkgdGhvc2UgYmFya2luZyBkb2dzLgpUaGF0J3MgcmlnaHQsIEFkdmVudHVyZXIuCldvdWxkIHlvdSBiZSBzbyBraW5kIGFuZCBwdW5pc2ggdGhvc2UgS29ib2xkIEFyY2hlcnM/,,,,,W015dV0KLi4uLiBFIGFpbmRhIGFzc2ltLCBub3NzYSBwYXogZXN0w6Egc2VuZG8gcGVydHVyYmFkYSBwb3IgZXNzZXMgY8OjZXMgbGF0aW5kby4Kw4kgaXNzbyBtZXNtbywgQXZlbnR1cmVpcm8uClZvY8OqIHBvZGVyaWEgc2VyIHTDo28gZ2VudGlsIGUgcHVuaXIgZXNzZXMgYXJxdWVpcm9zIGtvYm9sZHM/,,
ZlfOAQ,,W015dV0KVGhleSBoYXZlIHRoZWlyIG93biB0ZXJyaXRvcnkgc291dGggb2YgaGVyZSwgYnV0IHRoZXkncmUgc3RpbGwgdHJ5aW5nIHRvIGludmFkZSBvdXJzLg==,,,,,W015dV0KRWxlcyB0w6ptIHNldSBwcsOzcHJpbyB0ZXJyaXTDs3JpbyBhbyBzdWwgZGFxdWksIG1hcyBhaW5kYSBlc3TDo28gdGVudGFuZG8gaW52YWRpciBvIG5vc3NvLg==,,
Z1fOAQ,,W015dV0KSG93IGltcHVkZW50LiBJIHRyaWVkIHRvIHRhbGsgdG8gdGhlbSBpbiBhIHBlYWNlZnVsIHdheSwgb3IgZXZlbiBmaWdodCB0aGVtIG9mZiwgYnV0IGl0IHdhcyBubyB1c2Uu,,,,,W015dV0KUXVlIGF0cmV2aW1lbnRvLiBUZW50ZWkgZmFsYXIgY29tIGVsZXMgZGUgZm9ybWEgcGFjw61maWNhLCBvdSBhdMOpIG1lc21vIGx1dGFyIGNvbSBlbGVzLCBtYXMgbsOjbyBhZGlhbnRvdS4=,,
aFfOAQ,,W015dV0KU28gd2hhdCBJJ20gYXNraW5nIHlvdSBpcy4uLiB0byBkcml2ZSB0aGVtIG91dCBvZiBvdXIgdGVycml0b3J5IHVzaW5nIGFsbCBtZWFucyBuZWNlc3Nhcnku,,,,,W015dV0KRW50w6NvLCBvIHF1ZSBlc3RvdSBsaGUgcGVkaW5kbyDDqS4uLiBwYXJhIGV4cHVsc8OhLWxvcyBkbyBub3NzbyB0ZXJyaXTDs3JpbyB1c2FuZG8gdG9kb3Mgb3MgbWVpb3MgbmVjZXNzw6FyaW9zLg==,,
aVfOAQ,,W015dV0KSWYgeW91IG1hbmFnZSB0byBkbyB0aGF0LCBJIHdpbGwgZ2l2ZSB5b3Ugc29tZXRoaW5nIHByZWNpb3VzIHdoaWNoIEkgcmVhbGx5IGFkb3JlLg==,,,,,W015dV0KU2Ugdm9jw6ogY29uc2VndWlyIGZhemVyIGlzc28sIGV1IGxoZSBkYXJlaSBhbGdvIHByZWNpb3NvIHF1ZSBldSByZWFsbWVudGUgYWRvcm8u,,
alfOAQ,,VGhhdCBzb3VuZHMgdHJvdWJsZXNvbWUu,,,,,SXNzbyBwYXJlY2UgcHJvYmxlbcOhdGljby4=,,
