YFgwAw,,U2FuZWw=,,,,,U2FuZWw=,,U2FuZWw=
YVgwAw,,LSBZb3UgaGF2ZSB0b28gbWFueSBpdGVtcyBpbiB5b3VyIHBvc3Nlc3Npb24uIENhbm5vdCBwcm9jZWVkLiAt,,,,,LSBWb2PDqiBlc3TDoSBjb20gbXVpdG9zIGl0ZW5zLiBOw6NvIHBvZGUgcHJvc3NlZ3Vpci4gLQ==,,LSBUaWVuZXMgZGVtYXNpYWRvcyBvYmpldG9zLiBObyBwdWVkZXMgY29udGludWFyLiAt
YlgwAw,,RGFuY2Vy,,,,,RGFuw6dhcmluYQ==,,QmFpbGFyaW5h
Y1gwAw,,R3lwc3k=,,,,,Q2lnYW5h,,R2l0YW5h
ZFgwAw,,V2FuZGVyZXI=,,,,,VHJvdmFkb3Jh,,VHJvdmFkb3Jh
ZVgwAw,,VHJvdXZlcmU=,,,,,VHJvdmFkb3I=,,VHJvdmFkb3I=
ZlgwAw,,RGFuY2luZyBPbmU=,,,,,RGFuw6dhcmluYQ==,,QmFpbGFyaW5h
Z1gwAw,,W1NhbmVsXQpXaGF0IGEgd2FzdGUsIHdoYXQgYSB3YXN0ZS4KSnVzdCBiZWluZyBwcmV0dHkgaXNuJ3QgZW5vdWdoLgpTaGUncyBzdGlsbCBhIGNoaWxkLgpUbyBsZXQgaGVyIHBvbGlzaGVkIGxvb2tzIGFuZCBza2lsbHMganVzdCByb3QgYXdheSwgaXNuJ3QgdGhhdCBhIGJpdCBvZiBhIHdhc3RlPw==,,,,,W1NhbmVsXQpRdWUgZGVzcGVyZMOtY2lvLCBxdWUgZGVzcGVyZMOtY2lvLgpBcGVuYXMgc2VyIGJvbml0YSBuw6NvIMOpIHN1ZmljaWVudGUuCkVsYSBhaW5kYSDDqSB1bWEgY3JpYW7Dp2EuCkRlaXhhciBzdWEgYXBhcsOqbmNpYSBlIGhhYmlsaWRhZGVzIHBvbGlkYXMgYXBvZHJlY2VyZW0sIG7Do28gw6kgdW0gcG91Y28gZGUgZGVzcGVyZMOtY2lvPw==,,W1NhbmVsXQpRdcOpIGRlc3BlcmRpY2lvLCBxdcOpIGRlc3BlcmRpY2lvLgpTb2xvIHNlciBib25pdGEgbm8gZXMgc3VmaWNpZW50ZS4KVG9kYXbDrWEgZXMgdW5hIG5pw7FhLgpEZWphciBxdWUgc3UgYXBhcmllbmNpYSB5IGhhYmlsaWRhZGVzIHB1bGlkYXMgc2UgZWNoZW4gYSBwZXJkZXIsIMK/bm8gZXMgdW4gcG9jbyB1biBkZXNwZXJkaWNpbz8=
aFgwAw,,W1NhbmVsXQpKdXN0IGJ5IGV4aXN0aW5nLCB3b21lbiBhcmUgYXBwcmVjaWF0ZWQsIHRoZXkgc2F5LApidXQgeW91IGtub3cgd2VsbCB0aGF0IHlvdSBtdXN0IG5ldmVyIG5lZ2xlY3QgZWZmb3J0IGZvciB5b3VyIG93biBjaGFybSwgcmlnaHQ/CkhvdyBhYm91dCBpdD8gQXJlIHlvdSBjb25maWRlbnQgaW4geW91ciBjaGFybT8=,,,,,W1NhbmVsXQpTw7MgcG9yIGV4aXN0aXJlbSwgYXMgbXVsaGVyZXMgc8OjbyBhcHJlY2lhZGFzLCBkaXplbSwKbWFzIHZvY8OqIHNhYmUgYmVtIHF1ZSBudW5jYSBkZXZlIG5lZ2xpZ2VuY2lhciBvIGVzZm9yw6dvIHBlbG8gc2V1IHByw7NwcmlvIGNoYXJtZSwgY2VydG8/ClF1ZSB0YWw/IFZvY8OqIGVzdMOhIGNvbmZpYW50ZSBubyBzZXUgY2hhcm1lPw==,,W1NhbmVsXQpTb2xvIHBvciBleGlzdGlyLCBsYXMgbXVqZXJlcyBzb24gYXByZWNpYWRhcywgZGljZW4sCnBlcm8gc2FiZXMgYmllbiBxdWUgbnVuY2EgZGViZXMgZGVzY3VpZGFyIGVsIGVzZnVlcnpvIHBvciB0dSBwcm9waW8gZW5jYW50bywgwr92ZXJkYWQ/CsK/UXXDqSB0YWw/IMK/VGllbmVzIGNvbmZpYW56YSBlbiB0dSBlbmNhbnRvPw==
aVgwAw,,WWVzLCBvZiBjb3Vyc2Uh,,,,,U2ltLCBjbGFybyE=,,wqFTw60sIHBvciBzdXB1ZXN0byE=
algwAw,,Li4uSSdtIHNvcnJ5Li4uLi4u,,,,,Li4uU2ludG8gbXVpdG8uLi4uLi4=,,Li4uTG8gc2llbnRvLi4uLi4u
