QMcTDQ,,TGFyYW1h,,,,,TGFyYW1h,,TGFyYW1h
QccTDQ,,W0xhcmFtYV0KQWh+IEkgYW0gYnVzeSByaWdodCBub3cuIExldCB1cyB0YWxrIGxhdGVyLg==,,,,,W0xhcmFtYV0KQWh+IGFnb3JhIGVzdG91IG9jdXBhZG8uIEZhbGFtb3MgZGVwb2lzLg==,,W0xhcmFtYV0KQWh+IGFob3JhIGVzdG95IG9jdXBhZG8uIEhhYmxhbW9zIGx1ZWdvLg==
QscTDQ,,W0xhcmFtYV0KLi4uVHdlbnR5LXNldmVuLCB0d2VudHktZWlnaHQsIHR3ZW50eS1uaW5lLi4uCi4uLg==,,,,,W0xhcmFtYV0KLi4udmludGUgZSBzZXRlLCB2aW50ZSBlIG9pdG8sIHZpbnRlIGUgbm92ZS4uLgouLi4=,,W0xhcmFtYV0KLi4udmVpbnRpc2lldGUsIHZlaW50aW9jaG8sIHZlaW50aW51ZXZlLi4uCi4uLg==
Q8cTDQ,,Q291bnRpbmcgdGhlIG51bWJlciBvZiBzaGFycGVuZWQgYmxhZGVzLg==,,,,,RXN0w6EgY29udGFuZG8gYSBxdWFudGlkYWRlIGRlIGzDom1pbmFzIGFmaWFkYXMu,,RXN0w6EgY29udGFuZG8gbGEgY2FudGlkYWQgZGUgaG9qYXMgYWZpbGFkYXMgcXVlIGhhIGRlamFkbyBhIHB1bnRvLg==
RMcTDQ,,SGUgaXMgc28gYWJzb3JiZWQgaW4gZ3JpbmRpbmcgYmxhZGVzIHRoYXQgZG9lcyBub3QgYW5zd2VyIHdoZW4gY2FsbGVkLg==,,,,,RXN0w6EgdMOjbyBjb25jZW50cmFkbyBhZmlhbmRvIGZhY2FzIHF1ZSBuw6NvIHJlc3BvbmRlLCBtZXNtbyBxdWFuZG8gY2hhbWFkby4=,,RXN0w6EgdGFuIGFic29ydG8gYWZpbGFuZG8gY3VjaGlsbG9zIHF1ZSwgYXVucXVlIGxvIGxsYW1lbiwgbm8gcmVzcG9uZGUu
RccTDQ,,W0xhcmFtYV0KSSBwdXQgaXQgaGVyZSBlYXJsaWVyLi4uCkhhdmUgeW91IHBlcmhhcHMgc2VlbiBhbnkgY2hhcmNvYWwgbHlpbmcgYXJvdW5kIGhlcmU/,,,,,W0xhcmFtYV0KRXUgdGluaGEgY29sb2NhZG8gYXF1aSBow6EgcG91Y28uLi4KUG9yIGFjYXNvIHZvY8OqIHZpdSBjYXJ2w6NvIHBvciBhcXVpPw==,,W0xhcmFtYV0KSnVyYXLDrWEgcXVlIGxvIGhhYsOtYSBkZWphZG8gcG9yIGFxdcOtLi4uCsK/Tm8gaGEgdmlzdG8gcG9yIGFxdcOtIGNlcmNhIGVsIGNhcmLDs24gdmVnZXRhbCBxdWUgdGVuw61hPw==
RscTDQ,,W3swfV0KQmVoaW5kIHlvdXIgcmlnaHQgZWFyLi4u,,,,,W3swfV0KQXRyw6FzIGRhIG9yZWxoYSBkaXJlaXRhLi4u,,W3swfV0KRGV0csOhcyBkZSBsYSBvcmVqYSBkZXJlY2hhLi4u
R8cTDQ,,W0xhcmFtYV0KQWghIEFnYWluIQpIYWFoLi4uLiBJIGhhdmUgZ290dGVuIGNvdmVyZWQgaW4gc29vdCBhZ2Fpbi4KVGhhbmsgeW91Li4u,,,,,W0xhcmFtYV0KQWghIERlIG5vdm8hCkhhYS4uLi4gZmlxdWVpIHRvZG8gc3VqbyBkZSBmdWxpZ2VtIG91dHJhIHZlei4KT2JyaWdhZG8uLi4=,,W0xhcmFtYV0KwqFBaCEgwqFPdHJhIHZleiEKQWFhaC4uLi4gb3RyYSB2ZXogbWUgaGUgcXVlZGFkbyB0b2RvIHRpem5hZG8uCkdyYWNpYXMuLi4=
SMcTDQ,,W0xhcmFtYV0KUGhldywgYWxsIGRvbmUuLi4KQXMgaWYhIE9mIGNvdXJzZSBub3QhIFRoZXJlIGlzIG1vcmUhClRoZSB3b3JrIG5ldmVyIGVuZHMhCkJ1dCB0aGUgY2FwYWJsZSBMYXJhbWEgZ2V0cyBpdCBkb25lIQ==,,,,,W0xhcmFtYV0KQWksIHRlcm1pbmVpLi4uCkNsYXJvIHF1ZSBuw6NvIHRlcm1pbmVpISDDiSBpc3NvIG1lc21vISBBaW5kYSB0ZW0gbWFpcyEKTyB0cmFiYWxobyBudW5jYSBhY2FiYSEKTWFzIG8gY29tcGV0ZW50ZSBMYXJhbWEgZMOhIGNvbnRhIQ==,,W0xhcmFtYV0KQXksIHlhIGVzdMOhLi4uCsKhQ2xhcm8gcXVlIG5vISDCoUVzbyBjcmXDrWEhIMKhVG9kYXbDrWEgcXVlZGEgbcOhcyEKwqFFbCB0cmFiYWpvIG5vIHNlIGFjYWJhIG51bmNhIQrCoVBlcm8gZWwgY29tcGV0ZW50ZSBMYXJhbWEgcHVlZGUgY29uIGVsbG8h
SccTDQ,,W0xhcmFtYV0KLi4uRWVr,,,,,W0xhcmFtYV0KLi4uaGlpaw==,,W0xhcmFtYV0KLi4uwqFBeSE=
SscTDQ,,W0xhcmFtYV0KRGlkIHlvdSBoZWFyIHRoYXQ/Ci4uLg==,,,,,W0xhcmFtYV0KVm9jw6ogb3V2aXU/Ci4uLg==,,W0xhcmFtYV0Kwr9MbyBoYSBvw61kbz8KLi4u
