gCN4DA,,VmljZW50ZQ==,,,,,VmljZW50ZQ==,,VmljZW50ZQ==
gSN4DA,,W1ZpY2VudGVdCllvdSBsb29rIGdvb2QuCldpdGggeW91IGxlYWRpbmcgdGhlIHdheSwgd2UnbGwga2VlcCBhZHZhbmNpbmcsIHJpZ2h0Pw==,,,,,W1ZpY2VudGVdCklzc28gw6kgw7N0aW1vLgpDb20gdm9jw6ogbmEgbGlkZXJhbsOnYSwgdmFtb3MgY29udGludWFyIHByb2dyZWRpbmRvLg==,,W1ZpY2VudGVdCk1lIGFsZWdybyBtdWNobyBkZSB2ZXJsby4KQ29uIHTDuiBhIGxhIGNhYmV6YSwgc2VndXJvIHF1ZSB2YW1vcyBhIHNlZ3VpciBhdmFuemFuZG8sIMK/bm8/
giN4DA,,Wz8/Pz8/XQpIZXksIHN0b3AgbWVzc2luZyBhcm91bmQgb3ZlciB0aGVyZSBhbmQgY29tZSB0YWxrIHRvIG1lLg==,,,,,Wz8/Pz8/XQpFaSwgbsOjbyBmaXF1ZSBhw60gemFuemFuZG8gZSBvbGhlIHByYSBjw6Eu,,Wz8/Pz8/XQpPeWUsIG5vIHRlIHF1ZWRlcyBhaMOtIHBhcmFkbywgdmVuIGEgdmVybWU=
gyN4DA,,W1ZpY2VudGVdCklzIHRoaXMgeW91ciBmaXJzdCB0aW1lIGluIHRoZSBTaGFkb3cgV29ya3Nob3A/CkknbSB0aGUgTGlnaHRoYWx6ZW4gYnJhbmNoIG1hbmFnZXIuClNvbWV0aW1lcyBJIHZpc2l0IG90aGVyIGJyYW5jaGVzIGxpa2UgdGhpcy4=,,,,,W1ZpY2VudGVdCsOJIGEgcHJpbWVpcmEgdmV6IHF1ZSB2ZW0gYW8gQXRlbGnDqiBTb21icmlvPwpTb3UgbyBnZXJlbnRlIGRhIGZpbGlhbCBkZSBMaWdodGhhbHplbi4KRGUgdmV6IGVtIHF1YW5kbywgZmHDp28gdmlzaXRhcyBhIG91dHJhcyBmaWxpYWlzLg==,,W1ZpY2VudGVdCsK/RXMgdHUgcHJpbWVyYSB2ZXogZW4gZWwgVGFsbGVyIGRlIGxhcyBTb21icmFzPwpTb3kgZWwgZ2VyZW50ZSBkZSBsYSBzdWN1cnNhbCBkZSBSaWNodGhhdXNlbi4KRGUgdmV6IGVuIGN1YW5kbyB2aXNpdG8gb3RyYXMgc3VjdXJzYWxlcyBjb21vIGVzdGEu
hCN4DA,,W1ZpY2VudGVdCkxvbmcgdGltZSBubyBzZWUuCkl0IHNlZW1zIHlvdSBoYXZlbid0IHJlYWNoZWQgeW91ciBsaW1pdHMgeWV0LgpXaGVuIHlvdSBoaXQgYSB3YWxsIGFuZCBmZWVsIHlvdSBjYW4ndCBncm93IGFueSBmdXJ0aGVyLCBjb21lIGZpbmQgbWUu,,,,,W1ZpY2VudGVdCkjDoSBxdWFudG8gdGVtcG8gbsOjbyBub3MgdmVtb3MuClBhcmVjZSBxdWUgdm9jw6ogYWluZGEgbsOjbyBhdGluZ2l1IHNldSBsaW1pdGUuClF1YW5kbyBjaGVnYXIgbyBkaWEgY2VydG8sIHZlbmhhIG1lIHByb2N1cmFyLg==,,W1ZpY2VudGVdCkhhY2UgdGllbXBvIHF1ZSBubyBub3MgdmXDrWFtb3MuClBhcmVjZSBxdWUgYcO6biBubyBzaWVudGVzIHR1cyBsw61taXRlcy4KQ3VhbmRvIGFsZ8O6biBkw61hIHRlIHRvcGVzIGNvbiB1biBtdXJvIHkgc2llbnRhcyBxdWUgeWEgbm8gcHVlZGVzIGNyZWNlciBtw6FzLCB2ZW4gYSBidXNjYXJtZS4=
hSN4DA,,XjRENERGRiBUaGVyZSBpcyBhIHRlc3QgZXZlbnQgZm9yIHRoZSA0dGggSm9iIEFieXNzIENoYXNlci4KQmFzZSBMZXZlbCAyMDAgb3IgYWJvdmUsIFRyYW5zY2VuZGVudCBTaGFkb3cgQ2hhc2VycyBjYW4gdGFrZSB0aGUgdGVzdC5eMDAwMDAw,,,,,XjRENERGRlBhcmEgZmF6ZXIgbyB0ZXN0ZSBkYSBtdWRhbsOnYSBkZSBjbGFzc2UsClZvY8OqIGRldmUgc2VyIHVtIFJlbmVnYWRvIGNvbSBuw612ZWwgZGUgYmFzZSAyMDAgb3UgbWFpcy5eMDAwMDAw,,XjRENERGRiBIYXkgdW4gZXZlbnRvIGRlIHBydWViYSBwYXJhIGxhIGN1YXJ0YSBjbGFzZSwgUGVyc2VndWlkb3IgQWJpc2FsLgpQdWVkZXMgcGFydGljaXBhciBzaSB0aWVuZXMgdW4gbml2ZWwgYmFzZSBkZSAyMDAgbyBtw6FzIHkgZXJlcyB1biBTaGFkb3cgQ2hhc2VyIGhlcmVkYWRvLl4wMDAwMDA=
hiN4DA,,W1ZpY2VudGVdCkxvbmcgdGltZSBubyBzZWUsIHswfS4KSG93IGhhdmUgeW91IGJlZW4/CldoeSBhbSBJIGhlcmU/CldlbGwsIEkndmUgYmVlbiB3YWl0aW5nIGZvciB5b3UsIHswfS4gSGFoIGhhaCBoYWgh,,,,,W1ZpY2VudGVdCkjDoSBxdWFudG8gdGVtcG8sIHswfS4KQ29tbyB2b2PDqiB0ZW0gcGFzc2Fkbz8KUG9yIHF1ZSBlc3RvdSBhcXVpLCB2b2PDqiBwZXJndW50YT8KT3JhLCBuw6NvIGZvaSBwYXJhIHRlIGVuY29udHJhciwgezB9PyBIYWhhLg==,,W1ZpY2VudGVdCkN1w6FudG8gdGllbXBvLCB7MH0uCsK/Q8OzbW8gdGUgaGEgaWRvIHRvZG8gZXN0ZSB0aWVtcG8/CsK/UXVlIHBvciBxdcOpIGVzdG95IGFxdcOtPwpQdWVzIGNsYXJvLCDCv25vIGVzdGFiYSBlc3BlcmFuZG8gcGFyYSB2ZXJ0ZT8gSmFqYS4=
hyN4DA,,W1ZpY2VudGVdCkhhdmVuJ3QgeW91IGJlZW4gZmVlbGluZyBhIGJpdCBzdGlmbGVkIGxhdGVseT8KWW91IGtub3csIGxpa2Ugd2FudGluZyB0byBnZXQgc3Ryb25nZXIgb3IgZ2V0IHlvdXIgaGFuZHMgb24gc29tZSBuZXcgcG93ZXIu,,,,,W1ZpY2VudGVdClZvY8OqIHRlbSBzZW50aWRvIHVtYSBjZXJ0YSBmcnVzdHJhw6fDo28gdWx0aW1hbWVudGU/CkNvbW8gc2UgcXVpc2Vzc2UgbWFpcyBmb3LDp2Egb3UgcG9kZXIgcGFyYSBjb250aW51YXIgZXZvbHVpbmRvLg==,,W1ZpY2VudGVdCsK/Tm8gdGUgc2llbnRlcyB1biBwb2NvIGVzdGFuY2FkbyDDumx0aW1hbWVudGU/CllhIHNhYmVzLCBjb21vIGdhbmFzIGRlIHNlciBtw6FzIGZ1ZXJ0ZSBvIGRlIGNvbnNlZ3VpciBudWV2b3MgcG9kZXJlcy4=
iCN4DA,,W1ZpY2VudGVdCkhhdmUgeW91IGhlYXJkIG9mIHRoZSBEYXJrIEVsZW1lbnRhbD8=,,,,,W1ZpY2VudGVdClBvciBhY2FzbyBqw6Egb3V2aXUgZmFsYXIgZG8gRWxlbWVudGFsIFNvbWJyaW8/,,W1ZpY2VudGVdCsK/SGFzIG/DrWRvIGhhYmxhciBkZSBsb3MgZXNww61yaXR1cyBkZSBsYSBvc2N1cmlkYWQ/
iSN4DA,,VGhlIERhcmsgRWxlbWVudGFsPw==,,,,,RWxlbWVudGFsIFNvbWJyaW8/,,wr9Mb3MgZXNww61yaXR1cyBkZSBsYSBvc2N1cmlkYWQ/
iiN4DA,,W1ZpY2VudGVdCllvdSBsb29rIGxpa2UgeW91J3ZlIG5ldmVyIGhlYXJkIG9mIGl0LiBJIHN1cHBvc2UgeW91IGhhdmVuJ3QuClF1aXRlIHNvbWUgdGltZSBhZ28sIGEgbWVtYmVyIG9mIHRoZSBBc3Nhc3NpbiBHdWlsZCBlbmNvdW50ZXJlZCB0aGUgZGFyayBlbGVtZW50YWwgYW5kIGFjcXVpcmVkIGl0cyBwb3dlci4KSGF2ZSB5b3Ugc2VlbiBoZXIsIE1pc3MgTWF5c3NlbD8=,,,,,W1ZpY2VudGVdClBlbGEgc3VhIGNhcmEsIHBhcmVjZSBxdWUgbnVuY2Egb3V2aXUgZmFsYXIuIMOJIGRlIHNlIGVzcGVyYXIuCkjDoSBiYXN0YW50ZSB0ZW1wbywgYWxndcOpbSBkYSBHdWlsZGEgZG9zIFNpY8OhcmlvcyBlbmNvbnRyb3UgbyBFbGVtZW50YWwgU29tYnJpbyBlIGNvbnNlZ3VpdSBvIHBvZGVyIGRvIEFiaXNtby4KVm9jw6ogasOhIGEgY29uaGVjZXUuIExlbWJyYSBkYSBzZW5ob3JpdGEgTWF5c3NlbD8=,,W1ZpY2VudGVdClZheWEsIHNlIHRlIG5vdGEgcXVlIG5vIGhhcyBvw61kbyBoYWJsYXIgZGUgZWxsb3MuIEVzIG5vcm1hbC4KSGFjZSBiYXN0YW50ZSB0aWVtcG8sIGFsZ3VpZW4gZGVsIEdyZW1pbyBkZSBBc2VzaW5vcyBzZSBlbmNvbnRyw7MgY29uIHVuIGVzcMOtcml0dSBkZSBsYSBvc2N1cmlkYWQgeSBvYnR1dm8gc3UgcG9kZXIuCsK/TG8gaGFzIHZpc3RvIGFsZ3VuYSB2ZXo/IE1laXNlbC4=
