oC6YDA,UlMyNg==,UlMyNg==,,,,,UlMyNg==,,UlMyNg==
oS6YDA,67O07Jyg7ZWcIOusvOqxtOydmCDsooXrpZjqsIAg64SI66y0IOunjuydgOqygyDqsJnri6QuIOusvOqxtOydmCDsooXrpZjrpbwg7KSE7J2465Kk7JeQIOuLpOyLnCDsp4TtlontlbTrs7TsnpAu,SXQgc2VlbXMgeW91IGhhdmUgdG9vIG1hbnkgZGlmZmVyZW50IHR5cGVzIG9mIGl0ZW1zLiBQbGVhc2UgcmVkdWNlIHRoZSBudW1iZXIgb2YgaXRlbSB0eXBlcyBhbmQgdHJ5IGFnYWluLg==,SXQgc2VlbXMgeW91IGhhdmUgdG9vIG1hbnkgZGlmZmVyZW50IHR5cGVzIG9mIGl0ZW1zLiBQbGVhc2UgcmVkdWNlIHRoZSBudW1iZXIgb2YgaXRlbSB0eXBlcyBhbmQgdHJ5IGFnYWluLg==,UGFyZWNlIHF1ZSB2b2PDqiBwb3NzdWkgbXVpdG9zIHRpcG9zIGRpZmVyZW50ZXMgZGUgaXRlbnMuIFJlZHV6YSBhIHZhcmllZGFkZSBkZSBpdGVucyBlIHRlbnRlIG5vdmFtZW50ZS4=,UGFyZWNlIHF1ZSB0aWVuZXMgZGVtYXNpYWRvcyB0aXBvcyBkZSBvYmpldG9zLiBSZWR1Y2UgbGEgdmFyaWVkYWQgZGUgb2JqZXRvcyB5IHZ1ZWx2ZSBhIGludGVudGFybG8u,,UGFyZWNlIHF1ZSB2b2PDqiBwb3NzdWkgbXVpdG9zIHRpcG9zIGRpZmVyZW50ZXMgZGUgaXRlbnMuIFJlZHV6YSBhIHZhcmllZGFkZSBkZSBpdGVucyBlIHRlbnRlIG5vdmFtZW50ZS4=,,UGFyZWNlIHF1ZSB0aWVuZXMgZGVtYXNpYWRvcyB0aXBvcyBkZSBvYmpldG9zLiBSZWR1Y2UgbGEgdmFyaWVkYWQgZGUgb2JqZXRvcyB5IHZ1ZWx2ZSBhIGludGVudGFybG8u
oi6YDA,6rCA7KeEIOusvOqxtOydtCDrhIjrrLQg66y06rGw7JuMIOuNlOydtOyDgeydmCDsp4TtlonsnbQg7Z6Y65OkIOqygyDqsJnri6QuIOustOqyjOulvCDspITsnbgg7ZuEIOuLpOyLnCDrj4TsoITtlbTrs7TsnpAu,WW91ciBpdGVtcyBhcmUgdG9vIGhlYXZ5IHRvIGNvbnRpbnVlIGFueSBmdXJ0aGVyLiBSZWR1Y2UgeW91ciB3ZWlnaHQgYW5kIHRyeSBhZ2Fpbi4=,,,,,U2V1cyBpdGVucyBlc3TDo28gcGVzYWRvcyBkZW1haXMgcGFyYSBjb250aW51YXIuIFJlZHV6YSBvIHBlc28gZSB0ZW50ZSBub3ZhbWVudGUu,,VHVzIG9iamV0b3Mgc29uIGRlbWFzaWFkbyBwZXNhZG9zIHBhcmEgY29udGludWFyLiBSZWR1Y2UgZWwgcGVzbyB5IHZ1ZWx2ZSBhIGludGVudGFybG8u
oy6YDA,W1JTMjZdCnswfSDri5gK7Ja07ISc7Jik7Iut7Iuc7JikIO2ZmOyYge2VqeuLiOuLpCE=,W1JTMjZdCnswfQpXZWxjb21lISBXZeKAmXJlIGdsYWQgdG8gaGF2ZSB5b3Uh,,,,,W1JTMjZdCnswfQpTZWphIGJlbS12aW5kbyEgw4kgdW0gcHJhemVyIHJlY2Viw6otbG8h,,W1JTMjZdCnswfQrCoUJpZW52ZW5pZG8hIMKhTm9zIGFsZWdyYSBkYXJ0ZSBsYSBiaWVudmVuaWRhIQ==
pC6YDA,6riw6riwIOyCtO2OtOuztOq4sA==,Q2hlY2sgRGV2aWNl,,,,,VmVyaWZpY2FyIERpc3Bvc2l0aXZv,,UmV2aXNhciBEaXNwb3NpdGl2bw==
pS6YDA,RW5jaGFudCBTaGllbGQ=,RW5jaGFudCBTaGllbGQ=,,,,,RW5jYW50YXIgRXNjdWRv,,RW5jYW50YXIgRXNjdWRv
pi6YDA,QnV5IEVuY2hhbnRtZW50IE9yYnM=,QnV5IEVuY2hhbnRtZW50IE9yYnM=,,,,,Q29tcHJhciBPcmJlcyBkZSBFbmNhbnRhbWVudG8=,,Q29tcHJhciBPcmJlcyBkZSBFbmNhbnRhbWllbnRv
py6YDA,XjAwMDBGRiPstZzsi6Ag7ZmA66Gc6re4656o7Jy866GcIO2RnO2YhOuQnCDslYjrk5zroZzsnbTrk5zqsIAg7J6Q7Jew7Iqk65+wIOuPmeyekeycvOuhnCDsnbjsgqzrpbwg6rG064Sk7Jio64ukI14wMDAwMDA=,XjAwMDBGRiNBIGN1dHRpbmctZWRnZSBob2xvZ3JhcGhpYyBhbmRyb2lkIGdyZWV0cyB5b3Ugd2l0aCBuYXR1cmFsIG1vdmVtZW50cy4jXjAwMDAwMA==,,,,,XjAwMDBGRiNVbSBhbmRyb2lkZSBob2xvZ3LDoWZpY28gZGUgw7psdGltYSBnZXJhw6fDo28gY3VtcHJpbWVudGEgdm9jw6ogY29tIG1vdmltZW50b3MgbmF0dXJhaXMuI14wMDAwMDA=,,XjAwMDBGRiNVbiBhbmRyb2lkZSBob2xvZ3LDoWZpY28gZGUgw7psdGltYSBnZW5lcmFjacOzbiB0ZSBzYWx1ZGEgY29uIG1vdmltaWVudG9zIG5hdHVyYWxlcy4jXjAwMDAwMA==
qC6YDA,66as67Ko66as7JioIDog7JWELCDqsbDquLAg6re4IOq4sOqzhOuKlCDqsJzsobAg66qo65OI7J20IOyXhuycvOuptCDslYTrrLQg7JO466qo6rCAIOyXhuyWtOyalC4=,UmViZWxsaW9uOiBBaCwgdGhhdCBtYWNoaW5lIG92ZXIgdGhlcmUgaXMgY29tcGxldGVseSB1c2VsZXNzIHdpdGhvdXQgbW9kaWZpY2F0aW9uIG1vZHVsZXMu,,,,,UmViZWxsaW9uOiBBaCwgYXF1ZWxhIG3DoXF1aW5hIGFsaSBuw6NvIHNlcnZlIHBhcmEgbmFkYSBzZW0gbcOzZHVsb3MgZGUgbW9kaWZpY2HDp8Ojby4=,,UmViZWxsaW9uOiBBaCwgZXNhIG3DoXF1aW5hIGRlIGFow60gbm8gc2lydmUgcGFyYSBuYWRhIHNpbiBtw7NkdWxvcyBkZSBtb2RpZmljYWNpw7NuLg==
qS6YDA,W1JTMjZdCuuvuOuemOuPhOyLnOyXkOyEnCDrsJzqsqzrkJwg6riw7Iig7J20IOydtOygnCDsl6zrn6zrtoTsnZgg7IOd7Zmc7IaN7Jy866GcIO2MjOqzoOuTreuLiOuLpC4g66CI6rKQ7Ims66aEIOuhnOuztO2LseyKpOydmCDstZzsi6Ag7YWM7YGs64aA65+s7KeAIFJTMjYg6rO8IO2VqOq7mCDtlZjshLjsmpQu,W1JTMjZdClRlY2hub2xvZ3kgZGlzY292ZXJlZCBpbiB0aGUgY2l0eSBvZiB0aGUgZnV0dXJlIG5vdyBlbnRlcnMgeW91ciBldmVyeWRheSBsaWZlLiBKb2luIFJlZ2VuIFNjaGlybSBSb2JvdGljc+KAmSBsYXRlc3QgdGVjaG5vbG9neSwgUlMyNi4=,,,,,W1JTMjZdCkEgdGVjbm9sb2dpYSBkZXNjb2JlcnRhIG5hIGNpZGFkZSBkbyBmdXR1cm8gYWdvcmEgZmF6IHBhcnRlIGRvIHNldSBkaWEgYSBkaWEuIEp1bnRlLXNlIMOgIG1haXMgbm92YSB0ZWNub2xvZ2lhIGRhIFJlZ2VuIFNjaGlybSBSb2JvdGljcywgUlMyNi4=,,W1JTMjZdCkxhIHRlY25vbG9nw61hIGRlc2N1YmllcnRhIGVuIGxhIGNpdWRhZCBkZWwgZnV0dXJvIGFob3JhIHNlIGludGVncmEgZW4gdHUgdmlkYSBkaWFyaWEuIMOabmV0ZSBhIGxhIMO6bHRpbWEgdGVjbm9sb2fDrWEgZGUgUmVnZW4gU2NoaXJtIFJvYm90aWNzLCBSUzI2Lg==
qi6YDA,W1JTMjZdCuydvOujqOyLnOyYqCDsibTrk5zsmYAg6rCV7ZmU7JqpIOuqqOuTiOydhCDqsIDsp4Dqs6Ag7Jik7Iuc66m0IOuqqOuTiOyXkCDrlLDrnbwg7J6l67mE66W8IOqwle2ZlO2VtCDrk5zrpqzqs6Ag7J6I7Iq164uI64ukLg==,W1JTMjZdCkJyaW5nIGFuIElsbHVzaW9uIFNoaWVsZCBhbmQgZW5oYW5jZW1lbnQgbW9kdWxlcywgYW5kIHdlIHdpbGwgdXBncmFkZSB5b3VyIGVxdWlwbWVudCBhY2NvcmRpbmcgdG8gdGhlIG1vZHVsZS4=,,,,,W1JTMjZdClRyYWdhIHVtIEVzY3VkbyBkZSBJbHVzw6NvIGUgbcOzZHVsb3MgZGUgYXByaW1vcmFtZW50bywgZSBtZWxob3JhcmVtb3Mgc2V1IGVxdWlwYW1lbnRvIGRlIGFjb3JkbyBjb20gbyBtw7NkdWxvLg==,,W1JTMjZdClRyYWUgdW4gRXNjdWRvIGRlIElsdXNpw7NuIHkgbcOzZHVsb3MgZGUgbWVqb3JhLCB5IHJlZm9yemFyZW1vcyB0dSBlcXVpcG8gc2Vnw7puIGVsIG3Ds2R1bG8u
