oCHTBg,,TmluamEgR3VpZGU=,,,,,SmlyYWl5YQ==,,TmluamEgR3XDrWE=
oSHTBg,,W05pbmphIEd1aWRlXQpUbyB1cywgdGhlIG1lbW9yaWVzIG9mIGEgcHJldmlvdXMgbGlmZSBhcmUgdXNlbGVzcy4KSSBkb24ndCBoYXZlIHRoZSB3aWxsIHRvIGZpZ2h0IHlvdS4KWW91IGp1c3QgZ28gb24geW91ciB3YXku,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClBhcmEgbsOzcywgbyBwYXNzYWRvIMOpIGluw7p0aWwuLi4KTsOjbyB0ZW5obyBpbnRlbsOnw7VlcyBkZSBmYWxhciBjb20gdm9jw6ouLi4KUG9kZSBzZWd1aXIgbyBzZXUgY2FtaW5oby4=,,W0d1w61hIE5pbmphXQpQYXJhIG5vc290cm9zLCBsb3MgcmVjdWVyZG9zIGRlIHVuYSB2aWRhIGFudGVyaW9yIHNvbiBpbsO6dGlsZXMuCk5vIHRlbmdvIGxhIHZvbHVudGFkIGRlIGx1Y2hhciBjb250cmEgdGkuClNpZ3VlIHR1IGNhbWlubyB5IHlhLg==
oiHTBg,,W05pbmphIEd1aWRlXQpJZiB5b3Ugd2FudCB0byBiZSB0cmFpbmVkIGFzIGEgbmluamEsIGp1c3QgdmlzaXQgSG9ubyBPCndobyBpcyBpbiB0aGUgbmV4dCByb29tLg==,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClNlIHF1aXNlciBzZSB0b3JuYXIgdW0gTmluamEsIGNvbnZlcnNlIGNvbSBIb25vLgpFbGUgZXN0w6EgcGVydG8gZGEgc2FsYSBkZSB0cm9jYSBkZSBDbGFzc2Uu,,W0d1w61hIE5pbmphXQpTaSBxdWllcmVzIGVudHJlbmFydGUgcGFyYSBzZXIgTmluamEsIHNvbG8gdGllbmVzIHF1ZSB2aXNpdGFyIGEgSG9ub08sCnF1ZSBlc3TDoSBlbiBsYSBzYWxhIGRlIGFsIGxhZG8u
oyHTBg,,W0tvIE9yaV0KSWYgeW91IHdhbnQgdG8gYmUgdHJhaW5lZCBhcyBuaW5qYSwganVzdCB2aXNpdCBIb25vIE8Kd2hvIGlzIGluIHRoZSBuZXh0IHJvb20u,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClNlIHF1aXNlciBzZSB0b3JuYXIgdW0gTmluamEsIGNvbnZlcnNlIGNvbSBIb25vLgpFbGUgZXN0w6EgcGVydG8gZGEgc2FsYSBkZSB0cm9jYSBkZSBDbGFzc2Uu,,W0tvIE9yaV0KU2kgcXVpZXJlcyBlbnRyZW5hcnRlIHBhcmEgc2VyIE5pbmphLCB0aWVuZXMgcXVlIHZpc2l0YXIgYSBIb25vTywKcXVlIGVzdMOhIGVuIGxhIHNhbGEgZGUgYWwgbGFkby4=
pCHTBg,,W0tvIE9yaV0KSXMgSG9ubyBPIGRvaW5nIHdlbGw/CkV2ZW4gdGhvdWdoIGhlIHNwZWFrcyBoaXMgbWluZCBhbmQgaXMgYSBiaXQgb2YgYW4gYWlyaGVhZCwgaGUgdHJlYXRzIHRoZSBuZXdjb21lcnMgd2FybWx5Lg==,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdCkNvbW8gbyBIb25vIGVzdMOhPwpFbGUgcG9kZSBzZXIgdW0gcG91Y28gZHVybyDDoHMgdmV6ZXMuLi4gTWFzIHJlY2ViZSBiZW0gb3MgaW5pY2lhbnRlcy4=,,W0tvIE9yaV0Kwr9Ib25vTyBlc3TDoSBiaWVuPwpBdW5xdWUgbm8gbWlkYSBzdXMgcGFsYWJyYXMgeSBzZWEgYmFzdGFudGUgdGVyY28sIHRyYXRhIGNvbiBjYWxpZGV6IGEgbG9zIHJlY2nDqW4gbGxlZ2Fkb3Mu
pSHTBg,,W05pbmphIEd1aWRlXQpZb3UgaGF2ZSBhbHJlYWR5IHJlYWNoZWQgaGlnaCBsZXZlbCBuaW5qYS4uLi4KWW91ciBicmlnaHQgZXllcyBzaG93IHRoYXQgeW91J3ZlIHBhc3NlZCBhbG9uZyByb3VnaCByb2Fkcy4=,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClZlam8gZW0gc2V1cyBvbGhvcy4uLgpWb2PDqiBqw6EgdHJpbGhvdSBvIGNhbWluaG8gZG9zIE5pbmphcyE=,,W0d1w61hIE5pbmphXQpZYSBhbGNhbnphc3RlIHVuIGFsdG8gbml2ZWwgZW4gbGEgY2xhc2UgTmluamEuLi4KVHVzIG9qb3MgYnJpbGxhbiBhbCByZWNvcmRhciBsbyBxdWUgYXRyYXZlc2FzdGUu
piHTBg,,W05pbmphIEd1aWRlXQpUaGFua3MgdG8gdGhvc2UgY2FwYWJsZSBsaWtlIHlvdSwgdGhlIHRocmVhZCBvZiBuaW5qYSBpcyBuZXZlciBkaXNjb25uZWN0ZWQuCklmIHlvdSBtZWV0IG5ld2NvbWVycyBkdXJpbmcgeW91ciB0cmF2ZWxzLCBwbGVhc2UgZ3VpZGUgdGhlbSBvbiB0aGUgcmlnaHQgcGF0aC4=,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClBlc3NvYXMgY29tbyB2b2PDqiBtYW50w6ptIGEgdHJhZGnDp8OjbyBkb3MgTmluamFzIHZpdmEuClNlIHZvY8OqIGVuY29udHJhciBpbmljaWFudGVzLCBndWllLW9zIHBhcmEgbyBjYW1pbmhvIGRvcyBOaW5qYXMu,,W0d1w61hIE5pbmphXQpHcmFjaWFzIGEgbGFzIHBlcnNvbmFzIGNhcGFjZXMgY29tbyB0w7osIGVsIGhpbG8gZGUgbG9zIE5pbmphcyBudW5jYSBzZSBkZXNjb25lY3RhLgpTaSB0ZSBjcnV6YXMgY29uIHJlY2nDqW4gbGxlZ2Fkb3MgZHVyYW50ZSB0dXMgdmlhamVzLCBndcOtYWxvcyBwb3IgZWwgYnVlbiBjYW1pbm8u
pyHTBg,,W05pbmphIEd1aWRlXQpJJ20gdGhlIGd1aWRlIGluIHRoZSB3YXkgb2YgdGhlIG5pbmphIGZvciBuZXdjb21lcnMu,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClNvdSBvIEppcmFpeWEuIE8gaW5zdHJ1dG9yIGRvcyBOaW5qYXMu,,W0d1w61hIE5pbmphXQpTb3kgZWwgZ3XDrWEgZGVsIGNhbWlubyBkZWwgTmluamEgcGFyYSBsb3MgcmVjacOpbiBsbGVnYWRvcy4=
qCHTBg,,W05pbmphIEd1aWRlXQpJJ20gbm90IGludGVyZXN0ZWQgaW4gcGVvcGxlIHdobyBhcmUgYWxyZWFkeSBvbiB0aGVpciBwYXRoLgpUYWtlIHlvdXIgbGVhdmUgbm93Li4u,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdCk7Do28gcXVlcm8gZmFsYXIgY29tIHBlc3NvYXMgcXVlIHRyaWxoYXJhbSBvdXRybyBjYW1pbmhvLgpTaWdhIHNldSBydW1vLg==,,W0d1w61hIE5pbmphXQpObyBtZSBpbnRlcmVzYW4gYXF1ZWxsb3MgcXVlIHlhIGVuY29udHJhcm9uIHN1IGNhbWluby4KQWhvcmEgdmV0ZS4uLg==
qSHTBg,,W05pbmphIEd1aWRlXQpUaGUgd2F5IG9mIHRoZSBuaW5qYSB3aWxsIG5vdCBhY2NlcHQgYmFiaWVzLgpCZWNhdXNlIGl0IGlzIG5vdCBhbiBlYXN5IGpvYi4KUGxlYXNlIGRvbid0IGZlZWwgc29ycnkgYWJvdXQgaXQu,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdCkhtbS4uLiBvdXRybyBpbmljaWFudGUuLi4KTyBxdWUgdmVpbyBmYXplciBhcXVpPw==,,W0d1w61hIE5pbmphXQpFbCBjYW1pbm8gZGVsIE5pbmphIG5vIGFjZXB0YSBiZWLDqXMuClBvcnF1ZSBlc3RlIG5vIGVzIHVuIGNhbWlubyBzZW5jaWxsby4KUG9yIGZhdm9yLCBubyB0ZSBhdmVyZ8O8ZW5jZXMgcG9yIGVsbG8u
qiHTBg,,W05pbmphIEd1aWRlXQpGaXJzdCBvZiBhbGwsIHlvdSBtdXN0IGVucm9sbCBpbiB0aGUgYWNhZGVteSBhbmQgdmlzaXQgbWUgYWdhaW4uCkV2ZXJ5dGhpbmcgaGFzIHRvIGZvbGxvdyB0aGUgY29ycmVjdCBwcm9jZWR1cmVzIGFuZCBiZWluZyBjbHVtc3kgaXMgbm8gZXhjdXNlLiA=,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClByaW1laXJvLCBmYcOnYSBhIHN1YSBtYXRyw61jdWxhIG5vIHTDqXJyZW8uCk7Do28gdm91IGFjZWl0YXIgYWx1bm9zIHF1ZSBuw6NvIHNpZ2FtIG8gcHJvY2VkaW1lbnRvIGNvcnJldG8u,,W0d1w61hIE5pbmphXQpQcmltZXJvLCBkZWJlcyBpbnNjcmliaXJ0ZSBlbiBsYSBhY2FkZW1pYSB5IGx1ZWdvIHZ1ZWx2ZSBhIHZpc2l0YXJtZS4KVGVuZW1vcyBxdWUgc2VndWlyIGxvcyBwcm9jZWRpbWllbnRvcyBjb3JyZXNwb25kaWVudGVzIHkgbm8gcG9kZW1vcyBzZXIgdG9ycGVzLiA=
