wObOBw,,U2NydWJieQ==,,,,,RXNmcmlnYQ==,,RXhmb2xpYWRvcg==
webOBw,,W1NjcnViYnldCllvdSBhcHBlYXIgdG8gbGFjayBzdWZmaWNpZW50IGV4cGVyaWVuY2UgdG8gdXNlIHRoZSBiYXRoaG91c2UuIFlvdSBtYXkgc3VmZmVyIGJ1cm5zIGZyb20gdGhlIGhpZ2ggdGVtcGVyYXR1cmVzLCBzbyBwbGVhc2UgcmV0dXJuIGFmdGVyIGdhaW5pbmcgZW5vdWdoIGV4cGVyaWVuY2UgdG8gZW5kdXJlIGl0Lg==,,,,,W0VzZnJpZ2FdClZvY8OqIG7Do28gcG9zc3VpIGV4cGVyacOqbmNpYSBwYXJhIHVzYXIgbyBiYW5oby4gQSBhbHRhIHRlbXBlcmF0dXJhIHBvZGUgY2F1c2FyIHF1ZWltYWR1cmFzLCBwb3J0YW50byByZXRvcm5lIGFww7NzIGFkcXVpcmlyIGV4cGVyacOqbmNpYSBzdWZpY2llbnRlIHBhcmEgc3Vwb3J0w6EtbGEu,,W0V4Zm9saWFkb3JdClBhcmVjZSBxdWUgbGUgZmFsdGEgYWxnbyBkZSBleHBlcmllbmNpYSBwYXJhIHVzYXIgbG9zIGJhw7Fvcy4gUG9kcsOtYSBzdWZyaXIgcXVlbWFkdXJhcyBjb24gZWwgY2Fsb3IsIGFzw60gcXVlIHZ1ZWx2YSBjdWFuZG8gaGF5YSBhY3VtdWxhZG8gc3VmaWNpZW50ZSBleHBlcmllbmNpYSBwYXJhIHNvcG9ydGFybG8u
wubOBw,,LSBUaGlzIHF1ZXN0IGlzIGF2YWlsYWJsZSBmcm9tIExldmVsIDEzMC4gLQ==,,,,,LSBNaXNzw6NvIGRpc3BvbsOtdmVsIGEgcGFydGlyIGRvIG7DrXZlbCAxMzAuIC0=,,LSBNaXNpw7NuIGRpc3BvbmlibGUgYSBwYXJ0aXIgZGVsIG5pdmVsIDEzMC4gLQ==
w+bOBw,,W1NjcnViYnldCldlIGFwb2xvZ2l6ZS4gSXQgaXMgdGhlIHBvbGljeSBvZiB0aGUgVmFybXVudCBNYW5zaW9uIHRvIGlzb2xhdGUgZ3Vlc3RzIGZyb20gXjAwMDBDRGRhbmdlcm91cyBzaXR1YXRpb25zXjAwMDAwMC4gUGxlYXNlIHdhaXQgYSBsaXR0bGUgbG9uZ2VyLg==,,,,,W0VzZnJpZ2FdCkRlc2N1bHBlLiDDiSBhIHBvbMOtdGljYSBkYSBNYW5zw6NvIFZhcm11bnQgaXNvbGFyIG9zIGNsaWVudGVzIGRlIF4wMDAwQ0RzaXR1YWPMp2/Mg2VzIHBlcmlnb3Nhc14wMDAwMDAuIFBvciBmYXZvciwgYWd1YXJkZS4=,,W0V4Zm9saWFkb3JdCkxvIHNpZW50by4gTGEgcG9sw610aWNhIGRlIGxhIG1hbnNpw7NuIFZhcm11bnQgZXMgYWlzbGFyIGEgbG9zIGh1w6lzcGVkZXMgZGUgXjAwMDBDRHNpdHVhY2lvbmVzIHBlbGlncm9zYXNeMDAwMDAwLiBQb3IgZmF2b3IsIGVzcGVyZSB1biBwb2NvIG3DoXMu
xObOBw,,V2h5IGlzIHRoZSBzZWFyY2ggdGFraW5nIHNvIGxvbmc/IExldCB1cyBpbi4gV2UgY2FuIGZpbmQgaXQgZmFzdGVyLg==,,,,,RGVpeGUtbm9zIGVudHJhciE=,,wr9Qb3IgcXXDqSB0YXJkYW4gdGFudG8gZW4gcmVnaXN0cmFyPyBEw6lqZW5vcyBlbnRyYXIuIEFzw60gcG9kcmVtb3MgZW5jb250cmFybG8gbcOhcyByw6FwaWRvLg==
xebOBw,,V2UgYXJlIGV4cGVydHMgaW4gdGhpcyBmaWVsZC4=,,,,,UG9kZW1vcyBhanVkYXIh,,U29tb3MgZXhwZXJ0b3MgZW4gZXN0ZSBjYW1wby4=
xubOBw,,W01hZ2VudGFdCkRvIG5vdCBrZWVwIHRoZSBuYXR1cmUgb2YgdGhhdCBkYW5nZXIgdG8geW91cnNlbGYuIExldCB1cyBrbm93IGFzIHdlbGwu,,,,,W01hZ2VudGFdCk7Do28gZXNjb25kYSBhIHNpdHVhw6fDo28gZGUgbsOzcy4gRGVzZWJ1Y2hhIQ==,,W01hZ2VudGFdCk5vIHRlIGd1YXJkZXMgcGFyYSB0aSBxdcOpIGVzIGVzZSBwZWxpZ3JvOyBkaW5vcyBhbGdvIGEgbm9zb3Ryb3MgdGFtYmnDqW4u
x+bOBw,,VGltZSBpcyBwYXNzaW5nIGV2ZW4gYXMgeW91IGJsb2NrIHVzIGhlcmUu,,,,,TyB0ZW1wbyBlc3TDoSBwYXNzYW5kbyE=,,TWllbnRyYXMgbm9zIGRldGllbmVuIGFxdcOtLCBlbCB0aWVtcG8gc2lndWUgY29ycmllbmRvLg==
yObOBw,,W1NjcnViYnldCldlIGFwb2xvZ2l6ZS4gSXQgaGFzIG5vdCB5ZXQgYmVlbiBpZGVudGlmaWVkLiBEZXRlcm1pbmluZyB3aGV0aGVyIGEgaGF6YXJkIGV4aXN0cyBpcyBvbmUgb2YgdGhlIG9iamVjdGl2ZXMgb2YgdGhpcyBzZWFyY2guIFBsZWFzZSB3YWl0IGEgbGl0dGxlIGxvbmdlci4gV2UgYXNrIGZvciB5b3VyIHVuZGVyc3RhbmRpbmcgYXMgdGhpcyBpcyBwcm9jZWR1cmUu,,,,,W0VzZnJpZ2FdCkFpbmRhIG7Do28gaWRlbnRpZmljYW1vcy4gVW0gZG9zIG9iamV0aXZvcyBkZXN0YSBidXNjYSDDqSBhdmVyaWd1YXIgYSBzZWd1cmFuw6dhLiBUcmF0YS1zZSBkZSB1bSBwcm9jZWRpbWVudG8sIHBlZGltb3Mgc3VhIGNvbXByZWVuc8Ojby4=,,W0V4Zm9saWFkb3JdCkxvIHNpZW50by4gQcO6biBubyBzZSBoYSBkZXRlcm1pbmFkby4gVW5vIGRlIGxvcyBvYmpldGl2b3MgZGUgZXN0YSBiw7pzcXVlZGEgZXMgaW52ZXN0aWdhciBzaSBleGlzdGUgYWxnw7puIGZhY3RvciBkZSByaWVzZ28uIFBvciBmYXZvciwgZXNwZXJlIHVuIHBvY28gbcOhcy4gRXMgZWwgcHJvY2VkaW1pZW50bywgYXPDrSBxdWUgbGUgcnVlZ28gcXVlIGxvIGNvbXByZW5kYS4=
yebOBw,,SWYgc29tZXRoaW5nIGhhcHBlbnMgdG8gb3VyIGNvbXBhbmlvbiwgd2Ugd2lsbCBob2xkIHlvdSByZXNwb25zaWJsZSE=,,,,,RSBzZSBhbGdvIGFjb250ZWNlciBjb20gZWxlPyE=,,wqFTaSBhIG51ZXN0cm8gbmnDsW8gbGUgcGFzYSBhbGdvLCBsZXMgcGVkaXLDqSBjdWVudGFzIQ==
yubOBw,,V2UgaGF2ZSBvdXIgb3duIHByb2NlZHVyZXMgdG9vISBZb3UgYXJlIGludGVyZmVyaW5nIHdpdGggdXMh,,,,,TsOzcyB0YW1iw6ltIHRlbW9zIHByb2NlZGltZW50b3Mh,,wqFOb3NvdHJvcyB0YW1iacOpbiB0ZW5lbW9zIGVzZSBwcm9jZWRpbWllbnRvISDCoU5vcyBlc3TDoW4gZXN0b3JiYW5kbyE=
