QMfe,,WW91bmcgTWFu,,,,,Sm92ZW0=,,Sm92ZW4=
Qcfe,,W0themllbl0KSnVzdC4uLgpMZWF2ZSBtZSBhbG9uZS4KSSBmZWVsIG5vdGhpbmcgYnV0Cmd1aWx0IHdoZW4gSSBzZWUgeW91Lg==,,,,,W0themllbl0KQXBlbmFzLi4uCk1lIGRlaXhlIGVtIHBhei4KTsOjbyBzaW50byBuYWRhIGFsw6ltIGRlCmN1bHBhIHF1YW5kbyB2ZWpvIHZvY8OqLg==,,W0themllbl0KU29sby4uLgpEw6lqYW1lIGVuIHBhei4KTm8gcHVlZG8gcXVpdGFybWUgbGEgY3VscGEKY2FkYSB2ZXogcXVlIHRlIHZlby4=
Qsfe,,W0themllbl0KRG9uJ3QgdGFrZSBpdCB0aGUgd3JvbmcKd2F5LiBJIG1lYW4sIGl0J3Mgbm90IGxpa2UKeW91IGRpZCBhbnl0aGluZyB3cm9uZy4gSSdtCnRoZSBvbmUgd2hvJ3MuLi4gR2Vlei4gSSB3aXNoCkkgY291bGQgbGl2ZSB0aGUgd2F5IHlvdSBkby5eRkZGRkZGICAgICAgXjAwMDAwMCBTb21lZGF5IEknbGwgYmUgc3Ryb25nIGVub3VnaC4uLg==,,,,,W0themllbl0KTsOjbyBsZXZlIGlzc28KYSBtYWwuIFF1ZXJvIGRpemVyLCBuw6NvIMOpIGNvbW8gc2UKdm9jw6ogdGl2ZXNzZSBmZWl0byBhbGdvIGVycmFkby4gRXUgc291CmFxdWVsZSBxdWUgZXN0w6EuLi4gVml4ZS4KRXUgZ29zdGFyaWEgZGUgcG9kZXIgdml2ZXIgY29tbyB2b2PDqi5eRkZGRkZGIF4wMDAwMDAgVW0gZGlhIHNlcmVpIGZvcnRlIG8gc3VmaWNpZW50ZS4uLg==,,W0themllbl0KTm8gdGUgbG8gdG9tZXMgYQptYWwuIERpZ28sIG5vIGVzIHF1ZSBoYXlhcwpoZWNobyBuYWRhIG1hbG8uIFNveQp5byBlbCBxdWUuLi4gQ2llbG9zLiBRdWlzaWVyYQpwb2RlciB2aXZpciBjb21vIHTDui5eRkZGRkZGIF4wMDAwMDAgQWxnw7puIGTDrWEgc2Vyw6kgbG8gc3VmaWNpZW50ZW1lbnRlIGZ1ZXJ0ZS4uLg==
Q8fe,,W0themllbl0KSGV5LCB5b3UncmUgYmFjay4gQXMgdXN1YWwsCnlvdSd2ZSBkb25lIGEgZ29vZCBqb2IuIFlvdQpsb29rIGV4aGF1c3RlZDogZGlkIHlvdSBydW4KaW50byB0aG9zZSB0aHVncyBhZ2Fpbj8KV2h5IGRvbid0IHlvdSB0YWtlIGEgcmVzdD8=,,,,,W0themllbl0KRWksIHZvY8OqIHZvbHRvdS4gQ29tbyBzZW1wcmUsCnZvY8OqIGZleiB1bSBib20gdHJhYmFsaG8uIFZvY8OqCmVzdMOhIHPDsyBvIHDDsy4gVm9jw6ogc2UgZGVwYXJvdQpjb20gYXF1ZWxlcyBiYW5kaWRvcyBkZSBub3ZvPwpQb3IgcXVlIG7Do28gZGVzY2Fuc2EgdW0gcG91Y28/,,W0themllbl0KRXksIHZvbHZpc3RlLiBDb21vIHNpZW1wcmUsCmhpY2lzdGUgdW4gYnVlbiB0cmFiYWpvLiBUZQp2ZXMgdGVycmlibGUuIMK/Vm9sdmlzdGUKYSBjcnV6YXJ0ZSBjb24gZXNvcyBtYXRvbmVzPwrCv1BvciBxdcOpIG5vIGRlc2NhbnNhcz8=
RMfe,,W3swfV0KS2F6aWVuLi4uCldoaWxlIEkgd2FzIGZpZ2h0aW5nCnRob3NlIHRodWdzLCBvbmUgb2YgdGhlCnBhY2thZ2VzIHdhcyBhY2NpZGVudGFsbHkKb3BlbmVkLCBhbmQgSSBzYXcgd2hhdCB3YXMKaW5zaWRlIG9mIHRob3NlIHBhY2thZ2VzLg==,,,,,W3swfV0KS2F6aWVuLi4uCkVucXVhbnRvIGV1IGVzdGF2YSBsdXRhbmRvCmNvbnRyYSBhcXVlbGVzIGJhbmRpZG9zLCB1bSBkb3MKcGFjb3RlcyBhY2Fib3UgYWJyaW5kbwpzZW0gcXVlcmVyLCBlIGV1IHZpIG8gcXVlIGhhdmlhCmRlbnRybyBkZWxlcy4=,,W3swfV0KS2F6aWVuLi4uCk1pZW50cmFzIHBlbGVhYmEKY29uIGxvcyBtYXRvbmVzLCB1bm8gZGUgbG9zCnBhcXVldGVzIHNlIGFicmnDsyBwb3IKYWNjaWRlbnRlIHkgcHVkZSB2ZXIKbG8gcXVlIHRpZW5lbiBhZGVudHJvLg==
Rcfe,,W0themllbl0KLi4uLi4uCi4uLi4uLi4uLgouLi4uLi4uLi4uLi4=,,,,,W0themllbl0KLi4uLi4uCi4uLi4uLi4uLgouLi4uLi4uLi4uLi4=,,W0themllbl0KLi4uLi4uCi4uLi4uLi4uLgouLi4uLi4uLi4uLi4=
Rsfe,,W3swfV0KV2gtd2h5IGFyZSB5b3Ugc3VwcGx5aW5nCnRob3NlIHRoaW5ncz8gSWYgd2UgbGV0IHRob3NlCnBhY2thZ2VzIGdldCBpbXBvcnRlZCBieQpvdGhlciBjb3VudHJpZXMsIGl0IGNhbgpjYXVzZSBhIGxvdCBvZiB0cm91YmxlLi4uIQ==,,,,,W3swfV0KUC1Qb3IgcXVlIGVzdMOhIGZvcm5lY2VuZG8KZXNzYXMgY29pc2FzPyBTZSBwZXJtaXRpcm1vcyBxdWUgZXNzZXMKcGFjb3RlcyBzZWphbSBpbXBvcnRhZG9zIHBvcgpvdXRyb3MgcGHDrXNlcywgaXNzbyBwb2RlCmNhdXNhciBtdWl0b3MgcHJvYmxlbWFzLi4uIQ==,,W3swfV0Kwr9QLXBvciBxdcOpIGVzdMOhcyB0cmFuc3BvcnRhbmRvCmVzYXMgY29zYXM/IFNpIGRlamFtb3MgcXVlIGVzb3MgcGFxdWV0ZXMKc2UgaW1wb3J0ZW4gYSBvdHJvcyBwYcOtc2VzLArCoXB1ZWRlbiBjYXVzYXIKbXVjaG9zIHByb2JsZW1hcy4uLiE=
R8fe,,W0themllbl0KU3RvcC4gUGxlYXNlLgpKLWp1c3Qgc3RvcCBpdC4KSSBkb24ndCB3YW50IHRvCmhlYXIgYW55bW9yZS4=,,,,,W0themllbl0KUGFyZS4gUG9yIGZhdm9yLgpQLVBhcmUgY29tIGlzc28uCkV1IG7Do28gcXVlcm8Kb3V2aXIgbWFpcy4=,,W0themllbl0KQWx0by4gUG9yIGZhdm9yLgpTLXNpbGVuY2lvLgpObyBxdWllcm8KZXNjdWNoYXIgbcOhcy4=
SMfe,,W3swfV0KSG9sZCBpdCwgSSBkZXNlcnZlIGFuCmFuc3dlciEgSG93IGNhbiB5b3UgdHVybgphIGJsaW5kIGV5ZSBhbmQgcHJvdmlkZSBqdXN0CmFueW9uZSB3aXRoIF5GRjAwMDBoaS10ZWNoIHdlYXBvbnMKYW5kIGd1YXJkaWFuc14wMDAwMDA/IEl0J3MgbGlrZSB5b3UncmUKcHJvbW90aW5nIHdhciBhbmQgdmlvbGVuY2Uh,,,,,W3swfV0KRXNwZXJlLCBldSBtZXJlw6dvIHVtYQpyZXNwb3N0YSEgQ29tbyB2b2PDqiBwb2RlIGZhemVyCnZpc3RhIGdyb3NzYSBlIHNhaXIgZGlzdHJpYnVpbmRvCl5GRjAwMDBhcm1hcyBhdmFuw6dhZGFzIGUgZ3VhcmRpw7Vlc14wMDAwMDAKcGFyYSBxdWFscXVlciB1bT8gSXNzbyDDqSBvIG1lc21vIHF1ZQppbmNlbnRpdmFyIGd1ZXJyYSBlIHZpb2zDqm5jaWEh,,W3swfV0KRXNwZXJhLCDCoW1lcmV6Y28gdW5hCnJlc3B1ZXN0YSEgwr9Dw7NtbyBwdWVkZXMgc2VyCmluZGlmZXJlbnRlIHkgcG9uZXIgZXN0YXMKXkZGMDAwMGFybWFzIGRlIGFsdGEgdGVjbm9sb2fDrWEKeSBndWFyZGlhbmVzXjAwMDAwMCBlbiBtYW5vcyBkZSBjdWFscXVpZXJhPyDCoUVzIGNvbW8gc2kgZXN0dXZpZXJhcwpwcm9tb3ZpZW5kbyBsYSBndWVycmEgeSBsYSB2aW9sZW5jaWEh
Scfe,,W3swfV0KQW5kIHdoYXQgYWJvdXQgeW91ciBsaXR0bGUKYnJvdGhlciBMeW96aWVuPyBIZSBoYXMKbm8gaWRlYSB3aGF0IGhlJ3MgZG9pbmchCkRvbid0IHdlIGhhdmUgYSByZXNwb25zaWJpbGl0eQp0byB0aGUgd29ybGQgdG8gbWFrZSBzdXJlIHRoZXNlCndlYXBvbnMgYXJlbid0IGRpc3RyaWJ1dGVkPw==,,,,,W3swfV0KRSBxdWFudG8gYW8gc2V1IGlybcOjb3ppbmhvCkx5b3ppZW4/IEVsZQpuw6NvIGZheiBpZGVpYSBkbyBxdWUgZXN0w6EgZmF6ZW5kbyEKTsOjbyB0ZW1vcyBhIHJlc3BvbnNhYmlsaWRhZGUKcGFyYSBjb20gbyBtdW5kbyBkZSBnYXJhbnRpciBxdWUgZXNzYXMKYXJtYXMgbsOjbyBzZWphbSBkaXN0cmlidcOtZGFzPw==,,W3swfV0Kwr9ZIEx5b3ppZW4/IMKhVHUgaGVybWFubwpubyB0aWVuZSBsYSBtZW5vciBpZGVhCmRlIGxvIHF1ZSBlc3TDoSBoYWNpZW5kbyEKwr9ObyBlcyBudWVzdHJvIGRlYmVyIGFudGUgZWwgbXVuZG8KYXNlZ3VyYXJub3MgZGUgcXVlIGVzdGFzCmFybWFzIG5vIHNlIGRpc3RyaWJ1eWFuPw==
Ssfe,,W0themllbl0KU2h1dCB1cCEgWW91IGRvbid0Cmtub3cgYW55dGhpbmchIEp1c3QKc2h1dCB1cCEgSSdtIGRvaW5nIHRoaXMKZm9yIHRoZSBzYWtlIG9mIG15IGZhbWlseSEKWW91IGRvbid0IGtub3cgd2hhdCBpdCdzIGxpa2UKdG8gbGl2ZSBpbiBMaWdodGhhbHplbidzIHNsdW1zIQ==,,,,,W0themllbl0KQ2FsZSBhIGJvY2EhIFZvY8OqIG7Do28Kc2FiZSBkZSBuYWRhISBBcGVuYXMKY2FsZSBhIGJvY2EhIEVzdG91IGZhemVuZG8gaXNzbwpwZWxvIGJlbSBkYSBtaW5oYSBmYW3DrWxpYSEKVm9jw6ogbsOjbyBzYWJlIGNvbW8gw6kKdml2ZXIgbmFzIGZhdmVsYXMgZGUgTGlnaHRoYWx6ZW4h,,W0themllbl0KwqFDw6FsbGF0ZSEgwqFObwpzYWJlcyBuYWRhISDCoVNvbG8KY8OhbGxhdGUhIMKhTG8gaGFnbyBwb3IgZWwgYmllbgpkZSBtaSBmYW1pbGlhIQrCoU5vIHRpZW5lcyBpZGVhIGRlIGxvIHF1ZSBlcyB2aXZpcgplbiBsb3MgYmFycmlvcyBiYWpvcyBkZSBMaWdodGhhbHplbiE=
S8fe,,W3swfV0KLi4uLi4uLi4uLi4uLi4uLi4=,,,,,W3swfV0KLi4uLi4uLi4uLi4uLi4uLi4=,,W3swfV0KLi4uLi4uLi4uLi4uLi4uLi4=
TMfe,,W0themllbl0KVGhlcmUnZCBiZSBkYXlzIHdoZW4gbXkKYnJvdGhlciBhbmQgSSdkIGhhdmUgbm90aGluZwp0byBlYXQuIFNvIHdoZW4gSSBoZWFyZCBhYm91dAp0aGlzIGpvYiwgSSB0b29rIGl0LiBXaGF0IGdvb2QKaXMgd29ybGQgcGVhY2UgaWYgSSdtIG5vdCBldmVuCmFsaXZlIHRvIGVuam95IGl0LCBodWg/,,,,,W0themllbl0KVGV2ZSBkaWFzIGVtIHF1ZSBtZXUgaXJtw6NvIGUgZXUKbsOjbyB0w61uaGFtb3MgbmFkYQpwYXJhIGNvbWVyLiBFbnTDo28sIHF1YW5kbyBvdXZpIGZhbGFyCmRlc3NlIHRyYWJhbGhvLCBhY2VpdGVpLiBEZSBxdWUgYWRpYW50YQpwYXogbXVuZGlhbCBzZSBldSBuw6NvIGVzdGl2ZXIKdml2byBwYXJhIGN1cnRpLWxhLCBuw6NvIMOpPw==,,W0themllbl0KSGFiw61hIGTDrWFzIGVuIGxvcyBxdWUKbWkgaGVybWFubyB5IHlvIG5vIHRlbsOtYW1vcwpuYWRhIHBhcmEgY29tZXIuIEFzw60gcXVlIGN1YW5kbyBzdXBlIGRlCmVzdGUgdHJhYmFqbywgbG8gYWNlcHTDqS4gwr9EZSBxdcOpIHNpcnZlCmxhIHBheiBtdW5kaWFsIHNpIG5pIHNpcXVpZXJhCmVzdG95IHZpdm8gcGFyYSBkaXNmcnV0YXJsYSwgwr9laD8=
