YK3dCg,652867Kk642U,TGF2ZW5kZXI=,,,,,TGF2YW5kYQ==,,TGF2YW5kYQ==
Ya3dCg,W+udvOuypOuNlF0K66mc66GgIOyImO2ZlSDquLDrhZAg7LaV7KCc7JeQIOyYpOyLoCDqsoPsnYQg7ZmY7JiB7ZWp64uI64ukIQrrqqjtl5jqsIAg67aE65Ok7J2EIOychO2VnCDsnbTrsqTtirjrj4Qg66eI66Co65CY7Ja0IOyeiOyKteuLiOuLpC4K66eO7J2AIOywuOyXrCDrtoDtg4Hrk5zrpr3ri4jri6Qh,W0xhdmVuZGVyXSAKV2VsY29tZSB0byB0aGUgTWVsb24gSGFydmVzdCBGZXN0aXZhbCEgClRoZXJlIGFyZSBhbHNvIGV2ZW50cyBmb3IgYWR2ZW50dXJlcnMuIApXZSBob3BlIHlvdSBhbGwgcGFydGljaXBhdGUh,,,,,W0xhdmFuZGFdCkJvYXMgdmluZGFzIMOgIEZlaXJhIGRvIE1lbMOjbyEKVGVtb3MgZ2luY2FuYXMgcGFyYSBWaWFqYW50ZXMuClBhcnRpY2lwZSE=,,W0xhdmFuZGFdIArCoUJpZW52ZW5pZG9zIGFsIEZlc3RpdmFsIGRlIGxhIENvc2VjaGEgZGVsIE1lbMOzbiEgClRhbWJpw6luIGhheSBldmVudG9zIHBhcmEgYXZlbnR1cmVyb3MuIArCoUVzcGVyYW1vcyBxdWUgdG9kb3MgcGFydGljaXBlbiE=
Yq3dCg,W+udvOuypOuNlF0K7Ja0LCDrqqjtl5jqsIDri5jsnYAg7JWE7KeBIOugiOuyqOydtCDsobDquIgg64Ku7Jy87Iuc64Sk7JqULgrri6TsnYzsl5Ag67aA7YOB65Oc66a06rKM7JqULg==,W0xhdmVuZGVyXSAKT2gsIEFkdmVudHVyZXIsIHlvdXIgbGV2ZWwgaXMgc3RpbGwgYSBiaXQgbG93LiAKSSdsbCBhc2sgeW91IHRvIGRvIGl0IG5leHQgdGltZS4=,,,,,W0xhdmFuZGFdCkhtLCBldSBlc3RhdmEgcHJlc3RlcyBhIHRlIHBlZGlyIHVtIGZhdm9yLgpOw6NvIHF1ZXIgZmljYXIgbWFpcyBmb3J0ZSBwcmltZWlybz8=,,W0xhdmFuZGFdIApBeSwgQXZlbnR1cmVybywgdHUgbml2ZWwgYcO6biBlcyB1biBwb2NvIGJham8uIApUZSBwZWRpcsOpIHF1ZSBsbyBoYWdhcyBsYSBwcsOzeGltYSB2ZXou
Y63dCg,PT0yMOugiOuyqCDsnbTsg4Eg7YCY7Iqk7Yq47J6F64uI64ukPT0=,PT1UaGlzIGlzIGEgcXVlc3QgZm9yIGxldmVsIDIwIG9yIGhpZ2hlcj09,,,,,PT0gTWlzc8OjbyBwYXJhIG7DrXZlbCBiYXNlIDIwIG91IG1haXMgPT0=,,PT1Fc3RhIGVzIHVuYSBtaXNpw7NuIHBhcmEgbml2ZWwgMjAgbyBzdXBlcmlvcj09
ZK3dCg,LSDshozsp4DtlZjqs6Ag6rOE7IugIOyVhOydtO2FnOydtCDrp47slYQg7YCY7Iqk7Yq466W8IOynhO2Wie2VoCDsiJgg7JeG7Iq164uI64ukLiAt,LSBZb3UgY2Fubm90IHByb2NlZWQgd2l0aCB0aGUgcXVlc3QgYmVjYXVzZSB5b3UgaGF2ZSB0b28gbWFueSBpdGVtcy4gLQ==,,,,,LSBFeGNlc3NvIGRlIHBlc28uIC0=,,LSBObyBwdWVkZXMgY29udGludWFyIGNvbiBsYSBtaXNpw7NuIHBvcnF1ZSB0aWVuZXMgZGVtYXNpYWRvcyBvYmpldG9zLiAt
Za3dCg,W+udvOuypOuNlF0K66mc66GgIOyImO2ZlSDquLDrhZAg7LaV7KCc7JeQIOyYpOyLoCDqsoPsnYQg7ZmY7JiB7ZWp64uI64ukIQrrqqjtl5jqsIAg67aE65Ok7J2EIOychO2VnCDsnbTrsqTtirjrj4Qg66eI66Co65CY7Ja0IOyeiOycvOuLiCDrp47snYAg7LC47JesIOu2gO2DgeuTnOumveuLiOuLpCEh,W0xhdmVuZGVyXSAKV2VsY29tZSB0byB0aGUgTWVsb24gSGFydmVzdCBGZXN0aXZhbCEgClRoZXJlIGFyZSBhbHNvIGV2ZW50cyBmb3IgYWR2ZW50dXJlcnMsIApzbyBwbGVhc2UgcGFydGljaXBhdGUgYWN0aXZlbHkhIQ==,,,,,W0xhdmFuZGFdCkJvYXMgdmluZGFzIMOgIEZlaXJhIGRvIE1lbMOjbyEKTWV1IG5vbWUgw6kgTGF2YW5kYS4gClNvdSBkYSBmYXplbmRhIEzDrXJpbyE=,,W0xhdmFuZGFdIArCoUJpZW52ZW5pZG9zIGFsIEZlc3RpdmFsIGRlIGxhIENvc2VjaGEgZGVsIE1lbMOzbiEgClRhbWJpw6luIGhheSBldmVudG9zIHBhcmEgYXZlbnR1cmVyb3MsIArCoWFzw60gcXVlIHBhcnRpY2lwZW4gYWN0aXZhbWVudGUh
Zq3dCg,W+udvOuypOuNlF0KLi4u7Jis7ZW064qUIOuzgOyihSDrqZzroaAuLi4K7JWE64uILi4uIOyLoO2SiOyiheydtC4uLgrtg4jstpwuLi4g7JWE64uILCDsnKDstpwuLi4=,W0xhdmVuZGVyXSAKLi4uVGhpcyB5ZWFyLCBhIG11dGFudCBtZWxvbi4uLiAKbm8uLi4gYSBuZXcgdmFyaWV0eS4uLiBlc2NhcGVkLi4uIApubywgbGVha2VkLi4u,,,,,W0xhdmFuZGFdCkVzc2UgYW5vLCBhIFVuacOjbyBkb3MgQWdyaWN1bHRvcmVzLi4uCi4uLgpEZWl4YSBldSB2ZXIgYXF1aS4uLi4uLg==,,W0xhdmFuZGFdIAouLi5Fc3RlIGHDsW8sIHVuIG1lbMOzbiBtdXRhbnRlLi4uIApuby4uLiB1bmEgbnVldmEgdmFyaWVkYWQuLi4gc2UgZXNjYXDDsy4uLiAKbm8sIHNlIGZpbHRyw7MuLi4=
Z63dCg,65Sc7Y+s7Ja0IDog7KOE7Iah7ZWp64uI64ukLi4u,VmFuaWxsYTogU29ycnkuLi4=,,,,,RMOhbGlhOiBMw6ogbyBwYXBlbC4uLg==,,VHVsaXBhOiBMbyBzaWVudG8uLi4=
aK3dCg,W+udvOuypOuNlF0K7JWE64uILi4uIOyWtC4uLg==,W0xhdmVuZGVyXSAKTm8uLi4gdWguLi4=,,,,,W0xhdmFuZGFdCkVyLi4uIGFoLi4u,,W0xhdmFuZGFdIApOby4uLiBlaC4uLg==
aa3dCg,LS0g652867Kk642U64qUIOyGkOuwlOuLpeyXkCDqsJDstpgg66mU66qo66W8IOqzgeuIiOyniO2WiOuLpC4gLS0=,LS0gTGF2ZW5kZXIgZ2xhbmNlZCBhdCB0aGUgbm90ZSBoaWRkZW4gaW4gaGVyIHBhbG0uIC0t,,,,,LS0gTGVuZG8gbyBwYXBlbHppbmhvIG5hIG3Do28uIC0t,,LS1MYXZhbmRhIG1pcsOzIGxhIG5vdGEgZXNjb25kaWRhIGVuIHN1IHBhbG1hLiAtLQ==
aq3dCg,65Sc7Y+s7Ja0IDog7KCV66eQIOyjhOyGoe2VqeuLiOuLpC4uLg==,VmFuaWxsYTogSSdtIHNvIHNvcnJ5Li4u,,,,,RMOhbGlhOiBBIFVuacOjbyBkb3MgQWdyaWN1bHRvcmVzLi4u,,VHVsaXBhOiBMbyBzaWVudG8gbXVjaG8uLi4=
