oLtCDA,7JiI7Ja47J6QIEs=,UHJvcGhldCBL,,,,,UHJvZmV0YSBL,,UHJvZmV0YSBL
obtCDA,7IaM7KeA7ZWY6rOgIOqzhOyLnOuKlCDslYTsnbTthZzsnZgg6rCv7IiY6rCAIOunjuyVhCDtgJjsiqTtirjrpbwg7KeE7ZaJIO2VoCDsiJgg7JeG7Iq164uI64ukLgrslYTsnbTthZzsnYQg7KCV66as7ZWcIOuSpCDri6Tsi5wg7Iuc64+E7ZW0IOyjvOyLnOq4sCDrsJTrno3ri4jri6Qu,WW91IGFyZSBjYXJyeWluZyB0b28gbWFueSBpdGVtcyBhbmQgY2Fubm90IHByb2NlZWQgd2l0aCB0aGUgcXVlc3QuClBsZWFzZSBvcmdhbml6ZSB5b3VyIGludmVudG9yeSBhbmQgdHJ5IGFnYWluLg==,,,,,Vm9jw6ogZXN0w6EgY2FycmVnYW5kbyBpdGVucyBkZW1haXMgZSBuw6NvIHBvZGUgcHJvc3NlZ3VpciBjb20gYSBtaXNzw6NvLgpQb3IgZmF2b3IsIG9yZ2FuaXplIHNldSBpbnZlbnTDoXJpbyBlIHRlbnRlIG5vdmFtZW50ZS4=,,VGllbmVzIGRlbWFzaWFkb3Mgb2JqZXRvcyBlbiB0dSBpbnZlbnRhcmlvIHkgbm8gcHVlZGVzIGNvbnRpbnVhciBjb24gbGEgbWlzacOzbi4KUG9yIGZhdm9yIG9yZ2FuaXphIHR1IGludmVudGFyaW8gZSBpbnTDqW50YWxvIGRlIG51ZXZvLg==
ortCDA,W+yYiOyWuOyekCBLXQ==,W1Byb3BoZXQgS10=,,,,,W1Byb2ZldGEgS10=,,W1Byb2ZldGEgS10=
o7tCDA,6rCV7ZWcIQ==,U3Ryb25nIQ==,,,,,Rm9ydGUh,,wqFGdWVydGUh
pLtCDA,7Zi4656R7J207J2YIOyYge2YvOyhsOqwgeydhArqtaztlbTsmKTripQg6rKD7JeQCuyEseqzte2VnCDqsoMg6rCZ6rWwIQrtm4zrpa3tlbQhIQ==,SXQgc2VlbXMgeW91IGhhdmUgc3VjY2VlZGVkCmluIGdhdGhlcmluZyB0aGUKVGlnZXIgU291bCBTaGFyZHMhCkV4Y2VsbGVudCEh,,,,,UGFyZWNlIHF1ZSB2b2PDqiBjb25zZWd1aXUKcmV1bmlyIG9zCkZyYWdtZW50b3MgZGUgQWxtYSBkZSBUaWdyZSEKRXhjZWxlbnRlISE=,,wqFQYXJlY2UgcXVlIGhhcyB0ZW5pZG8gw6l4aXRvCnJldW5pZW5kbyBsb3MKRnJhZ21lbnRvcyBkZSBBbG1hIGRlIFRpZ3JlIQrCocKhRXhjZWxlbnRlISE=
pbtCDA,W+yYiOyWuOyekCBLXQrsnpAg6re465+8IOuwlOuhnArtmLjrnpHsnbTsnZgg7JiB7Zi87KGw6rCB7J2EIOydtOyaqe2VtAoxMuyngOyLoCDspJEg7Zi4656R7J207J2YIOq4sOyatOydhCDrsJvsnYAK7JiB7JuF7J2YIOychOy5mOulvCDssL7ripQg7J2Y7Iud7J2ECuyLnOyeke2VmOuPhOuhnSDtlZjsp4Ah,W1Byb3BoZXQgS10KV2VsbCB0aGVuLCBsZXQncyBiZWdpbiB0aGUgcml0dWFsCnVzaW5nIHRoZSBUaWdlciBTb3VsIFNoYXJkcwp0byBsb2NhdGUgdGhlIGhlcm8Kd2hvIGhhcyByZWNlaXZlZCB0aGUgZW5lcmd5Cm9mIHRoZSBUaWdlciBmcm9tIHRoZSAxMiBab2RpYWMgR29kcywKcmlnaHQgYXdheSE=,,,,,W1Byb2ZldGEgS10KQmVtIGVudMOjbywgdmFtb3MgY29tZcOnYXIgbyByaXR1YWwKdXNhbmRvIG9zIEZyYWdtZW50b3MgZGUgQWxtYSBkZSBUaWdyZQpwYXJhIGxvY2FsaXphciBvIGhlcsOzaQpxdWUgcmVjZWJldSBhIGVuZXJnaWEKZG8gVGlncmUgZG9zIDEyIERldXNlcyBkbyBab2TDrWFjbywKaW1lZGlhdGFtZW50ZSE=,,W1Byb2ZldGEgS10KwqFCaWVuIGVudG9uY2VzLCBjb21lbmNlbW9zIGVsIHJpdHVhbAp1c2FuZG8gbG9zIEZyYWdtZW50b3MgZGUgQWxtYSBkZSBUaWdyZQpwYXJhIGxvY2FsaXphciBhbCBow6lyb2UKcXVlIGhhIHJlY2liaWRvIGxhIGVuZXJnw61hCmRlbCBUaWdyZSBkZSBsb3MgMTIgRGlvc2VzIGRlbCBab2RpYWNvLAppbm1lZGlhdGFtZW50ZSE=
prtCDA,W+yYiOyWuOyekCBLXQrtnaAhIOywqC4u7LC+7J2A6rGwIOqwmeq1sCEhCu2PieyYqO2VmOqzoCDslYjrnb3tlbQg67O07J2064qUCuuniOydhOydtCDrs7TsnbTripTqtbAuLg==,W1Byb3BoZXQgS10KSG1tISBJLi4uSSB0aGluayBJJ3ZlIGZvdW5kIGl0ISEKSSBzZWUgYSB2aWxsYWdlCnRoYXQgbG9va3MgcGVhY2VmdWwgYW5kIGNvbWZvcnRhYmxlLi4=,,,,,W1Byb2ZldGEgS10KSG1tISBBY2hvLi4uIHF1ZSBlbmNvbnRyZWkhIQpWZWpvIHVtYSB2aWxhCnF1ZSBwYXJlY2UgcGFjw61maWNhIGUgYWNvbmNoZWdhbnRlLi4=,,W1Byb2ZldGEgS10KwqFIbW0hIENyZW8uLi4gwqHCoXF1ZSBsbyBoZSBlbmNvbnRyYWRvISEKVmVvIHVuYSBhbGRlYQpxdWUgcGFyZWNlIHBhY8OtZmljYSB5IGFjb2dlZG9yYS4u
p7tCDA,W+yYiOyWuOyekCBLXQrtkbjrpbTrpbgg64KY66y07JmALi4K7LSI6rCA7KeR7J20IOuztOydtOuKlCDqt7jqs7MuLgrqs6Dtko3siqTrn7Ag7KCV7J6QIOyVnuyXkC4uCuunkOuBlO2eiCDsoJXsnqXsnYQg7J6F7J2ACu2VnCDsgqzrgrTqsIAg67O07J2064qU6rWwIQ==,W1Byb3BoZXQgS10KVGhlIHBsYWNlIHdpdGggZ3JlZW4gdHJlZXMuLgphbmQgdGhhdGNoZWQtcm9vZiBob3VzZXMuLgpJbiBmcm9udCBvZiBhbiBvbGQtZmFzaGlvbmVkIHBhdmlsaW9uLi4KSSBzZWUgYSBtYW4gZHJlc3NlZCBuZWF0bHkKaW4gYSBzdWl0IQ==,,,,,W1Byb2ZldGEgS10KTyBsdWdhciBjb20gw6Fydm9yZXMgdmVyZGVzLi4KZSBjYXNhcyBkZSB0ZXRvIGRlIHBhbGhhLi4KTmEgZnJlbnRlIGRlIHVtIHBhdmlsaMOjbyBhbnRpZ28uLgpWZWpvIHVtIGhvbWVtIHZlc3RpZG8gaW1wZWNhdmVsbWVudGUKY29tIHVtIHRlcm5vIQ==,,W1Byb2ZldGEgS10KRWwgbHVnYXIgY29uIMOhcmJvbGVzIHZlcmRlcy4uCnkgY2FzYXMgY29uIHRlY2hvIGRlIHBhamEuLgpGcmVudGUgYSB1biBwYWJlbGzDs24gYW50aWd1by4uCsKhVmVvIGEgdW4gaG9tYnJlIHZlc3RpZG8gcHVsY3JhbWVudGUKY29uIHVuIHRyYWplIQ==
qLtCDA,W+yYiOyWuOyekCBLXQrsmIHtmLzsnZgg67aA7KCB7J2EIOyViOqwgOyguOyZlOuCmD8K7J2066+4IO2aqOqzvOqwgCDri6TtlojsnLzri4gsIOq3uOuDpSDsnpDrhKTqsIAg7JWM7JWE7IScIOyymOumrO2VtOuPhCDsg4HqtIDsl4brhKTrp4wuCu2VmOuNmCDsnbTslbzquLDrpbwg6rOE7IaNIO2VmOyngC4=,W1Byb3BoZXQgS10KRGlkIHlvdSBub3QgYnJpbmcgdGhlIFNvdWwgQW11bGV0PwpJdHMgZWZmZWN0IGhhcyBhbHJlYWR5IHdvcm4gb2ZmLCBzbyBpdCBkb2Vzbid0IG1hdHRlciBpZiB5b3UgaGFuZGxlIGl0IHlvdXJzZWxmLgpMZXQncyBjb250aW51ZSBvdXIgc3Rvcnku,,,,,W1Byb2ZldGEgS10KVm9jw6ogbsOjbyB0cm91eGUgbyBBbXVsZXRvIGRlIEFsbWE/ClNldSBlZmVpdG8gasOhIGFjYWJvdSwgZW50w6NvIG7Do28gaW1wb3J0YSBzZSB2b2PDqiBsaWRhciBjb20gaXNzbyBzb3ppbmhvLgpWYW1vcyBjb250aW51YXIgbm9zc2EgaGlzdMOzcmlhLg==,,W1Byb2ZldGEgS10Kwr9ObyB0cmFqaXN0ZSBlbCBBbXVsZXRvIGRlIEFsbWE/ClN1IGVmZWN0byB5YSBzZSBhZ290w7MsIGFzw60gcXVlIG5vIGltcG9ydGEgc2kgbG8gbWFuZWphcyB0w7ogbWlzbW8uCkNvbnRpbnVlbW9zIG51ZXN0cmEgaGlzdG9yaWEu
qbtCDA,W+yYiOyWuOyekCBLXQrslYTrp4jrj4Qg7KeA7Jet7J2ACu2OmOydtOyamOycvOuhnCDstpTsoJXrkJjripTrjbAuLgrqsIDshJwg6re4IOyCrOuejOydhCDssL7slYTrtJDso7zquLgK67CU652864SkIQ==,W1Byb3BoZXQgS10KVGhlIGFyZWEgaXMgcHJlc3VtZWQgdG8gYmUKUGF5b24uLgpJIGhvcGUgeW91IGNhbiBnbwphbmQgZmluZCB0aGF0IHBlcnNvbiE=,,,,,W1Byb2ZldGEgS10KQSDDoXJlYSDDqSBwcmVzdW1pZGEgc2VyClBheW9uLi4KRXNwZXJvIHF1ZSB2b2PDqiBwb3NzYSBpcgplIGVuY29udHJhciBlc3NhIHBlc3NvYSE=,,W1Byb2ZldGEgS10KU2UgcHJlc3VtZSBxdWUgZWwgw6FyZWEgZXMKUGF5b24uLgrCoUVzcGVybyBxdWUgcHVlZGFzIGlyCnkgZW5jb250cmFyIGEgZXNhIHBlcnNvbmEh
qrtCDA,W+yYiOyWuOyekCBLXQrqt7jrpbwg7LC+7JWE7IScIOuCtOqwgCDspIAK67CA7ISc66W8IOqxtOuEpOyjvOuPhOuhnSDtlZjqsowuCuq3uCDsnbTtm4Tsl5Ag7YyQ64uo7J2ACuq3uOqwgCDsiqTsiqTroZwg7ZWY6rKg7KeALi4K66qo65OgIOqygyDsnYAg7ZWY64qY7J2YIOucuyDrjIDroZwuLgrtm4Ttm4QuLg==,W1Byb3BoZXQgS10KRmluZCBoaW0gYW5kIGRlbGl2ZXIKdGhlIHNlY3JldCBsZXR0ZXIgSSBnYXZlIHlvdS4KSGUgd2lsbCBqdWRnZSBmb3IgaGltc2VsZgp3aGF0IHRvIGRvIGFmdGVyIHRoYXQuLgpFdmVyeXRoaW5nIGlzIGFjY29yZGluZyB0byBoZWF2ZW4ncyB3aWxsLi4KSHVodS4u,,,,,W1Byb2ZldGEgS10KRW5jb250cmUtbyBlIGVudHJlZ3VlCmEgY2FydGEgc2VjcmV0YSBxdWUgZXUgdGUgZGVpLgpFbGUganVsZ2Fyw6EgcG9yIHNpIG1lc21vCm8gcXVlIGZhemVyIGRlcG9pcyBkaXNzby4uClR1ZG8gZXN0w6EgZGUgYWNvcmRvIGNvbSBhIHZvbnRhZGUgZG8gY8OpdS4uCkh1aHUuLg==,,W1Byb2ZldGEgS10KRW5jdcOpbnRyYWxvIHkgZW50csOpZ2FsZQpsYSBjYXJ0YSBzZWNyZXRhIHF1ZSB0ZSBkaS4Kw4lsIGp1emdhcsOhIHBvciBzw60gbWlzbW8KcXXDqSBoYWNlciBkZXNwdcOpcyBkZSBlc28uLgpUb2RvIGVzIHNlZ8O6biBsYSB2b2x1bnRhZCBkZWwgY2llbG8uLgpKdWp1Li4=
