gH2lAg,,UmVwYWlybWFu,,,,,UmVwYXJhZG9y,,UmVwYXJhZG9y
gX2lAg,,W1JlcGFpcm1hbl0KSGV5IHRoZXJlIQpEbyB5b3Ugd2FudCBtZQp0byByZXBhaXIgYW55IGl0ZW1zPwpZb3UgY2FuIGNvdW50IG9uIG1lCmZvciBpdGVtIHJlcGFpcnMh,,,,,W1JlcGFyYWRvcl0KT2zDoSEKVm9jw6ogcXVlciBxdWUgZXUKY29uc2VydGUgYWxndW0gaXRlbT8KVm9jw6ogcG9kZSBjb250YXIgY29taWdvCnBhcmEgcmVwYXJvcyBkZSBpdGVucyE=,,W1JlcGFyYWRvcl0KwqFIb2xhIQrCv1F1aWVyZXMgcXVlIHJlcGFyZSBhbGfDum4gb2JqZXRvPwrCoVB1ZWRlcyBjb250YXIgY29ubWlnbyBwYXJhIHJlcGFyYXIgY3VhbHF1aWVyIGNvc2Eh
gn2lAg,,QWN0dWFsbHksIEkgZG8gaGF2ZSBzb21lIGl0ZW1zLi4u,,,,,TmEgdmVyZGFkZSwgZXUgdGVuaG8gYWxndW5zIGl0ZW5zLi4u,,U8OtLCBuZWNlc2l0byByZXBhcmFyIGFsZ28u
g32lAg,,Tm9uZSBhdCB0aGUgbW9tZW50Lg==,,,,,TmVuaHVtIG5vIG1vbWVudG8u,,Tm8gbmVjZXNpdG8gcmVwYXJhciBuYWRhLg==
hH2lAg,,W1JlcGFpcm1hbl0KT2ggd293LCB0aGlzIGlzIGluY3JlZGlibGUhCllvdSBtdXN0IHRha2UgdmVyeSBnb29kIGNhcmUgb2YgeW91ciB0aGluZ3MuIE5vbmUgb2YgeW91ciBpdGVtcyBhcmUgZGFtYWdlZCE=,,,,,W1JlcGFyYWRvcl0KT2gsIHVhdSwgaXNzbyDDqSBpbmNyw612ZWwhClZvY8OqIGRldmUgY3VpZGFyIG11aXRvIGJlbSBkZSBzdWFzIGNvaXNhcy4gTmVuaHVtIGRlIHNldXMgaXRlbnMgZXN0w6EgZGFuaWZpY2FkbyE=,,W1JlcGFyYWRvcl0KwqFWYXlhLCBlc3RvIGVzIGluY3Jlw61ibGUhCkRlYmVzIGN1aWRhciBtdXkgYmllbiBkZSB0dXMgY29zYXMuIE5pbmd1bm8gZGUgdHVzIG9iamV0b3MgZXN0w6EgZGHDsWFkby4=
hX2lAg,,W1JlcGFpcm1hbl0KSWYgZXZlcnlvbmUgaXMgbGlrZSB5b3UsIEknbSBnb2luZyB0byBiZSB1bmVtcGxveWVkISEgSGFoYX4h,,,,,W1JlcGFyYWRvcl0KU2UgdG9kbyBtdW5kbyBmb3IgY29tbyB2b2PDqiwgZXUgdm91IGZpY2FyIGRlc2VtcHJlZ2FkbyEhISBIYWhhfiE=,,W1JlcGFyYWRvcl0KwqFTaSB0b2RvcyBmdWVyYW4gY29tbyB0w7osIG1lIHF1ZWRhcsOtYSBzaW4gdHJhYmFqbyEgwqFKYSwgamEh
hn2lAg,,W1JlcGFpcm1hbl0KSG1tLi4uCkxldCdzIHNlZS4uLgpPdXQgb2YgYWxsIHlvdXIgaXRlbXMsCnswfSBhcmUgZGFtYWdlZC4=,,,,,W1JlcGFyYWRvcl0KSG1tLi4uClZhbW9zIHZlci4uLgpEZSB0b2RvcyBvcyBzZXVzIGl0ZW5zLAp7MH0gZXN0w6NvIGRhbmlmaWNhZG9zLg==,,W1JlcGFyYWRvcl0KTW1tLi4uIFZlYW1vcy4uLgpEZSB0b2RvcyB0dXMgb2JqZXRvcywgezB9IGVzdMOhbiBkYcOxYWRvcy4=
h32lAg,,W1JlcGFpcm1hbl0KRWFjaCByZXBhaXIgY29zdHMgNTAwMCBaZW55LiBTbyB0byByZXBhaXIgYWxsIHlvdXIgZGFtYWdlZCBpdGVtcyB3b3VsZCBjb3N0IHswfSBaZW55ISBXb3VsZCB5b3UgbGlrZSB0byByZXBhaXIgdGhlIGl0ZW1zPw==,,,,,W1JlcGFyYWRvcl0KQ2FkYSByZXBhcm8gY3VzdGEgNS4wMDAgWmVueS4gUG9ydGFudG8sIG8gY29uc2VydG8gZGUgdG9kb3Mgb3MgaXRlbnMgZGFuaWZpY2Fkb3MgY3VzdGFyaWEgezB9IFplbnkhIEdvc3RhcmlhIGRlIGNvbnNlcnRhciBvcyBpdGVucz8=,,W1JlcGFyYWRvcl0KQ2FkYSByZXBhcmFjacOzbiBjdWVzdGEgNTAwMCB6ZW55LiBBc8OtIHF1ZSByZXBhcmFyIHRvZG9zIHR1cyBvYmpldG9zIGRhw7FhZG9zIHRlIGNvc3RhcsOtYSB7MH0gemVueS4gwr9RdWllcmVzIHJlcGFyYXIgbG9zIG9iamV0b3M/
iH2lAg,,WWVz,,,,,U2lt,,U8OtLg==
iX2lAg,,Tm8=,,,,,TsOjbw==,,Tm8u
in2lAg,,W1JlcGFpcm1hbl0KV2hvYSB3aG9hLi4uCkNoZWNrIHlvdXIgd2FsbGV0IGJlZm9yZSB5b3UgcmVjZWl2ZSB0aGUgcmVwYWlyIGJpbGwhIEkgY2FuJ3QgcmVwYWlyIGFueXRoaW5nIGJlY2F1c2UgeW91IGRvbid0IGhhdmUgZW5vdWdoIFplbnku,,,,,W1JlcGFyYWRvcl0KQ2FsbWEsIGNhbG1hLi4uClZlcmlmaXF1ZSBzdWEgY2FydGVpcmEgYW50ZXMgZGUgcmVjZWJlciBhIGNvbnRhIGRvIGNvbnNlcnRvISBOw6NvIHBvc3NvIGNvbnNlcnRhciBuYWRhIHBvcnF1ZSB2b2PDqiBuw6NvIHRlbSBaZW55IHN1ZmljaWVudGUu,,W1JlcGFyYWRvcl0KRXksIGV5Li4uCsKhRsOtamF0ZSBlbiB0dSBiaWxsZXRlcmEgYW50ZXMgZGUgcmVjaWJpciBsYSBmYWN0dXJhIGRlIGxhIHJlcGFyYWNpw7NuISBObyBwdWVkbyByZXBhcmFyIG5hZGEgcG9ycXVlIG5vIHRpZW5lcyBzdWZpY2llbnRlcyB6ZW55Lg==
i32lAg,,W1JlcGFpcm1hbl0KT2theSEgQWxsIGRvbmUuIE5vdywgdHJ5IHRvIGJlIGEgbGl0dGxlIG1vcmUgY2FyZWZ1bC4gSXRlbXMgaGF2ZSBsaXZlcyB0b28geW91IGtub3cu,,,,,W1JlcGFyYWRvcl0KUHJvbnRvISBUdWRvIHByb250by4gQWdvcmEsIHRlbnRlIHNlciB1bSBwb3VjbyBtYWlzIGN1aWRhZG9zby4gT3MgaXRlbnMgdGFtYsOpbSB0w6ptIHZpZGEsIHZvY8OqIHNhYmUu,,W1JlcGFyYWRvcl0KwqFCaWVuISBUb2RvIGxpc3RvLiBBaG9yYSwgaW50ZW50YSB0ZW5lciBtw6FzIGN1aWRhZG8uIExvcyBvYmpldG9zIHRhbWJpw6luIHRpZW5lbiB2aWRhLg==
jH2lAg,,W1JlcGFpcm1hbl0KTW1tPyBTb21ldGhpbmcncyB3cm9uZy4gV2FpdC4uLiBFcXVpcCB0aGUgaXRlbXMgeW91IG5lZWQgdG8gcmVwYWlyIGFuZCB0aGVuIGNvbWUgYmFjayB0byBtZS4=,,,,,W1JlcGFyYWRvcl0KTW1tPyBBbGd1bWEgY29pc2EgZXN0w6EgZXJyYWRhLiBFc3BlcmUuLi4gRXF1aXBlIG9zIGl0ZW5zIHF1ZSBwcmVjaXNhIGNvbnNlcnRhciBlIGRlcG9pcyB2b2x0ZSBwYXJhIG1pbS4=,,W1JlcGFyYWRvcl0KTW1tLi4uIEFsZ28gYW5kYSBtYWwuIEVzcGVyYS4uLiBFcXVpcGEgbG9zIG9iamV0b3MgcXVlIG5lY2VzaXRlcyByZXBhcmFyIHkgbHVlZ28gdnVlbHZlLg==
jX2lAg,,W1JlcGFpcm1hbl0KV2VsbCwgaXQncyBubyBza2luIG9mZiBteSBub3NlLCBidXQgaXQncyBub3QgZ29vZCB0byBsZWF2ZSBpdGVtcyBkYW1hZ2VkLiBZb3Ugc2hvdWxkIGdldCB0aGVtIHJlcGFpcmVkIGFzIHNvb24gYXMgcG9zc2libGUh,,,,,W1JlcGFyYWRvcl0KQmVtLCBuw6NvIMOpIG5hZGEgZGVtYWlzIHBhcmEgbWltLCBtYXMgbsOjbyDDqSBib20gZGVpeGFyIG9zIGl0ZW5zIGRhbmlmaWNhZG9zLiBWb2PDqiBkZXZlIGNvbnNlcnTDoS1sb3MgbyBtYWlzIHLDoXBpZG8gcG9zc8OtdmVsIQ==,,W1JlcGFyYWRvcl0KQnVlbm8sIG5vIGVzIGFzdW50byBtw61vLCBwZXJvIG5vIHRlIGNvbnZpZW5lIGFuZGFyIGNvbiBvYmpldG9zIGRhw7FhZG9zLiBUcmF0YSBkZSByZXBhcmFybG9zIGxvIGFudGVzIHBvc2libGUu
jn2lAg,,W1JlcGFpcm1hbl0KSG9ob2hvLi4uCllvdSBkb24ndCBoYXZlCmFueSBidXNpbmVzcyB3aXRoIG1lCmlmIHlvdSBkb24ndCBoYXZlIGFueQppdGVtcyB0byByZXBhaXIu,,,,,W1JlcGFyYWRvcl0KSG9ob2hvLi4uClZvY8OqIG7Do28gdGVtCm5lbmh1bSBuZWfDs2NpbyBjb21pZ28Kc2UgbsOjbyB0aXZlciBuZW5odW0KaXRlbnMgcGFyYSBjb25zZXJ0YXIu,,W1JlcGFyYWRvcl0KSmEsIGphLCBqYS4uLgpObyB0aWVuZXMgbmFkYSBxdWUgaGFjZXIgYXF1w60gY29ubWlnbwpzaSBubyB0aWVuZXMgb2JqZXRvcyBwYXJhIHJlcGFyYXIu
j32lAg,,W1JlcGFpcm1hbl0KSGVsbG8gdHJhdmVsZXIhCkRvIHlvdSB3YW50IG1lCnRvIHJlcGFpciBhbnkgaXRlbXM/CllvdSBjYW4gY291bnQgb24gbWUKZm9yIGl0ZW0gcmVwYWlycyE=,,,,,W1JlcGFyYWRvcl0KT2zDoSwgdmlhamFudGUhClZvY8OqIHF1ZXIgcXVlIGV1CmNvbnNlcnRlIGFsZ3VtIGl0ZW0/ClBvZGUgY29udGFyIGNvbWlnbwpwYXJhIHJlcGFyb3MgZGUgaXRlbnMh,,W1JlcGFyYWRvcl0KwqFIb2xhLCB2aWFqZXJvIQrCv1F1aWVyZXMgcXVlIHJlcGFyZSBhbGfDum4gb2JqZXRvPwrCoVB1ZWRlcyBjb250YXIgY29ubWlnbyBwYXJhIHJlcGFyYXIgY3VhbHF1aWVyIG9iamV0byE=
kH2lAg,,W1JlcGFpcm1hbl0KV293LCB5b3UgbXVzdCB0YWtlIHJlYWxseSBnb29kIGNhcmUgb2YgeW91ciB0aGluZ3MhIE5vdGhpbmcgbG9va3MgZGFtYWdlZCB0byBtZS4uLg==,,,,,W1JlcGFyYWRvcl0KVWF1LCB2b2PDqiBkZXZlIGN1aWRhciBtdWl0byBiZW0gZGUgc3VhcyBjb2lzYXMhIE5hZGEgcGFyZWNlIGRhbmlmaWNhZG8gcGFyYSBtaW0uLi4=,,W1JlcGFyYWRvcl0KwqFWYXlhLCBkZWJlcyBjdWlkYXIgbXV5IGJpZW4gZGUgdHVzIGNvc2FzISBOYWRhIHBhcmVjZSBkYcOxYWRvLCBlbiBtaSBvcGluacOzbi4uLg==
