AINACg,,THVtaW4=,,,,,UnVtaW4=,,UnVtaW4=
AYNACg,,W0x1bWluXQpBcmUgeW91IGhlcmUgZm9yIGEgSm9iIENoYW5nZT8KVG8gY2hhbmdlIHlvdXIgam9iLCB0YWxrIHRvIHRoYXQgZ3V5IG9yIGdpcmwgd2l0aCB0aGUgbWVhbiBleWVzLg==,,,,,W1J1bWluXQpWb2PDqiBlc3TDoSBhcXVpIHBhcmEgbXVkYXIgZGUgZW1wcmVnbz8KUGFyYSBtdWRhciBkZSBlbXByZWdvLCBmYWxlIGNvbSBhcXVlbGUgcmFwYXogb3UgbW/Dp2EgY29tIG9saG9zIG1hdXMu,,W1J1bWluXQrCv1ZpbmlzdGUgYSBjYW1iaWFyIGRlIGNsYXNlPwpTaSB2aW5pc3RlIGEgZXNvLCBidXNjYSBhIG90cmEgcGVyc29uYSBhcXXDrS4=
AoNACg,,W0x1bWluXQpXaGF0IGRvIHlvdSBuZWVkIGhlbHAgd2l0aD8=,,,,,W1J1bWluXQpFbSBxdWUgdm9jw6ogcHJlY2lzYSBkZSBhanVkYT8=,,W1J1bWluXQrCv05lY2VzaXRhcyBheXVkYT8=
A4NACg,,U3RhdHMu,,,,,RXN0YXTDrXN0aWNhcy4=,,UHJlZ3VudGFzIHNvYnJlIGxhcyBlc3RhZMOtc3RpY2FzLg==
BINACg,,U2tpbGxzLg==,,,,,SGFiaWxpZGFkZXMu,,UHJlZ3VudGFzIHNvYnJlIGxhcyBoYWJpbGlkYWRlcy4=
BYNACg,,V2hhdCBhcmUgb2RkIGpvYnM/,,,,,TyBxdWUgc8OjbyBiaXNjYXRlcz8=,,wr9RdcOpIHNvbiBsYXMgbWlzaW9uZXMgZsOhY2lsZXM/
BoNACg,,Tm8gbmVlZCE=,,,,,TsOjbyBow6EgbmVjZXNzaWRhZGUh,,wqFObyBuZWNlc2l0byB0dSBheXVkYSE=
B4NACg,,W0x1bWluXQpTVFIgKHN0cmVuZ3RoKSBpbmNyZWFzZXMgQVRLIGF0dGFjayBwb3dlci4KSXQncyBhIG5lY2Vzc2l0eSwgYnV0IHRoZSBhbW91bnQgeW91IG5lZWQgdG8gaW52ZXN0IGluIGl0IGRlcGVuZHMgb24geW91ciB3ZWFwb25zIGFuZCBmaWdodGluZyBzdHlsZSwgc28gaXQgaXMgZm9yIHlvdSB0byBkZWNpZGUu,,,,,W1J1bWluXQpBIFNUUiAoZm9yw6dhKSBhdW1lbnRhIG8gcG9kZXIgZGUgYXRhcXVlIEFUSy4Kw4kgdW1hIG5lY2Vzc2lkYWRlLCBtYXMgbyB2YWxvciBxdWUgdm9jw6ogcHJlY2lzYSBpbnZlc3RpciBkZXBlbmRlIGRhcyBzdWFzIGFybWFzIGUgZG8gc2V1IGVzdGlsbyBkZSBsdXRhLCBwb3J0YW50bywgY2FiZSBhIHZvY8OqIGRlY2lkaXIu,,W1J1bWluXQpMYSBGVUUgYXVtZW50YSBlbCBkYcOxbyBkZSBsb3MgYXRhcXVlcyBmw61zaWNvcy4KRXMgdW5hIGVzdGFkw61zdGljYSBpbXBvcnRhbnRlLCBwZXJvIGRlcGVuZGUgZGVsIGVzdGlsbyBkZSBqdWVnbyB5IGRlIGxhIGNsYXNlLg==
CINACg,,W0x1bWluXQpBR0kgKGFnaWxpdHkpIGluY3JlYXNlcyBGTEVFIChGTEVFIHJhdGUpIGFuZCBBU1BEIChhdHRhY2sgc3BlZWQpLgpJdCdzIHRoZSBtb3N0IGltcG9ydGFudCBzdGF0IGZvciB0aGUgVGhpZWYgQnJhbmNoLg==,,,,,W1J1bWluXQpBIEFHSSAoYWdpbGlkYWRlKSBhdW1lbnRhIGEgRkxFRSAodGF4YSBkZSBGTEVFKSBlIGEgQVNQRCAodmVsb2NpZGFkZSBkZSBhdGFxdWUpLgrDiSBhIGVzdGF0w61zdGljYSBtYWlzIGltcG9ydGFudGUgcGFyYSBvIHJhbW8gVGhpZWYu,,W1J1bWluXQpMYSBBR0kgYXVtZW50YSBsYSB2ZWxvY2lkYWQgZGUgZXZhc2nDs24geSBkZSBhdGFxdWUuCsKhRXMgaW1wcmVzY2luZGlibGUgcGFyYSBsb3MgTGFkcm9uZXMh
CYNACg,,W0x1bWluXQpEb2RnZSwgYW5kIHRoZW4gYXR0YWNrIHF1aWNrbHkuCldoZXRoZXIgVGhpZWYsIFJvZ3VlLCBvciBBc3Nhc3NpbiwgaXQncyBhbGwgcGFydCBvZiB0aGUgam9iLgpCdXQgaXQgZGVwZW5kcyBvbiB5b3VyIHBlcnNvbmFsIHByZWZlcmVuY2UgYXMgd2VsbC4=,,,,,W1J1bWluXQpFc3F1aXZhci1zZSBlIGRlcG9pcyBhdGFjYXIgcmFwaWRhbWVudGUuClNlamEgVGhpZWYsIEFycnVhY2Vpcm8gb3UgQXNzYXNzaW4sIHR1ZG8gaXNzbyBmYXogcGFydGUgZG8gdHJhYmFsaG8uCk1hcyBpc3NvIHRhbWLDqW0gZGVwZW5kZSBkZSBzdWEgcHJlZmVyw6puY2lhIHBlc3NvYWwu,,W1J1bWluXQpFdml0YXIgbG9zIGF0YXF1ZXMgZGUgZm9ybWEgcsOhcGlkYSB5IGVmaWNhei4uLgpJbmRlcGVuZGllbnRlbWVudGUgZGUgc2kgZXJlcyB1biBMYWRyw7NuIG8gdW5hIGNsYXNlIG3DoXMgYXZhbnphZGEsIMKhZXNvIGVzIGxvIHF1ZSBkZWJlcyBoYWNlciEKUGVybyBzaWd1ZSBzaWVuZG8gdHUgZWxlY2Npw7NuLi4u
CoNACg,,W0x1bWluXQpERVggcHJpbWFyaWx5IGFmZmVjdHMgSElULCBhbmQgaGVscHMgaW5jcmVhc2UgQVNQRCBzbGlnaHRseS4KREVYIGlzIGltcG9ydGFudCBzbyB0aGF0IHlvdXIgYXR0YWNrcyBkb24ndCBtaXNzIHRoZSB0YXJnZXQu,,,,,W1J1bWluXQpBIERFWCBhZmV0YSBwcmluY2lwYWxtZW50ZSBvIEhJVCBlIGFqdWRhIGEgYXVtZW50YXIgbGlnZWlyYW1lbnRlIGEgQVNQRC4KQSBERVggw6kgaW1wb3J0YW50ZSBwYXJhIHF1ZSBzZXVzIGF0YXF1ZXMgbsOjbyBlcnJlbSBvIGFsdm8u,,W1J1bWluXQpMYSBERVMgYXVtZW50YSBsYSBwcm9iYWJpbGlkYWQgZGUgYWNpZXJ0by4KRXMgbXV5IGltcG9ydGFudGUgcGFyYSBubyBmYWxsYXIgZW4gbG9zIGF0YXF1ZXMu
