oDfVDA,,TWluaSBSb2Jl,,,,,TWltaSBMb2J5,,TWltaSBMb2J5
oTfVDA,,PFRoYW5hdG9zIFRvd2VyIFJld2FyZCBEaXN0cmlidXRpb24+,,,,,PCBKb2FsaGVpcmEgPg==,,PCBKb3llcmEgPg==
ojfVDA,,W01pbmldIApSZXdhcmRzIHdpbGwgYmUgZ2l2ZW4gdG8gdGhvc2Ugd2hvIGNvbnRyaWJ1dGVkIHRvIHRoZSBkZXZlbG9wbWVudCBvZiBUaGFuYXRvcyBUb3dlci4gQnJpbmcgcHJvb2Ygb2YgY29vcGVyYXRpb24gYW5kIHdlIHdpbGwgZ3JhbnQgdGhlIHByb21pc2VkIHJld2FyZHMu,,,,,W01pbWldIApFdSB0cmFiYWxobyBjb21vIE91cml2ZXMgYXF1aSBuYSBUb3JyZSBkZSBUaGFuYXRvcy4gQmFzdGEgdHJhemVyIG9zIG1hdGVyaWFpcyBxdWUgY3JpbyB1bSBBbmVsIG91IHVtIENvbGFyIGNvbW8gcmVjb21wZW5zYSBwZWxvIHNldSB0cmFiYWxobyE=,,W01pbWldICAKVHJhYmFqbyBjb21vIG9yZmVicmUgYXF1w60gZW4gbGEgVG9ycmUgZGUgVGhhbmF0b3MuIMKhU29sbyB0cmFlIGxvcyBtYXRlcmlhbGVzIHkgdGUgY3JlYXLDqSB1biBBbmlsbG8gbyB1biBDb2xsYXIgY29tbyByZWNvbXBlbnNhIHBvciB0dSB0cmFiYWpvIQ==
ozfVDA,,RnJhZ21lbnQgb2YgU2luLyBGcmFnbWVudCBvZiBHb29kd2lsbA==,,,,,RnVuZGlyIEZyYWdtZW50b3MgZW0gQ3Jpc3RhbA==,,RnVuZGlyIEZyYWdtZW50b3MgZW4gQ3Jpc3RhbGVz
pDfVDA,,QWNjZXNzb3J5IFN0YWluZWQgd2l0aCBTaW4=,,,,,Q3JpYXIgQWNlc3PDs3Jpb3MgUHJvZmFub3M=,,Q3JlYXIgQWNjZXNvcmlvcyBQcm9mYW5vcw==
pTfVDA,,QWNjZXNzb3J5IG9mIFJhZGlhbnQgTGlnaHQ=,,,,,Q3JpYXIgQWNlc3PDs3Jpb3MgUmFkaWFudGVz,,Q3JlYXIgQWNjZXNvcmlvcyBSYWRpYW50ZXM=
pjfVDA,,UmVjZWl2ZSBSZXdhcmQ/,,,,,UmVjb21wZW5zYT8=,,wr9SZWNvbXBlbnNhPw==
pzfVDA,,Tm90IEludGVyZXN0ZWQu,,,,,TsOjbyB0ZW5obyBpbnRlcmVzc2Uu,,Tm8gbWUgaW50ZXJlc2Eu
qDfVDA,,W01pbmldIApJZiB5b3UgYnJpbmcgXjAwMDBDRHZhcmlvdXMgZnJhZ21lbnRzXjAwMDAwMCBieSB0eXBlLCB0aGV5IHdpbGwgYmUgaXNzdWVkIGFzIF4wMDAwQ0RGcmFnbWVudCBvZiBTaW5eMDAwMDAwIGFuZCBeMDAwMENERnJhZ21lbnQgb2YgR29vZHdpbGxeMDAwMDAwIHJlc3BlY3RpdmVseS4gSW4gYWRkaXRpb24sIGlmIHlvdSBjb2xsZWN0IGEgY2VydGFpbiBhbW91bnQgb2YgZXhjaGFuZ2VkIGZyYWdtZW50cywgdGhleSBjYW4gYmUgdHJhZGVkIGZvciB0aGUgY29ycmVzcG9uZGluZyBhY2Nlc3Nvcnku,,,,,W01pbWldIApTZSB0cm91eGVyIF4wMDAwQ0RGcmFnbWVudG9zXjAwMDAwMCBkZSBzZW50aW1lbnRvcyBeMDAwMENEYm9ucyBvdSBydWluc14wMDAwMDAgY29uc2lnbyB0cmFuc2Zvcm3DoS1sb3MgZW0gXjAwMDBDRENyaXN0YWlzIGRvIFBlY2FkbyBvdSBkYSBWaXJ0dWRlXjAwMDAwMC4gU2Ugdm9jw6ogcmV1bmlyIG11aXRvcyBDcmlzdGFpcywgcG9kZXLDoSB0cm9jw6EtbG9zIHBlbG9zIHJlc3BlY3Rpdm9zIGFjZXNzw7NyaW9zLg==,,W01pbWldICAKU2kgdHJhZXMgXjAwMDBDREZyYWdtZW50b3NeMDAwMDAwIGRlIHNlbnRpbWllbnRvcyBeMDAwMENEYnVlbm9zIG8gbWFsb3NeMDAwMDAwLCBwdWVkbyB0cmFuc2Zvcm1hcmxvcyBlbiBeMDAwMENEQ3Jpc3RhbGVzIGRlbCBQZWNhZG8gbyBkZSBsYSBWaXJ0dWReMDAwMDAwLiBTaSByZcO6bmVzIG11Y2hvcyBDcmlzdGFsZXMsIHBvZHLDoXMgY2FtYmlhcmxvcyBwb3IgbG9zIGFjY2Vzb3Jpb3MgY29ycmVzcG9uZGllbnRlcy4=
qTfVDA,,W01pbmldIApFeGNoYW5nZSBeMDAwMENERnJhZ21lbnQgb2YgU2luXjAwMDAwMCBmb3IgXjAwMDBDREFjY2Vzc29yeSBTdGFpbmVkIHdpdGggU2luXjAwMDAwMC4gUGxlYXNlIHRha2UgYSBsb29rLg==,,,,,W01pbWldIApUcm9jbyBeMDAwMENEQ3JpdGFpcyBkbyBQZWNhZG9eMDAwMDAwIHBvciBeMDAwMENEQWNlc3PDs3Jpb3MgUHJvZmFub3NeMDAwMDAwLiBEw6ogdW1hIG9saGFkYS4=,,W01pbWldICAKQ2FtYmlvIF4wMDAwQ0RDcmlzdGFsZXMgZGVsIFBlY2Fkb14wMDAwMDAgcG9yIF4wMDAwQ0RBY2Nlc29yaW9zIFByb2Zhbm9zXjAwMDAwMC4gw4ljaGFsZXMgdW4gdmlzdGF6by4=
qjfVDA,,W01pbmldIApFeGNoYW5nZSBeMDAwMENERnJhZ21lbnQgb2YgR29vZHdpbGxeMDAwMDAwIGZvciBeMDAwMENEQWNjZXNzb3J5IG9mIFJhZGlhbnQgTGlnaHReMDAwMDAwLiBQbGVhc2UgdGFrZSBhIGxvb2su,,,,,W01pbWldIApUcm9jbyBeMDAwMENEQ3JpdGFpcyBkYSBWaXJ0dWRlXjAwMDAwMCBwb3IgXjAwMDBDREFjZXNzw7NyaW9zIFJhZGlhbnRlc14wMDAwMDAuIETDqiB1bWEgb2xoYWRhLg==,,W01pbWldICAKQ2FtYmlvIF4wMDAwQ0RDcmlzdGFsZXMgZGUgbGEgVmlydHVkXjAwMDAwMCBwb3IgXjAwMDBDREFjY2Vzb3Jpb3MgUmFkaWFudGVzXjAwMDAwMC4gw4ljaGFsZXMgdW4gdmlzdGF6by4=
