YCrSDA,,UnVtaW4=,,,,,UnVtaW4=,,UnVtaW4=
YSrSDA,,W1J1bWluXQpIZWxsby4gSG1tIC4uLi4gV2F0Y2hpbmcgeW91ciBicmlsbGlhbnQgZXhwbG9pdHMgaGFzIGFsd2F5cyBiZWVuIG15IHBsZWFzdXJlLCBidXQgLi4uLiBJIHJlY29tbWVuZCBub3QgY2hhbGxlbmdpbmcgdGhlIHZlcnkgdG9wIG9mIHRoZSB0b3dlci4=,,,,,W1J1bWluXQpPbMOhISBFci4uLiBTZW1wcmUgZm9pIGxlZ2FsIHZlciBzdWFzIGNvbnF1aXN0YXMsIG1hcy4uLiBuw6NvIHJlY29tZW5kbyBwYXNzYXIgZGVzc2UgcG9udG8u,,W1J1bWluXQpIb2xhLiAKSG1tLi4uIApTaWVtcHJlIGhhIHNpZG8gdW4gcGxhY2VyIHBhcmEgbcOtIHZlciB0dXMgYnJpbGxhbnRlcyBoYXphw7Fhcy4uLiAKcGVybyBubyB0ZSByZWNvbWllbmRvIGludGVudGFyIGxsZWdhciBoYXN0YSBsYSBjaW1hIGRlIGxhIHRvcnJlLg==
YirSDA,,W1J1bWluXQpBaCwgd2VsbCwgeW91IHByb2JhYmx5IHdvdWxkbuKAmXQgYmUgYWJsZSB0byBjbGltYiBhbGwgdGhlIHdheSBhbnl3YXkuIEnigJltIGFsd2F5cyBjaGVlcmluZyBmb3IgeW91LCBzbyBkbyB5b3VyIGJlc3Qu,,,,,W1J1bWluXQpBaCwgdm9jw6ogbmVtIGNvbnNlZ3VpcmlhIHN1YmlyIGF0w6kgbyB0b3BvLiBFc3RhcmVpIHNlbXByZSB0b3JjZW5kbyBwb3Igdm9jw6osIGVudMOjbyBjb250aW51ZSBzZSBlc2ZvcsOnYW5kby4=,,W1J1bWluXQpBaCwgYXVucXVlIGRlIHRvZG9zIG1vZG9zIG5vIHBvZHLDrWFzIHN1YmlyIGhhc3RhIGVsIGZpbmFsLiAKU2llbXByZSB0ZSBlc3RhcsOpIGFuaW1hbmRvLCBhc8OtIHF1ZSDDoW5pbW8u
YyrSDA,,XjRENERGRiBUaGVyZSBpcyBhbiBNRCBldmVudCBhdmFpbGFibGUgZm9yIEx2LiAxODAgYW5kIGFib3ZlLiBeMDAwMDAw,,,,,XjRENERGRkluc3TDom5jaWEgcGFyYSBuw612ZWwgYmFzZSAxODAgb3Ugc3VwZXJpb3IuXjAwMDAwMA==,,XjRENERGRiBIYXkgdW4gZXZlbnRvIGRlIE1EIGRpc3BvbmlibGUgYSBwYXJ0aXIgZGVsIG5pdmVsIDE4MC4gXjAwMDAwMA==
ZCrSDA,,W1J1bWluXQpHb2luZyBhZ2Fpbj8gV291bGRu4oCZdCBpdCBiZSBiZXR0ZXIgdG8gZ2V0IHNvbWUgcHJvcGVyIHJlc3Qgbm93PyBPZiBjb3Vyc2UsIEkgdW5kZXJzdGFuZCB5b3VyIHBhc3Npb25hdGUgZGVzaXJlIHRvIGhlbHAgbWUgLi4uLiBidXQgcmVzdGluZyBpcyBpbXBvcnRhbnQgdG9vLg==,,,,,W1J1bWluXQpWYWkgdGVudGFyIGRlIG5vdm8/IE7Do28gYWNoYSBtZWxob3IgZGVzY2Fuc2FyIHVtIHBvdWNvIGFnb3JhPyBDbGFybywgZXUgc2VpIG11aXRvIGJlbSBkbyBzZXUgZW50dXNpYXNtbyBlbSBxdWVyZXIgbWUgYWp1ZGFyLi4uIG1hcyBkZXNjYW5zYXIgdGFtYsOpbSDDqSBpbXBvcnRhbnRlLg==,,W1J1bWluXQrCv1ZhcyBhIGlyIG90cmEgdmV6PyAKwr9ObyBjcmVlcyBxdWUgeWEgc2Vyw61hIGJ1ZW5vIGRlc2NhbnNhciB1biBwb2NvPyAKQ2xhcm8sIHPDqSBiaWVuIHF1ZSB0aWVuZXMgbXVjaGFzIGdhbmFzIGRlIGF5dWRhcm1lLi4uIApwZXJvIGRlc2NhbnNhciB0YW1iacOpbiBlcyBpbXBvcnRhbnRlLg==
ZSrSDA,,W1J1bWluXQpFdmVuIGlmIHlvdSBzYXkgeW91IGRvbuKAmXQgd2FudCB0bywgSeKAmWxsIHN0aWxsIGJlIHdhaXRpbmcgaGVyZSBmb3IgeW91LCBzbyB3aGF04oCZcyB0aGUgaHVycnk/,,,,,W1J1bWluXQpNZXNtbyBxdWUgdm9jw6ogbsOjbyBnb3N0ZSwgZXUgdm91IGNvbnRpbnVhciBlc3BlcmFuZG8gYXF1aSBwb3Igdm9jw6ouIEVudMOjbywgcHJhIHF1w6ogYSBwcmVzc2E/,,W1J1bWluXQpBdW5xdWUgZGlnYXMgcXVlIG5vLCB5byBzZWd1aXLDqSBhcXXDrSBlc3BlcsOhbmRvdGUuIArCv1F1w6kgZXMgbG8gcXVlIHRlIGFwdXJhIHRhbnRvPw==
ZirSDA,,W1J1bWluXQpKdWRnaW5nIGJ5IHlvdXIgZXhwcmVzc2lvbiwgaXQgc2VlbXMgdGhlIGV4cGxvcmF0aW9uIHdlbnQgd2VsbC4gSWYgaXTigJlzIHNvbWV0aGluZyBib3VuZCBvbmx5IHRvIHRoaXMgdG93ZXIsIEnigJltIG5vdCB0b28gd29ycmllZCAuLi4u,,,,,W1J1bWluXQpQZWxhIHN1YSBleHByZXNzw6NvLCBwYXJlY2UgcXVlIG9zIHJlc3VsdGFkb3MgZGEgZXhwbG9yYcOnw6NvIGZvcmFtIGJvbnMuIFNlIGZvciBhcGVuYXMgYWxnbyBwcmVzbyBhIGVzdGEgdG9ycmUsIG7Do28gbWUgcHJlb2N1cG8gdGFudG8gYXNzaW0uLi4=,,W1J1bWluXQpQb3IgdHUgZXhwcmVzacOzbiBwYXJlY2UgcXVlIGxvcyByZXN1bHRhZG9zIGRlIGxhIGV4cGxvcmFjacOzbiBoYW4gc2lkbyBidWVub3MuIApTaSBzZSB0cmF0YSBkZSB1bmEgZXhpc3RlbmNpYSBsaWdhZGEgw7puaWNhbWVudGUgYSBlc3RhIHRvcnJlLCBlbiByZWFsaWRhZCBubyBtZSBwcmVvY3VwYSBkZW1hc2lhZG8uLi4=
ZyrSDA,,W1J1bWluXQpUaGUgb25seSB0aGluZyBJIGNhbiBnaXZlIHlvdSBpcyBzb21lIHZlcnkgbmljZSBleHBlcmllbmNlIHBvaW50cywgYnV0IHRha2UgdGhpcyBhbnl3YXku,,,,,W1J1bWluXQpBIMO6bmljYSBjb2lzYSBxdWUgcG9zc28gdGUgZGFyIMOpIHVtYSBib2EgcXVhbnRpZGFkZSBkZSBleHBlcmnDqm5jaWEuIFBlbG8gbWVub3MgaXNzby4=,,W1J1bWluXQpMbyDDum5pY28gcXVlIHB1ZWRvIGRhcnRlIGVzIHVuYSBtdXkgYnVlbmEgY2FudGlkYWQgZGUgZXhwZXJpZW5jaWEsIHBlcm8gYXVuIGFzw60sIHTDs21hbGEu
aCrSDA,,W1J1bWluXQpDYW4geW91IGZlZWwgaXQ/IFRoZSBmbG93IG9mIG1hZ2ljIGhlcmUgc29tZXRpbWVzIGZlZWxzIGRpZmZlcmVudCB0aGFuIHVzdWFsLiBJIGNhbWUgdG8gaW52ZXN0aWdhdGUgYWZ0ZXIgaGVhcmluZyBpbmZvcm1hdGlvbiB0aGF0IGEgZmFtb3VzIHNlbmlvciBmcm9tIHRoZSBwYXN0IGFwcGVhcnMgaGVyZS4=,,,,,W1J1bWluXQpWb2PDqiBzZW50ZSB1bWEgZW5lcmdpYSBkaWZlcmVudGUgYXF1aT8gUmVjZWJpIGluZm9ybWHDp8O1ZXMgZGUgcXVlIHVtYSBmYW1vc2EgTWVyY2Vuw6FyaWEgZG8gcGFzc2FkbyBhcGFyZWNldSBhcXVpLCBlbnTDo28gdmltIGludmVzdGlnYXIu,,W1J1bWluXQrCv0xvIHNpZW50ZXM/IApFbCBmbHVqbyBkZSBsYSBtYWdpYSBhIHZlY2VzIGVzIGRpc3RpbnRvIGRlIGxvIGhhYml0dWFsLiAKVmluZSBhIGludmVzdGlnYXIgcG9ycXVlIHJlY2liw60gaW5mb3JtYWNpw7NuIGRlIHF1ZSBhcXXDrSBhcGFyZWNlIHVuIGFudGlndW8gbWFlc3RybyBtdXkgZmFtb3NvIGRlIHRpZW1wb3MgcGFzYWRvcy4=
aSrSDA,,W1J1bWluXQpJdCBmZWVscyBhIGxpdHRsZSBkaWZmZXJlbnQgZnJvbSBzaW1wbHkgY2xpbWJpbmcgdGhlIHRvd2VyLiBTb21ldGhpbmcgbGlrZSBhIGJlaW5nIGJvdW5kIHRvIGEgY3ljbGUsIHJlcGVhdGluZyBldmVyeSBtb21lbnQu,,,,,W1J1bWluXQpOw6NvIMOpIGV4YXRhbWVudGUgYSBtZXNtYSBzZW5zYcOnw6NvIGRlIHN1YmlyIGEgdG9ycmUuIFBhcmVjZSBtYWlzIGFsZ28gcHJlc28gZW0gdW0gY2ljbG8sIHJlcGV0aW5kbyBjYWRhIG1vbWVudG8gaW5kZWZpbmlkYW1lbnRlLg==,,W1J1bWluXQpObyBlcyBsbyBtaXNtbyBxdWUgc2ltcGxlbWVudGUgc3ViaXIgbGEgdG9ycmUuIApFcyBjb21vIHNpIGZ1ZXJhIHVuYSBleGlzdGVuY2lhIGF0YWRhIGEgdW4gY2ljbG8sIHJlcGl0aWVuZG8gY2FkYSBtb21lbnRvIHVuYSB5IG90cmEgdmV6Lg==
airSDA,,W1J1bWluXQpFdmVuIHRob3VnaCBpdCBoYXMgYWxyZWFkeSBwYXNzZWQsIGxpbmdlcmluZyB0aG91Z2h0cyB0aGF0IGluaGVyaXRlZCB0aGF0IHdpbGwgYW5kIGNvbnRpbnVlIHRvIGVuZHVyZS4gU29tZXRoaW5nIGxpa2UgdGhhdC4gSWYgeW914oCZcmUgY3VyaW91cywgSeKAmWxsIG9wZW4gdGhlIHdheS4=,,,,,W1J1bWluXQpNZXNtbyBzZW5kbyBhbGdvIGRvIHBhc3NhZG8sIMOpIGNvbW8gc2UgdW0gZnJhZ21lbnRvIGRlIG1lbcOzcmlhIGNvbnRpbnVhc3NlIHJlc2lzdGluZG8uIEFsZ28gYXNzaW0uIFNlIGVzdGl2ZXIgY3VyaW9zaWRhZGUsIHBvc3NvIGFicmlyIG8gY2FtaW5oby4=,,W1J1bWluXQpBdW5xdWUgeWEgaGF5YSBvY3VycmlkbyBlbiBlbCBwYXNhZG8sIHN1IHBlbnNhbWllbnRvIHBhcmVjZSBoYWJlciBoZXJlZGFkbyBlc2Egdm9sdW50YWQgeSBzaWd1ZSByZXNpc3RpZW5kby4gCkFsZ28gYXPDrS4gU2kgdGllbmVzIGN1cmlvc2lkYWQsIGFicmlyw6kgZWwgY2FtaW5vLg==
