wL5SAQ,,QmVyYmF5ZWZm,,,,,QmVyYmF5ZWZm,,QmVyYmF5ZWZm
wb5SAQ,,W0JlcmJheWVmZl0KVGhpcy4uYW5kLi50aGF0Li4gYWxsIGd1eXMKYXJlIGRpc3RydXN0ZnVsLi4uaG1tLi4uCm1ha2UgbWUgYSBicmFnZ2FydC4=,,,,,W0JlcmJheWVmZl0KSXN0by4uLmUuLi50YW1iw6ltLi4uIG7Do28gc2UgcG9kZQpjb25maWFyIGVtIG5pbmd1w6ltLi4uaHVtbS4uLgpFIGV1IHF1ZSBzb3UgbyBmYW5mYXJyw6NvLg==,,W0JlcmJheWVmZl0KRXN0by4ueS4ucXVlLi50b2RvcyBsb3MgdGlvcwpzb24gZGVzY29uZmlhZG9zLi4uaG1tLi4uCm1lIGNvbnZpZXJ0ZSBlbiB1biBmYW5mYXJyw7NuLg==
wr5SAQ,,RG8geW91IGhhdmUgc29tZSBwcm9ibGVtPw==,,,,,QWxndW0gcHJvYmxlbWEgY29tIHZvY8OqPw==,,wr9UaWVuZXMgYWxnw7puIHByb2JsZW1hPw==
w75SAQ,,W0JlcmJheWVmZl0KdW0/IEkgaGF2ZW4ndCBzZWVuIHlvdSwKbWF5YmUgeW91IGFyZSBhIHRyYXZlbGVyIHRvIGFub3RoZXIgcHJvdmluY2U/CklmIHlvdSBhcmUgYSB0cmF2ZWxlciwgaGF2ZSBzZWVuIG1hbnkKbWFydmVsb3VzIHRoaW5ncyB0aHJvdWdoIGhlcmUgYW5kIHRoZXJlPw==,,,,,W0JlcmJheWVmZl0KSHVtbT8gRXUgbsOjbyB2aSB2b2PDqiwKdm9jw6ogZGV2ZSBzZXIgdW0gdmlhamFudGUgcGFyYSBvdXRyYSBwcm92w61uY2lhPwpTZSDDqSB1bSB2aWFqYW50ZSwgdm9jw6ogdml1IG11aXRhcwptYXJhdmlsaGFzIHBvciBhw60gZW0gc3VhcyB2aWFnZW5zPw==,,W0JlcmJheWVmZl0KdW0/IG5vIHRlIGhlIHZpc3RvCsK/cXVpesOhcyBlcmVzIHVuIHZpYWplcm8gYSBvdHJhIHByb3ZpbmNpYT8KU2kgZXJlcyB1biB2aWFqZXJvLCBoYXMgdmlzdG8gbXVjaGFzCmNvc2FzIG1hcmF2aWxsb3NhcyBwb3IgYXF1w60geSBwb3IgYWxsw6E/
xL5SAQ,,W0JlcmJheWVmZl0KR29vZCwgeW91IHdpbGwgcHJvYmFibHkgYmUgaW50ZXJlc3RlZAppbiBteSBzdG9yeSBzdXJlbHkuLgpHdXlzIHdobyBsaXZlIGluIGEgdmlsbGFnZSBhcmUgYWxsIGJsb2NraGVhZGVkCnNvIHRoZXkgdHJlYXQgbWUgYXMgYW4gaWRpb3QuLi4u,,,,,W0JlcmJheWVmZl0KQm9tLCBjb20gY2VydGV6YSB2b2PDqiBuw6NvIGVzdGFyaWEKaW50ZXJlc3NhZG8gZW0gbWluaGEgaGlzdMOzcmlhLi4uCkNhcmFzIHF1ZSB2aXZlbSBlbSB2aWxhcyBzw6NvIHRvZG9zIGVzdMO6cGlkb3MKZW50w6NvIGVsZXMgbWUgdHJhdGFtIGNvbW8gaWRpb3RhLi4u,,W0JlcmJheWVmZl0KQmllbiwgc2VndXJhbWVudGUgbGUgaW50ZXJlc2Fyw6EKZW4gbWkgaGlzdG9yaWEgc2VndXJhbWVudGUuLgpMb3MgY2hpY29zIHF1ZSB2aXZlbiBlbiB1biBwdWVibG8gc29uIHRvZG9zIGlkaW90YXMuLi4KYXPDrSBxdWUgbWUgdHJhdGFuIGNvbW8gYSB1biBpZGlvdGEuLi4u
xb5SAQ,,SSdtIG5vdCBpbnRlcmVzdGVkIGluIHRoYXQgc3Rvcnku,,,,,TsOjbyBxdWVybyBzYWJlciBkZXNzYSBoaXN0w7NyaWEu,,Tm8gbWUgaW50ZXJlc2EgZXNhIGhpc3RvcmlhLg==
xr5SAQ,,VGVsbCBtZS4=,,,,,Q29udGUtbWUgdHVkby4=,,RMOtbWVsby4=
x75SAQ,,W0JlcmJheWVmZl0KSW5kZWVkLi4uIFlvdSBhcmUgbm90IGludGVyZXN0ZWQuLi4KVGhhdCdzIG9rLg==,,,,,W0JlcmJheWVmZl0Kw4kgbWVzbW8uLi4gVm9jw6ogbsOjbyBxdWVyIHNhYmVyLi4uClR1ZG8gYmVtLg==,,W0JlcmJheWVmZl0KRW4gZWZlY3RvLi4uIE5vIGxlIGludGVyZXNhLi4uCk5vIGltcG9ydGEu
yL5SAQ,,W0JlcmJheWVmZl0KSWYgeW91IGNoYW5nZSB5b3VyIG1pbmQsCnlvdSBjYW4gdGFsayB0byBtZSB3aGVuZXZlci4=,,,,,W0JlcmJheWVmZl0KU2Ugdm9jw6ogbXVkYXIgZGUgaWTDqWlhLApwb2RlIGZhbGFyIGNvbWlnbyBxdWFuZG8gcXVpc2VyLg==,,W0JlcmJheWVmZl0KU2kgY2FtYmlhcyBkZSBvcGluacOzbiwKcHVlZGVzIGhhYmxhciBjb25taWdvIGN1YW5kbyBxdWllcmFzLg==
yb5SAQ,,W0JlcmJheWVmZl0KR29vZCwgSSBoYXZlIGJlZW4gdGhpbmtpbmcgdGhhdApJIHdvdWxkIHRlbGwgeW91IHRoaXMgc3RvcnkgZnJvbSB0aGUgZmlyc3QgLg==,,,,,W0JlcmJheWVmZl0KQm9tLCBldSBwZW5zZWkgZW0gY29udGFyIGVzdGEKaGlzdMOzcmlhIHBhcmEgdm9jw6ogZGVzZGUgbyBjb21lw6dvLg==,,W0JlcmJheWVmZl0KQmllbiwgaGUgZXN0YWRvIHBlbnNhbmRvIHF1ZQp0ZSBjb250YXLDrWEgZXN0YSBoaXN0b3JpYSBkZXNkZSBlbCBwcmltZXIgLg==
yr5SAQ,,W0JlcmJheWVmZl0KWW91IHNlZW0gdG8gaGF2ZSBzcGVudCBqdXN0IGEgZmV3IGRheXMKaGVyZSwgaGF2ZSB5b3UgZXZlciBoZWFyZAphYm91dCBNb3ZpbmcgSXNsYW5kPw==,,,,,W0JlcmJheWVmZl0KUGFyZWNlIHF1ZSB2b2PDqiBwYXNzb3Ugc8OzIGFsZ3VucyBkaWFzCmFxdWksIG1hcyBqw6Egb3V2aXUgZmFsYXIKc29icmUgYSBJbGhhIE3Ds3ZlbD8=,,W0JlcmJheWVmZl0KVXN0ZWQgcGFyZWNlIGhhYmVyIHBhc2FkbyBzw7NsbyB1bm9zIHBvY29zIGTDrWFzCmFxdcOtLCDCv2hhIG/DrWRvIGhhYmxhcgpzb2JyZSBNb3ZpbmcgSXNsYW5kPw==
