YNIzDQ,,S2VybGlu,,,,,S2VybGlu,,S2VybGlu
YdIzDQ,,PFBvcGNvcm4gRmVzdGEgQ29tbWl0dGVlPg==,,,,,PENvbWl0w6ogZGEgRmVzdGEgZGEgUGlwb2NhPg==,,PENvbWl0w6kgZGVsIEZlc3RpdmFsIGRlIGxhcyBQYWxvbWl0YXM+
YtIzDQ,,W0tlcmxpbl0KWW91J3JlIGFuIGFkdmVudHVyZXIgd2hvIG5lZWRzIG1vcmUgZXhwZXJpZW5jZS4gSWYgeW91IGNvbWUgYmFjayBhZnRlciBidWlsZGluZyB1cCB5b3VyIHNraWxscyBhIGJpdCBtb3JlLCBJJ2xsIGFzayBmb3IgeW91ciBoZWxwIHRoZW4uIA==,,,,,W0tlcmxpbl0KVm9jw6ogw6kgdW0gdmlhamFudGUgcXVlIHByZWNpc2EgZGUgbWFpcyBleHBlcmnDqm5jaWEuIFNlIHZvY8OqIHZvbHRhciBkZXBvaXMgZGUgYXByaW1vcmFyIHN1YXMgaGFiaWxpZGFkZXMsIHZvdSBwZWRpciBzdWEgYWp1ZGEu,,W0tlcmxpbl0KRXJlcyB1biB0cm90YW11bmRvcyBxdWUgYcO6biBuZWNlc2l0YSBhY3VtdWxhciBtw6FzIGV4cGVyaWVuY2lhLiBTaSByZWdyZXNhcyBjdWFuZG8gaGF5YXMgbWVqb3JhZG8gdHVzIGhhYmlsaWRhZGVzLCB2b3kgYSBwZWRpciB0dSBheXVkYS4=
Y9IzDQ,,LSBFdmVudCBhdmFpbGFibGUgZnJvbSBMZXZlbCAzMC4gLQ==,,,,,LSBFdmVudG8gZGlzcG9uw612ZWwgYSBwYXJ0aXIgZG8gbsOtdmVsIDMwLiAt,,LSBFdmVudG8gZGlzcG9uaWJsZSBhIHBhcnRpciBkZWwgbml2ZWwgMzAuIC0=
ZNIzDQ,,W0tlcmxpbl0KWW91ciBiYWcgaXMgZnVsbC4gVGhlcmUncyBubyByb29tIGZvciB0aGUgXjRENERGRkZlc3RpdmFsIEdpZnReMDAwMDAwLiBQbGVhc2UgZW1wdHkgeW91ciBiYWcgYW5kIGNvbWUgYmFjay4=,,,,,W0tlcmxpbl0KU3VhIG1vY2hpbGEgZXN0w6EgY2hlaWEuIE7Do28gaMOhIGVzcGHDp28gcGFyYSBjb2xvY2FyIG8gXjRENERGRlByZXNlbnRlIGRvIEZlc3RpdmFsXjAwMDAwMC4gRXN2YXppZSBzdWEgbW9jaGlsYSBlIHZvbHRlLg==,,W0tlcmxpbl0KVHUgbW9jaGlsYSBlc3TDoSBsbGVuYS4gTm8gaGF5IGVzcGFjaW8gcGFyYSBwb25lciBlbCBeNEQ0REZGUmVnYWxvIGRlbCBGZXN0aXZhbF4wMDAwMDAuIFZhY8OtYSB0dSBtb2NoaWxhIHkgcmVncmVzYS4=
ZdIzDQ,,LSBZb3VyIGludmVudG9yeSBpcyBmdWxsLiBQbGVhc2UgZW1wdHkgeW91ciBiYWcgYW5kIHRhbGsgdG8gbWUgYWdhaW4uIC0=,,,,,LSBTZXUgaW52ZW50w6FyaW8gZXN0w6EgY2hlaW8uIEVzdmF6aWUgc3VhIG1vY2hpbGEgZSBmYWxlIGNvbWlnbyBkZSBub3ZvLiAt,,LSBUdSBtb2NoaWxhIGVzdMOhIGxsZW5hLiBWYWPDrWFsYSB5IGjDoWJsYW1lIGRlIG51ZXZvLiAt
ZtIzDQ,,W0tlcmxpbl0KR3JlZXRpbmdzLCBBZHZlbnR1cmVyIQpJJ20gXjRENERGRktlcmxpbl4wMDAwMDAsIHRoZSBwZXJzb24gaW4gY2hhcmdlIG9mIHJlZ2lzdHJhdGlvbiBmb3IgdGhpcyB5ZWFyJ3MgUG9wY29ybiBGZXN0YS4=,,,,,W0tlcmxpbl0KU2F1ZGHDp8O1ZXMsIFZpYWphbnRlIQpTb3UgXjRENERGRktlcmxpbl4wMDAwMDAsIGEgcmVzcG9uc8OhdmVsIHBlbGEgaW5zY3Jpw6fDo28gbmEgRmVzdGEgZGEgUGlwb2NhIGRlc3NlIGFuby4=,,W0tlcmxpbl0KwqFTYWx1ZG9zLCBUcm90YW11bmRvcyEKU295IF40RDRERkZLZXJsaW5eMDAwMDAwLCBlbmNhcmdhZGEgZGVsIHJlZ2lzdHJvIGVuIGVsIEZlc3RpdmFsIGRlIGxhcyBQYWxvbWl0YXMgZXN0ZSBhw7FvLg==
Z9IzDQ,,W0tlcmxpbl0KWW91J3ZlIGNvbWUgYXQgdGhlIHBlcmZlY3QgdGltZSB3aGVuIENvbW9kbyBpcyBhdCBpdHMgbW9zdCBzcGxlbmRpZC4=,,,,,W0tlcmxpbl0KVm9jw6ogdmVpbyBleGF0YW1lbnRlIG5hIMOpcG9jYSBlbSBxdWUgQ29tb2RvIGVzdMOhIG1haXMgZXNwbMOqbmRpZGEu,,W0tlcmxpbl0KTGxlZ2FzdGUganVzdG8gZW4gbGEgw6lwb2NhIG3DoXMgZXNwbMOpbmRpZGEgZGUgQ29tb2RvLg==
aNIzDQ,,W0tlcmxpbl0KSG93IGRvIHlvdSBsaWtlIENvbW9kbyBpbiBKdW5lPyBJc24ndCBpdCB0cnVseSBtYWduaWZpY2VudD8=,,,,,W0tlcmxpbl0KTyBxdWUgZXN0w6EgYWNoYW5kbyBkZSBDb21vZG8gZW0ganVuaG8/IE7Do28gw6kgbWFnbsOtZmljYT8=,,W0tlcmxpbl0Kwr9RdcOpIHRhbCBDb21vZG8gZW4ganVuaW8/IMK/Tm8gZXMgaW5jcmXDrWJsZT8=
adIzDQ,,WW91IG1lYW4gdGhpcyBwbGFjZSBpcyBtYWduaWZpY2VudD8=,,,,,RXNzZSBsdWdhciBhcXVpIMOpIG1hZ27DrWZpY28/,,wr9Fc2UgbHVnYXIgZXMgaW5jcmXDrWJsZT8=
atIzDQ,,SXQncyBjcmF6eSBob3QsIGlzbid0IGl0Pw==,,,,,RXN0w6EgdW0gY2Fsb3IgaW5mZXJuYWwsIG7Do28gZXN0w6E/,,SGFjZSB1biBjYWxvciBpbnNvcG9ydGFibGUsIMK/dmVyZGFkPw==
a9IzDQ,,W0tlcmxpbl0KUmlnaHQgbm93Li4uIElzIHRoZSBob3R0ZXN0IHRpbWUgaW4gQ29tb2RvLg==,,,,,W0tlcmxpbl0KQWdvcmEuLi4gw4kgYSDDqXBvY2EgbWFpcyBxdWVudGUgZGUgQ29tb2RvLg==,,W0tlcmxpbl0KQWhvcmEuLi4gRXMgZWwgcGVyw61vZG8gbcOhcyBjYWxpZW50ZSBkZSBDb21vZG8u
bNIzDQ,,W0tlcmxpbl0KSW4gdGhlIHBhc3QsIHdlIHRob3VnaHQgb2YgaXQgYXMgYSBkaXNhc3RlciB0aGF0IENvbW9kbyBnZXRzIHRoaXMgaG90IGV2ZXJ5IEp1bmUgYW5kIGxhdmEgb3ZlcmZsb3dzIGluIHRoZSBWb2xjYW5pYyBJc2xhbmQgb2YgS29yb2RvLg==,,,,,W0tlcmxpbl0KQW50ZXMsIGEgZ2VudGUgcGVuc2F2YSBxdWUgZXJhIHVtIGRlc2FzdHJlIENvbW9kbyBmaWNhciB0w6NvIHF1ZW50ZSB0b2RvIG3DqnMgZGUganVuaG8gZSBhIGxhdmEgdHJhbnNib3JkYXIgbmEgaWxoYSB2dWxjw6JuaWNhIEtvcm9kby4=,,W0tlcmxpbl0KQW50ZXMgcGVuc8OhYmFtb3MgcXVlIGVyYSB1biBkZXNhc3RyZSBxdWUgQ29tb2RvIHNlIGNhbGVudGFyYSB0YW50byBjYWRhIG1lcyBkZSBqdW5pbyB5IHF1ZSBsYSBsYXZhIHNlIGRlc2JvcmRhcmEgZW4gbGEgaXNsYSB2b2xjw6FuaWNhIEtvcm9kby4=
bdIzDQ,,W0tlcmxpbl0KQXQgc29tZSBwb2ludCwgdGhlIHJlc2lkZW50cyBvZiBDb21vZG8gaGVyZSBzdGFydGVkIHRvIG5vdCBhdm9pZCB0aGlzIGFubnVhbCBwaGVub21lbm9uLCBidXQgaW5zdGVhZCBzdGFydGVkIHRvIGVuam95IGl0Lg==,,,,,W0tlcmxpbl0KRW0gYWxndW0gbW9tZW50bywgb3MgbW9yYWRvcmVzIGRlIENvbW9kbyBjb21lw6dhcmFtIGEgbsOjbyBldml0YXIgZXNzZSBmZW7DtG1lbm8gYW51YWwgZSBvIHRyYW5zZm9ybWFyYW0gZW0gZGl2ZXJzw6NvLg==,,W0tlcmxpbl0KRW4gYWxnw7puIG1vbWVudG8sIGxvcyBoYWJpdGFudGVzIGRlIENvbW9kbywgZW4gbHVnYXIgZGUgaHVpciBkZSBlc3RlIGZlbsOzbWVubyBhbnVhbCwgZW1wZXphcm9uIGEgdHJhbnNmb3JtYXJsbyBlbiBkaXZlcnNpw7NuLg==
btIzDQ,,W0tlcmxpbl0KQW5kIHRoZSBldmVudCB0aGF0IG9yaWdpbmF0ZWQgZnJvbSB0aGF0IGlzIHRoZSBeNEQ0REZGUG9wY29ybiBGZXN0YV4wMDAwMDAh,,,,,W0tlcmxpbl0KRSBvIGV2ZW50byBxdWUgb3JpZ2lub3UgZGlzc28gw6kgYSBeNEQ0REZGRmVzdGEgZGEgUGlwb2NhXjAwMDAwMCE=,,W0tlcmxpbl0KwqFZIGVsIGV2ZW50byBxdWUgc3VyZ2nDsyBkZSBlc28gZXMgcHJlY2lzYW1lbnRlIGVsIF40RDRERkZGaWVzdGEgZGUgbGFzIFBhbG9taXRhc14wMDAwMDAh
b9IzDQ,,W0tlcmxpbl0KU28sIGhvdyBhYm91dCByZWdpc3RlcmluZyBmb3IgdGhlIFBvcGNvcm4gRmVzdGE/IElmIHlvdSBkbywgSSdsbCBnaXZlIHlvdSB0aGlzIF40RDRERkZbQ29zdHVtZV0gUG9wcHljb3JuXjAwMDAwMCB0aGF0IEknbSB3ZWFyaW5nIGFzIGEgZ2lmdCE=,,,,,W0tlcmxpbl0KRW50w6NvLCBxdWUgdGFsIHNlIGluc2NyZXZlciBuYSBGZXN0YSBkYSBQaXBvY2E/IFNlIHZvY8OqIG8gZml6ZXIsIHZvdSB0ZSBkYXIgZXNzZSBeNEQ0REZGW1Zpc3VhbF0gUGlwb3F1aW5ob14wMDAwMDAgcXVlIGVzdG91IHZlc3RpbmRvIGRlIHByZXNlbnRlIQ==,,W0tlcmxpbl0KRW50b25jZXMsIMK/bm8gdGUgZ3VzdGFyw61hIHJlZ2lzdHJhcnRlIGVuIGxhIEZpZXN0YSBkZSBsYXMgUGFsb21pdGFzPyBBbCBoYWNlcmxvLCDCoXRlIHZveSBhIHJlZ2FsYXIgZXN0ZSBeNEQ0REZGW0Rpc2ZyYXpdIFBhbG9taXTDrW5eMDAwMDAwIHF1ZSBsbGV2byBwdWVzdG8h
cNIzDQ,,W0tlcmxpbl0KSSBuZWVkIF40RDRERkYxMCBCbGF6aW5nIEJlYWRzXjAwMDAwMCB0byBjcmFmdCBpdC4gSXMgdGhhdCBva2F5Pw==,,,,,W0tlcmxpbl0KUHJlY2lzbyBkZSBeNEQ0REZGMTAgUGlyb2NsYXN0b3NeMDAwMDAwIHBhcmEgZmFicmljw6EtbG8uIFR1ZG8gYmVtPw==,,W0tlcmxpbl0KU2UgbmVjZXNpdGFuIF40RDRERkYxMCBQaXJvY2xhc3Rvc14wMDAwMDAgcGFyYSBmYWJyaWNhcmxvLiDCv0VzdMOhIGJpZW4/
cdIzDQ,,W0tlcmxpbl0KSWYgeW91IGJyaW5nIG1lIDEwIEJsYXppbmcgQmVhZHMsIEknbGwgZ2l2ZSB5b3UgdGhlIGdpZnQgYW5kIHByb2NlZWQgd2l0aCB5b3VyIFBvcGNvcm4gRmVzdGEgcmVnaXN0cmF0aW9uIQ==,,,,,W0tlcmxpbl0KU2Ugdm9jw6ogdHJvdXhlciAxMCBQaXJvY2xhc3Rvcywgdm91IHRlIGRhciBvIHByZXNlbnRlIGUgdGUgaW5zY3JldmVyIG5hIEZlc3RhIGRhIFBpcG9jYSE=,,W0tlcmxpbl0KwqFTaSBtZSB0cmFlcyAxMCBQaXJvY2xhc3RvcywgdGUgdm95IGVudHJlZ2FyIGVsIHJlZ2FsbyB5IGhhY2VyIHR1IHJlZ2lzdHJvIGVuIGxhIEZpZXN0YSBkZSBsYXMgUGFsb21pdGFzIQ==
ctIzDQ,,W0tlcmxpbl0KRG8geW91IHdhbnQgdG8gcHJvY2VlZCB3aXRoIHRoZSBeNEQ0REZGUG9wY29ybiBGZXN0YV4wMDAwMDAgcmVnaXN0cmF0aW9uPw==,,,,,W0tlcmxpbl0KRGVzZWphIHByb3NzZWd1aXIgY29tIGEgaW5zY3Jpw6fDo28gbmEgXjRENERGRkZlc3RhIGRhIFBpcG9jYV4wMDAwMDA/,,W0tlcmxpbl0Kwr9EZXNlYXMgY29udGludWFyIGVsIHJlZ2lzdHJvIGVuIGxhIF40RDRERkZGaWVzdGEgZGUgbGFzIFBhbG9taXRhc14wMDAwMDA/
c9IzDQ,,T2YgY291cnNlLg==,,,,,Q2xhcm8u,,Q2xhcm8u
dNIzDQ,,SG9sZCBvbiwgbGV0IG1lIHRoaW5rIGFib3V0IGl0Lg==,,,,,RXNwZXJhLCBwcmVjaXNvIHBlbnNhciB1bSBwb3Vjby4=,,RXNwZXJhLCBkw6lqYW1lIHBlbnNhcmxvIHVuIHBvY28u
