ICYMDQ,,U21hcnQgRWxseQ==,,,,,QXV0w7RtYXRhIEVsbHk=,,QXN0dXRhIEVsbHk=
ISYMDQ,,WW91IGNhbm5vdCBwcm9jZWVkIHdpdGggdGhlIHF1ZXN0IGJlY2F1c2UgeW91IGFyZSBjYXJyeWluZyB0b28gbWFueSBpdGVtcy4KUGxlYXNlIG9yZ2FuaXplIHlvdXIgaXRlbXMgYW5kIHRyeSBhZ2Fpbi4=,,,,,Vm9jw6ogbsOjbyBwb2RlIHByb3NzZWd1aXIgY29tIGEgbWlzc8OjbyBwb3JxdWUgZXN0w6EgY2FycmVnYW5kbyBpdGVucyBkZW1haXMuClBvciBmYXZvciwgb3JnYW5pemUgc2V1cyBpdGVucyBlIHRlbnRlIG5vdmFtZW50ZS4=,,Tm8gcHVlZGVzIGNvbnRpbnVhciBsYSBtaXNpw7NuIHBvcnF1ZSBsbGV2YXMgZGVtYXNpYWRvcyBvYmpldG9zLgpPcmRlbmEgdHVzIG9iamV0b3MgeSB2dWVsdmUgYSBpbnRlbnRhcmxvLg==
IiYMDQ,,W0VsbHldCkhlbGxvLCBndWVzdC4KSSBhbSBFbGx5LCBpbiBjaGFyZ2Ugb2YgYWlyc2hpcCByb3V0ZSBpbmZvcm1hdGlvbi4KUGxlYXNlIGZlZWwgZnJlZSB0byBjYWxsIG1lIEVsbHku,,,,,W0VsbHldCk9sw6EsIHZpc2l0YW50ZS4KU291IEVsbHksIHJlc3BvbnPDoXZlbCBwZWxhcyBpbmZvcm1hw6fDtWVzIGRlIHJvdGEgZG8gUG9ydG8gZG8gQWVyb3BsYW5vLgpQb2RlIG1lIGNoYW1hciBhcGVuYXMgZGUgRWxseS4=,,W0VsbHldCkhvbGEsIHZpc2l0YW50ZS4KU295IEVsbHksIGVuY2FyZ2FkYSBkZSBsYSBpbmZvcm1hY2nDs24gZGUgcnV0YXMgZGVsIGRpcmlnaWJsZS4KUHVlZGVzIGxsYW1hcm1lIEVsbHksIHNpbiBwcm9ibGVtYS4=
IyYMDQ,,W0VsbHldCkFmdGVyIE1hc3RlciBjbG9zZWQgdGhpcyBwbGFjZSBkb3duLCB0aGVyZSB3YXMgbm8gbmVlZCB0byB1c2UgdGhlIGFpcnNoaXAsIHNvIEkgd29ya2VkIG9uIG90aGVyIHRhc2tzIGZvciBhIHdoaWxlIGFzIHdlbGwuLi4=,,,,,W0VsbHldCkRlcG9pcyBxdWUgbyBtZXN0cmUgZmVjaG91IGVzdGUgbG9jYWwsIG7Do28gaGF2aWEgbWFpcyB1dGlsaWRhZGUgcGFyYSBvIGFlcm9wbGFubywgcG9yIGlzc28gdHJhYmFsaGVpIGVtIG91dHJhcyBhdGl2aWRhZGVzIHBvciB1bSB0ZW1wby4uLg==,,W0VsbHldCkRlc3B1w6lzIGRlIHF1ZSBtaSBhbW8gY2VycmFyYSBlc3RlIGx1Z2FyLCBubyBodWJvIG5lY2VzaWRhZCBkZSB1c2FyIGVsIGRpcmlnaWJsZSwgYXPDrSBxdWUgeW8gdGFtYmnDqW4gbWUgZGVkaXF1w6kgYSBvdHJhcyB0YXJlYXMgZHVyYW50ZSB1biB0aWVtcG8uLi4=
JCYMDQ,,W0VsbHldCk5vdyBJIGhhdmUgcmV0dXJuZWQgYXQgQWxwaGEncyByZXF1ZXN0LgpQbGVhc2UgbGVhdmUgYWxsIG1hdHRlcnMgcmVsYXRlZCB0byB0aGUgYWlyc2hpcCB0byBtZSwgRWxseS4=,,,,,W0VsbHldCkFnb3JhIHJldG9ybmVpIGEgcGVkaWRvIGRlIEFscGhhLgpBc3N1bnRvcyByZWxhY2lvbmFkb3MgYW8gYWVyb3BsYW5vIHBvZGVtIHNlciByZXNvbHZpZG9zIGNvbWlnbywgRWxseS4=,,W0VsbHldCkFob3JhIGhlIHJlZ3Jlc2FkbyBwb3IgcGV0aWNpw7NuIGRlIEFscGhhLgpEw6lqYW1lIGEgbcOtLCBFbGx5LCB0b2RvIGxvIHJlbGFjaW9uYWRvIGNvbiBlbCBkaXJpZ2libGUu
JSYMDQ,,W0VsbHldClRvIHRoaW5rIEkgd291bGQgcmV0dXJuIGJlY2F1c2Ugb2YgdGhlIHVucHJlY2VkZW50ZWQgaW5jaWRlbnQgb2YgYW4gYWlyc2hpcCB0aGVmdC4uLiBJdCBmZWVscyBhcyB0aG91Z2ggbXkgY29yZSBpcyBzcGlubmluZyA3MjAgZGVncmVlcy4=,,,,,W0VsbHldCkphbWFpcyBpbWFnaW5laSBxdWUgcmV0b3JuYXJpYSBwb3IgY29udGEgZG8gcm91Ym8gZG8gYWVyb3BsYW5vLiBTaW50byBjb21vIHNlIG1ldSBuw7pjbGVvIHRpdmVzc2UgZ2lyYWRvIDcyMCBncmF1cy4=,,W0VsbHldCkphbcOhcyBoYWJyw61hIGltYWdpbmFkbyBxdWUgdm9sdmVyw61hIGFsIHNlcnZpY2lvIHBvciB1biBjYXNvIHNpbiBwcmVjZWRlbnRlcyBjb21vIGVsIHJvYm8gZGUgdW4gZGlyaWdpYmxlLiBTaWVudG8gY29tbyBzaSBtaSBuw7pjbGVvIGdpcmFyYSA3MjAgZ3JhZG9zLg==
JiYMDQ,,VGhhdCBpcyBhIGZpZ3VyYXRpdmUgZXhwcmVzc2lvbi4=,,,,,SXNzbyBmb2kgdW1hICdnw61yaWEnLg==,,RXMgdW5hIGV4cHJlc2nDs24gZmlndXJhZGEu
JyYMDQ,,W0VsbHldCkluIGFueSBjYXNlLCB0aG9zZSB3aG8gc2VydmUgYXMgdGhlIGhlYWRzIG9mIHRoZSBtYW5zaW9uJ3MgJ2ludHJ1ZGVycycgYXJiaXRyYXJpbHkgbW92ZWQgb3VyIE1hc3RlcidzIENvbGxlY3Rpb24gTm8uIDMgLi4uLgpBbmQgSSB3YXMgY2FsbGVkIGJhY2sgdG8gdGhpcyBwb3NpdGlvbiB3aGVyZSByZXN0IHRpbWUgaXMgbm90IGd1YXJhbnRlZWQu,,,,,W0VsbHldCkRlIHF1YWxxdWVyIGZvcm1hLCBhcXVlbGVzIGNvbnNpZGVyYWRvcyBsw61kZXJlcyBkb3MgJ2ludmFzb3JlcycgbW92ZXJhbSBhcmJpdHJhcmlhbWVudGUgYSBDb2xlw6fDo28gbsK6IDMgZG8gbm9zc28gbWVzdHJlLi4uCkUgZXUgZnVpIGNoYW1hZGEgZGUgdm9sdGEgYSBlc3RlIHBvc3RvIGVtIHF1ZSBuw6NvIGjDoSBkZXNjYW5zby4=,,W0VsbHldCkVuIGN1YWxxdWllciBjYXNvLCBsb3MgY2FiZWNpbGxhcyBkZSBsb3MgJ2ludHJ1c29zJyBkZSBsYSBtYW5zacOzbiBwdXNpZXJvbiBlbiBtYXJjaGEgcG9yIHN1IGN1ZW50YSBsYSBjb2xlY2Npw7NuIG7Dum1lcm8gMyBkZSBtaSBhbW8uLi4uClkgYSBtw60gbWUgbGxhbWFyb24gb3RyYSB2ZXogYSBlc3RlIHB1ZXN0bywgZG9uZGUgbm8gc2UgZ2FyYW50aXphIHRpZW1wbyBkZSBkZXNjYW5zby4=
KCYMDQ,,W0VsbHldCkFmdGVyIHJlY2VpdmluZyB0aGUgcmVwb3J0IG9uIHRoZSBpbmNpZGVudCwgSSBoYXZlIGJlZW4gdHJhY2luZyB0aGUgcHJvamVjdGVkIHJvdXRlIHVwIHRvIG5vdy4KSG93ZXZlciwgdHJhY2tpbmcgaXMgbm90IGVhc3kgYmVjYXVzZSBOby4gMydzIG1haW4gc3lzdGVtIGlzIG9wZXJhdGluZyBpbiBhIGNvbXBsZXRlbHkgc2VwYXJhdGVkIHN0YXRlLg==,,,,,W0VsbHldCkFww7NzIHJlY2ViZXIgbyByZWxhdMOzcmlvIGRvIGluY2lkZW50ZSwgZXN0aXZlIHJhc3RyZWFuZG8gYXMgcm90YXMgcHJvamV0YWRhcyBhdMOpIGFnb3JhLgpDb250dWRvLCBjb21vIG8gc2lzdGVtYSBwcmluY2lwYWwgZGEgbsK6IDMgZXN0w6Egb3BlcmFuZG8gZGUgZm9ybWEgaW5kZXBlbmRlbnRlLCBvIHJhc3RyZWFtZW50byBuw6NvIGVzdMOhIHNlbmRvIGbDoWNpbC4=,,W0VsbHldClRyYXMgcmVjaWJpciBlbCBpbmZvcm1lIGRlbCBpbmNpZGVudGUsIGhlIGVzdGFkbyByYXN0cmVhbmRvIGxhIHJ1dGEgZXN0aW1hZGEgaGFzdGEgYWhvcmEuClNpbiBlbWJhcmdvLCBubyBlcyBmw6FjaWwgc2VndWlybGUgbGEgcGlzdGEsIHlhIHF1ZSBlbCBzaXN0ZW1hIHByaW5jaXBhbCBkZSBsYSB1bmlkYWQgMyBlc3TDoSBmdW5jaW9uYW5kbyBjb21wbGV0YW1lbnRlIHNlcGFyYWRvLg==
KSYMDQ,,W0VsbHldCkl0IGlzIGhpZ2hseSBsaWtlbHksIHdpdGggYSBwcm9iYWJpbGl0eSBjbG9zZSB0byA5OS45JSwgdGhhdCB0aGUgbGVhZGVycyBvZiB0aGUgJ2ludHJ1ZGVycycgd2hvbSB0aGUgJ2d1ZXN0JyBjYWxscyAnSWxsdXNpb24nIHJlbW9kZWxlZCBpdCBhcyB0aGV5IHBsZWFzZWQu,,,,,W0VsbHldCkjDoSA5OSw5JSBkZSBjaGFuY2UgZGUgcXVlIG8gbMOtZGVyIGRhIElsdXNpw7NuIHRlbmhhIG1vZGlmaWNhZG8gYXJiaXRyYXJpYW1lbnRlIG8gc2lzdGVtYS4=,,W0VsbHldClBhcmVjZSBxdWUgZXhpc3RlIHVuYSBwcm9iYWJpbGlkYWQgY2VyY2FuYSBhbCA5OSw5ICUgZGUgcXVlIGxvcyBjYWJlY2lsbGFzIGRlIGxvcyAnaW50cnVzb3MnLCBhIHF1aWVuZXMgdXN0ZWQgbGxhbWEgJ0lsbHVzaW9uJywgbGEgaGF5YW4gbW9kaWZpY2FkbyBhIHN1IGFudG9qby4=
KiYMDQ,,W0VsbHldCkhhdmUgeW91IGFycml2ZWQsICdndWVzdCc/,,,,,W0VsbHldCkEgY29tYW5kYW50ZSBjaGVnb3U/,,W0VsbHldCsK/SGEgdmVuaWRvLCAndmlzaXRhbnRlJz8=
