oFO5Ag,,Q2xlcmlj,,,,,UGFkcmU=,,Q2zDqXJpY28=
oVO5Ag,,W0ZhdGhlciBNYXJldXNpc10KU2luY2UgdGhpcyBpcyBhIHJlcXVlc3QgZnJvbSB0aGUgRWRlbiBncm91cCwgaXQgd291bGQgYmUgYSBnb29kIGlkZWEgdG8gcGFydGljaXBhdGUgY29uc2lkZXJpbmcgdGhlIGpvdXJuZXkgYWhlYWQu,,,,,W1BhZHJlIE5lY3J1c10KQ29tbyBlc3NhIMOpIHVtYSBzb2xpY2l0YcOnw6NvIGRvIEdydXBvIGRvIMOJZGVuLCBzZXJpYSB1bWEgYm9hIGlkZWlhIHBhcnRpY2lwYXIsIGNvbnNpZGVyYW5kbyBhIGpvcm5hZGEgcXVlIHRlbW9zIHBlbGEgZnJlbnRlLg==,,W1BhZHJlIE1hcmV1c2lzXQpZYSBxdWUgc2UgdHJhdGEgZGUgdW5hIHNvbGljaXR1ZCBkZWwgR3J1cG8gZGVsIEVkw6luLCBzZXLDrWEgY29udmVuaWVudGUgcGFydGljaXBhciB0ZW5pZW5kbyBlbiBjdWVudGEgZWwgdmlhamUgcXVlIG5vcyBkZXBhcmEu
olO5Ag,,W0ZhdGhlciBNYXJldXNpc10KUGxlYXNlIGhlYWQgdG8gIF40RDRERkZDcmlhdHVyYSBBY2FkZW15XjAwMDAwMCBpbiBJemx1ZGUuCkRvbid0IGZvcmdldC4=,,,,,W1BhZHJlIE5lY3J1c10KUG9yIGZhdm9yLCBkaXJpamEtc2Ugw6BeNEQ0REZGQWNhZGVtaWEgQ3JpYXR1cmFeMDAwMDAwIGVtIEl6bHVkZS4KTsOjbyBzZSBlc3F1ZcOnYS4=,,W1BhZHJlIE1hcmV1c2lzXQpQb3IgZmF2b3IsIHZlIGEgbGEgXjRENERGRkFjYWRlbWlhIGRlIGNyaWF0dXJhc14wMDAwMDAgZW4gSXpsdWRlLgpObyBsbyBvbHZpZGVzLg==
o1O5Ag,,UGxlYXNlIHNlbmQgbWUgdGhlcmUu,,,,,UG9yIGZhdm9yLCBtZSBtYW5kZSBwYXJhIGzDoS4=,,UG9yIGZhdm9yLCBlbnbDrWFtZSBhbGzDrS4=
pFO5Ag,,Q2FuY2VsLg==,,,,,Q2FuY2VsYXI=,,Q2FuY2VsYXIu
pVO5Ag,,W0ZhdGhlciBNYXJldXNpc10KR29vZC4KSSB3aWxsIHNlbmQgeW91IHRvIEl6bHVkZS4=,,,,,W1BhZHJlIE5lY3J1c10Kw5N0aW1vLgpFdSBtYW5kYXJlaSB2b2PDqiBwYXJhIEl6bHVkZS4=,,W1BhZHJlIE1hcmV1c2lzXQpCaWVuLgpUZSBlbnZpYXLDqSBhIEl6bHVkZS4=
plO5Ag,,W0ZhdGhlciBNYXJldXNpc10KTWF5IHRoZSBMb3JkIGJlIHdpdGggeW91Lg==,,,,,W1BhZHJlIE5lY3J1c10KUXVlIG8gU2VuaG9yIGVzdGVqYSBjb20gdm9jw6ou,,W1BhZHJlIE1hcmV1c2lzXQpRdWUgRGlvcyBlc3TDqSBjb250aWdvLg==
p1O5Ag,,W0ZhdGhlciBNYXJldXNpc10KQWgsIEkgc2Vuc2UgeW91IGhhdmUgZW5kdXJlZCBhIHBhc3QgbGlmZSBleHBlcmllbmNlLiAKWW91IG11c3QgaGF2ZSBsZWFybmVkIG1hbnkgdGhpbmdzIGJlZm9yZSBlbnRlcmluZyBWYWxoYWxsYS4=,,,,,W1BhZHJlIE5lY3J1c10KRGVwb2lzIGRlIG11aXRvIHRlbXBvLCB2b2PDqiB2b2x0YSBhIGVzdGUgbHVnYXIuClZvY8OqIHRlbSBvdXZpZG8sIHZpc3RvIGUgZXhwZXJpbWVudGFkbyBtdWl0YXMgY29pc2FzLg==,,W1BhZHJlIE1hcmV1c2lzXQpBaCwgc2llbnRvIHF1ZSBzdWZyaXN0ZSB1bmEgZXhwZXJpZW5jaWEgZGUgdHUgdmlkYSBwYXNhZGEuIApEZWJlcyBoYWJlciBhcHJlbmRpZG8gbXVjaGFzIGNvc2FzIGFudGVzIGRlIGVudHJhciBlbiBlbCBWYWxoYWxsYS4=
qFO5Ag,,XjRENERGRiBZb3UgY2FuIHN1bW1vbiBhIHNlcnZpY2UgTlBDIGZvciBqb2IgY2hhbmdlLgpeNEQ0REZGIEJvb3N0ZXIgcHJvbW90aW9uIGVsaWdpYmxlIHBsYXllcnMgY2FuIGNoYW5nZSBqb2JzIHRocm91Z2ggdGhlIGpvYiBjaGFuZ2UgYWdlbnQuXjAwMDAwMA==,,,,,XjRENERGRlZvY8OqIHBvZGUgaW52b2NhciBvIE9maWNpYWwgZGUgTXVkYW7Dp2EgZGUgQ2xhc3NlLgpQZXJzb25hZ2VucyBwYXJ0aWNpcGFudGVzIGRvIEV2ZW50byBkZSBBcG9pbyBkZSBFdm9sdcOnw6NvIHBvZGVtIG11ZGFyIGRlIGNsYXNzZSBhdHJhdsOpcyBkbyBPZmljaWFsLl4wMDAwMDA=,,XjRENERGRlB1ZWRlcyBpbnZvY2FyIGFsIE9maWNpYWwgZGUgQ2FtYmlvIGRlIENsYXNlLgpMb3MgcGVyc29uYWplcyBxdWUgcGFydGljaXBlbiBlbiBlbCBFdmVudG8gZGUgQXBveW8gZGUgRXZvbHVjacOzbiBwdWVkZW4gY2FtYmlhciBkZSBjbGFzZSBhIHRyYXbDqXMgZGVsIE9maWNpYWwuXjAwMDAwMA==
qVO5Ag,,U3VtbW9uIGEgam9iIGNoYW5nZSBhZ2VudCBmb3Igam9iIGNoYW5nZS4=,,,,,SW52b2NhciBPZmljaWFsIGRlIE11ZGFuw6dhIGRlIENsYXNzZQ==,,SW52b2NhciBPZmljaWFsIGRlIENhbWJpbyBkZSBDbGFzZQ==
qlO5Ag,,RGVjbGluZS4=,,,,,SWdub3Jhcg==,,SWdub3Jhcg==
q1O5Ag,,W0ZhdGhlciBNYXJldXNpc10KTm93LCB2ZW50dXJlIGZvcnRoIGFuZCBzZWVrIHRob3NlIHdobyBuZWVkIHlvdXIgaGVscC4KTWF5IEdvZCBsaWdodCB5b3VyIHBhdGgu,,,,,W1BhZHJlIE5lY3J1c10KQWdvcmEsIGF2ZW50dXJlLXNlIGUgYnVzcXVlIGFxdWVsZXMgcXVlIHByZWNpc2FtIGRlIHN1YSBhanVkYS4KUXVlIERldXMgaWx1bWluZSBzZXUgY2FtaW5oby4=,,W1BhZHJlIE1hcmV1c2lzXQpBaG9yYSBhdmVudMO6cmF0ZSB5IGJ1c2NhIGEgcXVpZW5lcyBuZWNlc2l0YW4gdHUgYXl1ZGEuClF1ZSBsb3MgZGlvc2VzIGlsdW1pbmVuIHR1IGNhbWluby4=
rFO5Ag,,W0ZhdGhlciBNYXJldXNpc10KUGxlYXNlIGdldCBvZmYgb2YgdGhhdCBjcmVhdHVyZQp5b3UncmUgcmlkaW5nIG9uCnRoZW4gY29tZSB0byBmaW5kIG1lIGFnYWluLi4u,,,,,W1BhZHJlIE5lY3J1c10KUG9yIGZhdm9yLApzYWlhIGRhIHN1YSBtb250YXJpYQplIHZlbmhhIG1lIGVuY29udHJhciBub3ZhbWVudGUuLi4=,,W1BhZHJlIE1hcmV1c2lzXQpQb3IgZmF2b3IsIGJhamEgZGUgZXNhIGNyaWF0dXJhCmVuIGxhIHF1ZSBtb250YXMKeSBsdWVnbyB2ZW4gYSBidXNjYXJtZSBkZSBudWV2by4uLg==
