gBo7DA,,QmFuayBUZWxsZXI=,,,,,QXRlbmRlbnRlIGRvIEJhbmNv,,RW1wbGVhZG8gZGVsIEJhbmNv
gRo7DA,,W0JhbmsgVGVsbGVyXQpXZWxjb21lLgpUaGlzIGlzIHRoZSBSb2NrcmlkZ2UgYnJhbmNoIG9mIEdDIEJhbmsuIEhvdyBjYW4gSSBoZWxwIHlvdT8=,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KQm9hcyB2aW5kYXMuCkVzdGEgw6kgYSBhZ8OqbmNpYSBSb2NrcmlkZ2UgZG8gQmFuY28gR0MuIEVtIHF1ZSBwb3NzbyBhanVkYXI/,,W0VtcGxlYWRvIGRlbCBCYW5jb10KQmllbnZlbmlkby4KRXN0YSBlcyBsYSBzdWN1cnNhbCBSb2NrcmlkZ2UgZGVsIEJhbmNvIEdDLiDCv0VuIHF1w6kgcHVlZG8gYXl1ZGFybGU/
gho7DA,,Q2hlY2sgbXkgYWNjb3VudC4=,,,,,VmVyaWZpY2FyIG1pbmhhIGNvbnRhLg==,,UmV2aXNhciBtaSBjdWVudGEu
gxo7DA,,U2lnbiB1cCBmb3IgYW4gaW52ZXN0bWVudCBwcm9kdWN0Lg==,,,,,Q29udHJhdGFyIHVtIHByb2R1dG8gZGUgaW52ZXN0aW1lbnRvLg==,,Q29udHJhdGFyIHVuIHByb2R1Y3RvIGRlIGludmVyc2nDs24u
hBo7DA,,R0MgQmFuaz8=,,,,,QmFuY28gR0M/,,wr9CYW5jbyBHQz8=
hRo7DA,,SnVzdCBzdG9wcGVkIGJ5Lg==,,,,,U8OzIGVzdG91IHBhc3NhbmRvLg==,,U8OzbG8gcGFzYWJhIHBvciBhcXXDrS4=
hho7DA,,W0JhbmsgVGVsbGVyXQpZb3UgYXJlIHswfSwgY29ycmVjdD8=,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KVm9jw6ogw6kgezB9LCBjb3JyZXRvPw==,,W0VtcGxlYWRvIGRlbCBCYW5jb10KVXN0ZWQgZXMgezB9LCDCv3ZlcmRhZD8=
hxo7DA,,W0JhbmsgVGVsbGVyXQpJdCdzIG5vdCBhbiBhY2NvdW50IHdpdGggdXMsIGJ1dCB0aGVyZSBpcyBhbiBhY2NvdW50IG9wZW5lZCB1bmRlciB0aGUgbmFtZSB7MH0uIEkgY2FuIGFzc2lzdCB5b3Uu,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KTsOjbyDDqSB1bWEgY29udGEgY29ub3NjbywgbWFzIGV4aXN0ZSB1bWEgY29udGEgYWJlcnRhIG5vIG5vbWUgZGUgezB9LiBQb3NzbyB0ZSBhanVkYXIu,,W0VtcGxlYWRvIGRlbCBCYW5jb10KTm8gZXMgdW5hIGN1ZW50YSBjb24gbm9zb3Ryb3MsIHBlcm8gZXhpc3RlIHVuYSBjdWVudGEgYWJpZXJ0YSBiYWpvIGVsIG5vbWJyZSBkZSB7MH0uIExlIHB1ZWRvIGF5dWRhci4=
iBo7DA,,W0JhbmsgVGVsbGVyXQpJJ20gc29ycnkuCkFjY29yZGluZyB0byBoZWFkIG9mZmljZSBwb2xpY3ksIHdlIGRvIG5vdCBzZWxsIGludmVzdG1lbnQgcHJvZHVjdHMgdG8gaW5kaXZpZHVhbCBjdXN0b21lcnMu,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KU2ludG8gbXVpdG8uCkRlIGFjb3JkbyBjb20gYXMgcG9sw610aWNhcyBkYSBtYXRyaXosIG7Do28gdmVuZGVtb3MgcHJvZHV0b3MgZGUgaW52ZXN0aW1lbnRvIHBhcmEgY2xpZW50ZXMgaW5kaXZpZHVhaXMu,,W0VtcGxlYWRvIGRlbCBCYW5jb10KTG8gc2llbnRvLgpTZWfDum4gbGFzIHBvbMOtdGljYXMgZGUgbGEgbWF0cml6LCBubyB2ZW5kZW1vcyBwcm9kdWN0b3MgZGUgaW52ZXJzacOzbiBhIGNsaWVudGVzIGluZGl2aWR1YWxlcy4=
iRo7DA,,W0JhbmsgVGVsbGVyXQpHQyBCYW5rLCB5b3UgYXNrPwpXZWxsLCBzaW5jZSBvdXIgYnJhYWFhYWFhbmNoZXMgYXJlIG5vd2hlcmUgdG8gYmUgZm91bmQsIEkgc3VwcG9zZSBtYW55IHBlb3BsZSB3b3VsZG4ndCBrbm93IGFib3V0IHVzLg==,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KQmFuY28gR0MsIHZvY8OqIHBlcmd1bnRhPwpCZW0sIGNvbW8gbm9zc2FzIGFnw6rDqsOqw6puY2lhcyBuw6NvIGVzdMOjbyBlbSBsdWdhciBuZW5odW0sIHN1cG9uaG8gcXVlIG11aXRhcyBwZXNzb2FzIG7Do28gbm9zIGNvbmhlw6dhbS4=,,W0VtcGxlYWRvIGRlbCBCYW5jb10Kwr9FbCBCYW5jbyBHQywgZGljZT8KQnVlbm8sIGNvbW8gbnVlc3RyYXMgc3V1dXV1dWN1cnNhbGVzIG5vIHNlIGVuY3VlbnRyYW4gcG9yIG5pbmfDum4gbGFkbywgc3Vwb25nbyBxdWUgbXVjaGEgZ2VudGUgbm8gbm9zIGNvbm9jZS4=
iho7DA,,W0JhbmsgVGVsbGVyXQpZb3UgY291bGQgc2F5IG91ciBtYWluIGJ1c2luZXNzIGlzIGRlYWxpbmcgd2l0aCBjb3Jwb3JhdGlvbnMu,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KUG9kZS1zZSBkaXplciBxdWUgbm9zc28gcHJpbmNpcGFsIG5lZ8OzY2lvIMOpIGxpZGFyIGNvbSBlbXByZXNhcy4=,,W0VtcGxlYWRvIGRlbCBCYW5jb10KU2UgcG9kcsOtYSBkZWNpciBxdWUgbnVlc3RybyBuZWdvY2lvIHByaW5jaXBhbCBlcyB0cmF0YXIgY29uIGVtcHJlc2FzLg==
ixo7DA,,W0JhbmsgVGVsbGVyXQpPZiBjb3Vyc2UsIHdlIGRvIGFzc2lzdCBpbmRpdmlkdWFsIGN1c3RvbWVycyB3aXRoIGFjY291bnQgaW5xdWlyaWVzLCBidXQgdWx0aW1hdGVseSwgYSBiYW5rIG5lZWRzIHRvIGRvIGJ1c2luZXNzIHdpdGggY29tcGFuaWVzIHRvIG1ha2UgbW9uZXku,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KQ2xhcm8sIGFqdWRhbW9zIGNsaWVudGVzIGluZGl2aWR1YWlzIGNvbSBjb25zdWx0YXMgZGUgY29udGEsIG1hcyBubyBmaW5hbCwgdW0gYmFuY28gcHJlY2lzYSBmYXplciBuZWfDs2Npb3MgY29tIGVtcHJlc2FzIHBhcmEgZ2FuaGFyIGRpbmhlaXJvLg==,,W0VtcGxlYWRvIGRlbCBCYW5jb10KUG9yIHN1cHVlc3RvLCBheXVkYW1vcyBhIGNsaWVudGVzIGluZGl2aWR1YWxlcyBjb24gY29uc3VsdGFzIGRlIGN1ZW50YSwgcGVybyBhbCBmaW5hbCwgdW4gYmFuY28gbmVjZXNpdGEgaGFjZXIgbmVnb2Npb3MgY29uIGVtcHJlc2FzIHBhcmEgZ2FuYXIgZGluZXJvLg==
jBo7DA,,W0JhbmsgVGVsbGVyXQpKdXN0IHNvbWUgdHJpdmlhLCBidXQgdGhleSBzYXkgdGhlIGZvdW5kZXIgb2YgR0MgQmFuayBsaWtlZCBnb2xkIGNvaW5zIHNvIG11Y2ggdGhhdCBoZSBuYW1lZCB0aGUgYmFuayBHQywgc2hvcnQgZm9yIEdvbGQgQ29pbi4=,,,,,W0F0ZW5kZW50ZSBkbyBCYW5jb10KU8OzIHVtYSBjdXJpb3NpZGFkZSwgbWFzIGRpemVtIHF1ZSBvIGZ1bmRhZG9yIGRvIEJhbmNvIEdDIGdvc3RhdmEgdGFudG8gZGUgbW9lZGFzIGRlIG91cm8gcXVlIGJhdGl6b3UgbyBiYW5jbyBkZSBHQywgYWJyZXZpYcOnw6NvIGRlIEdvbGQgQ29pbiAoTW9lZGEgZGUgT3Vybyku,,W0VtcGxlYWRvIGRlbCBCYW5jb10KU8OzbG8gdW4gZGF0byBjdXJpb3NvLCBwZXJvIGRpY2VuIHF1ZSBhbCBmdW5kYWRvciBkZWwgQmFuY28gR0MgbGUgZ3VzdGFiYW4gdGFudG8gbGFzIG1vbmVkYXMgZGUgb3JvIHF1ZSBsbGFtw7MgYWwgYmFuY28gR0MsIHBvciBHb2xkIENvaW4gKE1vbmVkYSBkZSBPcm8pLg==
