oNiIAw,,QXZyaWw=,,,,,RmVsw61jaWE=,,QWJyaWw=
odiIAw,,W0F2cmlsXQpQbGVhc2UgbWFrZSBzb21lIHNwYWNlIGluIHlvdXIgaW52ZW50b3J5IGJlZm9yZSBhY2NlcHRpbmcgdGhlIHF1ZXN0Lg==,,,,,W0ZlbMOtY2lhXQpQb3IgZmF2b3IsIGVzdmF6aWUgc2V1IGludmVudMOhcmlvIHByaW1laXJvLg==,,W0F2cmlsXQpIYXogbHVnYXIgZW4gZWwgaW52ZW50YXJpbyBhbnRlcyBkZSBhY2VwdGFyIGxhIG1pc2nDs24u
otiIAw,,W0F2cmlsXQpBcmUgeW91IGhlcmUgaW4gY29ubmVjdGlvbiB3aXRoIGEgcXVlc3Q/ClRoZW4gcGxlYXNlIGpvaW4gdGhlIEVkZW4gR3JvdXAgZmlyc3Qu,,,,,W0ZlbMOtY2lhXQpWb2PDqiBxdWVyIHVtYSBtaXNzw6NvPwpFbnTDo28sIHBvciBmYXZvciwganVudGUtc2UgYW8gR3J1cG8gZG8gw4lkZW4gcHJpbWVpcm8u,,W0F2cmlsXQrCv1ZpbmlzdGUgZW4gcmVsYWNpw7NuIGNvbiB1bmEgbWlzacOzbj8KRW50b25jZXMsIHByaW1lcm8gw7puZXRlIGFsIEdydXBvIGRlbCBFZMOpbi4=
o9iIAw,,W0F2cmlsXQpNeSBxdWVzdCBpcyBzdGlsbCB0b28gY2hhbGxlbmdpbmcgZm9yIHlvdSwgYWR2ZW50dXJlci4KS25vd2luZyB5b3VyIGxpbWl0YXRpb25zIGlzIGFsc28gYW4gaW1wb3J0YW50IHNraWxsLiBJIGFwcHJlY2lhdGUgeW91ciBvZmZlciwgYnV0IEkgY2Fubm90IGFjY2VwdCB5b3VyIGhlbHAsIGFkdmVudHVyZXIu,,,,,W0ZlbMOtY2lhXQpNaW5oYXMgc29saWNpdGHDp8O1ZXMgc8OjbyBwZXNhZGFzIGRlbWFpcyBwYXJhIHZvY8OqLgpUZW50ZSB0cmVpbmFyIHVtIHBvdWNvIG1haXMu,,W0F2cmlsXQpFc3RhIG1pc2nDs24gYcO6biBlcyBkZW1hc2lhZG8gZGVzYWZpYW50ZSBwYXJhIHRpLCB0cm90YW11bmRvcy4KVGFtYmnDqW4gZXMgaW1wb3J0YW50ZSBjb25vY2VyIG51ZXN0cm9zIGzDrW1pdGVzLiBBZ3JhZGV6Y28gbGEgb2ZlcnRhLCBwZXJvIG5vIHB1ZWRvIGFjZXB0YXIgdHUgYXl1ZGEsIHRyb3RhbXVuZG9zLg==
pNiIAw,,IC0gVGhpcyBxdWVzdCBpcyBmb3IgTGV2ZWwgMTEwIGFuZCB1cC4gLSA=,,,,,LSBFc3NhIG1pc3PDo28gw6kgcGFyYSBwZXJzb25hZ2VucyBkZSBuw612ZWwgMTEwIG91IHN1cGVyaW9yIC0=,,IC1Fc3RhIG1pc2nDs24gcmVxdWllcmUgYWwgbWVub3Mgbml2ZWwxMTAuLSA=
pdiIAw,,W0F2cmlsXQpJIHNlZSB0aGF0IHlvdSBwaWNrZWQgdGhlIHF1ZXN0IGZyb20gdGhlIEVkZW4gR3JvdXAgbWlzc2lvbiBib2FyZC4KUGxlYXNlIHJldHVybiB0aGlzIHF1ZXN0IHRvIHRoZSBFZGVuIEdyb3VwIG1pc3Npb24gYm9hcmQu,,,,,W0ZlbMOtY2lhXQpWb2PDqiBhY2VpdG91IGEgc29saWNpdGHDp8OjbyBubyBHcnVwbyBkbyDDiWRlbi4KUG9yIGZhdm9yLCByZXBvcnRlIGEgbWlzc8OjbyBubyBxdWFkcm8gZGUgbMOhLg==,,W0F2cmlsXQpWZW8gcXVlIHRvbWFzdGUgbGEgbWlzacOzbiBkZWwgdGFibGVybyBkZWwgR3J1cG8gZGVsIEVkw6luLgpEZXZ1ZWx2ZSBlc3RhIG1pc2nDs24gYWwgdGFibGVybyBkZWwgR3J1cG8gZGVsIEVkw6luLg==
ptiIAw,,W0F2cmlsXQpJdCBoYXNuJ3QgYmVlbiBsb25nIHNpbmNlIHlvdSBsYXN0IGNvbXBsZXRlZCBhIHJlcXVlc3QgZm9yIG1lLgpFZGVuIEdyb3VwIHF1ZXN0cyBhcmUgbWFuYWdlZCBvbiBhIGRhaWx5IGJhc2lzLiBJZiB5b3Ugd2FudCB0byB0YWtlIHVwIGEgZGlmZmVyZW50IHF1ZXN0LCBwbGVhc2UgY29tZSBiYWNrIHRvbW9ycm93Lg==,,,,,W0ZlbMOtY2lhXQpWb2PDqiBqw6EgZW50cmVnb3UgYSBtaXNzw6NvIG5vIEdydXBvIGRvIMOJZGVuLgpBcyBzb2xpY2l0YcOnw7VlcyBzw6NvIGZlaXRhcyBkaWFyaWFtZW50ZSwgZW50w6NvIHZvbHRlIGFtYW5ow6Mu,,W0F2cmlsXQpIYWNlIG11eSBwb2NvIHF1ZSBjb21wbGV0YXN0ZSBvdHJhIHNvbGljaXR1ZCBwYXJhIG3DrS4KTGFzIG1pc2lvbmVzIGRlbCBHcnVwbyBkZWwgRWTDqW4gc29uIGRpYXJpYXMuIFNpIHF1aWVyZXMgYWNlcHRhciB1bmEgbWlzacOzbiBkaWZlcmVudGUsIHJlZ3Jlc2EgbWHDsWFuYS4=
p9iIAw,,W0F2cmlsXQpIb3cgYXJlIHlvdT8gSSdtIGluIGNoYXJnZSBvZiBFZGVuIEdyb3VwIG1vbnN0ZXIgcmFpZHMuCkkgYXNzaWduIG1vbnN0ZXIgcmFpZCBxdWVzdHMgZm9yIFRoYW5hdG9zIFRvd2VyIExvd2VyIExldmVsLg==,,,,,W0ZlbMOtY2lhXQpGdWkgY29udHJhdGFkYSBwZWxvIEdydXBvIGRvIMOJZGVuIHBhcmEgZWxpbWluYXIgbW9uc3Ryb3MuCk9zIG1vbnN0cm9zIHJlcXVpc2l0YWRvcyBzw6NvIGRvcyBhbmRhcmVzIG1haXMgYmFpeG9zLg==,,W0F2cmlsXQrCv0PDs21vIGVzdMOhcz8gRXN0b3kgYSBjYXJnbyBkZSBsb3MgYXNhbHRvcyBhIG1vbnN0cnVvcyBkZWwgR3J1cG8gZGVsIEVkw6luLgpBc2lnbm8gbGFzIG1pc2lvbmVzIGRlIGFzYWx0byBhIG1vbnN0cnVvcyBkZSBsb3Mgbml2ZWxlcyBpbmZlcmlvcmVzIGRlIGxhIFRvcnJlIGRlIFRoYW5hdG9zLg==
qNiIAw,,W1RhcnRdCkktSSBhbSByZXNwb25zaWJsZSBmb3IgYXNzaWduaW5nIHF1ZXN0cyBmb3IgdGhlIFVwcGVyIExldmVsISBJZiB5b3Ugd2FudCB0byByZWNlaXZlIHF1ZXN0cyBmb3IgdGhlIFVwcGVyIExldmVsLCB5b3UgbWF5IHNwZWFrIHRvIG1lIQ==,,,,,W1RhbGl0YV0KRSBzZSB2b2PDqiBxdWlzZXIgZWxpbWluYXIgbW9uc3Ryb3MgZGUgYW5kYXJlcyBzdXBlcmlvcmVzLCBzw7MgZmFsYXIgY29taWdvIQ==,,W1RhcnRdCsKhUy1zb3kgcmVzcG9uc2FibGUgZGUgYXNpZ25hciBsYXMgbWlzaW9uZXMgZGUgbG9zIG5pdmVsZXMgc3VwZXJpb3JlcyEgU2kgcXVpZXJlcyByZWNpYmlyIG1pc2lvbmVzIGRlIGxvcyBuaXZlbGVzIHN1cGVyaW9yZXMsIMKhZGViZXMgaGFibGFyIGNvbm1pZ28h
qdiIAw,,W0F2cmlsXQpZZXMuIFlvdSBjYW4gYXNrIFRhcnQgaGVyZSBmb3IgdGhlIFVwcGVyIExldmVsIHF1ZXN0cy4KU28gd291bGQgeW91IGxpa2UgdG8gdGFrZSB1cCBhIHF1ZXN0Pw==,,,,,W0ZlbMOtY2lhXQpJc3NvLCBhIFRhbGl0YSBmaWNhIGVuY2FycmVnYWRhIGRvcyBvdXRyb3MgYW5kYXJlcy4KRW50w6NvLCB2b2PDqiBnb3N0YXJpYSBkZSBpbmljaWFyIGEgbWlzc8Ojbz8=,,W0F2cmlsXQpTw60uIFB1ZWRlcyBwcmVndW50YXJsZSBhIFRhcnQgc29icmUgbGFzIG1pc2lvbmVzIGRlIGxvcyBuaXZlbGVzIHN1cGVyaW9yZXMuCsK/UXVpc2llcmFzIGFjZXB0YXIgdW5hIG1pc2nDs24/
qtiIAw,,T2theSwgSSdsbCB0YWtlIGl0Lg==,,,,,VmFtb3MgY29tZcOnYXIu,,QnVlbm8sIGxhIGFjZXB0YXLDqS4=
