oK/fBw,,VHdpdHk=,,,,,U2liaWxh,,U2lsYmlkYQ==
oa/fBw,,W1R3aXR5XQpUaGlzIHBsYWNlIGlzIGZ1bGwgb2YgZGFuZ2Vyb3VzIGl0ZW1zLiBQbGVhc2UgdXNlIGl0IGFnYWluIHdoZW4geW91IGFyZSBzdHJvbmcgZW5vdWdoIHRvIHByb3RlY3QgeW91cnNlbGYu,,,,,W1NpYmlsYV0KRXN0ZSDDqSB1bSBsb2NhbCBjb20gbXVpdG9zIG1hdGVyaWFpcyBwZXJpZ29zb3MuIFZlbmhhIHF1YW5kbyB0aXZlciBmb3LDp2Egc3VmaWNpZW50ZSBwYXJhIHNlIHByb3RlZ2VyLg==,,W1NpbGJpZGFdCkVzdGUgbHVnYXIgZXN0w6EgbGxlbm8gZGUgb2JqZXRvcyBwZWxpZ3Jvc29zLiBQb3IgZmF2b3IsIHZ1ZWx2YSBhIHV0aWxpemFybG8gY3VhbmRvIHNlYSBjYXBheiBkZSBwcm90ZWdlcnNlLg==
oq/fBw,,LSBUaGlzIHF1ZXN0IGNhbiBiZSB1bmRlcnRha2VuIHN0YXJ0aW5nIGZyb20gbGV2ZWwgMTYwLiAt,,,,,LSBNaXNzw6NvIGRpc3BvbsOtdmVsIGEgcGFydGlyIGRvIG7DrXZlbCAxNjAuIC0=,,LSBFc3RhIG1pc2nDs24gc2UgcHVlZGUgcmVhbGl6YXIgYSBwYXJ0aXIgZGVsIG5pdmVsIDE2MC4gLQ==
o6/fBw,,WW91IGNhbm5vdCBjb250aW51ZSB0aGUgY29udmVyc2F0aW9uIGJlY2F1c2UgeW91IGFyZSBjYXJyeWluZyB0b28gbWFueSBpdGVtcy4KUGxlYXNlIG9yZ2FuaXplIHlvdXIgaXRlbXMgYW5kIHRyeSBhZ2Fpbi4=,,,,,TsOjbyDDqSBwb3Nzw612ZWwgcHJvc3NlZ3VpciBjb20gbyBkacOhbG9nbyBwb3JxdWUgdm9jw6ogZXN0w6EgY2FycmVnYW5kbyBpdGVucyBkZW1haXMuCk9yZ2FuaXplIHNldXMgaXRlbnMgZSB0ZW50ZSBub3ZhbWVudGUu,,Tm8gc2UgcHVlZGUgY29udGludWFyIGxhIGNvbnZlcnNhY2nDs24gcG9ycXVlIGxsZXZhcyBkZW1hc2lhZG9zIG9iamV0b3MuClBvciBmYXZvciwgb3JnYW5pemEgdHVzIG9iamV0b3MgZSBpbnTDqW50YWxvIGRlIG51ZXZvLg==
pK/fBw,,W1R3aXR5XQpXaGF0IGluIHRoZSB3b3JsZCBpcyB0aGlzIG1lc3M/IEhvdyBkaWQgeW91IGdldCBpbiBoZXJlIGFuZCBkbyB0aGlzPyBZb3UgbG90IGRvbuKAmXQgZXZlbiBoYXZlIGEga2V5Lg==,,,,,W1NpYmlsYV0KTWFzIHF1ZSBjb25mdXPDo28gw6kgZXNzYT8gQ29tbyBjb25zZWd1aXUgZW50cmFyIHNlbSBzZXF1ZXIgdGVyIHVtYSBjaGF2ZT8=,,W1NpbGJpZGFdCsK/UXXDqSBkZW1vbmlvcyBlcyBlc3RlIGRlc2FzdHJlPyDCv0PDs21vIGhhbiBlbnRyYWRvIGhhc3RhIGFxdcOtIHBhcmEgaGFjZXIgZXN0bz8gTmkgc2lxdWllcmEgdGllbmVuIGxsYXZlLg==
pa/fBw,,V2hhdCBpcyB0aGlzIHBsYWNlPw==,,,,,UXVlIGx1Z2FyIMOpIGVzc2U/,,wr9RdcOpIGNsYXNlIGRlIGx1Z2FyIGVzIGVzdGU/
pq/fBw,,SXQgZmVlbHMgbGlrZSB3ZeKAmWxsIGdldCBkcmFnZ2VkIGludG8gc29tZXRoaW5nIHRyb3VibGVzb21lLCBzbyBsZXTigJlzIGdvIGJhY2su,,,,,RXUgdm91IGVtYm9yYS4=,,UGFyZWNlIHF1ZSBtZSB2b3kgYSB2ZXIgZW52dWVsdG8gZW4gYWxnbyBtb2xlc3RvLCBhc8OtIHF1ZSB2b2x2YW1vcy4=
p6/fBw,,W1R3aXR5XQpTdGlsbCwgd2hhdCBzaG91bGQgSSBkbyBhYm91dCB0aGlzPw==,,,,,W1NpYmlsYV0KTWFzIGFnb3JhLCBvIHF1ZSBmYXplci4uLg==,,W1NpbGJpZGFdCkVuIGZpbi4uLiDCv3F1w6kgc2Ugc3Vwb25lIHF1ZSBoYWdhIGNvbiBlc3RvPw==
qK/fBw,,W1R3aXR5XQpBIGh1bWFuPwpBbmQuLi4gYSBndWVzdD8=,,,,,W1NpYmlsYV0KSMOjPwpWb2PDqiDDqS4uLiBub3NzbyBow7NzcGVkZT8=,,W1NpbGJpZGFdCsK/VW4gaHVtYW5vPwpZIGFkZW3DoXMuLi4gwr91biBpbnZpdGFkbz8=
qa/fBw,,W1R3aXR5XQpDb3VsZCB5b3Ugbm90IGJlYXIgdG8gd2FpdCBhbmQgY2FtZSBpbiBwZXJzb24gdG8gZmluZCB0aGUgbWFuc2lvbuKAmXMgYmx1ZXByaW50PyBJZiB5b3Ugd2FpdGVkLCBJIHdvdWxkIGhhdmUgYnJvdWdodCBpdCB0byB5b3UuIEkgcmVjYWxsIGhlYXJpbmcgdGhhdCBodW1hbnMgbGFjayBwYXRpZW5jZS4=,,,,,W1NpYmlsYV0KTsOjbyBhZ3VlbnRvdSBlc3BlcmFyIGUgdmVpbyBwZXNzb2FsbWVudGUgYnVzY2FyIGEgcGxhbnRhLWJhaXhhIGRhIG1hbnPDo28/IEV1IHRlcmlhIHRyYXppZG8gc2Ugdm9jw6ogZXNwZXJhc3NlLiBEaXplbSBxdWUgb3MgaHVtYW5vcyBzw6NvIGltcGFjaWVudGVzIG1lc21vLg==,,W1NpbGJpZGFdCsK/Tm8gcHVkbyBlc3BlcmFyIHkgdmlubyBlbiBwZXJzb25hIGEgYnVzY2FyIGxvcyBwbGFub3MgZGUgbGEgbWFuc2nDs24/IFNpIHNlIGh1YmllcmEgcXVlZGFkbyBlc3BlcmFuZG8sIHNlIGxvcyBoYWJyw61hbiB0cmHDrWRvLiBSZWN1ZXJkbyBoYWJlciBvw61kbyBxdWUgbG9zIGh1bWFub3MgY2FyZWNlbiBkZSBwYWNpZW5jaWEu
qq/fBw,,W1R3aXR5XQpUaGlzIGlzIHRoZSBzZWNvbmQgd2FyZWhvdXNlIG9mIHRoZSBWYXJtdW50IG1hbnNpb24u,,,,,W1NpYmlsYV0KRXN0ZSDDqSBvIEFybWF6w6ltIGRhIG1hbnPDo28gVmFybXVudC4=,,W1NpbGJpZGFdCkVzdGUgZXMgZWwgc2VndW5kbyBhbG1hY8OpbiBkZSBsYSBtYW5zacOzbiBkZSBWYXJtdW50Lg==
q6/fBw,,QSB3YXJlaG91c2UuLi4/,,,,,QXJtYXrDqW0uLi4/,,wr9BbG1hY8Opbi4uLj8=
