wLUVAQ,,TmVtbWE=,,,,,TmVtbWE=,,TmVtbWE=
wbUVAQ,,W1ByaWVzdGVzcyBOZW1tYV0KSGVsbG8sIHRyYXZlbGVyLgpXaGF0IGJyaW5ncyB5b3UgdG8gdGhlIHRlbXBsZT8=,,,,,W05vdmnDp2EgTmVtbWFdCk9sw6EsIHZpYWphbnRlLgpPIHF1ZSBvIHRyYXogYW8gdGVtcGxvPw==,,W1NhY2VyZG90ZSBOZW1tYV0KSG9sYSwgdmlhamVyby4Kwr9RdcOpIGxlIHRyYWUgYWwgdGVtcGxvPw==
wrUVAQ,,SSdtIGhlcmUgZm9yIHNpZ2h0c2VlaW5nLg==,,,,,VmltIHBhc3NlYXIu,,SGUgdmVuaWRvIGRlIHZpc2l0YS4=
w7UVAQ,,SSB3YW50IHRvIG9mZmVyIHdvcnNoaXAgdG8gdGhlIGRlaXR5Li4u,,,,,RGVzZWpvIHByZXN0YXIgY3VsdG8gYSBEZXVzLi4u,,RGVzZW8gZWxldmFyIHVuYSBvcmFjacOzbiBhbCBkaW9zLi4u
xLUVAQ,,W1ByaWVzdGVzcyBOZW1tYV0KRm9yZWlnbiB2aXNpdG9ycyB3aG8gYXJlIG5vdCBhY2N1c3RvbWVkIHdpdGggR29kcyBvZnRlbiBjb21lIHRvIHRlbXBsZXMgZm9yIHNpZ2h0c2VlaW5nLg==,,,,,W05vdmnDp2EgTmVtbWFdCkFzIHBlc3NvYXMgZXN0cmFuZ2VpcmFzLCBwYXJhIHF1ZW0gdW1hIHZpZGEgY29tIG9zIGRldXNlcyBuw6NvIMOpIGFsZ28gY29tdW0sIGNvc3R1bWFtIHZpciBhbyB0ZW1wbG8gY29tbyBwYXNzZWlvLg==,,W1NhY2VyZG90ZSBOZW1tYV0KTG9zIGV4dHJhbmplcm9zLCBwYXJhIHF1aWVuZXMgdW5hIHZpZGEganVudG8gYSBsb3MgZGlvc2VzIG5vIGVzIGFsZ28gaGFiaXR1YWwsIHN1ZWxlbiB2ZW5pciBhbCB0ZW1wbG8gcG9yIHR1cmlzbW8u
xbUVAQ,,W1ByaWVzdGVzcyBOZW1tYV0KT2gsIGl0IHNlZW1zIHlvdSBoYXZlIGdvb2QgbWFubmVycywgdHJhdmVsZXIuCkdvb2QgdGhpbmcsIHRvbywgYmVjYXVzZSBpdCdzIGFsbW9zdCB0aW1lIGZvciB0aGUgZmVzdGl2YWwgcHJlc2lkZWQgb3ZlciBieSB0aGUgdGVtcGxlLCBhbmQgdGhlIHRlbXBsZSBoZXJlIGluIFNlc3NydW1uaXIgaXMgYWNjZXB0aW5nIGRvbmF0aW9ucyBmb3IgdGhlIGZlc3RpdmFsLg==,,,,,W05vdmnDp2EgTmVtbWFdCk9yYSwgdmlhamFudGUsIHZvY8OqIMOpIG11aXRvIGVkdWNhZG8uClF1ZSBib20sIGZhbHRhbSBwb3Vjb3MgZGlhcyBwYXJhIG8gZmVzdGl2YWwgb3JnYW5pemFkbyBwZWxvIHRlbXBsby4gQXF1aSwgbm8gdGVtcGxvIFNlc3NydW1uaXIsIGVzdGFtb3MgcmVjZWJlbmRvIGRvYcOnw7VlcyBwYXJhIG8gZmVzdGl2YWwu,,W1NhY2VyZG90ZSBOZW1tYV0KVmF5YSwgdmlhamVybywgcXXDqSBlZHVjYWRvIGVzIHVzdGVkLgpRdcOpIGJpZW4sIHBvcnF1ZSBkZW50cm8gZGUgcG9jbyBzZSBjZWxlYnJhcsOhIHVuIGZlc3RpdmFsIG9yZ2FuaXphZG8gcG9yIGVsIHRlbXBsby4gQXF1w60sIGVuIGVsIHRlbXBsbyBTZXNzcnVtbmlyLCBlc3RhbW9zIGFjZXB0YW5kbyBkb25hdGl2b3MgcGFyYSBlbCBmZXN0aXZhbC4=
xrUVAQ,,W1ByaWVzdGVzcyBOZW1tYV0KU2luY2UgaXQncyBhIGZlc3RpdmFsIGRlZGljYXRlZCB0byB0aGUgZGVpdHksIHRoZSBtb3JlIHlvdSBjb250cmlidXRlLCB0aGUgYmV0dGVyLCBidXQuLi4gaXQncyBub3QgbWFuZGF0b3J5IQpJdCdzIHRoZSB0aG91Z2h0IHRoYXQgbWF0dGVycy4=,,,,,W05vdmnDp2EgTmVtbWFdCkrDoSBxdWUgw6kgdW0gZmVzdGl2YWwgb2ZlcmVjaWRvIGEgRGV1cywgY2xhcm8gcXVlIHF1YW50byBtYWlzIGRvYXJlbSwgbWVsaG9yLi4uIG1hcyBuw6NvIMOpIHVtYSBvYnJpZ2HDp8OjbyEKTyBxdWUgaW1wb3J0YSDDqSBvIGNvcmHDp8Ojby4=,,W1NhY2VyZG90ZSBOZW1tYV0KWWEgcXVlIGVzIHVuIGZlc3RpdmFsIG9mcmVjaWRvIGFsIGRpb3MsIGN1YW50byBtw6FzIGRvbmVuLCBtZWpvciwgcGVyby4uLiDCoW5vIGVzIG9ibGlnYXRvcmlvIQpMbyBpbXBvcnRhbnRlIGVzIGxhIGludGVuY2nDs24u
x7UVAQ,,W1ByaWVzdGVzcyBOZW1tYV0KRG9uYXRpb25zIGFyZSBwYXJ0IG9mIHRoZSBmZXN0aXZpdGllcywgc28sIHVtLiBJIGtub3cgdGhlIEhpZ2ggUHJpZXN0IGlzIHVzdWFsbHkgYWdhaW5zdCB0aGlzIGtpbmQgb2YgdGhpbmcsIGJ1dCB3ZSdyZSBnaXZpbmcgb3V0IHJhZmZsZSB0aWNrZXRzIHBlciBhY2NvdW50IQ==,,,,,W05vdmnDp2EgTmVtbWFdCkEgZG9hw6fDo28gdGFtYsOpbSBmYXogcGFydGUgZG8gZmVzdGl2YWwsIGVudMOjbywgaHVtLi4gZW1ib3JhIGhhamEgdW0gQXJjZWJpc3BvIHF1ZSBvcmlnaW5hbG1lbnRlIGZvc3NlIGNvbnRyYSBlc3NlIHRpcG8gZGUgY29pc2EsIG7Ds3MgZGlzdHJpYnXDrW1vcyBiaWxoZXRlcyBkZSBzb3J0ZWlvIHBvciBjb3RhIQ==,,W1NhY2VyZG90ZSBOZW1tYV0KQ29tbyBlbCBkb25hdGl2byB0YW1iacOpbiBmb3JtYSBwYXJ0ZSBkZWwgZmVzdGl2YWwsIG1tLi4gYXVucXVlIGhhYsOtYSBncmFuZGVzIHNhY2VyZG90ZXMgcXVlIG9yaWdpbmFsbWVudGUgc2Ugb3BvbsOtYW4gYSBlc3RvLCDCoWVudHJlZ2Ftb3MgdW4gYm9sZXRvIGRlIHNvcnRlbyBwb3IgY2FkYSBwYXJ0aWNpcGFjacOzbiE=
yLUVAQ,,W1ByaWVzdGVzcyBOZW1tYV0KV2UndmUgdGFrZW4gb3V0IHNvbWUgXjAwMDBGRmdvb2QgaXRlbXNeMDAwMDAwIGZyb20gdGhlIHRlbXBsZSB3YXJlaG91c2UsIGFuZCB3ZSdyZSBnaXZpbmcgdGhlbSBhcyBnaWZ0cyB0byB0aG9zZSB3aG8gbWFrZSBkb25hdGlvbnMuIFdlJ3JlIG5vdCBzdXJlIGV4YWN0bHkgd2hhdCdzIGdvb2QsIHNvIHdlJ3JlIGp1c3QgZ2l2aW5nIHdoYXRldmVyIGNvbWVzIHRvIGhhbmQu,,,,,W05vdmnDp2EgTmVtbWFdClJldGlyYW1vcyBkYSBhcm1hemVuYWdlbSBkbyB0ZW1wbG8gXjAwMDBGRmFsZ3VtYXMgY29pc2FzIGJvYXNeMDAwMDAwIGUgYXMgZGFtb3MgZGUgcHJlc2VudGUgw6BzIHBlc3NvYXMgcXVlIGZhemVtIGRvYcOnw7Vlcy4gTyBxdWUgZXhhdGFtZW50ZSDDqSBib20sIG7Ds3MgbsOjbyBzYWJlbW9zIG11aXRvIGJlbSwgZW50w6NvIHPDsyBlbnRyZWdhbW9zIG8gcXVlIHZpZXIgw6AgbcOjby4=,,W1NhY2VyZG90ZSBOZW1tYV0KSGVtb3Mgc2FjYWRvIF4wMDAwRkZhbGd1bmFzIGNvc2FzIGJ1ZW5hc14wMDAwMDAgZGVsIGFsbWFjw6luIGRlbCB0ZW1wbG8geSBsYXMgcmVnYWxhbW9zIGEgcXVpZW5lcyBoYWNlbiBkb25hdGl2b3MuIE5vIHNhYmVtb3MgZXhhY3RhbWVudGUgcXXDqSB0aWVuZW4gZGUgYnVlbm8sIGFzw60gcXVlIHNvbG8gZGFtb3MgbG8gcXVlIG5vcyB0b2NhIGVuIG1hbm8u
ybUVAQ,,W1ByaWVzdGVzcyBOZW1tYV0KV2lsbCB5b3UgbWFrZSBhIGRvbmF0aW9uPw==,,,,,W05vdmnDp2EgTmVtbWFdCkdvc3RhcmlhIGRlIGZhemVyIHVtYSBkb2HDp8Ojbz8=,,W1NhY2VyZG90ZSBOZW1tYV0Kwr9EZXNlYSBoYWNlciB1biBkb25hdGl2bz8=
yrUVAQ,,7JWE64eoLg==,,,,,TsOjby4=,,Tm8u
