wAj/BQ,7YyU7YyM64+E6528,UGFscGFkb3Jh,,,,,UGFwb3VsYQ==,,UGFwb2xh
wQj/BQ,7YyU7YyM64+E6528IDog7YGwIOupnOuhoCDsu6jthYzsiqTtirjsl5Ag7LC47Jes7ZWY7IS47JqUfiDrqYvsp4Qg7IOB7ZKI7J20IOq4sOuLpOumrOqzoCDsnojsirXri4jri6Qh,UGFscGFkb3JhOiBKb2luIHRoZSBCaWcgTWVsb24gQ29udGVzdCEgV29uZGVyZnVsIHByaXplcyBhd2FpdCB5b3Uh,,,,,UGFwb3VsYTogUGFydGljaXBlIGRvIENvbmN1cnNvIGRvIE1lbMOjb34gUHLDqm1pb3MgaW5jcsOtdmVpcyBlc3TDo28gZXNwZXJhbmRvIHBvciB2b2PDqiE=,,UGFwb2xhOiDCoVBhcnRpY2lwYSBlbiBlbCBDb25jdXJzbyBkZWwgR3JhbiBNZWzDs25+IFRlIGVzcGVyYW4gcHJlbWlvcyBpbmNyZcOtYmxlcyE=
wgj/BQ,POupnOuhoCDstpXsoJw+,PE1lbG9uIEZlc3RpdmFsPg==,,,,,PEZlc3RpdmFsIGRvIE1lbMOjbz4=,,PEZlc3RpdmFsIGRlbCBNZWzDs24+
wwj/BQ,LSDshozsp4DtlZjqs6Ag6rOE7IugIOyVhOydtO2FnOydtCDrp47slYQg7YCY7Iqk7Yq466W8IOynhO2Wie2VoCDsiJgg7JeG7Iq164uI64ukLiAt,LSBZb3UgaGF2ZSB0b28gbWFueSBpdGVtcyBpbiB5b3VyIHBvc3Nlc3Npb24gYW5kIGNhbm5vdCBwcm9jZWVkIHdpdGggdGhlIHF1ZXN0LiAt,,,,,LSBWb2PDqiBlc3TDoSBjb20gbXVpdG9zIGl0ZW5zIGUgbsOjbyBwb2RlIHByb3NzZWd1aXIgY29tIGEgbWlzc8Ojby4gLQ==,,LSBUaWVuZXMgZGVtYXNpYWRvcyBvYmpldG9zIHkgbm8gcHVlZGVzIGNvbnRpbnVhciBjb24gbGEgbWlzacOzbi4gLQ==
xAj/BQ,W+2MlO2MjOuPhOudvF0K65iQIOyYpOyFqOq1sOyalCEK7Jy87J2MLCDsmKTripgg7J2066+4IOywuOyXrO2VmOyFqOyjoD8K7Jik64qY7J2AIOuNlOydtOyDgSDquLDroZ0g6rWQ7LK064qUCu2VoCDsiJgg7JeG7KeA66eMLCDsg4Htkogg6rWQ7ZmY7J2ACuygkeyImO2VmOqzoCDsnojri7Xri4jri6Qu,W1BhbHBhZG9yYV0KWW91J3JlIGJhY2shCkhtbSwgeW91J3ZlIGFscmVhZHkgcGFydGljaXBhdGVkIHRvZGF5LCBoYXZlbid0IHlvdT8KWW91IGNhbid0IGNoYW5nZSB5b3VyIHJlY29yZCBhZ2FpbiB0b2RheSwKYnV0IEkgYW0gYWNjZXB0aW5nIHByaXplIGV4Y2hhbmdlcy4=,,,,,W1BhcG91bGFdClZvY8OqIHZvbHRvdSEKSG1tLCB2b2PDqiBqw6EgcGFydGljaXBvdSBob2plLCBuw6NvIGZvaT8KTsOjbyDDqSBtYWlzIHBvc3PDrXZlbCB0cm9jYXIgbyByZWNvcmRlIGhvamUsCm1hcyBlc3RvdSBhY2VpdGFuZG8gdHJvY2FzIGRlIHByw6ptaW9zLg==,,W1BhcG9sYV0KwqFIYXMgdnVlbHRvIQpNbW0sIHlhIHBhcnRpY2lwYXN0ZSBob3ksIMK/bm8/CllhIG5vIHB1ZWRlcyBjYW1iaWFyIHR1IHLDqWNvcmQgcG9yIGhveSwKcGVybyBzw60gZXN0b3kgYWNlcHRhbmRvIGludGVyY2FtYmlvcyBkZSBwcmVtaW9zLg==
xQj/BQ,W+2MlO2MjOuPhOudvF0K7YGwIOupnOuhoCDsu6jthYzsiqTtirjsl5AK64+E7KCE7ZWY7Iuc6rKg7Ja07JqUPwrssLjqsIDruYTripQgXjRENERGRuyImOyDge2VnCDrqZzroaAgMeqwnF4wMDAwMDDsnoXri4jri6Qu,W1BhbHBhZG9yYV0KV291bGQgeW91IGxpa2UgdG8gY2hhbGxlbmdlCnRoZSBCaWcgTWVsb24gQ29udGVzdD8KVGhlIGVudHJ5IGZlZSBpcyBeNEQ0REZGMSBTdXNwaWNpb3VzIE1lbG9uXjAwMDAwMC4=,,,,,W1BhcG91bGFdCkdvc3RhcmlhIGRlIGRlc2FmaWFyCm8gQ29uY3Vyc28gZG8gTWVsw6NvPwpBIHRheGEgZGUgaW5zY3Jpw6fDo28gw6kgXjRENERGRjEgTWVsw6NvIFN1c3BlaXRvXjAwMDAwMC4=,,W1BhcG9sYV0Kwr9UZSBndXN0YXLDrWEgcGFydGljaXBhcgplbiBlbCBDb25jdXJzbyBkZWwgR3JhbiBNZWzDs24/CkxhIGN1b3RhIGRlIGluc2NyaXBjacOzbiBlcyBeNEQ0REZGMSBNZWzDs24gU29zcGVjaG9zb14wMDAwMDAu
xgj/BQ,6re4656Y64+EIOuPhOyghO2VnOuLpC4=,Q2hhbGxlbmdlIGFueXdheS4=,,,,,RGVzYWZpYXIgbWVzbW8gYXNzaW0u,,UGFydGljaXBhciBhdW4gYXPDrS4=
xwj/BQ,64us7L2k7J20IOy9lOyduOydhCDqsr3tkojqs7wg6rWQ7ZmY7ZWc64ukLg==,RXhjaGFuZ2UgU3dlZXQgQ29pbnMgZm9yIHByaXplcy4=,,,,,VHJvY2FyIE1lbG9lZGFzIHBvciBwcsOqbWlvcy4=,,Q2FtYmlhciBNb25lZGFzIER1bGNlcyBwb3IgcHJlbWlvcy4=
yAj/BQ,64uk7J2M7JeQIOyYqOuLpC4=,Q29tZSBiYWNrIGxhdGVyLg==,,,,,Vm9sdGFyIGRlcG9pcy4=,,Vm9sdmVyIGRlc3B1w6lzLg==
yQj/BQ,7ZiE7J6sIOy1nOqzoOq4sOuhneydhCDtmZXsnbjtlZzri6Qu,Q2hlY2sgY3VycmVudCBoaWdoIHNjb3JlLg==,,,,,VmVyaWZpY2FyIG8gcmVjb3JkZSBhdHVhbC4=,,VmVyaWZpY2FyIGVsIHLDqWNvcmQgYWN0dWFsLg==
ygj/BQ,64uk7IucIOyEpOuqheydhCDrk6PripTri6Qu,SGVhciB0aGUgZXhwbGFuYXRpb24gYWdhaW4u,,,,,T3V2aXIgYSBleHBsaWNhw6fDo28gbm92YW1lbnRlLg==,,RXNjdWNoYXIgbGEgZXhwbGljYWNpw7NuIG90cmEgdmV6Lg==
