YP8vAg,,QmFyZA==,,,,,QmFyZG8=,,QmFyZA==
Yf8vAg,,W05lbGxpb3JkZV0KT2gsIEkgZ3Vlc3MgeW91IGZvdW5kIHdoYXQgeW91IHdhbnRlZCwgaHVoPyBTbyBob3cncyBpdCBiZWVuIGdvaW5nIGxhdGVseT8=,,,,,W05lbGxpb3JkZV0KT2gsIHBhcmVjZSBxdWUgdm9jw6ogY29uc2VndWl1IG8gcXVlIHF1ZXJpYSwgaGVpbj8gRW50w6NvLCBjb21vIHbDo28gYXMgY29pc2FzPw==,,W05lbGxpb3JkZV0KT2gsIHN1cG9uZ28gcXVlIGVuY29udHJhc3RlIGxvIHF1ZSBxdWVyw61hcywgwr9laD8gwr9Dw7NtbyB0ZSBoYSBpZG8gw7psdGltYW1lbnRlPw==
Yv8vAg,,W05lbGxpb3JkZV0KSSd2ZSBiZWVuIGZlZWxpbmcgc3RyYW5nZSByZWNlbnRseSBsaWtlIHNvbWV0aGluZyBtaWdodCBoYXBwZW4gc29vbi4gQWgsIG5ldmVyIG1pbmQsIGl0J3Mgbm8gYmlnIGRlYWwuIE1heWJlIEknbSBqdXN0IGEgbGl0dGxlIGp1bXB5Lg==,,,,,W05lbGxpb3JkZV0KRXUgYW5kbyBtZSBzZW50aW5kbyBtZWlvIGVzdHJhbmhvLCBjb21vIHNlIGFsZ28gcHVkZXNzZSBhY29udGVjZXIgbG9nby4gQWFhaCwgZXNxdWVjZSwgbsOjbyDDqSBuYWRhIGRlIG1haXMuIFRhbHZleiBldSBzw7MgZXN0ZWphIHRlbnNvLg==,,W05lbGxpb3JkZV0Kw5psdGltYW1lbnRlIG1lIHNpZW50byBleHRyYcOxbywgY29tbyBzaSBhbGdvIGZ1ZXJhIGEgcGFzYXIgcHJvbnRvLiBBaCwgbm8gaW1wb3J0YSwgbm8gZXMgZ3JhbiBjb3NhLiBUYWwgdmV6IHPDs2xvIGVzdG95IHVuIHBvY28gbmVydmlvc2Eu
Y/8vAg,,W05lbGxpb3JkZV0KUmlnaHQsIHJpZ2h0LCBsZXQgbWUgcGxheSBhIHNvbmcgZm9yIHlvdS4gV291bGQgeW91IGxpa2UgdG8gbGlzdGVuIHRvIHNvbWV0aGluZz8=,,,,,W05lbGxpb3JkZV0KQ2VydG8sIGNlcnRvLCBkZWl4ZS1tZSBjYW50YXIgdW1hIGNhbsOnw6NvIHBhcmEgdm9jw6ouIEdvc3RhcmlhIGRlIG91dmlyPw==,,W05lbGxpb3JkZV0KQmllbiwgYmllbiwgZMOpamFtZSB0b2NhciB1bmEgY2FuY2nDs24gcGFyYSB0aS4gwr9UZSBndXN0YXLDrWEgZXNjdWNoYXIgYWxnbz8=
ZP8vAg,,U3VyZSwgd2h5IG5vdC4=,,,,,Q2xhcm8sIHBvciBxdWUgbsOjbz8=,,Q2xhcm8sIHBvciBxdcOpIG5vLg==
Zf8vAg,,SG93IGFib3V0IHNvbWUgbmV3cz8=,,,,,UXVlIHRhbCBhbGd1bWFzIG5vdMOtY2lhcz8=,,wr9BbGd1bmEgbm90aWNpYT8=
Zv8vAg,,Tm8gdGhhbmtzLg==,,,,,TsOjbywgb2JyaWdhZG8u,,Tm8sIGdyYWNpYXMu
Z/8vAg,,W05lbGxpb3JkZV0KU28sIHdoaWNoIHNvbmcKd291bGQgeW91IGxpa2UgdG8gaGVhcj8KR28gYWhlYWQsIHBpY2sgb25lLg==,,,,,W05lbGxpb3JkZV0KRW50w6NvLCBxdWFsIGNhbsOnw6NvCnZvY8OqIHF1ZXIgb3V2aXI/ClZhbW9zIGzDoSwgZXNjb2xoYSB1bWEuLi4=,,W05lbGxpb3JkZV0KRW50b25jZXMsIMK/cXXDqSBjYW5jacOzbgp0ZSBndXN0YXLDrWEgZXNjdWNoYXI/CkFkZWxhbnRlLCBlbGlnZSB1bmEu
aP8vAg,,QnJhZ2kncyBQb2Vt,,,,,UG9lbWEgZGUgQnJhZ2k=,,UG9lbWEgZGUgQnJhZ2k=
af8vAg,,RXRlcm5hbCBDaGFvcw==,,,,,Q2FvcyBFdGVybm8=,,Q2FvcyBldGVybm8=
av8vAg,,QXNzYXNzaW4gaW4gdGhlIFN1bnNldA==,,,,,TWVyY2Vuw6FyaW8gYW8gUMO0ci1kby1Tb2w=,,QXNlc2lubyBlbiBlbCBvY2Fzbw==
