wBvbBw,,UGhpbG9wb250ZXNz,,,,,UGhpbG9wb250ZXNz,,UGhpbG9wb250ZXNz
wRvbBw,,W1BoaWxvcG9udGVzc10KSnVzdCBpbiB0aW1lLgpDcnV4IGhhcyBjb21lIGZyb20gUnVuZS1NaWRnYXJkLgpJdCBzZWVtcyBoZSBoYXMgaW1wb3J0YW50IG5ld3MgdG8gZGVsaXZlci4=,,,,,W1Rlc3NdCkJvbSB0ZSB2ZXIgbm92YW1lbnRlLgpPIFNyLiBDcnV4IHZlaW8gZGUgUnVuZS1NaWRnYXJkLgpFIHRyb3V4ZSB1bWEgbm90w61jaWEgaW1wb3J0YW50ZS4=,,W1BoaWxvcG9udGVzc10KUXXDqSBvcG9ydHVubyBlbmNvbnRyYXJub3MuCkRlc2RlIFJ1bmUtTWlkZ2FyZCBoYSB2ZW5pZG8gZWwgc2XDsW9yIENydXguClBhcmVjZSBxdWUgaGEgdmVuaWRvIGEgdHJhbnNtaXRpciB1bmEgbm90aWNpYSBpbXBvcnRhbnRlLg==
whvbBw,,Q3J1eA==,,,,,Q3J1eA==,,Q3J1eA==
wxvbBw,,W0NydXhdCkFkdmVudHVyZXIhIEl0IGhhcyBiZWVuIGEgbG9uZyB0aW1lIQpJIGRpZCBoZWFyIGJpdHMgb2YgbmV3cyB0aHJvdWdoIHRoZSBDb3VydCBNYWdlLCBidXQuLi4u,,,,,W0NydXhdClZpYWphbnRlISBRdWFudG8gdGVtcG8hCkV1IGF0w6kgb3V2aWEgbm90w61jaWFzIGRlIHZleiBlbSBxdWFuZG8gcGVsbyBNYWdvIGRhIENvcnRlLCBtYXMuLi4=,,W0NydXhdCsKhVHJvdGFtdW5kb3MhIMKhQ3XDoW50byB0aWVtcG8hCkhlIG/DrWRvIG5vdGljaWFzIGRlIHZleiBlbiBjdWFuZG8gYSB0cmF2w6lzIGRlbCBNYWdvIGRlIGxhIENvcnRlLCBwZXJvLi4uLg==
xBvbBw,,W0NydXhdCklmIHlvdXIgc2NoZWR1bGUgYWxsb3dzLCB3b3VsZCB5b3UgY29tZSB3aXRoIG1lIHRvIHRoZSBQcm9udGVyYSBSb3lhbCBQYWxhY2U/,,,,,W0NydXhdClNlIHN1YSBhZ2VuZGEgcGVybWl0aXIsIG7Do28gZ29zdGFyaWEgZGUgaXIgY29taWdvIGFvIFBhbMOhY2lvIFJlYWwgZGUgUHJvbnRlcmE/,,W0NydXhdClNpIGFob3JhIGxlIHZpZW5lIGJpZW4sIMK/bm8gbGUgZ3VzdGFyw61hIGlyIGNvbm1pZ28gYWwgUGFsYWNpbyBSZWFsIGRlIFByb250ZXJhPw==
xRvbBw,,V2hhdCBpcyBpdD8=,,,,,TyBxdWUgaG91dmU/,,wr9RdcOpIG9jdXJyZT8=
xhvbBw,,W0NydXhdCldlIGNhbm5vdCBsZWF2ZSB0aGUgdGhyb25lIHZhY2FudCBmb3JldmVyLgpXZSBoZWxkIGEgc2ltcGxlIGJsZXNzaW5nIGNlcmVtb255LgpJdCBpcyB0aGFua3MgdG8geW91IGZpbmRpbmcgVGVycmEgR2xvcmlhIGxhc3QgdGltZS4=,,,,,W0NydXhdCk7Do28gcG9kZW1vcyBkZWl4YXIgbyB0cm9ubyB2YXppbyBwYXJhIHNlbXByZS4KUmVhbGl6YXJlbW9zIHVtYSBub3ZhIGNlcmltw7RuaWEgZGUgY29yb2HDp8Ojby4KRm9pIGdyYcOnYXMgYSB2b2PDqiEgUG9yIHRlciBwcm9jdXJhZG8gYSBUZXJyYSBHbG9yaWEu,,W0NydXhdCk5vIHBvZGVtb3MgZGVqYXIgZWwgdHJvbm8gdmFjw61vIHBhcmEgc2llbXByZS4KSGVtb3MgY2VsZWJyYWRvIHVuYSBjZXJlbW9uaWEgZGUgYmVuZGljacOzbiBkZSBmb3JtYSBzZW5jaWxsYS4KRXMgZ3JhY2lhcyBhIHF1ZSBsYSDDumx0aW1hIHZleiBmdWlzdGUgYSBidXNjYXIgVGVycmEgR2xvcmlhLg==
xxvbBw,,W0NydXhdClRoZSByb3lhbCBmYW1pbHkgYWxzbyB3aXNoZXMgdG8gZXhwcmVzcyB0aGVpciBncmF0aXR1ZGUgdG8geW91LgpPZiBjb3Vyc2UsIHRoZSB5b3VuZyBsYWRpZXMgb2Ygb3VyIGZhbWlseSBhcyB3ZWxsLgpJZiB3ZSBkZXBhcnQgZXZlbiBub3cuLi4u,,,,,W0NydXhdCkEgZmFtw61saWEgcmVhbCBxdWVyIGxoZSBhZ3JhZGVjZXIuCkVzcGVjaWFsbWVudGUgYXMgam92ZW5zIHNlbmhvcml0YXMgZGEgZmFtw61saWEgTmVyaXVzLgpTZSBwYXJ0aXJtb3MgYWdvcmEgbWVzbW8uLi4=,,W0NydXhdCkxvcyBtaWVtYnJvcyBkZSBsYSBmYW1pbGlhIHJlYWwgdGFtYmnDqW4gcXVpZXJlbiBleHByZXNhcmxlIHN1IGdyYXRpdHVkLCB0cm90YW11bmRvcy4KWSwgcG9yIHN1cHVlc3RvLCB0YW1iacOpbiBsYXMgasOzdmVuZXMgZGUgbnVlc3RyYSBmYW1pbGlhLgpTaSBwYXJ0aW1vcyBhaG9yYSBtaXNtby4uLi4=
yBvbBw,,W0NydXhdCldlIHdpbGwgYXJyaXZlIGluIHRpbWUgZm9yIHRoZSBjb3JvbmF0aW9uLgpJIGNhbWUgdG8gZXNjb3J0IHlvdSBpbiBwZXJzb24u,,,,,W0NydXhdCkNoZWdhcmVtb3MgYSB0ZW1wbywgc2VtIG5vcyBhdHJhc2FybW9zIHBhcmEgYSBjb3JvYcOnw6NvLgpWaW0gcGVzc29hbG1lbnRlIHBhcmEgYnVzY2FyIHZvY8OqLg==,,W0NydXhdCkxsZWdhcmVtb3MgYSB0aWVtcG8gcGFyYSBsYSBjb3JvbmFjacOzbi4KSGUgdmVuaWRvIHBlcnNvbmFsbWVudGUgYSBhY29tcGHDsWFybGUu
yRvbBw,,W0NydXhdClNoYWxsIEkgZXNjb3J0IHlvdT8=,,,,,W0NydXhdClZhbW9zPw==,,W0NydXhdCsK/TGUgYWNvbXBhw7FvPw==
yhvbBw,,RGVwYXJ0IHJpZ2h0IGF3YXk=,,,,,VmFtb3Mh,,UGFydGlyIGFob3JhIG1pc21v
yxvbBw,,RGVwYXJ0IGEgbGl0dGxlIGxhdGVy,,,,,RXNwZXJlIHVtIHBvdWNvIQ==,,UGFydGlyIHVuIHBvY28gbcOhcyB0YXJkZQ==
zBvbBw,,W1BoaWxvcG9udGVzc10KSSB3aWxsIGV4cGxhaW4gaXQgdG8gdGhlIG90aGVycy4KUGxlYXNlIGdvLg==,,,,,W1Rlc3NdCkV1IGV4cGxpY2FyZWkgYW9zIG91dHJvcyBhIHN1YSBzaXR1YcOnw6NvLgpWw6EgZSB2b2x0ZSBlbSBzZWd1cmFuw6dhLg==,,W1BoaWxvcG9udGVzc10KWW8gc2UgbG8gZXhwbGljYXLDqSBhIGxvcyBkZW3DoXMuClZheWEgeSB2dWVsdmEu
zRvbBw,,W0NydXhdClRoZW4gSSB3aWxsIGVzY29ydCB5b3Uu,,,,,W0NydXhdCkJlbSwgdm91IGFjb21wYW5oYXIgdm9jw6ogYXTDqSBsw6Eu,,W0NydXhdCkVudG9uY2VzLCBsZSBhY29tcGHDsWFyw6ku
zhvbBw,,W0NydXhdClNoYWxsIHdlPyBXZWxsLCB5b3UgZG8gaGF2ZSBtYXR0ZXJzIGhlcmUuClRoZW4gd2hlcmUgc2hvdWxkIEkgd2FpdD8=,,,,,W0NydXhdCkFoIMOpPyBCZW0sIHZvY8OqIGRldmUgdGVyIGNvbXByb21pc3NvcyBwb3IgYXF1aS4KRW50w6NvLCBvbmRlIGRldm8gZXNwZXJhcj8=,,W0NydXhdCsK/TGUgcGFyZWNlIGJpZW4/IENsYXJvLCB0aWVuZSBhc3VudG9zIGFxdcOtLgpFbnRvbmNlcywgwr9kw7NuZGUgZGViZXLDrWEgZXNwZXJhcmxvPw==
zxvbBw,,W1BoaWxvcG9udGVzc10KVGhlcmUgYXJlIHNlcnZhbnRzJyBxdWFydGVycyBqdXN0IHVwIGFoZWFkLgpUaGUgbG91bmdlIGlzIHNoYXJlZCB3aXRoIHRoZSBwZW9wbGUgb2YgUmViZWxsaW9uLCBzbyBob3cgYWJvdXQgd2FpdGluZyB0aGVyZT8=,,,,,W1Rlc3NdCkV4aXN0ZSB1bSBkb3JtaXTDs3JpbyBwYXJhIGFzIHNlcnZlbnRlcyBhbyBub3J0ZSBkYXF1aS4KQ29tbyBvcyBtZW1icm9zIGRhIFJlYmVsacOjbyB0YW1iw6ltIHVzYW0gYSBzYWxhIGRlIGRlc2NhbnNvLCBxdWUgdGFsIGVzcGVyYXIgbMOhPw==,,W1BoaWxvcG9udGVzc10KSnVzdG8gYXJyaWJhIGVzdMOhbiBsb3MgYWxvamFtaWVudG9zIGRlIGxvcyBzaXJ2aWVudGVzLgpMYSBzYWxhIGRlIGRlc2NhbnNvIGxhIHVzYW4gdGFtYmnDqW4gbG9zIGRlIFJlYmVsbGlvbiwgYXPDrSBxdWUgwr9xdcOpIGxlIHBhcmVjZSBlc3BlcmFyIGFsbMOtPw==
