gPD6Ag,,TmluamEgR3VpZGU=,,,,,SmlyYWl5YQ==,,TmluamEgR3XDrWE=
gfD6Ag,,W05pbmphIEd1aWRlXQpUbyB1cywgdGhlIG1lbW9yaWVzIG9mIHByZXZpb3VzIGxpZmUgYXJlIHVzZWxlc3MuCkkgZG9uJ3QgaGF2ZSBhIHdpbGwgdG8gZmlnaHQgd2l0aCB5b3UuCllvdSBqdXN0IGdvIG9uIHlvdXIgd2F5Lg==,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClBhcmEgbsOzcywgbyBwYXNzYWRvIMOpIGluw7p0aWwuLi4KTsOjbyB0ZW5obyBpbnRlbsOnw7VlcyBkZSBmYWxhciBjb20gdm9jw6ouLi4KUG9kZSBzZWd1aXIgbyBzZXUgY2FtaW5oby4=,,W0d1w61hIE5pbmphXQpQYXJhIG5vc290cm9zLCBsb3MgcmVjdWVyZG9zIGRlIGxhIHZpZGEgYW50ZXJpb3Igc29uIGluw7p0aWxlcy4KTm8gcXVpZXJvIHBlbGVhciBjb250aWdvLgpTaWd1ZSB0dSBjYW1pbm8geSB5YS4=
gvD6Ag,,W05pbmphIEd1aWRlXQpJZiB5b3Ugd2FudCB0byBiZSB0cmFpbmVkIGFzIGEgTmluamEsIGp1c3QgdmlzaXQgSG9ubyBPCndobyBpcyBhdCB0aGUgbmV4dCByb29tIHlvdSB1cGdyYWRlZA==,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClNlIHF1aXNlciBzZSB0b3JuYXIgdW0gTmluamEsIGNvbnZlcnNlIGNvbSBIb25vLgpFbGUgZXN0w6EgcGVydG8gZGEgc2FsYSBkZSB0cm9jYSBkZSBDbGFzc2Uu,,W0d1w61hIE5pbmphXQpTaSBxdWllcmVzIGVudHJlbmFydGUgcGFyYSBzZXIgTmluamEsIHNvbG8gdGllbmVzIHF1ZSB2aXNpdGFyIGEgSG9ubyBPLApxdWUgZXN0w6EgZW4gbGEgc2FsYSBkZSBhbCBsYWRvIHF1ZSBtZWpvcmFzdGUu
g/D6Ag,,W0tvIE9yaV0KSWYgeW91IHdhbnQgdG8gYmUgdHJhaW5lZCBhcyBOaW5qYSwganVzdCB2aXNpdCBIb25vIE8Kd2hvIGlzIGF0IHRoZSBuZXh0IHJvb20geW91IHVwZ3JhZGVk,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClNlIHF1aXNlciBzZSB0b3JuYXIgdW0gTmluamEsIGNvbnZlcnNlIGNvbSBIb25vLgpFbGUgZXN0w6EgcGVydG8gZGEgc2FsYSBkZSB0cm9jYSBkZSBDbGFzc2Uu,,W0tvIE9yaV0KU2kgcXVpZXJlcyBlbnRyZW5hcnRlIHBhcmEgc2VyIE5pbmphLCB0aWVuZXMgcXVlIHZpc2l0YXIgSG9ubyBPLApxdWUgZXN0w6EgZW4gbGEgc2FsYSBkZSBhbCBsYWRvIHF1ZSBtZWpvcmFzdGUu
hPD6Ag,,W0tvIE9yaV0KSXMgSG9ubyBPIGRvaW5nIHdlbGw/CkV2ZW50IGhvdWdoIGhlIGhhcyBhIHRvdWdoIG1vdXRoIGFuZCBpcyBhIGJpdCBvZiBhbiBhaXJoZWFkLCBoZSB0cmVhdHMgdGhlIG5ld2NvbWVycyB3aXRoIGhlYXJ0Lg==,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdCkNvbW8gbyBIb25vIGVzdMOhPwpFbGUgcG9kZSBzZXIgdW0gcG91Y28gZHVybyDDoHMgdmV6ZXMuLi4gTWFzIHJlY2ViZSBiZW0gb3MgaW5pY2lhbnRlcy4=,,W0tvIE9yaV0Kwr9Ib25vIE8gZXN0w6EgYmllbj8KQXVucXVlIG5vIGVzIG11eSBkdWxjZSB5IGVzIGJhc3RhbnRlIHRlcmNvLCB0cmF0YSBhIGxvcyByZWNpw6luIGxsZWdhZG9zIGNvbiBjYWxpZGV6Lg==
hfD6Ag,,W05pbmphIEd1aWRlXQpZb3UgYWxyZWFkeSByZWFjaGVkIHRoZSBoaWdoIGxldmVsIE5pbmphLi4uLgpZb3VyIGJyaWdodCBleWVzIHNob3cgdGhhdCB5b3UndmUgcGFzc2VkIHRocm91Z2ggcm91Z2ggcm9hZHMu,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClZlam8gZW0gc2V1cyBvbGhvcy4uLgpWb2PDqiBqw6EgdHJpbGhvdSBvIGNhbWluaG8gZG9zIE5pbmphcyE=,,W0d1w61hIE5pbmphXQpZYSBhbGNhbnphc3RlIGVsIG5pdmVsIGRlIE5pbmphIGFsdG8uClR1cyBvam9zIGJyaWxsYW4gYWwgcmVjb3JkYXIgbG8gcXVlIHRyYW5zaXRhc3RlLg==
hvD6Ag,,W05pbmphIEd1aWRlXQpUaGFua3MgdG8gdGhlIGNhcGFibGUgbGlrZSB5b3UsIHRoZSB0aHJlYWQgb2YgTmluamEgaXMgbmV2ZXIgZGlzY29ubmVjdGVkLgpJZiB5b3UgbWVldCB0aGUgbmV3Y29tZXJzIGR1cmluZyB5b3VyIHRyYXZlbHMsIHBsZWFzZSBndWlkZSB0aGVtIHRvIHRoZSByaWdodCBwYXRoLg==,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClBlc3NvYXMgY29tbyB2b2PDqiBtYW50w6ptIGEgdHJhZGnDp8OjbyBkb3MgTmluamFzIHZpdmEuClNlIHZvY8OqIGVuY29udHJhciBpbmljaWFudGVzLCBndWllLW9zIHBhcmEgbyBjYW1pbmhvIGRvcyBOaW5qYXMu,,W0d1w61hIE5pbmphXQpHcmFjaWFzIGEgYXF1ZWxsb3MgY2FwYWNlcyBjb21vIHTDuiwgZWwgaGlsbyBkZSBsb3MgTmluamFzIG51bmNhIHNlIGRlc2ludGVncmEuClNpIHRlIGNydXphcyBjb24gbG9zIHJlY2nDqW4gbGxlZ2Fkb3MgZHVyYW50ZSB0dXMgdmlhamVzLCBndcOtYWxvcyBwb3IgZWwgYnVlbiBjYW1pbm8u
h/D6Ag,,W05pbmphIEd1aWRlXQpJIGFtIHRoZSBndWlkZSB0byB0aGUgd2F5IG9mIHRoZSBOaW5qYSBmb3IgbmV3Y29tZXJzLg==,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClNvdSBvIEppcmFpeWEuIE8gaW5zdHJ1dG9yIGRvcyBOaW5qYXMu,,W0d1w61hIE5pbmphXQpTb3kgZ3XDrWEgZGVsIGNhbWlubyBkZWwgTmluamEgcGFyYSBsb3MgcmVjacOpbiBsbGVnYWRvcy4=
iPD6Ag,,W05pbmphIEd1aWRlXQpJIGFtIG5vdCBpbnRlcmVzdGVkIGluIHRoZSBwZW9wbGUgd2hvIGFyZSBhbHJlYWR5IG9uIHRoZWlyIHBhdGguClRha2UgeW91ciBsZWF2ZSBub3cuLi4=,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdCk7Do28gcXVlcm8gZmFsYXIgY29tIHBlc3NvYXMgcXVlIHRyaWxoYXJhbSBvdXRybyBjYW1pbmhvLgpTaWdhIHNldSBydW1vLg==,,W0d1w61hIE5pbmphXQpObyBtZSBpbnRlcmVzYW4gYXF1ZWxsb3MgcXVlIHlhIGVuY29udHJhcm9uIHN1IGNhbWluby4KQWhvcmEgdmV0ZS4uLg==
ifD6Ag,,W05pbmphIEd1aWRlXQpGaXJzdCBvZiBhbGwsIHlvdSBtdXN0IGVucm9sbCBpbiB0aGUgQWNhZGVteSBhbmQgdmlzaXQgbWUgYWdhaW4uCkV2ZXJ5dGhpbmcgaGFzIHRvIGZvbGxvdyB0aGUgY29ycmVjdCBwcm9jZWR1cmVzIGFuZCBiZWluZyBjbHVtc3kgaXMgbm8gZXhjdXNlLiA=,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdClByaW1laXJvLCBmYcOnYSBhIHN1YSBtYXRyw61jdWxhIG5vIHTDqXJyZW8uCk7Do28gdm91IGFjZWl0YXIgYWx1bm9zIHF1ZSBuw6NvIHNpZ2FtIG8gcHJvY2VkaW1lbnRvIGNvcnJldG8u,,W0d1w61hIE5pbmphXQpQcmltZXJvIGRlYmVzIGluc2NyaWJpcnRlIGVuIGxhIEFjYWRlbWlhIHkgdm9sdmVyIGEgdmlzaXRhcm1lLgpUZW5lbW9zIHF1ZSBzZWd1aXIgbG9zIHByb2NlZGltaWVudG9zIGNvcnJlc3BvbmRpZW50ZXMgeSBubyBwb2RlbW9zIHNlciB0b3JwZXMuIA==
ivD6Ag,,W05pbmphIEd1aWRlXQpIbW1tLiBTbyBhIG5ldyBiZWdpbm5lciBoYXMgY29tZSBlaD8KV2h5IGFyZSB5b3UgaGVyZT8=,,,,,W0ppcmFpeWEsIGRvcyBOaW5qYXNdCkhtbS4uLiBvdXRybyBpbmljaWFudGUuLi4KTyBxdWUgdmVpbyBmYXplciBhcXVpPw==,,W0d1w61hIE5pbmphXQpNbW0uIEFzw60gcXVlIGxsZWfDsyB1biBudWV2byBQcmluY2lwaWFudGUsIMK/ZWg/CsK/UG9yIHF1w6kgZXN0w6FzIGFxdcOtPw==
