gGNQAw,,SWxzdW5n,,,,,SWxzdW5n,,SWxzdW5n
gWNQAw,,LSBXYWl0IGEgc2Vjb25kISEgLQotIFlvdSBhcmUgY2FycnlpbmcgdG9vIG11Y2ggd2VpZ2h0IC0KLSBBbmQgY2Fubm90IGhvbGQgYW55IG1vcmUgaXRlbXMgLQotIFJlbW92ZSBhbiBpdGVtIGZyb20geW91ciBpbnZlbnRvcnkgLQotIEFuZCB0cnkgYWdhaW4uIC0=,,,,,LSBFc3BlcmUgdW0gc2VndW5kbyEhISAtCi0gVm9jw6ogZXN0w6EgY2FycmVnYW5kbyBtdWl0byBwZXNvIC0KLSBFIG7Do28gcG9kZSBjYXJyZWdhciBtYWlzIG5lbmh1bSBpdGVtIC0KLSBSZW1vdmEgdW0gaXRlbSBkZSBzZXUgaW52ZW50w6FyaW8KLSBFIHRlbnRlIG5vdmFtZW50ZS4gLQ==,,LSDCoUVzcGVyYSB1biBzZWd1bmRvISAtCiAtIExsZXZhcyBtdWNobyBwZXNvIC0KIC0gWSBubyBwdWVkZXMgbGxldmFyIG3DoXMgb2JqZXRvcyAtCiAtIEVsaW1pbmFyIHVuIGFydMOtY3VsbyBkZSB0dSBpbnZlbnRhcmlvCiAtIEUgaW50w6ludGFsbyBkZSBudWV2by4gLQ==
gmNQAw,,W0lsc3VuZ10KQWhoLiBZb3UncmUgaGVyZS4KSGF2ZSB5b3UgaGFkIGVub3VnaCByZXN0PwpJJ20gc3VyZSB0aGUgb3RoZXIgZ3VpbGQgbWVtYmVycyBoYXZlIGFsc28gaGFkCmEgbmljZSBicmVhay4=,,,,,W0lsc3VuZ10KQWhoLiBWb2PDqiBlc3TDoSBhcXVpLgpKw6EgZGVzY2Fuc291IG8gc3VmaWNpZW50ZT8KVGVuaG8gY2VydGV6YSBkZSBxdWUgb3Mgb3V0cm9zIG1lbWJyb3MgZGEgZ3VpbGRhIHRhbWLDqW0gdGl2ZXJhbQp1bSBib20gZGVzY2Fuc28u,,W0lsc3VuZ10KIEFoaC4gU2UgZW5jdWVudHJhIHVzdGVkIGFxdcOtLgogwr9IYXMgZGVzY2Fuc2FkbyBsbyBzdWZpY2llbnRlPwogRXN0b3kgc2VndXJvIGRlIHF1ZSBsb3Mgb3Ryb3MgbWllbWJyb3MgZGVsIGdyZW1pbyB0YW1iacOpbi4KIHVuIGJ1ZW4gZGVzY2Fuc28u
g2NQAw,,W0lsc3VuZ10KTG9va2luZyBpbnRvIHlvdXIgZmFjZSwgSSBjYW4gc2VlIHRoYXQKeW91IGFyZSByZWFkeSBmb3IgdGhlCm5leHQgbWlzc2lvbi4KQWhoLCBvdXIgbmV4dCBzdGVwIGlzLi4u,,,,,W0lsc3VuZ10KT2xoYW5kbyBwYXJhIHNldSByb3N0bywgcG9zc28gdmVyIHF1ZQp2b2PDqiBlc3TDoSBwcm9udG8gcGFyYSBhCnByw7N4aW1hIG1pc3PDo28uCkFoaCwgbm9zc28gcHLDs3hpbW8gcGFzc28gw6kuLi4=,,W0lsc3VuZ10KIE1pcmFuZG8gc3UgY2FyYSwgcHVlZG8gdmVyIHF1ZQogwr9lc3TDoXMgcHJlcGFyYWRvIHBhcmEKIHByw7N4aW1hIG1pc2nDs24uCiBBaGgsIG51ZXN0cm8gc2lndWllbnRlIHBhc28gZXMuLi4=
hGNQAw,,W0lsc3VuZ10KTm93LCB0YWtlIHRoaXMu,,,,,W0lsc3VuZ10KQWdvcmEsIHBlZ3VlIGlzc28u,,W0lsc3VuZ10KIEFob3JhLCB0b21hIGVzdG8u
hWNQAw,,W0lsc3VuZ10KV2hhdCBJIGdhdmUgeW91IGlzIHRoZSBTcGlyaXQgb2YgVHJ1c3QuClRydXN0IGFtb25nIG1lbWJlcnMgaXMgdmVyeSBpbXBvcnRhbnQgdG8KZm9ybSBhIHNvbGlkIG9yZ2FuaXphdGlvbi4KVGFrZSBzb21lIHRpbWUgdG8gdGhpbmsgYWJvdXQKaG93IG11Y2ggdHJ1c3QgeW91IGhhdmUgZWFybmVkIGZyb20KeW91ciBndWlsZG1hdGVzIHNvIGZhci4=,,,,,W0lsc3VuZ10KTyBxdWUgZXUgbGhlIGRlaSBmb2kgbyBFc3DDrXJpdG8gZGUgQ29uZmlhbsOnYS4KQSBjb25maWFuw6dhIGVudHJlIG9zIG1lbWJyb3Mgw6kgbXVpdG8gaW1wb3J0YW50ZSBwYXJhCmZvcm1hciB1bWEgb3JnYW5pemHDp8OjbyBzw7NsaWRhLgpSZXNlcnZlIHVtIHRlbXBvIHBhcmEgcGVuc2FyIHNvYnJlCnF1YW50YSBjb25maWFuw6dhIHZvY8OqIGNvbnF1aXN0b3UgZGUKc2V1cyBjb21wYW5oZWlyb3MgZGUgZ3VpbGRhIGF0w6kgYWdvcmEu,,W0lsc3VuZ10KIExvIHF1ZSBsZSBkaSBmdWUgZWwgRXNww61yaXR1IGRlIENvbmZpYW56YS4KIExhIGNvbmZpYW56YSBlbnRyZSBsb3MgbWllbWJyb3MgZXMgbXV5IGltcG9ydGFudGUgcGFyYQogZm9ybWFyIHVuYSBvcmdhbml6YWNpw7NuIHPDs2xpZGEuCiBUw7NtZXNlIHN1IHRpZW1wbyBwYXJhIHJlZmxleGlvbmFyCiDCv0N1w6FudGEgY29uZmlhbnphIGhhIGdhbmFkbwogc3VzIGNvbXBhw7Flcm9zIGRlIGdyZW1pbyBoYXN0YSBhaG9yYS4=
hmNQAw,,W0lsc3VuZ10KUGxlYXNlIGdpdmUgdGhlIF40RDRERkZTcGlyaXQgb2YgVHJ1c3ReMDAwMDAwdG8gYW4KdXBzdGFuZGluZyBzYWdlIHdobyBjYW4KbWFuaXB1bGF0ZSB0aGUgYXR0cmlidXRlcyBvZiBuYXR1cmUuClRoaXMgaXMgdGhlIGJlZ2lubmluZyBvZgp5b3VyIHNlY29uZCB0ZXN0Lg==,,,,,W0lsc3VuZ10KUG9yIGZhdm9yLCBkw6ogbyBeNEQ0REZGRXNww61yaXRvIGRlIENvbmZpYW7Dp2FeMDAwMDAwIGEgdW0Kc8OhYmlvIMOtbnRlZ3JvIHF1ZSBwb3NzYQptYW5pcHVsYXIgb3MgYXRyaWJ1dG9zIGRhIG5hdHVyZXphLgpFc3RlIMOpIG8gaW7DrWNpbyBkZSBzZXUKc2V1IHNlZ3VuZG8gdGVzdGUu,,W0lsc3VuZ10KIFBvciBmYXZvciwgcmVnYWxlIGVsIF40RDRERkZTcGlyaXQgb2YgVHJ1c3ReMDAwMDAwIGEgdW4KIGhvbWJyZSBzYWJpbyBlIMOtbnRlZ3JvIHF1ZSBwdWVkYQogbWFuaXB1bGFyIGxvcyBhdHJpYnV0b3MgZGUgbGEgbmF0dXJhbGV6YS4KIEVzdGUgZXMgZWwgY29taWVuem8gZGUgc3UKIHR1IHNlZ3VuZGEgcHJ1ZWJhLg==
h2NQAw,,W0lsc3VuZ10KSSBndWVzcyBTYWhtc3VuZyB3aWxsIGJlIHRoZXJlIHRoaXMgdGltZS4KRG9uJ3QgZm9yZ2V0IHRvIHRlbGwgdGhlIHNhZ2Ugd2hvIHJlY2VpdmVkIHRoZQpTcGlyaXQgb2YgVHJ1c3QgdG8gZ28gYW5kIGxvb2sgZm9yClNhaG1zdW5nLi4uIFdlbGwsCmZhcmV3ZWxsIGFuZCBnb29kIGx1Y2su,,,,,W0lsc3VuZ10KQWNobyBxdWUgU2FobXN1bmcgZXN0YXLDoSBsw6EgZGVzdGEgdmV6LgpOw6NvIHNlIGVzcXVlw6dhIGRlIGRpemVyIGFvIHPDoWJpbyBxdWUgcmVjZWJldSBvCkVzcMOtcml0byBkZSBDb25maWFuw6dhIHBhcmEgaXIgcHJvY3VyYXIgcG9yClNhaG1zdW5nLi4uIEJlbSwKQWRldXMgZSBib2Egc29ydGUu,,W0lsc3VuZ10KIENyZW8gcXVlIFNhaG1zdW5nIGVzdGFyw6EgYWxsw60gZXN0YSB2ZXouCiBObyBvbHZpZGVzIGRlY2lybGUgYWwgc2FiaW8gcXVlIGhhcyByZWNpYmlkbyBlbAogRXNww61yaXR1IGRlIGNvbmZpYW56YSBwYXJhIGlyIGEgYnVzY2FyCiBTYWhtc3VuZy4uLiBCaWVuLAogQWRpw7NzIHkgYnVlbmEgc3VlcnRlLg==
iGNQAw,,W0lsc3VuZ10KTW1tPyBIYXZlIHlvdSBoYWQgZW5vdWdoCnJlc3QgSG1tPw==,,,,,W0lsc3VuZ10KTW1tPyBWb2PDqiBqw6EgZGVzY2Fuc291IG8gc3VmaWNpZW50ZT8KZGVzY2Fuc28gc3VmaWNpZW50ZSBIbW0/,,W0lsc3VuZ10KIMK/TW1tPyDCv0hhcyBkZXNjYW5zYWRvIGxvIHN1ZmljaWVudGU/CiBzdWZpY2llbnRlIGRlc2NhbnNvIMK/SG1tPw==
iWNQAw,,V2h5IGRvIHlvdSBsb29rIHNvIHBhbGU/CllvdSdyZSBub3QgcmVhZHkgZm9yIGFueXRoaW5nIGluIHRoYXQgc3RhdGUh,,,,,UG9yIHF1ZSB2b2PDqiBlc3TDoSB0w6NvIHDDoWxpZG8/Ck5lc3NlIGVzdGFkbywgdm9jw6ogbsOjbyBlc3TDoSBwcm9udG8gcGFyYSBuYWRhIQ==,,wr9Qb3IgcXXDqSBlc3TDoXMgdGFuIHDDoWxpZG8/CiDCoUVuIGVzdGUgZXN0YWRvLCBubyBlc3TDoXMgcHJlcGFyYWRvIHBhcmEgbmFkYSE=
imNQAw,,W0lsc3VuZ10KSSBjb21tZW5kIHlvdSBvbgp5b3VyIHNwaXJpdCwgYnV0IG92ZXJ3b3JraW5nIHlvdXJzZWxmCndpbGwganVzdCBjYXVzZSBoYXJtIHRvIHlvdSBhbmQgeW91ciBndWlsZG1hdGVzLgpOb2JvZHkgd2FudHMgdGhhdC4KU28gZ28gYW5kIHRha2UgYSByZXN0LiBDb21lIGJhY2sgbGF0ZXIu,,,,,W0lsc3VuZ10KRXUgbyBlbG9naW8gcG9yCnNldSBlc3DDrXJpdG8sIG1hcyBzZSBlc2ZvcsOnYXIgZGVtYWlzCnPDsyBjYXVzYXLDoSBkYW5vcyBhIHZvY8OqIGUgYSBzZXVzIGNvbXBhbmhlaXJvcyBkZSBndWlsZGEuCk5pbmd1w6ltIHF1ZXIgaXNzby4KUG9ydGFudG8sIHbDoSBlIGRlc2NhbnNlIHVtIHBvdWNvLiBWb2x0ZSBtYWlzIHRhcmRlLg==,,W0lsc3VuZ10KIExlIGFsYWJvIHBvcgogdHUgZXNww61yaXR1LCBwZXJvIGVzZm9yesOhbmRvdGUgZGVtYXNpYWRvCiBzw7NsbyB0ZSBjYXVzYXLDoSBkYcOxbyBhIHRpIHkgYSB0dXMgY29tcGHDsWVyb3MgZGUgZ3JlbWlvLgogTmFkaWUgcXVpZXJlIGVzby4KIEFzw60gcXVlIHZldGUgYSBkZXNjYW5zYXIuIFZ1ZWx2ZSBtw6FzIHRhcmRlLg==
