QPVxAw,,UnVtaW4=,,,,,UnVtaW4=,,UnVtaW4=
QfVxAw,,VGhlcmUncyB0aGUgcmlnaHQgb25lLCBvbGQgbWFuLg==,,,,,QWgsIG9saGEgc8OzIHF1ZW0gY2hlZ291Lg==,,QWjDrSBlc3TDoSBsYSBjb3JyZWN0YSwgYW5jaWFuby4=
QvVxAw,,W1J1bWluXQpZb3Ugc2hvd2VkIHVwIGp1c3QgaW4gdGltZS4KSGVyZSdzIHRoZSBwZXJzb24geW91IHdhbnQsIG9sZCBtYW4u,,,,,W1J1bWluXQpWb2PDqiBhcGFyZWNldSBuYSBob3JhIGNlcnRhLgpBcXVpIGVzdMOhIHF1ZW0gbyB2ZWxobyBxdWVyaWEu,,W1J1bWluXQpBcGFyZWNpc3RlIGp1c3RvIGEgdGllbXBvLgpBcXXDrSBlc3TDoSBsYSBwZXJzb25hIHF1ZSBidXNjYXMsIGFuY2lhbm8u
Q/VxAw,,UmVhbGx5Pw==,,,,,SXNzbyDDqS4uLiDDqSBpc3NvPyE=,,wr9EZSB2ZXJkYWQ/
RPVxAw,,V2hhdCBkbyB5b3UgbWVhbj8=,,,,,SXNzbyBvIHF1w6o/,,wr9RdcOpIHF1aWVyZXMgZGVjaXI/
RfVxAw,,W09sZCBTY2hvbGFyXQpIZWxsbywgdGhlcmUuCkkndmUgYmVlbiBsb29raW5nIGZvciBhbiBBZHZlbnR1cmVyIGxpa2UgeW91LgpDb3VsZCB5b3UgZG8gbWUgYSBmYXZvcj8=,,,,,W1ZlbGhvIFByb2Zlc3Nvcl0KQWgsIG11aXRvIHByYXplciBlbSB0ZSBjb25oZWNlci4KRXN0YXZhIMOgIHByb2N1cmEgZGUgYWxndcOpbSBjb21vIHZvY8OqLgpTZSB0aXZlciB1bSB0ZW1wbywgcG9kZXJpYSBmYXplciB1bSBmYXZvcj8=,,W1ZpZWpvIGVydWRpdG9dCkhvbGEuCkVzdGFiYSBidXNjYW5kbyB1biB0cm90YW11bmRvcyBjb21vIHTDui4Kwr9NZSBoYXLDrWFzIHVuIGZhdm9yPw==
RvVxAw,,V2hhdCBhcmUgeW91IHVwIHRvPw==,,,,,TyBxdWUgdMOhIGFjb250ZWNlbmRvLi4uPw==,,wr9RdcOpIHRyYW1hcz8=
R/VxAw,,W1J1bWluXQpIaXMgc3R1ZGVudApyYW4gYXdheS4KSG93IHN0dXBpZC4=,,,,,W1J1bWluXQpFbGUgZnVnaXUuCkFxdWVsZSBtb2xlcXVlLgpJbmNvbnNlcXVlbnRlLg==,,W1J1bWluXQpTdSBhbHVtbm8Kc2UgZXNjYXDDsy4KUXXDqSBlc3R1cGlkZXou
SPVxAw,,RG8geW91IHJlYWxseSBuZWVkIHRvIGJlIHNvLi4u,,,,,TsOjby4uLiBuw6NvIGRpZ2EgaXNzby4=,,wr9EZSB2ZXJkYWQgdGllbmVzIHF1ZSBzZXIgdGFuLi4u
SfVxAw,,W09sZCBTY2hvbGFyXQpBaGVtLCBhbGxvdyBtZSB0byBpbnRyb2R1Y2UgbXlzZWxmLgpJIGFtIGEgc2Nob2xhciB3aG8gaXMgaW52ZXN0aWdhdGluZyB0aGUgcnVpbnMgYXJvdW5kIE1vcnJvYy4=,,,,,W1ZlbGhvIFByb2Zlc3Nvcl0KUHJpbWVpcm8sIGEgYXByZXNlbnRhw6fDo28uClNvdSB1bSBoaXN0b3JpYWRvciBxdWUgZXN0dWRhIGFzIHJ1w61uYXMgZGUgTW9ycm9jLg==,,W1ZpZWpvIGVydWRpdG9dCkVqZW0sIHBlcm3DrXRhbWUgcXVlIG1lIHByZXNlbnRlLgpTb3kgdW4gZXJ1ZGl0byB5IGVzdG95IGludmVzdGlnYW5kbyBsYXMgcnVpbmFzIGFscmVkZWRvciBkZSBNb3Jyb2Mu
SvVxAw,,W09sZCBTY2hvbGFyXQpUaGVyZSBhcmUgcHlyYW1pZHMsIFNwaGlueGVzLCBhbmQgb3RoZXIgc3VjaCBhbmNpZW50IHJ1aW5zIGFyb3VuZCBoZXJlLgpJJ3ZlIGNvbWUgaGVyZSB3aXRoIG15IHN0dWRlbnQgdG8gY29tcGxldGUgbXkgbGF0ZXN0IHJlc2VhcmNoIC4uLg==,,,,,W1ZlbGhvIFByb2Zlc3Nvcl0KQ29uaGVjZSBhcyBQaXLDom1pZGVzIGUgRXNmaW5nZXM/ClZpbSBlc3R1ZMOhLWxhcyBqdW50byBjb20gbWV1IGFsdW5vLi4u,,W1ZpZWpvIGVydWRpdG9dCkhheSBwaXLDoW1pZGVzLCBlc2ZpbmdlcyB5IG90cmFzIHJ1aW5hcyBhbnRpZ3VhcyBwb3IgYXF1w60uClZpbmUgaGFzdGEgYXF1w60gY29uIG1pIGVzdHVkaWFudGUgcGFyYSBjb21wbGV0YXIgbWkgw7psdGltYSBpbnZlc3RpZ2FjacOzbi4uLg==
S/VxAw,,W09sZCBTY2hvbGFyXQpCdXQgd2hlbiBoZSBoZWFyZCBvZiBtaXJhZ2VzIGFuZCBidWlsZGluZ3MgaGlkZGVuIGluIHRoZSBzYW5kcywKaGUgc2FpZCB0aGF0IGhlIGhhZCB0byBzZWUgZm9yIGhpbXNlbGYsCmFuZCBoZSB3ZW50IHN0b3JtaW5nIG9mZiBvbiBoaXMgb3duIGFzIHNvb24gYXMgd2UgZ290IGhlcmUgdG8gTW9ycm9jLg==,,,,,W1ZlbGhvIFByb2Zlc3Nvcl0KUXVhbmRvIGVsZSBjaGVnb3UgZW0gTW9ycm9jLi4uClZpdSB1bWEgZm9ydGFsZXphIGRlbnRyZSBhcyBhcmVpYXMsIG1hcyBwYXJlY2lhIHVtYSBtaXJhZ2VtIQpFbGUgc2FpdSBzb3ppbmhvIHBhcmEgY29uZmVyaXIgc2UgZXJhIHJlYWwu,,W1ZpZWpvIGVydWRpdG9dClBlcm8sIGN1YW5kbyBvecOzIGhhYmxhciBkZSBlc3BlamlzbW9zIHkgZWRpZmljaW9zIG9jdWx0b3MgZW4gbGFzIGFyZW5hcywKZGlqbyBxdWUgdGVuw61hIHF1ZSB2ZXJsbyBjb24gc3VzIHByb3Bpb3Mgb2pvcwp5IHNlIGZ1ZSBmdXJpb3NvIHBvciBzdSBjdWVudGEgZW4gY3VhbnRvIGxsZWdhbW9zIGEgTW9ycm9jLg==
TPVxAw,,SXQncyBubyBzZWNyZXQuIEhlJ3MgbG9va2luZyBmb3IgdGhlIEFzc2Fzc2luIEd1aWxkLg==,,,,,w4kgcmVhbC4uLiDDqSBhIEd1aWxkYSBkb3MgTWVyY2Vuw6FyaW9zLg==,,Tm8gZXMgbmluZ8O6biBzZWNyZXRvLiBFc3TDoSBidXNjYW5kbyBhbCBncmVtaW8gZGUgQXNlc2lub3Mu
