YOXaAg,,Q2hhaW5oYXJ0,,,,,THVjIFRvbXdh,,Q29yYXrDs24gZGUgY2FkZW5h
YeXaAg,,PT0gQmxhY2tzbWl0aHMgY2FuJ3QgYWR2YW5jZSBkaXJlY3RseSB0byB0aGlzIDNyZCBqb2IuID09Cj09IFBsZWFzZSBiZWNvbWUgYSBNYXN0ZXJzbWl0aCBmaXJzdC4gPT0=,,,,,PT0gRmVycmVpcm9zIG7Do28gcG9kZW0gYXZhbsOnYXIgZGlyZXRhbWVudGUgcGFyYSBlc3NhIHRlcmNlaXJhIGNsYXNzZS4gPT0KPT0gVG9ybmUtc2UgdW0gTWVzdHJlIEZlcnJlaXJvIHByaW1laXJvLiA9PQ==,,PT0gTG9zIEhlcnJlcm9zIG5vIHB1ZWRlbiBhdmFuemFyIGRpcmVjdGFtZW50ZSBhIGVzdGUgM8K6IENsYXNlLiA9PQo9PSBQb3IgZmF2b3IsIGNvbnZpw6lydGV0ZSBwcmltZXJvIGVuIE1hZXN0cm8gSGVycmVyby4gPT0=
YuXaAg,,W0NoYWluaGFydF0KQmVpbmcgYSBNZWNoYW5pYyBpc24ndCBlYXN5LApidXQgSSdtIGhhcHB5CmJlY2F1c2UgSSBjYW4gZG8gd2hhdCBJIHdhbnQu,,,,,W0x1YyBUb213YV0KQSB2aWRhIGRlIHVtIE1lY8OibmljbyDDqSBkdXJhLAptYXMgc291IGZlbGl6IHBvcnF1ZSBzZW1wcmUgcG9zc28KZmF6ZXIgbyBxdWUgZXUgcXVlcm8u,,W0NoYWluaGFydF0KU2VyIE1lY8OhbmljbyBubyBlcyBmw6FjaWwsCnBlcm8gc295IGZlbGl6CnBvcnF1ZSBwdWVkbyBoYWNlciBsbyBxdWUgbWUgZ3VzdGEu
Y+XaAg,,W0NoYWluaGFydF0KSSBoYXZlIG5vdGhpbmcgc3BlY2lhbCB0byB0ZWxsIHlvdQphYm91dCBiZWluZyBhIE1lY2hhbmljIG9yIHRoZSBtYW5hIGVuZ2luZS4KSSdtIHN1cmUgeW91J3JlIGFscmVhZHkgZmFtaWxpYXIgd2l0aCBib3RoCnRvIGFuIGV4dGVudC4gV2hhdCBtYXR0ZXJzIGlzCnRoYXQgeW91IGJ1aWxkIHlvdXIgY2FyZWVyIGZyb20gbm93IG9uLg==,,,,,W0x1YyBUb213YV0KTsOjbyBow6EgbmFkYSBhIGRpemVyIGVzcGVjaWZpY2FtZW50ZSBzb2JyZSBNZWPDom5pY2Egb3UgbcOhcXVpbmFzIG3DoWdpY2FzLgpWb2PDqiBzYWJlcmlhIG1haXMgc29icmUgaXNzbyBkbyBxdWUgcXVhbHF1ZXIgb3V0cmEgcGVzc29hIGFnb3JhLg==,,W0NoYWluaGFydF0KTm8gdGVuZ28gbmFkYSBlc3BlY2lhbCBxdWUgZGVjaXJ0ZQpzb2JyZSBzZXIgTWVjw6FuaWNvIG8gc29icmUgZWwgbW90b3IgZGUgbWFuw6EuCkVzdG95IHNlZ3VybyBkZSBxdWUgeWEgc2FiZXMgc29icmUgYW1ib3MgYXN1bnRvcwpoYXN0YSBjaWVydG8gcHVudG8uIExvIHF1ZSBpbXBvcnRhIGVzCnF1ZSBkZXNhcnJvbGxlcyB0dSBjYXJyZXJhIGEgcGFydGlyIGRlIGFob3JhLg==
ZOXaAg,,W0NoYWluaGFydF0KRG9uJ3QgbGV0IHlvdXIga25vd2xlZGdlIHJvdCBpbiB5b3VyIGJyYWluLgpQdXQgaXQgaW50byBwcmFjdGljZS4KRXhwZXJpZW5jZSBhcyBtYW55IHRoaW5ncyBhcyB5byBjYW4hClRoYXQgd2F5LCB5b3UnbGwgY29uc3RhbnRseSBsZWFybgpuZXcgdGhpbmdzLg==,,,,,W0x1YyBUb213YV0KQ29udGludWUgYSBhdW1lbnRhciBvIHNldSBjb25oZWNpbWVudG8gYXByb3ZlaXRhbmRvIG8gcXVlIG8gbXVuZG8gdGVtIGEgb2ZlcmVjZXIu,,W0NoYWluaGFydF0KTm8gZGVqZXMgcXVlIHR1cyBjb25vY2ltaWVudG9zIHNlIHB1ZHJhbiBlbiB0dSBjZXJlYnJvLgpQb25sb3MgZW4gcHLDoWN0aWNhLgrCoUV4cGVyaW1lbnRhIHRhbnRvIGNvbW8gcHVlZGFzIQpBc8OtIGFwcmVuZGVyw6FzIGNvbnN0YW50ZW1lbnRlCmNvc2FzIG51ZXZhcy4=
ZeXaAg,,W0NoYWluaGFydF0KU29tZXRoaW5nJ3MgbWlzc2luZy4=,,,,,W0x1YyBUb213YV0KUGFyZWNlIHF1ZSBhbGdvIG7Do28gw6kgbyBzdWZpY2llbnRlPw==,,W0NoYWluaGFydF0KRmFsdGEgYWxnby4=
ZuXaAg,,W0NoYWluaGFydF0KV2h5IGRvbid0IHlvdSBnZXQgb2ZmIHlvdXIgbW91bnQgZmlyc3Q/,,,,,W0x1YyBUb213YV0KUG9yIHF1ZSB2b2PDqiBuw6NvIGRlc2NlIGRlIHN1YSBtb250YXJpYSBwcmltZWlybz8=,,W0NoYWluaGFydF0Kwr9Qb3IgcXXDqSBubyB0ZSBiYWphcyBkZSBsYSBtb250dXJhIHByaW1lcm8/
Z+XaAg,,W0NoYWluaGFydF0KLi4uSXQncyB5b3UuIEkgd29uZGVyZWQKd2hlcmUgeW91IGhhdmUgYmVlbi4gTW0uLi4KRXJyPyBXYWl0LCB5b3UgbG9vawpkaWZmZXJlbnQgZnJvbSB0aGUgbGFzdCB0aW1lLgpXaGF0IGhhcHBlbmVkIHRvIHlvdT8=,,,,,W0x1YyBUb213YV0KTyBxdWUgw6k/IFNlcsOhIHZvY8OqPwpPaCwgZXNwZXJlLCBxdWUgZGlmZXJlbsOnYSBkYSDDumx0aW1hIHZleiBxdWUgdmkgdm9jw6ouCkFjb250ZWNldSBhbGd1bWEgY29pc2E/,,W0NoYWluaGFydF0KLi4uRXJlcyB0w7ouIE1lIHByZWd1bnRhYmEKZMOzbmRlIGhhYsOtYXMgZXN0YWRvLiBNbS4uLgrCv0VoPyBFc3BlcmEsIHRlIHZlcwpkaWZlcmVudGUgZGUgbGEgw7psdGltYSB2ZXouCsK/UXXDqSB0ZSBwYXPDsz8=
aOXaAg,,W0NoYWluaGFydF0KLi4uQWgsIHlvdSByZWFsbHkgd2VudCB0byBKdXBlcm9zLApkaWRuJ3QgeW91PyBKdXN0IGxpa2UKRnJhbmtlbHNvbiBkaWQu,,,,,W0x1YyBUb213YV0KQWhoISBWb2PDqiBmb2kgYSBKdXBlcm9zLCAKY29tbyBldSBkaXNzZSwgY29tbyBGcmFua2Vsc29uIGRpc3NlLg==,,W0NoYWluaGFydF0KLi4uQWgsIGZ1aXN0ZSBhIEp1cGVyb3MsCsK/dmVyZGFkPyBBbCBpZ3VhbCBxdWUKRnJhbmtlbHNvbi4=
aeXaAg,,W0NoYWluaGFydF0KSSBkb24ndCB0aGluayBJIG5lZWQgdG8gYXNrIGFueSBtb3JlCnF1ZXN0aW9ucy4gSSdtIG5vdCBuZXcKdG8gdGhpcyBidXNpbmVzcy4gSSBjYW4gdGVsbAp5b3UndmUgc2F0aWF0ZWQgeW91ciB0aGlyc3QKZm9yIGtub3dsZWRnZS4=,,,,,W0x1YyBUb213YV0KUGFyZWNlIHF1ZSBuw6NvIGjDoSBuZWNlc3NpZGFkZSBkZSBtYWlzIHF1ZXN0aW9uYW1lbnRvcy4KRXN0b3UgY2VydG8gcXVlIHZvY8OqIG9idGV2ZSBjb25oZWNpbWVudG9zIHBhcmEgc2VyIHVtIHZlcmRhZGVpcm8gbWVjw6JuaWNvLg==,,W0NoYWluaGFydF0KQ3JlbyBxdWUgbm8gaGFjZSBmYWx0YSBxdWUgaGFnYSBtw6FzIHByZWd1bnRhcy4gTm8gc295IG51ZXZvCmVuIGVzdGUgbmVnb2Npby4gU2Ugbm90YSBxdWUKc2FjaWFzdGUgdHUgc2VkCmRlIGNvbm9jaW1pZW50by4=
auXaAg,,W0NoYWluaGFydF0KTm8gbW9yZSB0YWxrIGlzIG5lY2Vzc2FyeS4gWW91J3JlCmFsbCBidXQgYSBncmVhdCBNZWNoYW5pYyBhbHJlYWR5LgpEb24ndCBsZXQgdGhhdCB0aXRsZSwgTWVjaGFuaWMsCmludGltaWRhdGUgeW91LgpXaGF0IG1hdHRlcnMgaXMKaG93IG11Y2ggeW91IGtub3cu,,,,,W0x1YyBUb213YV0KTsOjbyBow6EgbWFpcyBuYWRhIHF1ZSBldSBwb3NzYSBkaXplci4KVm9jw6ogasOhIMOpIHVtIGdyYW5kZSBNZWPDom5pY28uCk7Do28gcGVyY2EgYSBjYWxtYSBjb20gbyAKdMOtdHVsby4gQSBjb2lzYSBtYWlzIGltcG9ydGFudGUgw6kgcXVhbnRvIGNvbmhlY2ltZW50byB2b2PDqiB0ZW0u,,W0NoYWluaGFydF0KTm8gaGFjZSBmYWx0YSBoYWJsYXIgbcOhcy4gWWEgZXJlcwpwcsOhY3RpY2FtZW50ZSB1biBncmFuIE1lY8Ohbmljby4KTm8gZGVqZXMgcXVlIGVsIHTDrXR1bG8gZGUgTWVjw6FuaWNvCnRlIGludGltaWRlLgpMbyBxdWUgaW1wb3J0YSBlcwpjdcOhbnRvIHNhYmVzLg==
