gF05Bw,,c3RhcnQ=,,,,,Y29tZcOnYXI=,,aW5pY2lhcg==
gV05Bw,,dGltZXI=,,,,,Y3JvbsO0bWV0cm8=,,dGVtcG9yaXphZG9y
gl05Bw,,SW4gMSBtaW51dGUsIEtWTSB3aWxsIHN0YXJ0Lg==,,,,,RW0gMSBtaW51dG8sIG8gS1ZNIHZhaSBjb21lw6dhci4=,,S1ZNIGNvbWVuemFyw6EgZW4gMW1pbnV0by4=
g105Bw,,VGhlIG1heGltdW0gdGltZSBmb3IgYSBLVk0gYmF0dGxlIGlzIDUgbWludXRlcy4=,,,,,TyB0ZW1wbyBtw6F4aW1vIHBhcmEgdW1hIGJhdGFsaGEgS1ZNIMOpIGRlIDUgbWludXRvcy4=,,RWwgdGllbXBvIG3DoXhpbW8gZGUgdW5hIGJhdGFsbGEgS1ZNIGVzIGRlIDVtaW51dG9zLg==
hF05Bw,,UGxlYXNlIHByZXBhcmUgZm9yIHRoZSBLVk0gYmF0dGxlLg==,,,,,UHJlcGFyZS1zZSBwYXJhIGEgYmF0YWxoYSBLVk0u,,UHJlcMOhcmF0ZSBwYXJhIGxhIGJhdGFsbGEgS1ZNLg==
hV05Bw,,MzAgc2Vjb25kcyByZW1haW5pbmcgdG8gc3RhcnQgS1ZNIGJhdHRsZS4=,,,,,RmFsdGFtIDMwIHNlZ3VuZG9zIHBhcmEgYSBiYXRhbGhhIEtWTSBjb21lw6dhci4=,,RmFsdGFuIDMwc2VndW5kb3MgcGFyYSBjb21lbnphciBsYSBiYXRhbGxhIEtWTS4=
hl05Bw,,MTUgc2Vjb25kcyByZW1haW5pbmcgdG8gc3RhcnQgS1ZNIGJhdHRsZS4=,,,,,RmFsdGFtIDE1IHNlZ3VuZG9zIHBhcmEgYSBiYXRhbGhhIEtWTSBjb21lw6dhci4=,,RmFsdGFuIDE1IHNlZ3VuZG9zIHBhcmEgY29tZW56YXIgbGEgYmF0YWxsYSBLVk0u
h105Bw,,MTAgc2Vjb25kcyByZW1haW5pbmcgdG8gc3RhcnQgS1ZNIGJhdHRsZS4=,,,,,RmFsdGFtIDEwIHNlZ3VuZG9zIHBhcmEgYSBiYXRhbGhhIEtWTSBjb21lw6dhci4=,,RmFsdGFuIDEwIHNlZ3VuZG9zIHBhcmEgY29tZW56YXIgbGEgYmF0YWxsYSBLVk0u
iF05Bw,,NSBzZWNvbmRzIHJlbWFpbmluZyB0byBzdGFydCBLVk0gYmF0dGxlLg==,,,,,RmFsdGFtIDUgc2VndW5kb3MgcGFyYSBhIGJhdGFsaGEgS1ZNIGNvbWXDp2FyLg==,,RmFsdGFuIDUgc2VndW5kb3MgcGFyYSBjb21lbnphciBsYSBiYXRhbGxhIEtWTS4=
iV05Bw,,S1ZNIGlzIG5vdyBjb21tZW5jaW5nLg==,,,,,TyBLVk0gdmFpIGNvbWXDp2FyIGFnb3JhLg==,,S1ZNIHZhIGEgY29tZW56YXIgYWhvcmEu
il05Bw,,MSBtaW51dGUgcmVtYWluaW5nIHRvIGZpbmlzaCB0aGUgS1ZNIGJhdHRsZS4=,,,,,RmFsdGEgMSBtaW51dG8gcGFyYSBhIGJhdGFsaGEgS1ZNIHRlcm1pbmFyLg==,,UXVlZGEgMW1pbnV0byBwYXJhIHF1ZSB0ZXJtaW5lIGxhIGJhdGFsbGEgS1ZNLg==
