IIL9BQ,652867Kk642U,TGF2ZW5kZXI=,,,,,TGF2YW5kYQ==,,TGF2YW5kYQ==
IYL9BQ,POupnOuhoCDstpXsoJw+,PE1lbG9uIEZlc3RpdmFsPg==,,,,,PEZlc3RpdmFsIGRvIE1lbMOjbz4=,,PEZlc3RpdmFsIGRlbCBNZWzDs24+
IoL9BQ,W+udvOuypOuNlF0K66mc66GgIOyImO2ZlSDquLDrhZAg7LaV7KCc7JeQIOyYpOyLoCDqsoPsnYQg7ZmY7JiB7ZWp64uI64ukIQrrqqjtl5jqsIAg67aE65Ok7J2EIOychO2VnCDsnbTrsqTtirjrj4Qg66eI66Co65CY7Ja0IOyeiOyKteuLiOuLpC4K66eO7J2AIOywuOyXrCDrtoDtg4Hrk5zrpr3ri4jri6Qh,W0xhdmVuZGVyXQpXZWxjb21lIHRvIHRoZSBNZWxvbiBGZXN0YSEKV2UgYWxzbyBoYXZlIGV2ZW50cyBwcmVwYXJlZCBmb3IgYWR2ZW50dXJlcnMuCldlIGhvcGUgZm9yIHlvdXIgZW50aHVzaWFzdGljIHBhcnRpY2lwYXRpb24h,,,,,W0xhdmFuZGFdCkJlbS12aW5kbyBhbyBGZXN0aXZhbCBkYSBDb2xoZWl0YSBkbyBNZWzDo28hClRhbWLDqW0gdGVtb3MgZXZlbnRvcyBwcmVwYXJhZG9zIHBhcmEgb3MgdmlhamFudGVzLgpQb3IgZmF2b3IsIHBhcnRpY2lwZSBiYXN0YW50ZSE=,,W0xhdmFuZGFdCsKhQmllbnZlbmlkbyBhbCBGZXN0aXZhbCBkZSBsYSBDb3NlY2hhIGRlbCBNZWzDs24hClRhbWJpw6luIHRlbmVtb3MgZXZlbnRvcyBwcmVwYXJhZG9zIHBhcmEgbG9zIHRyb3RhbXVuZG9zLgrCoVBhcnRpY2lwZW4gbXVjaG8h
I4L9BQ,W+udvOuypOuNlF0K7Ja0LCDrqqjtl5jqsIDri5jsnYAg7JWE7KeBIOugiOuyqOydtCDsobDquIgg64Ku7Jy87Iuc64Sk7JqULgrri6TsnYzsl5Ag67aA7YOB65Oc66a06rKM7JqULg==,W0xhdmVuZGVyXQpPaCwgYWR2ZW50dXJlciwgeW91ciBsZXZlbCBpcyBzdGlsbCBhIGJpdCBsb3cuClBsZWFzZSBjb21lIGJhY2sgYW5vdGhlciB0aW1lLg==,,,,,W0xhdmFuZGFdClZpYWphbnRlLCBzZXUgbsOtdmVsIGFpbmRhIGVzdMOhIHVtIHBvdWNvIGJhaXhvLgpEZWl4YSBwYXJhIGEgcHLDs3hpbWEsIGVzdMOhIGJlbT8=,,W0xhdmFuZGFdCk9oLCB0cm90YW11bmRvcywgdG9kYXbDrWEgdGllbmVzIHVuIG5pdmVsIGFsZ28gYmFqby4KRMOpamFsbyBwYXJhIGxhIHByw7N4aW1hLCDCv3PDrT8=
JIL9BQ,PT0yMOugiOuyqCDsnbTsg4Eg7YCY7Iqk7Yq47J6F64uI64ukPT0=,PT1UaGlzIGlzIGEgcXVlc3QgZm9yIGxldmVsIDIwIG9yIGFib3ZlLj09,,,,,PT1Jc3NvIMOpIHVtYSBtaXNzw6NvIGRlIG7DrXZlbCAyMCBvdSBzdXBlcmlvci49PQ==,,PT1Fc3RhIGVzIHVuYSBtaXNpw7NuIGRlIG5pdmVsIDIwIG8gc3VwZXJpb3IuPT0=
JYL9BQ,LSDshozsp4DtlZjqs6Ag6rOE7IugIOyVhOydtO2FnOydtCDrp47slYQg7YCY7Iqk7Yq466W8IOynhO2Wie2VoCDsiJgg7JeG7Iq164uI64ukLiAt,LSBZb3UgaGF2ZSB0b28gbWFueSBpdGVtcyBpbiB5b3VyIHBvc3Nlc3Npb24gYW5kIGNhbm5vdCBwcm9jZWVkIHdpdGggdGhlIHF1ZXN0LiAt,,,,,LSBWb2PDqiBlc3TDoSBjb20gbXVpdG9zIGl0ZW5zIGUgbsOjbyBwb2RlIHByb3NzZWd1aXIgY29tIGEgbWlzc8Ojby4gLQ==,,LSBUaWVuZXMgZGVtYXNpYWRvcyBvYmpldG9zIHkgbm8gcHVlZGVzIGNvbnRpbnVhciBjb24gbGEgbWlzacOzbi4gLQ==
JoL9BQ,W+udvOuypOuNlF0K66mc66GgIOyImO2ZlSDquLDrhZAg7LaV7KCc7JeQIOyYpOyLoCDqsoPsnYQg7ZmY7JiB7ZWp64uI64ukIQrrqqjtl5jqsIAg67aE65Ok7J2EIOychO2VnCDsnbTrsqTtirjrj4Qg66eI66Co65CY7Ja0IOyeiOycvOuLiCDrp47snYAg7LC47JesIOu2gO2DgeuTnOumveuLiOuLpCEh,W0xhdmVuZGVyXQpXZWxjb21lIHRvIHRoZSBNZWxvbiBGZXN0YSEKV2UgaGF2ZSBldmVudHMgcHJlcGFyZWQgZm9yIGFkdmVudHVyZXJzIGFzIHdlbGwsIHNvIHBsZWFzZSBwYXJ0aWNpcGF0ZSBlbnRodXNpYXN0aWNhbGx5ISE=,,,,,W0xhdmFuZGFdCkJlbS12aW5kbyBhbyBGZXN0aXZhbCBkYSBDb2xoZWl0YSBkbyBNZWzDo28hClRhbWLDqW0gdGVtb3MgZXZlbnRvcyBwYXJhIG9zIHZpYWphbnRlcywgZW50w6NvIHBhcnRpY2lwZSBiYXN0YW50ZSEh,,W0xhdmFuZGFdCsKhQmllbnZlbmlkbyBhbCBGZXN0aXZhbCBkZSBsYSBDb3NlY2hhIGRlbCBNZWzDs24hClRhbWJpw6luIHRlbmVtb3MgZXZlbnRvcyBwYXJhIGxvcyB0cm90YW11bmRvcywgwqFhc8OtIHF1ZSBwYXJ0aWNpcGVuIG11Y2hvISE=
J4L9BQ,W+udvOuypOuNlF0KLi4u7Jis7ZW064qUIOuzgOyihSDrqZzroaAuLi4K7JWE64uILi4uIOyLoO2SiOyiheydtC4uLgrtg4jstpwuLi4g7JWE64uILCDsnKDstpwuLi4=,W0xhdmVuZGVyXQouLi5UaGlzIHllYXIsIGEgbXV0YW50IG1lbG9uLi4uCk5vLi4uIGEgbmV3IGJyZWVkLi4uCkVzY2FwZWQuLi4gbm8sIGxlYWtlZC4uLg==,,,,,W0xhdmFuZGFdCi4uLkVzdGUgYW5vLCB1bSBtZWzDo28gbXV0YW50ZS4uLgpOw6NvLi4uIHVtYSBub3ZhIGVzcMOpY2llLi4uCkZ1Z2l1Li4uIHF1ZXIgZGl6ZXIsIHZhem91Li4u,,W0xhdmFuZGFdCi4uLkVzdGUgYcOxbywgdW4gbWVsw7NuIG11dGFudGUuLi4KTm8uLi4gdW5hIG51ZXZhIHZhcmllZGFkLi4uClNlIGVzY2Fww7MuLi4gZGlnbywgc2UgZmlsdHLDsy4uLg==
KIL9BQ,65Sc7Y+s7Ja0IDog7KOE7Iah7ZWp64uI64ukLi4u,VmFuaWxsYTogSSdtIHNvIHNvcnJ5Li4u,,,,,RMOhbGlhOiBNZSBkZXNjdWxwYS4uLg==,,VHVsaXBhOiBMbyBzaWVudG8uLi4=
KYL9BQ,W+udvOuypOuNlF0K7JWE64uILi4uIOyWtC4uLg==,W0xhdmVuZGVyXQpOby4uLiB1aC4uLg==,,,,,W0xhdmFuZGFdCk7Do28uLi4gdWguLi4=,,W0xhdmFuZGFdCk5vLi4uIHVoLi4u
KoL9BQ,LS0g652867Kk642U64qUIOyGkOuwlOuLpeyXkCDqsJDstpgg66mU66qo66W8IOqzgeuIiOyniO2WiOuLpC4gLS0=,LS0gTGF2ZW5kZXIgZ2xhbmNlZCBhdCB0aGUgbm90ZSBoaWRkZW4gaW4gaGVyIHBhbG0uIC0t,,,,,LS0gTGF2YW5kYSBkZXUgdW1hIG9saGFkYSBkZSByZWxhbmNlIG5vIGJpbGhldGUgZXNjb25kaWRvIG5hIHBhbG1hIGRhIG3Do28uIC0t,,LS0gTGF2YW5kYSBsZSBlY2jDsyB1biB2aXN0YXpvIGRlIHJlb2pvIGFsIHBhcGVsIGVzY29uZGlkbyBlbiBzdSBwYWxtYS4gLS0=
