ALoQDQ,,QWhpcg==,,,,,QWhpcg==,,QWhpcg==
AboQDQ,,QWhpcjogWWFhYXduLi4uLi4uIEkgYW0gc28sIHNvIHNsZWVweS4=,,,,,QWhpcjogSGFhYW0uLi4uLi4gZXN0b3UgY29tIHRhbnRvLCB0YW50byBzb25vLg==,,QWhpcjogQm9zdGV6by4uLi4uLiB0ZW5nbyBtdWNow61zaW1vIHN1ZcOxby4=
AroQDQ,,QWhpcjogU2xlZXB5Li4uLi4uIEkgYW0gc28gdGlyZWQu,,,,,QWhpcjogQ29tIHNvbm8uLi4uLi4gZXN0b3UgdMOjbyBjYW5zYWRvLg==,,QWhpcjogVGVuZ28gc3Vlw7FvLi4uLi4uIGVzdG95IGFnb3RhZG8u
A7oQDQ,,QWhpcjogVWdoLi4uLi4uIEkgd2FudCB0byBzbGVlcCBtb3JlLg==,,,,,QWhpcjogVWdoLi4uLi4uIHF1ZXJpYSBkb3JtaXIgbWFpcy4=,,QWhpcjogVXVnaC4uLi4uLiBxdWllcm8gZG9ybWlyIG3DoXMu
BLoQDQ,,XjRENERGRlRoZSBwZW9wbGUgb2YgR3JheSBXb2xmIFZpbGxhZ2UgaGF2ZSBhY2NlcHRlZCB5b3UgYXMgYSBtZW1iZXIgb2YgdGhlIHZpbGxhZ2UuXjAwMDAwMApeNEQ0REZGWW91IGFyZSBub3cgcXVhbGlmaWVkIHRvIGF0dGVuZCB0aGUgR3JhbmQgQ291bmNpbC5eMDAwMDAw,,,,,XjRENERGRkFzIHBlc3NvYXMgZGEgQWxkZWlhIGRvIExvYm8gQ2luemVudG8gYWNlaXRhcmFtIHZvY8OqIGNvbW8gdW0gbWVtYnJvIGRhIHZpbGEuXjAwMDAwMApeNEQ0REZGVm9jw6ogYWdvcmEgcG9kZSBwYXJ0aWNpcGFyIGRvIEdyYW5kZSBDb25zZWxoby5eMDAwMDAw,,XjRENERGRkxhIGdlbnRlIGRlIFB1ZWJsbyBkZWwgTG9ibyBHcmlzIHRlIGhhIGFjZXB0YWRvIGNvbW8gdW5vIG3DoXMgZGVsIHB1ZWJsby5eMDAwMDAwCl40RDRERkZIYXMgb2J0ZW5pZG8gZWwgZGVyZWNobyBhIGFzaXN0aXIgYWwgR3JhbiBDb25zZWpvLl4wMDAwMDA=
BboQDQ,,IC0gVGhpcyBxdWVzdCBjYW4gYmUgdW5kZXJ0YWtlbiBhdCBsZXZlbCAxNzAgb3IgaGlnaGVyIC0=,,,,,IC0gRXN0YSDDqSB1bWEgbWlzc8OjbyBxdWUgcG9kZSBzZXIgcmVhbGl6YWRhIGEgcGFydGlyIGRvIG7DrXZlbCAxNzAgLQ==,,IC0gRXMgdW5hIG1pc2nDs24gcXVlIHNlIHB1ZWRlIHJlYWxpemFyIGEgcGFydGlyIGRlbCBuaXZlbCAxNzAgLQ==
BroQDQ,,W0FoaXJdCkFoLCBhbiBvdXRzaWRlci4uLi4uLg==,,,,,W0FoaXJdCkFoLCBtYWlzIHVtYSBwZXNzb2EgZGUgZm9yYS4uLi4uLg==,,W0FoaXJdCkFoLCBvdHJhIHBlcnNvbmEgcXVlIHZpZW5lIGRlbCBleHRyYW5qZXJvLi4u
B7oQDQ,,W0FoaXJdCllhYWF3bi4uLi4uLiBIdWg/IFNvbWVvbmUgSSBoYXZlIG5vdCBzZWVuIGJlZm9yZS4gQXJlIHlvdSBhIG5ldyBtZW1iZXIgb2YgR3JheSBXb2xmIFZpbGxhZ2U/CllhYWF3bi4uLi4uLg==,,,,,W0FoaXJdCkhhYWFtLi4uLi4uIG9yYT8gVW0gcm9zdG8gcXVlIG7Do28gY29uaGXDp28uIFZvY8OqIMOpIHVtIG5vdm8gbWVtYnJvIGRhIEFsZGVpYSBkbyBMb2JvIENpbnplbnRvPwpVaGFhYW0uLi4uLi4=,,W0FoaXJdCkJvc3Rlem8uLi4uLi4gwr9laD8gTm8gdGUgaGFiw61hIHZpc3RvIGFudGVzLiDCv0VyZXMgbnVldm8gZW4gUHVlYmxvIGRlbCBMb2JvIEdyaXM/CkJvc3RlZXpvLi4uLi4uLg==
CLoQDQ,,RGlkIHlvdSBub3Qgc2xlZXAgd2VsbCBsYXN0IG5pZ2h0Pw==,,,,,Vm9jw6ogbsOjbyBjb25zZWd1aXUgZG9ybWlyIGJlbSDDoCBub2l0ZT8=,,wr9ObyBoYXMgZG9ybWlkbyBiaWVuIHBvciBsYSBub2NoZT8=
CboQDQ,,W0FoaXJdCk5vLCBJIGRpZCBub3QgZ2V0IGEgd2luayBvZiBzbGVlcC4KWWFhYXduLi4uLi4uIEluIEdyYXkgV29sZiBGb3Jlc3QsIGFsbCBraW5kcyBvZiBzb3VuZHMgY2FuIGJlIGhlYXJkIHdoZW4geW91IGxpZSBkb3duIHRvIHNsZWVwLg==,,,,,W0FoaXJdCk7Do28sIG7Do28gY29uc2VndWkgZG9ybWlyIG5lbSB1bSBwb3Vjby4KSGFhYW0uLi4uLi4gcXVhbmRvIGV1IG1lIGRlaXRvIHBhcmEgZG9ybWlyIG5hIEZsb3Jlc3RhIGRvIExvYm8gQ2luemVudG8gKDEpLCBkw6EgcGFyYSBvdXZpciB0b2RvIHRpcG8gZGUgc29tLg==,,W0FoaXJdCk5vLCBubyBoZSBwZWdhZG8gb2pvLgpCb3N0ZXpvLi4uLi4uIEVuIEJvc3F1ZSBkZWwgTG9ibyBHcmlzICgxKSwgY3VhbmRvIG1lIHR1bWJvIHBhcmEgZG9ybWlyLCBzZSBveWUgZGUgdG9kby4=
CroQDQ,,W0FoaXJdClRoZSBzb3VuZCBvZiBncmFzcyBidWdzLCB0aGUgc291bmQgb2YgYWR1bHRzIHRhbGtpbmcsIHRoZSBzb3VuZHMgb2YgYmVhc3RzLi4uLi4uCkJ1dCB0aGUgbW9zdCBzbGVlcC1kaXNydXB0aW5nIG9mIGFsbCBhcmUgdGhlIGNyaWVzIG9mIGFsbCBzb3J0cyBvZiBtb25zdGVycy4=,,,,,W0FoaXJdCk8gc29tIGRvcyBpbnNldG9zIGRlIGdyYW1hLCBvIHNvbSBkb3MgYWR1bHRvcyBjb252ZXJzYW5kbywgbyBzb20gZG9zIGFuaW1haXMuLi4uLi4uCk8gcXVlIG1haXMgYXRyYXBhbGhhIG8gc29ubyDDqSBvIGNob3JvIGRlIHRvZG8gdGlwbyBkZSBtb25zdHJvLg==,,W0FoaXJdCkVsIHNvbmlkbyBkZSBsb3MgaW5zZWN0b3MsIGxhcyB2b2NlcyBkZSBsb3MgYWR1bHRvcywgbG9zIHNvbmlkb3MgZGUgbGFzIGJlc3RpYXMuLi4uLi4uCkxvIHF1ZSBtw6FzIG1lIGltcGlkZSBkb3JtaXIgc29uIGxvcyBncml0b3MgZGUgdG9kYSBjbGFzZSBkZSBtb25zdHJ1b3Mu
