YK4/DA,7JiI7Ja47J6QIEs=,UHJvcGhldCBL,,,,,UHJvZmV0YSBL,,UHJvZmV0YSBL
Ya4/DA,7IaM7KeA7ZWY6rOgIOqzhOyLnOuKlCDslYTsnbTthZzsnZgg6rCv7IiY6rCAIOunjuyVhCDtgJjsiqTtirjrpbwg7KeE7ZaJIO2VoCDsiJgg7JeG7Iq164uI64ukLgrslYTsnbTthZzsnYQg7KCV66as7ZWcIOuSpCDri6Tsi5wg7Iuc64+E7ZW0IOyjvOyLnOq4sCDrsJTrno3ri4jri6Qu,VGhlIG51bWJlciBvZiBpdGVtcyB5b3UgcG9zc2VzcyBpcyB0b28gaGlnaCwgYW5kIHlvdSBjYW5ub3QgcHJvY2VlZCB3aXRoIHRoZSBxdWVzdC4KUGxlYXNlIG9yZ2FuaXplIHlvdXIgaXRlbXMgYW5kIHRyeSBhZ2Fpbi4=,,,,,TyBuw7ptZXJvIGRlIGl0ZW5zIHF1ZSB2b2PDqiBwb3NzdWkgw6kgbXVpdG8gYWx0bywgZSB2b2PDqiBuw6NvIHBvZGUgcHJvc3NlZ3VpciBjb20gYSBtaXNzw6NvLgpQb3IgZmF2b3IsIG9yZ2FuaXplIHNldXMgaXRlbnMgZSB0ZW50ZSBub3ZhbWVudGUu,,VGllbmVzIGRlbWFzaWFkb3Mgb2JqZXRvcyBlbiB0dSBwb3Nlc2nDs24geSBubyBwdWVkZXMgY29udGludWFyIGNvbiBsYSBtaXNpw7NuLgpQb3IgZmF2b3IsIG9yZ2FuaXphIHR1cyBvYmpldG9zIGUgaW50w6ludGFsbyBkZSBudWV2by4=
Yq4/DA,W+yYiOyWuOyekCBLXQrrgpjripQg7JiI7Ja47J6QIEvrnbzqs6Ag7ZWY64SkLAoxMuyngOyLoOydhCDrqqjsi5zqs6Ag7J6I64qUCuyCrOygnOydtOq4sOuPhCDtlZjrqbAsCuyjvOuhnCDsmIjsp4Drqr3snYQg7J207Jqp7ZW0CuuvuOuemOulvCDsmIjsuKHtlZjqs6DripQg7ZWY7KeALg==,W1Byb3BoZXQgS10KSSBhbSBjYWxsZWQgUHJvcGhldCBLLgpJIGFtIGFsc28gYSBwcmllc3QKd2hvIHNlcnZlcyB0aGUgMTIgWm9kaWFjIERlaXRpZXMsCmFuZCBJIG1haW5seSB1c2UgcHJlY29nbml0aXZlIGRyZWFtcwp0byBwcmVkaWN0IHRoZSBmdXR1cmUu,,,,,W1Byb2ZldGEgS10KTWV1IG5vbWUgw6kgUHJvZmV0YSBLLgpUYW1iw6ltIHNvdSB1bSBzYWNlcmRvdGUKcXVlIHNlcnZlIGFzIDEyIERpdmluZGFkZXMgZG8gWm9kw61hY28sCmUgZXUgdXNvIHByaW5jaXBhbG1lbnRlIHNvbmhvcyBwcmVtb25pdMOzcmlvcwpwYXJhIHByZXZlciBvIGZ1dHVyby4=,,W1Byb2ZldGEgS10KTWUgbGxhbWFuIFByb2ZldGEgSy4KVGFtYmnDqW4gc295IHVuIHNhY2VyZG90ZQpxdWUgc2lydmUgYSBsYXMgMTIgRGVpZGFkZXMgZGVsIFpvZMOtYWNvLAp5IHByaW5jaXBhbG1lbnRlIHVzbyBzdWXDsW9zIHByZW1vbml0b3Jpb3MKcGFyYSBwcmVkZWNpciBlbCBmdXR1cm8u
Y64/DA,W+yYiOyWuOyekCBLXQrslrTsoJwg7KCA64WB7JeQIOuTnOuUlOyWtAoxMuyngOyLoOydmCDqs4Tsi5zrpbwg67Cb7JWECuyeoOydhCDsnpDri6TqsIAg7JiI7KeA66q97J2EIOq/qOyWtC4uCuydtOqxtCDsoJXrp5Ag7KSR7JqU7ZWcCuq/iCDsnbgg6rKDIOqwmeyVhCwg6re4656Y7IScIOuCtOqwgArrtoDtg4HtlaAg7IKs656M7J20IO2VhOyalO2VnOuNsC4u,W1Byb3BoZXQgS10KTGFzdCBuaWdodCwgSSBmaW5hbGx5CnJlY2VpdmVkIGEgcmV2ZWxhdGlvbiBmcm9tIHRoZSAxMiBab2RpYWMgRGVpdGllcwphbmQgaGFkIGEgcHJlY29nbml0aXZlIGRyZWFtIHdoaWxlIHNsZWVwaW5nLi4uClRoaXMgc2VlbXMgbGlrZSBhIHZlcnkgaW1wb3J0YW50CmRyZWFtLCBzbyBJIG5lZWQKc29tZW9uZSB0byBkbyBtZSBhIGZhdm9yLi4u,,,,,W1Byb2ZldGEgS10KT250ZW0gw6Agbm9pdGUsIGV1IGZpbmFsbWVudGUKcmVjZWJpIHVtYSByZXZlbGHDp8OjbyBkYXMgMTIgRGl2aW5kYWRlcyBkbyBab2TDrWFjbwplIHRpdmUgdW0gc29uaG8gcHJlbW9uaXTDs3JpbyBlbnF1YW50byBkb3JtaWEuLi4KRXN0ZSBwYXJlY2Ugc2VyIHVtIHNvbmhvIG11aXRvCmltcG9ydGFudGUsIGVudMOjbyBwcmVjaXNvCnF1ZSBhbGd1w6ltIG1lIGZhw6dhIHVtIGZhdm9yLi4u,,W1Byb2ZldGEgS10KQW5vY2hlLCBmaW5hbG1lbnRlCnJlY2liw60gdW5hIHJldmVsYWNpw7NuIGRlIGxhcyAxMiBEZWlkYWRlcyBkZWwgWm9kw61hY28KeSB0dXZlIHVuIHN1ZcOxbyBwcmVtb25pdG9yaW8gbWllbnRyYXMgZG9ybcOtYS4uLgpQYXJlY2UgdW4gc3Vlw7FvIG11eQppbXBvcnRhbnRlLCBhc8OtIHF1ZSBuZWNlc2l0bwpxdWUgYWxndWllbiBtZSBoYWdhIHVuIGZhdm9yLi4u
ZK4/DA,XjhCNDUxM+yYiOyngOuqvV4wMDAwMDDsl5Ag64yA7ZW07IScIOuTo+uKlOuLpC4=,TGlzdGVuIGFib3V0IHRoZSBeOEI0NTEzcHJlY29nbml0aXZlIGRyZWFtXjAwMDAwMC4=,,,,,T3V2aXIgc29icmUgbyBeOEI0NTEzc29uaG8gcHJlbW9uaXTDs3Jpb14wMDAwMDAu,,RXNjdWNoYXIgc29icmUgZWwgXjhCNDUxM3N1ZcOxbyBwcmVtb25pdG9yaW9eMDAwMDAwLg==
Za4/DA,7JiI7Ja47J6QIEvsnZggXjhCNDUxM+u2gO2DgV4wMDAwMDDsnYQg65Ok7Ja067O464uk,SGVhciBQcm9waGV0IEsncyBeOEI0NTEzcmVxdWVzdF4wMDAwMDA=,,,,,T3V2aXIgbyBeOEI0NTEzcGVkaWRvXjAwMDAwMCBkbyBQcm9mZXRhIEsu,,RXNjdWNoYXIgbGEgXjhCNDUxM3NvbGljaXR1ZF4wMDAwMDAgZGVsIFByb2ZldGEgSw==
Zq4/DA,64yA7ZmU66W8IOyiheujjO2VnOuLpA==,RW5kIHRoZSBjb252ZXJzYXRpb24u,,,,,RW5jZXJyYXIgYSBjb252ZXJzYS4=,,VGVybWluYXIgbGEgY29udmVyc2FjacOzbi4=
Z64/DA,W+yYiOyWuOyekCBLXQrqt7jrnpgg6re4IOq/iOydgCDrp4jsuZgK7JWE7KO8IOyWtOuRkOy7tOy7tO2VnCDrrLTtlZzsnZgK6rO16rCE7LKY65+8IOuKkOq7tOyhjOyWtC4K7LmZ7LmZ7ZWY6rOgLCDsnYzsgrDtlZjqs6Ag7Iq17ZWY6rOgLi4K7Ja065GQ7Jq0IOqzsyDsnbTsl4jsp4Au,W1Byb3BoZXQgS10KWWVzLCB0aGF0IGRyZWFtIGZlbHQKbGlrZSBhIHZlcnkgZGFyaywgaW5maW5pdGUKc3BhY2UuCkl0IHdhcyBnbG9vbXksIGVlcmllLCBkYW1wLi4uCmEgZGFyayBwbGFjZS4=,,,,,W1Byb2ZldGEgS10KU2ltLCBhcXVlbGUgc29uaG8gcGFyZWNpYQp1bSBlc3Bhw6dvIGluZmluaXRvIGUgbXVpdG8gZXNjdXJvLgpFcmEgdW0gbHVnYXIgc29tYnJpbywgbMO6Z3VicmUsCsO6bWlkbyBlIGVzY3Vyby4=,,W1Byb2ZldGEgS10KU8OtLCBlc2Ugc3Vlw7FvIHNlIHNpbnRpw7MKY29tbyB1biBlc3BhY2lvIG11eSBvc2N1cm8sCmluZmluaXRvLgpFcmEgbMO6Z3VicmUsIGVzcGVsdXpuYW50ZSwgaMO6bWVkby4uLgp1biBsdWdhciBvc2N1cm8u
aK4/DA,W+yYiOyWuOyekCBLXQrqt7jrlYzsmIDslrQgMTLsp4Dsi6Ag7KSRCuylkOydmCDsi6Dqu5jshJwg64K0IOyVnuyXkArrgpjtg4Drgpjshajqs6AsCuqzpyDso7zrs4DsnYAg7KCE7J+B7YSw66GcIOuwlOuAjOyXiOyngC4K7KCV7Iug7J2EIOywqOumrOqzoCDsgrTtjrTrs7Tri4gK6re4IOqzs+ydgCDtlITroaDthYzrnbzsmIDslrQu,W1Byb3BoZXQgS10KVGhhdCdzIHdoZW4gaXQgaGFwcGVuZWQuIE9uZSBvZiB0aGUgMTIgWm9kaWFjIERlaXRpZXMsCnRoZSBHb2Qgb2YgTWljZSwgYXBwZWFyZWQKYmVmb3JlIG1lLAphbmQgc29vbiB0aGUgc3Vycm91bmRpbmdzIGNoYW5nZWQgaW50byBhIGJhdHRsZWZpZWxkLgpXaGVuIEkgZ2F0aGVyZWQgbXkgc2Vuc2VzIGFuZCBsb29rZWQgYXJvdW5kLAp0aGF0IHBsYWNlIHdhcyBQcm9udGVyYS4=,,,,,W1Byb2ZldGEgS10KRm9pIGVudMOjbyBxdWUgYWNvbnRlY2V1LiBVbWEgZGFzIDEyIERpdmluZGFkZXMgZG8gWm9kw61hY28sCm8gRGV1cyBSYXRvLCBhcGFyZWNldQpkaWFudGUgZGUgbWltLAplIGxvZ28gbyBhbWJpZW50ZSBzZSB0cmFuc2Zvcm1vdSBlbSB1bSBjYW1wbyBkZSBiYXRhbGhhLgpRdWFuZG8gbWUgcmVjb21wdXMgZSBvbGhlaSBhbyByZWRvciwKYXF1ZWxlIGx1Z2FyIGVyYSBQcm9udGVyYS4=,,W1Byb2ZldGEgS10KRnVlIGVudG9uY2VzLiBVbmEgZGUgbGFzIDEyIERlaWRhZGVzIGRlbCBab2TDrWFjbywKZWwgRGlvcyBkZSBsb3MgUmF0b25lcywgYXBhcmVjacOzCmFudGUgbcOtLAp5IHByb250byBsb3MgYWxyZWRlZG9yZXMgc2UgdHJhbnNmb3JtYXJvbiBlbiB1biBjYW1wbyBkZSBiYXRhbGxhLgpDdWFuZG8gcmVjb2Jyw6kgZWwgc2VudGlkbyB5IG1pcsOpIGEgbWkgYWxyZWRlZG9yLAplc2UgbHVnYXIgZXJhIFByb250ZXJhLg==
aa4/DA,W+yYiOyWuOyekCBLXQrqt7gg65WMIOyVjOqyjCDrkJjsl4jsp4AsCuyVhCDsnbTqsbQg7JiI7KeA66q97J2064ukIQrsoITsn4HsnbQg6rOnISDslZ7snLzroZwK7J287Ja064KgIOydvOydtOuLpCEg65286rOg,W1Byb3BoZXQgS10KVGhhdCdzIHdoZW4gSSByZWFsaXplZCwKQWgsIHRoaXMgaXMgYSBwcmVjb2duaXRpdmUgZHJlYW0hClRoZSB3YXIgaXMgc29vbiEgU29tZXRoaW5nIHRoYXQgd2lsbApoYXBwZW4gaW4gdGhlIGZ1dHVyZSE=,,,,,W1Byb2ZldGEgS10KRm9pIGVudMOjbyBxdWUgZXUgcGVyY2ViaSwKQWgsIGVzdGUgw6kgdW0gc29uaG8gcHJlbW9uaXTDs3JpbyEKQSBndWVycmEgZXN0w6EgcHLDs3hpbWEhIEFsZ28gcXVlCmFjb250ZWNlcsOhIG5vIGZ1dHVybyE=,,W1Byb2ZldGEgS10KRnVlIGVudG9uY2VzIGN1YW5kbyBtZSBkaSBjdWVudGEsCsKhQWgsIGVzdGUgZXMgdW4gc3Vlw7FvIHByZW1vbml0b3JpbyEKwqFMYSBndWVycmEgZXMgcHJvbnRvISDCoUFsZ28gcXVlCnN1Y2VkZXLDoSBlbiBlbCBmdXR1cm8h
aq4/DA,W+yYiOyWuOyekCBLXQrqt7jrpqzqs6DripQg7KWQ7J2YIOyLoCDqu5jshJwK64K06rKMIOunkO2WiOyWtCEKMTLsp4Dsi6DsnZgg6riw7Jq07J2EIOuwm+ydgArsgqzrnozsnYQg7LC+7JWE7JW8IO2VnOuLpOqzoC4uCuq3uOuemOyVvCDsnbQg7KCE7J+B7J2ECuunieydhCDsiJgg7J6I64uk6rOgLi4=,W1Byb3BoZXQgS10KQW5kIHRoZW4gdGhlIEdvZCBvZiBNaWNlCnNwb2tlIHRvIG1lIQpIZSBzYWlkIEkgbXVzdCBmaW5kCmEgcGVyc29uIHdobyBoYXMgcmVjZWl2ZWQgdGhlIGVuZXJneSBvZiB0aGUgMTIgWm9kaWFjIERlaXRpZXMuLgpPbmx5IHRoZW4gY2FuIHdlIHN0b3AKdGhpcyB3YXIuLi4=,,,,,W1Byb2ZldGEgS10KRSBlbnTDo28gbyBEZXVzIFJhdG8KZmFsb3UgY29taWdvIQpFbGUgZGlzc2UgcXVlIGV1IGRldm8gZW5jb250cmFyCnVtYSBwZXNzb2EgcXVlIHJlY2ViZXUgYSBlbmVyZ2lhIGRhcyAxMiBEaXZpbmRhZGVzIGRvIFpvZMOtYWNvLi4KU8OzIGFzc2ltIHBvZGVtb3MgaW1wZWRpcgplc3RhIGd1ZXJyYS4uLg==,,W1Byb2ZldGEgS10KwqFZIGVudG9uY2VzIGVsIERpb3MgZGUgbG9zIFJhdG9uZXMKbWUgaGFibMOzIQpEaWpvIHF1ZSBkZWJvIGVuY29udHJhcgphIHVuYSBwZXJzb25hIHF1ZSBoYSByZWNpYmlkbyBsYSBlbmVyZ8OtYSBkZSBsYXMgMTIgRGVpZGFkZXMgZGVsIFpvZMOtYWNvLi4KU29sbyBlbnRvbmNlcyBwb2RyZW1vcyBkZXRlbmVyCmVzdGEgZ3VlcnJhLi4u
