YLdH,,RWxlcGhhbnRpbmU=,,,,,RWxlcGhhbnRpbmU=,,SG90Y2hh
YbdH,,WW91IGhhdmUgdG9vIG1hbnkga2luZHMgb2YgdGhpbmdzIHdpdGggeW91IHRvIGRvIHRoYXQuIFRocm93IG91dCBzb21lIG9mIHRoZW0gYW5kIHRyeSBhZ2Fpbi4=,,,,,Vm9jw6ogdGVtIG11aXRvcyB0aXBvcyBkZSBjb2lzYXMgY29tIHZvY8OqIHBhcmEgZmF6ZXIgaXNzby4gSm9ndWUgZm9yYSBhbGd1bnMgZGVsZXMgZSB0ZW50ZSBub3ZhbWVudGUu,,VGllbmVzIGRlbWFzaWFkYXMgY29zYXMgcGFyYSBoYWNlciBlc28uIERlc2hhenRlIGRlIGFsZ3VuYXMgeSB2dWVsdmUgYSBpbnRlbnRhcmxvLg==
YrdH,,WW91IGFyZSBjYXJyeWluZyB0b28gbXVjaCB3ZWlnaHQgdG8gZG8gdGhhdC4gUmVkdWNlIHRoZSB3ZWlnaHQgYW5kIHRyeSBhZ2Fpbi4=,,,,,Vm9jw6ogZXN0w6EgY2FycmVnYW5kbyBtdWl0byBwZXNvIHBhcmEgZmF6ZXIgaXNzby4gUmVkdXphIG8gcGVzbyBlIHRlbnRlIG5vdmFtZW50ZS4=,,TGxldmFzIGRlbWFzaWFkbyBwZXNvIHBhcmEgaGFjZXIgZXNvLiBSZWR1Y2UgZWwgcGVzbyB5IHZ1ZWx2ZSBhIGludGVudGFybG8u
Y7dH,,W0VsZXBoYW50aW5lXQpIbW0sIHlvdSBkb24ndCBsb29rIHJlbGlhYmxlIGVub3VnaCB0byBwZXJmb3JtIHRhc2tzIGZvciBtZS4=,,,,,W0VsZXBoYW50aW5lXQpIbW0sIHZvY8OqIG7Do28gcGFyZWNlIHNlciBjb25macOhdmVsIG8gc3VmaWNpZW50ZSBwYXJhIHJlYWxpemFyIHRhcmVmYXMgcGFyYSBtaW0u,,W0VsZXBoYW50aW5lXQpNbW0sIG5vIHBhcmVjZXMgbG8gc3VmaWNpZW50ZW1lbnRlIGNvbmZpYWJsZSBwYXJhIGhhY2VyIGVzdGEgdGFyZWEgcG9yIG3DrS4=
ZLdH,,W0VsZXBoYW50aW5lXQpXaHkgZG9uJ3QgeW91IGNvbWUgYmFjayB3aGVuIHlvdSd2ZSBncm93biBzdHJvbmdlcj8gU2F5IGFyb3VuZCBiYXNlIGxldmVsIDEzNS4KSSBjYW4ndCBnaXZlIHlvdSB0YXNrcyB3aGVuIHlvdSdyZSBpbiB5b3VyIGN1cnJlbnQgc3RhdGUu,,,,,W0VsZXBoYW50aW5lXQpQb3IgcXVlIHZvY8OqIG7Do28gdm9sdGEgcXVhbmRvIGVzdGl2ZXIgbWFpcyBmb3J0ZT8gRGlnYW1vcywgcG9yIHZvbHRhIGRvIG7DrXZlbCBiw6FzaWNvIDEzNS4KTsOjbyBwb3NzbyBsaGUgZGFyIHRhcmVmYXMgcXVhbmRvIGVzdGl2ZXIgbm8gc2V1IGVzdGFkbyBhdHVhbC4=,,W0VsZXBoYW50aW5lXQrCv1BvciBxdcOpIG5vIHZ1ZWx2ZXMgY3VhbmRvIHNlYXMgbcOhcyBmdWVydGU/IERpZ2Ftb3MgcXVlIGFscmVkZWRvciBkZWwgbml2ZWwgZGUgYmFzZTEzNS4KTm8gcHVlZG8gZGFydGUgdGFyZWFzIGNvbiB0dSBlc3RhZG8gYWN0dWFsLg==
ZbdH,,W0VsZXBoYW50aW5lXQpJIGhhdmUgbm8gYWRkaXRpb25hbCB0YXNrcyBhdmFpbGFibGUgbm93LiBJZiBJIGdldCBzb21lLCBJJ2xsIGxldCB5b3Uga25vdyB3aGVuIHlvdSBjb21lIGJhY2su,,,,,W0VsZXBoYW50aW5lXQpOw6NvIHRlbmhvIHRhcmVmYXMgYWRpY2lvbmFpcyBkaXNwb27DrXZlaXMgbm8gbW9tZW50by4gU2UgZXUgY29uc2VndWlyIGFsZ3VtYSwgYXZpc2FyZWkgcXVhbmRvIHZvY8OqIHZvbHRhci4=,,W0VsZXBoYW50aW5lXQpBaG9yYSBubyB0ZW5nbyB0YXJlYXMgYWRpY2lvbmFsZXMgZGlzcG9uaWJsZXMuIFNpIG1lIGxsZWdhIGFsZ28sIHRlIGF2aXNhcsOpIGN1YW5kbyByZWdyZXNlcy4=
ZrdH,,W0VsZXBoYW50aW5lXQpXaWxsIHlvdSBwbGVhc2UgY2hlY2sgd2l0aCBeOTkwMDk5SG90Y2hhXjAwMDAwMApvbiB0aGUgZGV0YWlscyBvZiB0aGUgcHJldmlvdXMgdGFzaz8=,,,,,W0VsZXBoYW50aW5lXQpWb2PDqiBwb2RlcmlhIHZlcmlmaWNhciBjb20gXjk5MDA5OUhvdGNoYV4wMDAwMDAKc29icmUgb3MgZGV0YWxoZXMgZGEgdGFyZWZhIGFudGVyaW9yPw==,,W0VsZXBoYW50aW5lXQrCv1BvZHLDrWFzIGNvbmZpcm1hciBjb24gXjk5MDA5OUhvdGNoYV4wMDAwMDAKbG9zIGRldGFsbGVzIGRlIGxhIHRhcmVhIGFudGVyaW9yPw==
Z7dH,,W0VsZXBoYW50aW5lXQpXZWxjb21lLgpJIGhhdmUgc29tZSB0YXNrcyBmb3IgeW91IC0gd2lsbCB5b3UgdGFrZSBhIGxvb2sgYXQgdGhlbT8=,,,,,W0VsZXBoYW50aW5lXQpCZW0tdmluZG8uClRlbmhvIGFsZ3VtYXMgdGFyZWZhcyBwYXJhIHZvY8OqIC0gcG9kZSBkYXIgdW1hIG9saGFkYSBuZWxhcz8=,,W0VsZXBoYW50aW5lXQrCoUxsZWdhc3RlIQpUZW5nbyBhbGd1bmFzIHRhcmVhcyBwYXJhIHRpLCDCv3F1aWVyZXMgZWNoYXJsZXMgdW4gdmlzdGF6bz8=
aLdH,,V2hhdCBraW5kIG9mIHRhc2tzIGRvIHlvdSBoYXZlIGZvciBtZT8=,,,,,UXVlIHRpcG8gZGUgdGFyZWZhcyB2b2PDqiB0ZW0gcGFyYSBtaW0/,,wr9RdcOpIHRpcG8gZGUgdGFyZWFzIHRpZW5lIHBhcmEgbcOtPw==
abdH,,VGVsbCBtZSBhYm91dCB0b2RheSdzIHRhc2su,,,,,RmFsZS1tZSBzb2JyZSBhIHRhcmVmYSBkZSBob2plLg==,,SMOhYmxhbWUgZGUgbGEgdGFyZWEgZGUgaG95Lg==
ardH,,W0VsZXBoYW50aW5lXQpJJ20gdGhlIEhlYWQgb2YgdGhlIFZvbHVudGVlciBQYXRyb2wgb2YgdGhlIFZpbGxhZ2Ugb2YgTW9yYS4gSXQgZGlkbid0IHVzZWQgdG8gYmUgbGlrZSB0aGlzLCBoZSBoZS4=,,,,,W0VsZXBoYW50aW5lXQpTb3UgbyBjaGVmZSBkYSBQYXRydWxoYSBkZSBWb2x1bnTDoXJpb3MgZGEgVmlsYSBkZSBNb3JhLiBOw6NvIGNvc3R1bWF2YSBzZXIgYXNzaW0sIGhlIGhlIGhlLg==,,W0VsZXBoYW50aW5lXQpTb3kgZWwgamVmZSBkZSBsYSBwYXRydWxsYSBkZSB2b2x1bnRhcmlvcyBkZWwgcHVlYmxvIGRlIE1vcmEuIEFudGVzIG5vIGVyYSBhc8OtLiBKZSwgamUu
