AMNNDQ,,U2VydmVy,,,,,QXRlbmRlbnRl,,RGVwZW5kaWVudGU=
AcNNDQ,,V2VsY29tZSEhIQ==,,,,,Qm9hcy12aW5kYXMhISE=,,wqFCaWVudmVuaWRvIQ==
AsNNDQ,,W1NlcnZlcl0KV2VsY29tZSEgUGxlYXNlIGhhdmUgYSBzZWF0IHdoZXJldmVyIHlvdSBsaWtlIQ==,,,,,W0F0ZW5kZW50ZV0KQm9hcy12aW5kYXMhIFNlbnRlLXNlIG9uZGUgcHJlZmVyaXIh,,W0RlcGVuZGllbnRlXQrCoUJpZW52ZW5pZG8hIMKhU2nDqW50YXRlIGRvbmRlIHF1aWVyYXMh
A8NNDQ,,W1NlcnZlcl0KV2VsY29tZSEhIQ==,,,,,W0F0ZW5kZW50ZV0KQm9hcy12aW5kYXMhISE=,,W0RlcGVuZGllbnRlXQrCoUJpZW52ZW5pZG8h
BMNNDQ,,W1NlcnZlcl0KUGxlYXNlIGhhdmUgYSBzZWF0IHdoZXJldmVyIHlvdSBsaWtlISE=,,,,,W0F0ZW5kZW50ZV0KU2VudGUtc2Ugb25kZSBwcmVmZXJpciEh,,W0RlcGVuZGllbnRlXQrCoVNpw6ludGF0ZSBkb25kZSBxdWllcmFzIQ==
BcNNDQ,,XjAwMDBDRFlvdSBjYW4gdGFrZSB0aGUgam9iIGNoYW5nZSB0ZXN0IHN0YXJ0aW5nIGZyb20gQmFzZSBMZXZlbCAyMDAuXjAwMDAwMA==,,,,,XjAwMDBDRE8gdGVzdGUgZGUgbXVkYW7Dp2EgZGUgY2xhc3NlIHPDsyBwb2RlIHNlciByZWFsaXphZG8gYSBwYXJ0aXIgZG8gTsOtdmVsIGRlIEJhc2UgMjAwLl4wMDAwMDA=,,XjAwMDBDRFB1ZWRlcyByZWFsaXphciBsYSBwcnVlYmEgZGUgY2FtYmlvIGRlIGNsYXNlIGEgcGFydGlyIGRlbCBuaXZlbCBkZSBiYXNlIDIwMC5eMDAwMDAw
BsNNDQ,,XjAwMDBDRFlvdSBjYW4gdGFrZSB0aGUgam9iIGNoYW5nZSB0ZXN0IHN0YXJ0aW5nIGZyb20gSm9iIExldmVsIDcwLl4wMDAwMDA=,,,,,XjAwMDBDRE8gdGVzdGUgZGUgbXVkYW7Dp2EgZGUgY2xhc3NlIHPDsyBwb2RlIHNlciByZWFsaXphZG8gYSBwYXJ0aXIgZG8gTsOtdmVsIGRlIENsYXNzZSA3MC5eMDAwMDAw,,XjAwMDBDRFB1ZWRlcyByZWFsaXphciBsYSBwcnVlYmEgZGUgY2FtYmlvIGRlIGNsYXNlIGEgcGFydGlyIGRlbCBuaXZlbCBkZSBjbGFzZSA3MC5eMDAwMDAw
B8NNDQ,,U2hvdWxkIEkgcmVzdCBmb3IgYSB3aGlsZT8=,,,,,RGVzY2Fuc2FyIHVtIHBvdWNvPw==,,wr9ZIHNpIGRlc2NhbnNvIHVuIHJhdG8/
CMNNDQ,,TGV0J3MganVzdCBnby4=,,,,,VmFtb3MgZW1ib3JhLg==,,TWVqb3IgdsOhbW9ub3Mu
CcNNDQ,,W0Jhbnlha10KT25lIHNlcnZpbmcgb2YgcmljZSBjYWtlIHNsaWNlcyBhbmQgYSBjdXAgb2Ygc3dlZXQgcmljZSBkcmluaywgYWghIQ==,,,,,W0Jhbnlha10KVHJhZ2EtbWUgdW1hIHBvcsOnw6NvIGRlIGZhdGlhcyBkZSBib2xpbmhvcyBkZSBhcnJveiBlIHVtIGNvcG8gZGUgZ2FtanUsIGFoISE=,,W0Jhbnlha10KVW5vcyBwYXN0ZWxlcyBkZSBhcnJveiB5IHVuYSBjb3BhIGRlIGdhbWp1LCDCoWFoIQ==
CsNNDQ,,V2hvYSEgQmUgY2FyZWZ1bCE=,,,,,RWkhIEN1aWRhZG8h,,wqFFaCEgwqFDdWlkYWRvIQ==
C8NNDQ,,W0Jhbnlha10KSSBkaWRuJ3QgcmVhbGl6ZSBzb21lb25lIHdhcyBhbHJlYWR5IGhlcmUuIEkgbmVhcmx5IHNhdCBvbiB5b3VyIGxhcC4gSSB3YXMgc28gdGhpcnN0eSB0aGF0IEkgY2FtZSBydXNoaW5nIGluLiBNeSBhcG9sb2dpZXMu,,,,,W0Jhbnlha10KTsOjbyBzYWJpYSBxdWUgasOhIGhhdmlhIGFsZ3XDqW0gYXF1aS4gUXVhc2UgbWUgc2VudGVpIG5vIHNldSBjb2xvLiBWaW0gY29ycmVuZG8gcG9ycXVlIGVzdGF2YSBjb20gbXVpdGEgc2VkZS4gRGVzY3VscGUtbWUu,,W0Jhbnlha10KTm8gc2Fiw61hIHF1ZSB5YSBoYWLDrWEgYWxndWllbiBhcXXDrS4gQ2FzaSBtZSBzaWVudG8gc29icmUgdGkuIFZlbsOtYSBjb24gdGFudGEgcHJpc2EgcG9ycXVlIHRlbsOtYSBtdWNoYSBzZWQuLi4gUGVyZMOzbi4=
DMNNDQ,,QmFueWFrPw==,,,,,U3IuIEJhbnlhaz8=,,wr9CYW55YWs/
DcNNDQ,,W0Jhbnlha10KLi4uPyBBaCwgdGhlIHRyYXZlbGVyIGZyb20gYmFjayB0aGVuPw==,,,,,W0Jhbnlha10KLi4uPyBBaCwgbyB2aWFqYW50ZSBkYXF1ZWxhIHZlej8=,,W0Jhbnlha10KLi4uPyBBaCwgwr9lbCB2aWFqZXJvIGRlIGFxdWVsbGEgdmV6Pw==
DsNNDQ,,W1NlcnZlcl0KSG9sZCBvbi4gRnJvbSB0aGUgbG9va3Mgb2YgaXQsIHlvdSBzaG91bGRuJ3QgYmUgaGVyZSB5ZXQuIENvdWxkIHlvdSBzaG93IG1lIHlvdXIgSUQ/,,,,,W0F0ZW5kZW50ZV0KRXNwZXJlIHVtIG1vbWVudG8uIFBlbG8gcXVlIHZlam8sIHZvY8OqIGFpbmRhIG7Do28gZGV2ZXJpYSBlc3RhciBhcXVpLiBQb2RlcmlhIG1lIG1vc3RyYXIgc3VhIGlkZW50aWZpY2HDp8Ojbz8=,,W0RlcGVuZGllbnRlXQpVbiBtb21lbnRvLiBQb3IgbG8gcXVlIHZlbywgcGFyZWNlIHF1ZSBhw7puIG5vIGRlYmVyw61hcyBlc3RhciBhcXXDrS4gwr9Qb2Ryw61hcyBlbnNlw7Fhcm1lIHR1IGlkZW50aWZpY2FjacOzbj8=
D8NNDQ,,SSBkb24ndCBoYXZlIGFueXRoaW5nIGxpa2UgdGhhdC4uLg==,,,,,TsOjbyB0ZW5obyBuYWRhIGRpc3NvLi4u,,Tm8gdGVuZ28gbmFkYSBkZSBlc28uLi4=
EMNNDQ,,W1NlcnZlcl0KVGhlbiB5b3Ugc2hvdWxkbid0IGNvbWUgdG8gdGhlIHRhdmVybi4gSW5zcGVjdGlvbnMgYXJlIHJlYWxseSBzdHJpY3QgdGhlc2UgZGF5cy4gRXZlbiBpZiBpdCB3YXMgYWxsb3dlZCBiZWZvcmUsIGl0IGlzbid0IG5vdy4KVGhleSBzYXkgeW91IGNhbiBiZWNvbWUgaW5kZXBlbmRlbnQgcmlnaHQgYXdheSBhdCB0aGUgdG93biBvZmZpY2UsIHNvIGJlY29tZSBpbmRlcGVuZGVudCBhbmQgY29tZSBiYWNrLg==,,,,,W0F0ZW5kZW50ZV0KRW50w6NvIG7Do28gZGV2ZXJpYSB2aXIgw6AgdGF2ZXJuYS4gQSBmaXNjYWxpemHDp8OjbyBhbmRhIG11aXRvIHLDrWdpZGEgdWx0aW1hbWVudGUuIEFudGVzIGF0w6kgcG9kaWEsIG1hcyBhZ29yYSBuw6NvIGTDoS4KRGl6ZW0gcXVlIGTDoSBwYXJhIGNvbnF1aXN0YXIgYSBpbmRlcGVuZMOqbmNpYSBsb2dvIG5vIGVzY3JpdMOzcmlvIGFkbWluaXN0cmF0aXZvLCBlbnTDo28gdG9ybmUtc2UgaW5kZXBlbmRlbnRlIGUgdm9sdGUgZGVwb2lzLg==,,W0RlcGVuZGllbnRlXQpFbnRvbmNlcyBubyBkZWJlcsOtYXMgdmVuaXIgYSBsYSBwb3NhZGEuIMOabHRpbWFtZW50ZSBsb3MgY29udHJvbGVzIHNvbiBtdXkgZXN0cmljdG9zLiBBdW5xdWUgYW50ZXMgc2UgcHVkaWVyYSwgYWhvcmEgbm8uClNpIHZhcyBhIGxhIG9maWNpbmEgbXVuaWNpcGFsLCBwb2Ryw6FzIGluZGVwZW5kaXphcnRlIGVuc2VndWlkYS4gSW5kZXBlbmTDrXphdGUgeSB2dWVsdmUgZGVzcHXDqXMu
EcNNDQ,,XjAwMDBDRFRoZSBqb2IgY2hhbmdlIHRlc3QgaW5jbHVkZXMgYSBoYXJzaCBwcm9jZXNzIHRoYXQgYSBzbWFsbCBhbmQgZnJhZ2lsZSBib2R5IGNhbm5vdCB3aXRoc3RhbmQuIFlvdSBjYW4gcHJvY2VlZCBhZ2FpbiBhZnRlciBiZWNvbWluZyBpbmRlcGVuZGVudC5eMDAwMDAw,,,,,XjAwMDBDRE8gdGVzdGUgZGUgbXVkYW7Dp2EgZGUgY2xhc3NlIGluY2x1aSB1bSBwcm9jZXNzbyDDoXJkdW8gZGVtYWlzIHBhcmEgc2VyIHN1cG9ydGFkbyBwb3IgdW0gY29ycG8gcGVxdWVubyBlIGZyw6FnaWwuIFZvY8OqIHBvZGVyw6EgcHJvc3NlZ3VpciBub3ZhbWVudGUgYXDDs3MgY29ucXVpc3RhciBhIGluZGVwZW5kw6puY2lhLl4wMDAwMDA=,,XjAwMDBDRExhIHBydWViYSBkZSBjYW1iaW8gZGUgY2xhc2UgaW5jbHV5ZSB1biBwcm9jZXNvIGFyZHVvIHF1ZSB1biBjdWVycG8gcGVxdWXDsW8geSBmcsOhZ2lsIG5vIHB1ZWRlIHNvcG9ydGFyLiBQb2Ryw6FzIHJlYWxpemFybGEgZGUgbnVldm8gZGVzcHXDqXMgZGUgaW5kZXBlbmRpemFydGUuXjAwMDAwMA==
EsNNDQ,,W1NlcnZlcl0KSWYgeW91IHdhbnQsIEkgY2FuIGFycmFuZ2UgYSB3YXJwIHRvIHRoZSBQcm9udGVyYSBUb3duIE9mZmljZS4gSW50ZXJlc3RlZD8=,,,,,W0F0ZW5kZW50ZV0KU2UgcXVpc2VyLCBwb3NzbyBhYnJpciB1bSBwb3J0YWwgcGFyYSBvIGVzY3JpdMOzcmlvIGFkbWluaXN0cmF0aXZvIGRlIFByb250ZXJhLiBUZW0gaW50ZXJlc3NlPw==,,W0RlcGVuZGllbnRlXQpTaSBxdWllcmVzLCBwdWVkbyBlbnZpYXJ0ZSBhIGxhIG9maWNpbmEgbXVuaWNpcGFsIGRlIFByb250ZXJhLiDCv1RlIGludGVyZXNhPw==
E8NNDQ,,WWVzLCBwbGVhc2Uu,,,,,U2ltLCBwb3IgZmF2b3Iu,,U8OtLCBwb3IgZmF2b3Iu
FMNNDQ,,V2h5IGdvIHRoaXMgZmFyLi4u,,,,,UG9yIHF1ZSBjaGVnYXIgYSB0YW50by4uLg==,,wr9Qb3IgcXXDqSBoYWNlciB0YW50by4uLj8=
FcNNDQ,,W1NlcnZlcl0KSGF2ZSBhIHNhZmUgdHJpcC4gTmV4dCB0aW1lIHlvdSBjb21lLCBJJ2xsIHNlcnZlIHlvdSBhIGN1cCBvZiBzd2VldCByaWNlIGRyaW5rIG9uIHRoZSBob3VzZS4=,,,,,W0F0ZW5kZW50ZV0KVsOhIGUgdm9sdGUgZW0gc2VndXJhbsOnYS4gRGEgcHLDs3hpbWEgdmV6IHF1ZSB2aWVyLCBvZmVyZWNlcmVpIHVtIGNvcG8gZGUgZ2FtanUgcG9yIGNvbnRhIGRhIGNhc2Eu,,W0RlcGVuZGllbnRlXQpRdWUgdGUgdmF5YSBiaWVuLiBMYSBwcsOzeGltYSB2ZXogcXVlIHZlbmdhcywgdGUgaW52aXRhcsOpIGEgdW5hIGNvcGEgZGUgZ2FtanUu
FsNNDQ,,W1NlcnZlcl0KSXQgd291bGQgYmUgYSBiaXQgdHJvdWJsZXNvbWUgaWYgYSBCYWJ5IHdlcmUgc2VlbiBuZWFyIHRoZSB0YXZlcm4uCklmIHRoYXQgYm90aGVycyB5b3UsIGp1c3QgdGhpbmsgb2YgaXQgYXMgbWFuYWdpbmcgYSBmdXR1cmUgY3VzdG9tZXIuIEFsbCByaWdodD8gRG9uJ3QgdGFrZSBpdCB0b28gaGFyZC4=,,,,,W0F0ZW5kZW50ZV0KU2VyaWEgdW0gcG91Y28gY29tcGxpY2FkbyBzZSB2aXNzZW0gdW0gYmViw6ogcGVydG8gZGEgdGF2ZXJuYS4KU2UgaXNzbyBpbmNvbW9kYSB2b2PDqiwgcGVuc2UgYXBlbmFzIGNvbW8gZ2VzdMOjbyBkZSBmdXR1cm9zIGNsaWVudGVzLiBFbnRlbmRpZG8/IE7Do28gZmlxdWUgdMOjbyBjaGF0ZWFkby4=,,W0RlcGVuZGllbnRlXQpTZXLDrWEgdW4gcG9jbyBwcm9ibGVtw6F0aWNvIHF1ZSBzZSB2aWVyYSBhIHVuIGJlYsOpIGNlcmNhIGRlIGxhIHBvc2FkYS4gU2kgZXNvIHRlIG1vbGVzdGEsIHBpZW5zYSBxdWUgZXMgcG9yIGVsIGJpZW4gZGUgdW4gZnV0dXJvIGNsaWVudGUuIMK/RGUgYWN1ZXJkbz8gTm8gdGUgbG8gdG9tZXMgZGVtYXNpYWRvIGEgbWFsLg==
F8NNDQ,,W3swfV0KSSdtIG5vdCBwYXJ0aWN1bGFybHkgaHVuZ3J5LiBMZXQncyBqdXN0IGdvLg==,,,,,W3swfV0KTmVtIGVzdG91IGNvbSB0YW50YSBmb21lIGFzc2ltLiBWYW1vcyBlbWJvcmEu,,W3swfV0KVGFtcG9jbyB0ZW5nbyBoYW1icmUuIE1lam9yIG1lIHZveS4=
GMNNDQ,,W1NlcnZlcl0KUGxlYXNlIGNvbWUgYWdhaW4h,,,,,W0F0ZW5kZW50ZV0KVm9sdGUgc2VtcHJlIQ==,,W0RlcGVuZGllbnRlXQrCoVZ1ZWx2ZSBjdWFuZG8gcXVpZXJhcyE=
GcNNDQ,,W1NlcnZlcl0KV2VsY29tZSEhIFBsZWFzZSBoYXZlIGEgc2VhdCB3aGVyZXZlciB5b3UgbGlrZSE=,,,,,W0F0ZW5kZW50ZV0KQm9hcy12aW5kYXMhISBTZW50ZS1zZSBvbmRlIHByZWZlcmlyIQ==,,W0RlcGVuZGllbnRlXQrCoUJpZW52ZW5pZG8hIMKhU2nDqW50YXRlIGRvbmRlIHF1aWVyYXMh
GsNNDQ,,QmFueWFr,,,,,QmFueWFr,,QmFueWFr
G8NNDQ,,W0Jhbnlha10KV2hhdCBhIHBsZWFzYW50IHN1cnByaXNlISBUbyBtZWV0IHlvdSBoZXJlLCBvZiBhbGwgcGxhY2VzLg==,,,,,W0Jhbnlha10KUXVlIGFsZWdyaWEgdGUgcmV2ZXIsIGFpbmRhIG1haXMgYXF1aS4=,,W0Jhbnlha10KwqFRdcOpIGFsZWdyw61hIHZlcnRlISBFbmNvbnRyYXJub3MgYXF1w60sIG5hZGEgbWVub3Mu
HMNNDQ,,SSB0aG91Z2h0IHlvdSB3b3VsZCBuZXZlciBjb21lIGhlcmUgYWdhaW4u,,,,,QWNoZWkgcXVlIHZvY8OqIG51bmNhIG1haXMgdm9sdGFyaWEgYXF1aS4=,,UGVuc8OpIHF1ZSBubyB2b2x2ZXLDrWEgamFtw6FzIGEgZXN0ZSBsdWdhci4=
