wG7EDA,7LaV7KCcIOychOybkA==,WXVsYXRh,,,,,WXVsYXRh,,WXVsYXRh
wW7EDA,7ZaJ67O17ZWcIOyVjCDstpXsoJw=,SGFwcHkgRWdnIEZlc3RpdmFs,,,,,RmVzdGl2YWwgZGFzIE1hc2NvdGVz,,RmVzdGl2YWwgZGUgbGFzIE1hc2NvdGFz
wm7EDA,W+ycqOudvO2DgF0K7JWE7KeBIOqyve2XmOydhCDrjZQg7IyT7JWE7JW8IO2VmOuKlCDrqqjtl5jqsIDroZzqtbDsmpQuCuyigOuNlCDsl6zrn6wg6rCA7KeA66W8IOuztOqzoCDrk6TsnYAg65Kk7JeQIOuLpOyLnCDsmKTshLjsmpQuIOq3uOuVjCDtlajqu5gg7ZaJ67O17ZWcIOyVjCDstpXsoJzrpbwg7KaQ6rKo7JqUIQ==,W1l1bGF0YV0KWW91IGRvbid0IGhhdmUgdGhlIHJlcXVpcmVkIGxldmVsIGZvciB0aGlzIGV2ZW50LgpDb21lIGJhY2sgd2hlbiB5b3UncmUgc3Ryb25nZXIh,,,,,W1l1bGF0YV0KVm9jw6ogbsOjbyB0ZW0gbsOtdmVsIHN1ZmljaWVudGUgcGFyYSBlc3NlIGV2ZW50by4KVm9sdGUgcXVhbmRvIGZvciBtYWlzIGZvcnRlIQ==,,W1l1bGF0YV0KTm8gdGllbmVzIGVsIG5pdmVsIHN1ZmljaWVudGUgcGFyYSBlc3RlIGV2ZW50by4KwqFWdWVsdmUgY3VhbmRvIHNlYXMgbcOhcyBmdWVydGUh
w27EDA,IC0gMjDroIjrsqgg7J207IOBIOywuOyXrO2VoCDsiJgg7J6I64qUIOydtOuypO2KuOyeheuLiOuLpC4gLQ==,IC0gRXZlbnQgZm9yIGJhc2UgbGV2ZWwgMjAgb3IgaGlnaGVyLiAt,,,,,IC0gRXZlbnRvIHBhcmEgbsOtdmVsIGRlIGJhc2UgMjAgb3UgbWFpb3IuIC0g,,IC0gRXZlbnRvIHBhcmEgbml2ZWwgYmFzZSAyMCBvIHN1cGVyaW9yLiAt
xG7EDA,W+ycqOudvO2DgF0K7JWI64WV7ZWY7IS47JqULCDsmKztlbTrj4Qg7ZaJ67O17ZWcIOyVjCDstpXsoJzqsIAg7Iuc7J6R65CY7JeI7Iq164uI64ukLgrsoIDripQg7KeE7ZaJIOychOybkCDsnKjrnbztg4DsnoXri4jri6Qu,W1l1bGF0YV0KSSB3ZWxjb21lIHlvdSB0byB0aGUgSGFwcHkgRWdnIEZlc3RpdmFsLgpNeSBuYW1lIGlzIFl1bGF0YSwgbmljZSB0byBtZWV0IHlvdS4=,,,,,W1l1bGF0YV0KQm9hcy12aW5kYXMsIGVzdGUgw6kgbyBGZXN0aXZhbCBkYXMgTWFzY290ZXMuCk1lIGNoYW1vIFl1bGF0YSwgcHJhemVyLg==,,W1l1bGF0YV0KVGUgZG95IGxhIGJpZW52ZW5pZGEgYWwgRmVzdGl2YWwgZGUgbGFzIE1hc2NvdGFzLgpNZSBsbGFtbyBZdWxhdGEsIGVuY2FudGFkYS4=
xW7EDA,W+ycqOudvO2DgF0K7LaV7KCc7JeQIOywuOyXrO2VmOyLnOqzoCDtgbTroZzrsoQg7Yuw7LyT7Jy866GcIO2WieuzteydmCDtgZDtjqsg7J6Q7YyQ6riw66W8IO2Gte2VtCDri6TslpHtlZwg7ISg66y864+EIOuwm+yVhOqwgOyEuOyalC4K7LaV7KCc7JeQIOuMgO2VtCDslYjrgrTtlbQg65Oc66a06rmM7JqUPw==,W1l1bGF0YV0KVGhpcyB5ZWFyIHdlJ2xsIGhhdmUgY29udGVzdHMgd2l0aCB2YXJpb3VzIHByaXplcy4KV291bGQgeW91IGxpa2UgYW4gZXhwbGFuYXRpb24/,,,,,W1l1bGF0YV0KRXNzZSBhbm8gbsOzcyB0ZXJlbW9zIGdpbmNhbmFzIGNvbSBwcmVtaWHDp8O1ZXMgZGl2ZXJzYXMuCkdvc3RhcmlhIGRlIHVtYSBleHBsaWNhw6fDo28/,,W1l1bGF0YV0KRXN0ZSBhw7FvIHRlbmRyZW1vcyBjb25jdXJzb3MgY29uIGRpdmVyc29zIHByZW1pb3MuCsK/VGUgZ3VzdGFyw61hIHVuYSBleHBsaWNhY2nDs24/
xm7EDA,7JWI64K067Cb64qU64ukLg==,WWVzLCBwbGVhc2Uu,,,,,U2ltLCBwb3IgZmF2b3Iu,,U8OtLCBwb3IgZmF2b3Iu
x27EDA,7JWI64K067Cb7KeAIOyViuuKlOuLpC4=,Tm8sIHRoYW5rcy4=,,,,,TsOjbywgdmFsZXUu,,Tm8sIGdyYWNpYXMu
yG7EDA,W+ycqOudvO2DgF0K7Jes65+sIOqwgOyngCDtlonsgqzqsIAg7KeE7ZaJ65CY6rOgIOyeiOycvOuLiCDrkZjrn6zrs7Tsi5zqs6Ag7LaV7KCc66W8IOymkOq4sOyEuOyalC4K7KCA64qUIOydtOqzs+yXkOyEnCDtlonrs7XtlZwg7JWMIOywvuq4sCDtlonsgqzrpbwg7KO87LWc7ZWY6rOgIOyeiOyKteuLiOuLpC4KPE5BVkk+W+y2leygnCDsnqXsi50g7ZSM656Y64SIXTxJTkZPPnl1bm8uZ2F0LDE2NSwxNTMsMCwxMDEsMDwvSU5GTz48L05BVkk+IOujqOujqO2MkO2KuCDshKDsg53ri5jsnYQg64+E7JmA65Oc66Ck64+EIOyii+ydhCDqsbDsmIjsmpQu,W1l1bGF0YV0KU2V2ZXJhbCBjb250ZXN0cyBhcmUgaGFwcGVuaW5nIGhlcmUgaW4gSnVuby4KSSBhbSBpbiBjaGFyZ2Ugb2YgdGhlIEVnZyBIdW50LgpCdXQgdGhlcmUncyBhbHNvIDxOQVZJPltMdWx1cGhhbnRdPElORk8+eXVuby5nYXQsMTY1LDE1MywwLDEwMSwwPC9JTkZPPjwvTkFWST4u,,,,,W1l1bGF0YV0KVsOhcmlhcyBnaW5jYW5hcyBlc3TDo28gYWNvbnRlY2VuZG8gYXF1aSBlbSBKdW5vLgpFdSBzb3UgcmVzcG9uc8OhdmVsIHBlbGEgY2HDp2EgZGUgT3Zvcy4KTWFzIHRhbWLDqW0gdGVtIG8gPE5BVkk+W0x1bHVmYW50ZV08SU5GTz55dW5vLmdhdCwxNjUsMTUzLDAsMTAxLDA8L0lORk8+PC9OQVZJPi4=,,W1l1bGF0YV0KVmFyaW9zIGNvbmN1cnNvcyBlc3TDoW4gc3VjZWRpZW5kbyBhcXXDrSBlbiBKdW5vLgpZbyBzb3kgcmVzcG9uc2FibGUgZGUgbGEgY2F6YSBkZSBIdWV2b3MuClBlcm8gdGFtYmnDqW4gZXN0w6EgZWwgPE5BVkk+W0x1bHVmYW50ZV08SU5GTz55dW5vLmdhdCwxNjUsMTUzLDAsMTAxLDA8L0lORk8+PC9OQVZJPi4=
yW7EDA,W+ycqOudvO2DgF0KPE5BVkk+W+yniOumrOyWuF08SU5GTz55dW5vLmdhdCwxNDIsMTYzLDAsMTAxLDA8L0lORk8+PC9OQVZJPiDslKjripQg64yA7ZWZIOu2hOuTpOqzvCDtlajqu5gg7LSI7L2c66CbIOyVjOqzvCDrp5vsnojripQg7L+g7YKkIOyVjOydhCDrp4zrk6Tqs6Ag6rOE7IS47JqULgrrjIDtlZnsl5DshJwg7YKk7Jqw64qUIO2BkO2Oq+uTpOqzvCDsgrDssYXtlZjripQg7ZaJ7IKs7JeQIOywuOyXrO2VmOyLnOugpOuptCA8TkFWST5b7IS47J2065+8XTxJTkZPPnl1bm8uZ2F0LDE1MCwxNTUsMCwxMDEsMDwvSU5GTz48L05BVkk+IOq1sOyXkOqyjCDrrLzslrTrs7Tsi5zrqbQg65Cp64uI64ukLg==,W1l1bGF0YV0KSWYgeW91IHdhbnQgdG8gaGVscCB3aXRoIHN3ZWV0cywgdGFsayB0byA8TkFWST5bR2lsbGlhbl08SU5GTz55dW5vLmdhdCwxNDIsMTYzLDAsMTAxLDA8L0lORk8+PC9OQVZJPi4KSWYgeW91IHdhbnQgdG8gaGVscCB3aXRoIHBldHMsIHRhbGsgdG8gPE5BVkk+W1NhcnVtXTxJTkZPPnl1bm8uZ2F0LDE1MCwxNTUsMCwxMDEsMDwvSU5GTz48L05BVkk+Lg==,,,,,W1l1bGF0YV0KU2UgZGVzZWphIGFqdWRhciBjb20gZG9jZXMsIGZhbGUgY29tIDxOQVZJPltHaWxsaWFuXTxJTkZPPnl1bm8uZ2F0LDE0MiwxNjMsMCwxMDEsMDwvSU5GTz48L05BVkk+LgpTZSBkZXNlamEgYWp1ZGFyIGNvbSBtYXNjb3RlcywgZmFsZSBjb20gPE5BVkk+W1NhcnVtXTxJTkZPPnl1bm8uZ2F0LDE1MCwxNTUsMCwxMDEsMDwvSU5GTz48L05BVkk+Lg==,,W1l1bGF0YV0KU2kgZGVzZWFzIGF5dWRhciBjb24gZHVsY2VzLCBoYWJsYSBjb24gPE5BVkk+W0dpbGxpYW5dPElORk8+eXVuby5nYXQsMTQyLDE2MywwLDEwMSwwPC9JTkZPPjwvTkFWST4uClNpIGRlc2VhcyBheXVkYXIgY29uIG1hc2NvdGFzLCBoYWJsYSBjb24gPE5BVkk+W1NhcnVtXTxJTkZPPnl1bm8uZ2F0LDE1MCwxNTUsMCwxMDEsMDwvSU5GTz48L05BVkk+Lg==
ym7EDA,W+ycqOudvO2DgF0K7LaV7KCcIO2WieyCrOyXkCDssLjsl6ztlZjsi5zrqbQg67Cb7J2EIOyImCDsnojripQgPElURU0+W+2BtOuhnOuyhCDti7DsvJNdPElORk8+MjUyOTQ8L0lORk8+PC9JVEVNPuydgCA8TkFWST5b7ZaJ67O17J2YIO2BkO2OqyDsnpDtjJDquLBdPElORk8+eXVuby5nYXQsMTc2LDE1MiwwLDEwMSwwPC9JTkZPPjwvTkFWST7sl5DshJwg7IKs7Jqp7ZWY7IukIOyImCDsnojsirXri4jri6QuCu2Wieuzte2VnCDshKDrrLzsnbQg66eO7J20IOuTpOyWtCDsnojsnLzri4gg6rCA7IScIO2ZleyduO2VtCDrs7TshLjsmpQu,W1l1bGF0YV0KVGhlIHJld2FyZCBpcyA8SVRFTT5bQ2xvdmVyIFRpY2tldF08SU5GTz4yNTI5NDwvSU5GTz48L0lURU0+ISBUaGV5IGNhbiBiZSBleGNoYW5nZWQgYXQgdGhlIDxOQVZJPltGZXN0aXZhbCBNYWNoaW5lXTxJTkZPPnl1bm8uZ2F0LDE3NiwxNTIsMCwxMDEsMDwvSU5GTz48L05BVkk+LgpUaGVyZSBhcmUgbWFueSBjb29sIGdpZnRzLCBzbyBnbyBjaGVjayBpdCBvdXQu,,,,,W1l1bGF0YV0KQSByZWNvbXBlbnNhIMOpIDxJVEVNPltCaWxoZXRlIGRlIFRyZXZvXTxJTkZPPjI1Mjk0PC9JTkZPPjwvSVRFTT4hIEVsZXMgcG9kZW0gc2VyIHRyb2NhZG9zIG5hIDxOQVZJPltNw6FxdWluYSBkbyBGZXN0aXZhbF08SU5GTz55dW5vLmdhdCwxNzYsMTUyLDAsMTAxLDA8L0lORk8+PC9OQVZJPi4KSMOhIG11aXRvcyBwcmVzZW50ZXMgbGVnYWlzLCBlbnTDo28gdsOhIGRhciB1bWEgb2xoYWRhLg==,,W1l1bGF0YV0KwqFMYSByZWNvbXBlbnNhIGVzIDxJVEVNPltCb2xldG8gZGUgVHLDqWJvbF08SU5GTz4yNTI5NDwvSU5GTz48L0lURU0+ISBQdWVkZXMgY2FuamVhcmxvcyBlbiBsYSA8TkFWST5bTcOhcXVpbmEgZGVsIEZlc3RpdmFsXTxJTkZPPnl1bm8uZ2F0LDE3NiwxNTIsMCwxMDEsMDwvSU5GTz48L05BVkk+LgpIYXkgbXVjaG9zIHJlZ2Fsb3MgZ2VuaWFsZXMsIGFzw60gcXVlIHZlIGEgZWNoYXIgdW4gdmlzdGF6by4=
