gI2QDA,,U3JhdG9z,,,,,U3JhdG9z,,U3JhdG9z
gY2QDA,,PEdyYWRlLXVwIFNwZWNpYWxpc3Q+,,,,,PEVzcGVjaWFsaXN0YSBkZSBTaXN0ZW1hIGRlIEdyYXU+,,PEVzcGVjaWFsaXN0YSBlbiBtZWpvcmEgZGUgZ3JhZG8+
go2QDA,,W1NyYXRvc10KSGV5LCBkZWFyIGN1c3RvbWVyLCB3aG8gY2FtZSB3aXNoaW5nIGZvciBhIG1pcmFjbGUuCkhvdyBtYXkgSSBoZWxwIHlvdSB0b2RheT8=,,,,,W1NyYXRvc10KT2zDoSwgcXVlcmlkbyBjbGllbnRlIHF1ZSB2ZWlvIGF0w6kgYXF1aSBob2plIG5hIGVzcGVyYW7Dp2EgZGUgdW0gbWlsYWdyZS4KRW0gcXVlIHBvc3NvIHRlIGFqdWRhcj8=,,W1NyYXRvc10KSG9sYSwgcXVlcmlkbyBjbGllbnRlLCBxdWUgaG95IHRhbWJpw6luIGhhcyB2ZW5pZG8gY29uIGxhIGVzcGVyYW56YSBkZSB1biBtaWxhZ3JvLgrCv0VuIHF1w6kgcHVlZG8gYXl1ZGFydGU/
g42QDA,,SW5jcmVhc2UgZXF1aXBtZW50IGdyYWRlLg==,,,,,U3ViaXIgbyBncmF1IGRvIGVxdWlwYW1lbnRvLg==,,TWVqb3JhIGVsIGdyYWRvIGRlbCBlcXVpcG8u
hI2QDA,,RXRoZXIgbWF0ZXJpYWxzIGV4Y2hhbmdl,,,,,VHJvY2FyIG1pbsOpcmlvcyBkZSDDiXRlci4=,,SW50ZXJjYW1iaW8gZGUgZ2VtYXMgZGUgw6l0ZXI=
hY2QDA,,V2hhdCBpcyBHcmFkZS11cD8=,,,,,TyBxdWUgw6kgbyBTaXN0ZW1hIGRlIEdyYXU/,,wr9RdcOpIGVzIGxhIG1lam9yYSBkZSBncmFkbz8=
ho2QDA,,W1NyYXRvc10KQWgsIHlvdSB3aXNoIHRvIGVuaGFuY2UgeW91ciBlcXVpcG1lbnQncyBncmFkZX4uClRyYW5zZmVycmluZyBhIGdlbSdzIG1hbmEgaXNuJ3QgYW4gZWFzeSB0YXNrLg==,,,,,W1NyYXRvc10KQ2FybyBjbGllbnRlLCB2b2PDqiBkZXNlamEgbWVsaG9yYXIgbyBncmF1IGRvIGVxdWlwYW1lbnRvLCBuw6NvIMOpPwpUcmFuc2ZlcmlyIGEgbWFnaWEgZGUgw6l0ZXIgbsOjbyDDqSB0YXJlZmEgZsOhY2lsLg==,,W1NyYXRvc10KUXVlcmlkbyBjbGllbnRlLiBBc8OtIHF1ZSBxdWllcmVzIG1lam9yYXIgZWwgZ3JhZG8gZGUgdHUgZXF1aXBvLCDCv25vPwpUcmFuc2ZlcmlyIGxhIG1hZ2lhIGRlIGxhcyBnZW1hcyBubyBlcyB0YXJlYSBmw6FjaWwu
h42QDA,,W1NyYXRvc10KVGhleSBjYW4gdW5leHBlY3RlZGx5IGJsb3cgdXAgcmlnaHQgaW4geW91ciBmYWNlLgpBbmQgZGVzdHJveSB5b3VyIHdlYXBvbnMgYW5kIGVxdWlwbWVudCBhbG9uZyB0aGUgd2F5LCB0b28u,,,,,W1NyYXRvc10KQSBtYWdpYSBwb2RlIGV4cGxvZGlyIGJlbSBuYSBzdWEgY2FyYS4KRSBhw60sIG8gc2V1IGVxdWlwYW1lbnRvIHRhbWLDqW0gdmFpIGV4cGxvZGlyLi4u,,W1NyYXRvc10KUG9ycXVlIGVsIHBvZGVyIG3DoWdpY28gcHVlZGUgZXhwbG90YXIgwqFwdW0hIGVuIGVzZSBtaXNtbyBtb21lbnRvLgpZIGVudG9uY2VzLCBlbCBlcXVpcG8gcXVlIHZhIGEgcmVjaWJpciBlc2UgcG9kZXIgdGFtYmnDqW4gZXhwbG90YSDCoXB1bSE=
iI2QDA,,SSBzdGlsbCB3YW50IHRvIGRvIGl0IQ==,,,,,TWVzbW8gYXNzaW0sIHZvdSBmYXplciE=,,wqFQZXJvIGxvIGhhcsOpIQ==
iY2QDA,,SSdsbCB0aGluayBhYm91dCBpdC4=,,,,,Vm91IHBlbnNhciB1bSBwb3VjbyBzb2JyZSBpc3NvLg==,,Vm95IGEgcGVuc2FybG8gdW4gcG9jby4=
io2QDA,,W1NyYXRvc10KTWF5IGx1Y2sgYmUgd2l0aCBteSBjb3VyYWdlb3VzIGN1c3RvbWVyIQ==,,,,,W1NyYXRvc10KUXVlIGEgc29ydGUgZXN0ZWphIGNvbSB2b2PDqiwgY29yYWpvc28gY2xpZW50ZSE=,,W1NyYXRvc10KwqFRdWUgbGEgc3VlcnRlIHRlIGFjb21wYcOxZSwgdmFsaWVudGUgY2xpZW50ZSE=
i42QDA,,W1NyYXRvc10KQ29tZSBiYWNrIHdoZW5ldmVyIHlvdSdyZSByZWFkeSB0byB0YWtlIG9uIGEgY2hhbGxlbmdlfg==,,,,,W1NyYXRvc10KUXVhbmRvIHRpdmVyIGNvcmFnZW0gcGFyYSB0ZW50YXIsIHZvbHRlIGFxdWku,,W1NyYXRvc10KU2kgYWxndW5hIHZleiB0ZSBhbmltYXMgYSBpbnRlbnRhcmxvLCB2dWVsdmUgYSB2aXNpdGFybWV+
jI2QDA,,W1NyYXRvc10KVGhlc2UgYXJlIHRoZSBnZW1zdG9uZXMgdXNlZCBmb3IgR3JhZGUtdXAuCkkgY2FuIHRyYWRlIHRoZSBFdGhlciBnZW1zdG9uZXMgdXNlZCBmb3IgR3JhZGUtdXAKZm9yIHlvdXIgRXRoZXIgRHVzdCwgYmFzZSBnZW1zdG9uZXMgYW5kIGEgc21hbGwgYW1vdW50IG9mIHNlcnZpY2UgZmVlLg==,,,,,W1NyYXRvc10KRXN0ZXMgc8OjbyBvcyBtaW7DqXJpb3MgZGUgw6l0ZXIgdXNhZG9zIHBhcmEgc3ViaXIgbyBncmF1LgpTZSBtZSBlbnRyZWdhciB1bSBwb3VjbyBkZSBQw7MgZGUgw4l0ZXIgZSB1bWEgZ2VtYSBiYXNlLCBwb3NzbyB0cm9jYXIgcG9yIHVtIG1pbsOpcmlvIGRlIMOJdGVyLg==,,W1NyYXRvc10KRXN0YXMgc29uIGxhcyBnZW1hcyBxdWUgc2UgdXNhbiBwYXJhIHN1YmlyIGRlIG5pdmVsLgpTaSBtZSBkYXMgdW4gcG9jbyBkZSBwb2x2byBkZSDDqXRlciB5IGxhIGdlbWEgcXVlIHZhcyBhIHVzYXIgY29tbyBiYXNlLCB0ZSBsYXMgY2FtYmlvIHBvciBnZW1hcyBkZSDDqXRlci4=
jY2QDA,,W1NyYXRvc10KU29tZXRpbWVzIHVuc3RhYmxlIGdlbXN0b25lcyBvdmVyZmxvd2luZyB3aXRoIGhpZ2hseSBwdXJlIG1hbmEgYXJlIGZvdW5kLgpXZSBjYWxsIHRoZW0gdGhlIEV0aGVyIGdlbXN0b25lcy4=,,,,,W1NyYXRvc10Kw4BzIHZlemVzLCBlbmNvbnRyYW1vcyBtaW7DqXJpb3MgaW5zdMOhdmVpcyByZXBsZXRvcyBkZSBtYWdpYSBwdXJhLgpOw7NzIG9zIGNoYW1hbW9zIGRlIG1pbsOpcmlvcyBkZSDDiXRlci4=,,W1NyYXRvc10KRGUgdmV6IGVuIGN1YW5kbyBzZSBlbmN1ZW50cmFuIGdlbWFzIGluZXN0YWJsZXMgcXVlIGNvbnRpZW5lbiBtdWNoYSBtYWdpYSBkZSBhbHRhIHB1cmV6YS4Kwr9TYWJlcz8gQSBlc3RhcyBsYXMgbGxhbWFtb3MgZ2VtYXMgZGUgw6l0ZXIu
jo2QDA,,W1NyYXRvc10KVGhlaXIgRXRoZXIgbWFuYSBjYW4gYmUgdHJhbnNmZXJyZWQgdG8gd2VhcG9ucyBhbmQgZXF1aXBtZW50LCBidXQgdGhlcmUncyBhIHJpc2s6CnRoZWlyIG1hbmEgaXMgc28gZGVsaWNhdGUgdGhhdCBpdCBjYW4gZ28gb2ZmIGF0IGV2ZW4gdGhlIHNsaWdodGVzdCBhZ2l0YXRpb24u,,,,,W1NyYXRvc10Kw4kgcG9zc8OtdmVsIHRyYW5zZmVyaXIgYSBtYWdpYSBkZXNzZXMgbWluw6lyaW9zIGRlIMOJdGVyIHBhcmEgYXJtYXMgZSBlcXVpcGFtZW50b3MsIG1hcyBleGlzdGUgdW0gY2VydG8gcmlzY28uCkEgbWFnaWEgZW1hbmFkYSDDqSB0w6NvIGRlbGljYWRhIHF1ZSwgc2UgbsOjbyB0b21hcm1vcyBjdWlkYWRvLCBlbGEgcG9kZSBleHBsb2RpciBjb20gdHVkby4=,,W1NyYXRvc10KU2UgcHVlZGUgdHJhbnNmZXJpciB0b2RhIGxhIG1hZ2lhIHF1ZSB0aWVuZW4gbGFzIGdlbWFzIGRlIMOpdGVyIGEgb3RyYSBhcm1hLCBhdW5xdWUsIGNsYXJvLCBoYXkgdW4gcG9jbyBkZSByaWVzZ28uClNvbiBkZWxpY2FkYXMgeSwgc2kgbm8gc2UgdGllbmUgY3VpZGFkbywgwqFwdW0hLCBwdWVkZW4gZXhwbG90YXIu
j42QDA,,W1NyYXRvc10KQW55d2F5LCB0aGUgRXRoZXIgZ2Vtc3RvbmVzIGNhbiBiZSB1c2VkIHRvIG1hZ2ljYWxseSByZWluZm9yY2Ugd2VhcG9ucyBhbmQgZXF1aXBtZW50LAphbmQgd2UgY2FsbCB0aGF0IEdyYWRlLXVwLg==,,,,,W1NyYXRvc10KRGUgcXVhbHF1ZXIgZm9ybWEsIHZvY8OqIHBvZGUgdXNhciBlc3NlcyBtaW7DqXJpb3MgZGUgw4l0ZXIgcGFyYSBtZWxob3JhciBzdWFzIGFybWFzIGUgc2V1cyBlcXVpcGFtZW50b3MuCkNoYW1hbW9zIGlzc28gZGUgU2lzdGVtYSBkZSBHcmF1Lg==,,W1NyYXRvc10KRGUgdG9kb3MgbW9kb3MsIHNpIHVzYXMgZXN0YXMgZ2VtYXMgZXTDqXJlYXMsIHB1ZWRlcyBpbWJ1aXIgZGUgbWFnaWEgZWwgYXJtYSBxdWUgdXNlcy4KQXPDrSBtZWpvcmEgc3UgcmVuZGltaWVudG8uIEEgZXN0byBsbyBsbGFtYW1vcyDCq21lam9yYSBkZSBncmFkb8K7Lg==
kI2QDA,,W1NyYXRvc10KWW91J2QgYmUgaGFwcHkgaWYgeW91ciBwcmVjaW91cyB3ZWFwb25zIGdyZXcgc3Ryb25nZXIsIHdvdWxkbid0IHlvdT8KV2UncmUgdGhlIG9uZXMgd2hvIGNhbiBoZWxwIHlvdS4gSXQncyBhIGJpdCByaXNreSwgdGhvdWdoLiBIYWggaGFoIGhhaC4=,,,,,W1NyYXRvc10KVm9jw6ogdGFtYsOpbSBmaWNhcmlhIGZlbGl6IHNlIGFzIHN1YXMgcHJlY2lvc2FzIGFybWFzIGZpY2Fzc2VtIGFpbmRhIG1haXMgcG9kZXJvc2FzLCBuw6NvIMOpIG1lc21vPwpOw7NzIHBvZGVtb3MgYWp1ZMOhLWxvIGNvbSBpc3NvLiBNYXMsIMOpIHVtIHBvdWNvIGFycmlzY2Fkby4gSGFoYWhhLg==,,W1NyYXRvc10Kwr9ObyB0ZSBhbGVncmFyw61hIHF1ZSB0dXMgYXJtYXMgZmF2b3JpdGFzIHN1YmllcmFuIHVuIG5pdmVsIG3DoXM/Ck5vc290cm9zIHNvbW9zIGxvcyBxdWUgdGUgYXl1ZGFtb3MgY29uIGVzby4gQXVucXVlIHNlYSB1biBwb2NvIHBlbGlncm9zbywgY2xhcm8uIEphamFqYWphLg==
kY2QDA,,U2NocmliZWw=,,,,,U2NocmliZWw=,,U2NocmliZWw=
ko2QDA,,W1NjaHJpYmVsXQpNYXkgbHVjayBiZSB3aXRoIHlvdSBhdCBhbGwgdGltZXMhCldlbGNvbWUgdG8gdGhlIFBhcmEgTWFya2V0IEdyYWRlLXVwIENlbnRlcn4=,,,,,W1NjaHJpYmVsXQpRdWUgYSBzb3J0ZSBlc3RlamEgc2VtcHJlIGNvbSB2b2PDqiEKQmVtLXZpbmRvIMOgIE9maWNpbmEgZGUgTWxob3JhbWVudG8gZGUgR3JhdSBkbyBNZXJjYWRvIFBhcmFsZWxvIGRvIMOJZGVuIQ==,,W1NjaHJpYmVsXQrCoVF1ZSBsYSBzdWVydGUgdGUgYWNvbXBhw7FlIHNpZW1wcmUhCkJpZW52ZW5pZG8gYWwgdGFsbGVyIGRlIG1lam9yYSBkZSBncmFkbyBkZSBQYXJhbWFxdWV0fg==
k42QDA,,W1NjaHJpYmVsXQpZb3Ugd2FudCB0byBhd2FrZW4geW91ciBwcmVjaW91cyBlcXVpcG1lbnQncyB0cnVlIHBvdGVudGlhbCwgcmlnaHQ/ClRoaXMgcHJvY2VzcyBpbnZvbHZlcyBoaWdobHkgdm9sYXRpbGUgbWFuYSB0aGF0IGNhbiBleHBsb2RlIGFueXRpbWUu,,,,,W1NjaHJpYmVsXQpWb2PDqiBxdWVyIGRlc3BlcnRhciBvIHBvdGVuY2lhbCBkbyBzZXUgcHJlY2lvc28gZXF1aXBhbWVudG8sIG7Do28gw6k/CkxlbWJyZS1zZSBxdWUgZXNzZSBwcm9jZXNzbyDDqSBkZWxpY2FkbyBlIHBvZGUgYWNhcnJldGFyIGVtIGV4cGxvc8OjbyBhIHF1YWxxdWVyIG1vbWVudG8u,,W1NjaHJpYmVsXQrCv1F1aWVyZXMgZGVzcGVydGFyIGVsIHBvdGVuY2lhbCBkZSB0dSBlcXVpcG8gZmF2b3JpdG8/CkR1cmFudGUgZWwgcHJvY2VzbyBkZSBtYW5pcHVsYWNpw7NuIGRlIGxhIG1hZ2lhLCBwb2Ryw61hIHByb2R1Y2lyc2UgdW5hIGV4cGxvc2nDs24u
