4FZSDQ,,U2lnbnBvc3Q=,,,,,UGxhY2E=,,Q2FydGVs
4VZSDQ,,QWxsIHdobyBjYW4gc2VlIG15IHdvcmRzIG5vdywgY29tZSBiZWZvcmUgbWUu,,,,,VG9kb3MgcXVlIGNvbnNlZ3VpcmVtIHZlciBtaW5oYXMgcGFsYXZyYXMsIHZlbmhhbSBhdMOpIGFxdWku,,UXVpZW5lcyBwdWVkYW4gdmVyIG1pcyBwYWxhYnJhcywgdmVuaWQgdG9kb3MgYW50ZSBtw60u
4lZSDQ,,W1NpZ25wb3N0XQpUaGVyZSBpcyBubyBuZWVkIHRvIGxvb2sgYXQgdGhpcyBhZ2FpbiBub3csIGlzIHRoZXJlPw==,,,,,W1BsYWNhXQpBZ29yYSB2b2PDqiBuw6NvIHByZWNpc2EgbWFpcyBvbGhhciBwYXJhIGlzdG8gZGUgbm92bywgbsOjbyDDqT8=,,W1BsYWNhXQpZYSBubyBoYWNlIGZhbHRhIHZvbHZlciBhIG1pcmFyIGVzdG8sIMK/dmVyZGFkPw==
41ZSDQ,,W1NpZ25wb3N0XQpBcyBhIFNreSBFbXBlcm9yLCBoZWxwIGxvdHMgYW5kIGxvdHMgb2YgcGVvcGxlIGluIG5lZWQh,,,,,W1BsYWNhXQpDb21vIE1lc3RyZSBDZWxlc3RpYWwsIGFqdWRlIG11aXRhcyBlIG11aXRhcyBwZXNzb2FzIGVtIGRpZmljdWxkYWRlIQ==,,W1BsYWNhXQrCoUNvbW8gRW1wZXJhZG9yIENlbGVzdGlhbCwgYXl1ZGEgbXVjaMOtc2ltbyBhIHF1aWVuZXMgbG8gbmVjZXNpdGFuIQ==
5FZSDQ,,W1NpZ25wb3N0XQpEbyB5b3UgaGF2ZSBhIG1vbWVudD8=,,,,,W1BsYWNhXQpWb2PDqiB0ZW0gdW0gbW9tZW50bz8=,,W1BsYWNhXQrCv1RpZW5lcyB1biBtb21lbnRvPw==
5VZSDQ,,W1NpZ25wb3N0XQpUaGVuIHVzZSBpdCBzcGFyaW5nbHku,,,,,W1BsYWNhXQpFbnTDo28gdXNlIGNvbSBjdWlkYWRvLg==,,W1BsYWNhXQpFbnRvbmNlcyDDunNhbG8gY29uIHBydWRlbmNpYS4=
5lZSDQ,,SXQgaXMgYSBzaWducG9zdCB3aXRoIG5vdGhpbmcgd3JpdHRlbiBvbiBpdC4=,,,,,w4kgdW1hIHBsYWNhIHNlbSBuYWRhIGVzY3JpdG8u,,RXMgdW4gY2FydGVsIGVuIGVsIHF1ZSBubyBoYXkgbmFkYSBlc2NyaXRvLg==
51ZSDQ,,XjAwMDBDRFRoZSBqb2IgY2hhbmdlIHRlc3QgY2FuIGJlIHRha2VuIGZyb20gQmFzZSBMZXZlbCAyMDAgb3IgaGlnaGVyLl4wMDAwMDA=,,,,,XjAwMDBDRE8gdGVzdGUgZGUgbXVkYW7Dp2EgZGUgY2xhc3NlIHBvZGUgc2VyIHJlYWxpemFkbyBhIHBhcnRpciBkbyBuw612ZWwgZGUgYmFzZSAyMDAuXjAwMDAwMA==,,XjAwMDBDRExhIHBydWViYSBkZSBjYW1iaW8gZGUgY2xhc2UgcHVlZGUgcmVhbGl6YXJzZSBhIHBhcnRpciBkZWwgbml2ZWwgYmFzZSAyMDAuXjAwMDAwMA==
6FZSDQ,,W1NpZ25wb3N0XQpZb3UgYXJlIGtpbmRlciBhbmQgc3Ryb25nZXIgdGhhbiBhbnlvbmUsIGJ1dCBzdGlsbCBhIGxpdHRsZSBsYWNraW5nLiBDb21lIGJhY2sgbGF0ZXIu,,,,,W1BsYWNhXQpWb2PDqiDDqSBtYWlzIGdlbnRpbCBlIGZvcnRlIGRvIHF1ZSBxdWFscXVlciB1bSwgbWFzIGFpbmRhIGxoZSBmYWx0YSB1bSBwb3Vjby4gVm9sdGUgbWFpcyB0YXJkZS4=,,W1BsYWNhXQpFcmVzIG3DoXMgYm9uZGFkb3NvIHkgZnVlcnRlIHF1ZSBuYWRpZSwgcGVybyBhw7puIHRlIGZhbHRhIHVuIHBvY28uIFZ1ZWx2ZSBtw6FzIGFkZWxhbnRlLg==
6VZSDQ,,XjAwMDBDRFRoZSBqb2IgY2hhbmdlIHRlc3QgY2FuIGJlIHRha2VuIGZyb20gSm9iIExldmVsIDcwIG9yIGhpZ2hlci5eMDAwMDAw,,,,,XjAwMDBDRE8gdGVzdGUgZGUgbXVkYW7Dp2EgZGUgY2xhc3NlIHBvZGUgc2VyIHJlYWxpemFkbyBhIHBhcnRpciBkbyBuw612ZWwgZGUgY2xhc3NlIDcwLl4wMDAwMDA=,,XjAwMDBDRExhIHBydWViYSBkZSBjYW1iaW8gZGUgY2xhc2UgcHVlZGUgcmVhbGl6YXJzZSBhIHBhcnRpciBkZWwgbml2ZWwgZGUgY2xhc2UgNzAuXjAwMDAwMA==
6lZSDQ,,W1NpZ25wb3N0XQpZb3UgYXJlIGtpbmRlciBhbmQgc3Ryb25nZXIgdGhhbiBhbnlvbmUsIGJ1dCBzdGlsbCBzbWFsbCBhbmQgZnJhZ2lsZS4gSW4gdGhhdCBzdGF0ZSwgeW91IGNhbm5vdCB0cmFpbiBpbiBnb29kIGRlZWRzIHdpdGggbWUu,,,,,W1BsYWNhXQpWb2PDqiDDqSBtYWlzIGdlbnRpbCBlIGZvcnRlIGRvIHF1ZSBxdWFscXVlciB1bSwgbWFzIGFpbmRhIMOpIHBlcXVlbm8gZSBmcsOhZ2lsLiBOZXNzZSBlc3RhZG8sIG7Do28gcG9kZXLDoSB0cmVpbmFyIGJvYXMgYcOnw7VlcyBjb21pZ28u,,W1BsYWNhXQpFcmVzIG3DoXMgYm9uZGFkb3NvIHkgZnVlcnRlIHF1ZSBuYWRpZSwgcGVybyBhw7puIGVyZXMgdW5hIGNyaWF0dXJhIHBlcXVlw7FhIHkgZnLDoWdpbC4gRW4gZXNlIGVzdGFkbyBubyBwdWVkZXMgZW50cmVuYXIgY29ubWlnbyBlbiBidWVuYXMgYWNjaW9uZXMu
