oKoqDQ,,QWlyYQ==,,,,,QWlyYQ==,,QWlyYQ==
oaoqDQ,,UGxlYXNlIGRvIG5vdCB3b3JyeSBhYm91dCBtZS4gSSB3aWxsIHN0YXkgbmVhciB0aGUgZG9vciwgYW5kIGlmIGl0IGdldHMgZGFuZ2Vyb3VzLCBJIHdpbGwgbGVhdmUgYXQgb25jZS4=,,,,,TsOjbyBzZSBwcmVvY3VwZSBjb21pZ28uIFZvdSBmaWNhciBwZXJ0byBkYSBwb3J0YSBlLCBzZSBob3V2ZXIgcGVyaWdvLCBzYWlvIGltZWRpYXRhbWVudGUu,,Tm8gc2UgcHJlb2N1cGUgcG9yIG3DrS4gTWUgcXVlZGFyw6kgY2VyY2EgZGUgbGEgcHVlcnRhIHkgc2FsZHLDqSBlbnNlZ3VpZGEgc2kgaGF5IHBlbGlncm8u
oqoqDQ,,V2hhdCBpbiB0aGUgd29ybGQgaXMgaGFwcGVuaW5nPw==,,,,,QWZpbmFsLCBvIHF1ZSBlc3TDoSBhY29udGVjZW5kbz8=,,wr9RdcOpIGRlbW9uaW9zIGVzdMOhIHBhc2FuZG8/
o6oqDQ,,TWlyaWFt,,,,,TWlyaWFt,,TWlyaWFt
pKoqDQ,,W01pcmlhbV0KSGFzIGV2ZXJ5b25lIGdhdGhlcmVkPw==,,,,,W01pcmlhbV0KVG9kb3MgY2hlZ2FyYW0/,,W01pcmlhbV0Kwr9Fc3TDoW4gdG9kb3MgcmV1bmlkb3M/
paoqDQ,,W01pcmlhbV0KSSB0aGluayB3ZSBzaG91bGQgY2hlY2sgd2hldGhlciB0aGVyZSBhcmUgYW55IG90aGVyIHNlcnZhbnRzIGFuZCB0aGVuIGdvIHVwIHRvIHRoZSBzZWNvbmQgZmxvb3Iu,,,,,W01pcmlhbV0KQWNobyBxdWUgZGV2ZW1vcyB2ZXJpZmljYXIgc2UgaMOhIG1haXMgYWxndW0gZW1wcmVnYWRvIGUgZW50w6NvIHN1YmlyIHBhcmEgbyBzZWd1bmRvIGFuZGFyLg==,,W01pcmlhbV0KQ3JlbyBxdWUgZGViZXLDrWFtb3MgYnVzY2FyIHNpIHF1ZWRhIGFsZ8O6biBlbXBsZWFkbyBtw6FzIHkgbHVlZ28gc3ViaXIgYSBsYSBzZWd1bmRhIHBsYW50YS4=
pqoqDQ,,TWlyaWFtOiBJIHRoaW5rIHdlIHNob3VsZCBjaGVjayB3aGV0aGVyIHRoZXJlIGFyZSBhbnkgb3RoZXIgc2VydmFudHMgYW5kIHRoZW4gZ28gdXAgdG8gdGhlIHNlY29uZCBmbG9vci4=,,,,,TWlyaWFtOiBBY2hvIHF1ZSBkZXZlbW9zIHZlcmlmaWNhciBzZSBow6EgbWFpcyBhbGd1bSBlbXByZWdhZG8gZSBlbnTDo28gc3ViaXIgcGFyYSBvIHNlZ3VuZG8gYW5kYXIu,,TWlyaWFtOiBDcmVvIHF1ZSBkZWJlcsOtYW1vcyBidXNjYXIgc2kgcXVlZGEgYWxnw7puIGVtcGxlYWRvIG3DoXMgeSBsdWVnbyBzdWJpciBhIGxhIHNlZ3VuZGEgcGxhbnRhLg==
p6oqDQ,,W01pcmlhbV0KSSBjYW4gc2Vuc2UgYSBzaGFycCBwcmVzZW5jZSBiZXlvbmQgdGhlIGNlbnRyYWwgc3RhaXJjYXNlLgpJdCBpcyBwcm9iYWJseSB0aGUgSGVhcnQgSHVudGVyIHdlIGZvdWdodCBhdCB0aGUgdGVtcGxlLg==,,,,,W01pcmlhbV0KU2ludG8gdW1hIHByZXNlbsOnYSBhZmlhZGEgYWzDqW0gZGEgZXNjYWRhcmlhIGNlbnRyYWwuClByb3ZhdmVsbWVudGUgw6kgdW0gQ2HDp2EtQ29yYcOnw7VlcyBjb250cmEgcXVlbSBsdXRhbW9zIG5vIHRlbXBsby4=,,W01pcmlhbV0KTcOhcyBhbGzDoSBkZSBsYSBlc2NhbGVyYSBjZW50cmFsIG5vdG8gdW5hIHByZXNlbmNpYSBhZmlsYWRhLgpQcm9iYWJsZW1lbnRlIHNlYSBlbCBDYXphY29yYXpvbmVzIGNvbnRyYSBlbCBxdWUgbHVjaGFtb3MgZW4gZWwgdGVtcGxvLg==
qKoqDQ,,TWlyaWFtOiBJIHNlbnNlIGEgZmllcmNlIHByZXNlbmNlLiBJdCBpcyBwcm9iYWJseSB0aGUgSGVhcnQgSHVudGVyIHdlIGZvdWdodCBhdCB0aGUgdGVtcGxlLg==,,,,,TWlyaWFtOiBTaW50byB1bWEgcHJlc2Vuw6dhIGFncmVzc2l2YS4gUHJvdmF2ZWxtZW50ZSDDqSB1bSBDYcOnYS1Db3Jhw6fDtWVzIGNvbnRyYSBxdWVtIGx1dGFtb3Mgbm8gdGVtcGxvLg==,,TWlyaWFtOiBTaWVudG8gdW5hIHByZXNlbmNpYSBmZXJvei4gUHJvYmFibGVtZW50ZSBzZWEgZWwgQ2F6YWNvcmF6b25lcyBjb250cmEgZWwgcXVlIGx1Y2hhbW9zIGVuIGVsIHRlbXBsby4=
qaoqDQ,,W01pcmlhbV0KSSBhbSBhbHNvIGNvbmNlcm5lZCBhYm91dCB0aGUgbWlzc2luZyBGcmFnbWVudCBvZiBZbWly4oCZcyBIZWFydC4KSWYgdGhleSBtZWFuIHRvIHN0aXIgdXAgdHJvdWJsZSwgd2hhdCBoYXBwZW5lZCBhdCB0aGUgdGVtcGxlIHNob3VsZCBoYXZlIGJlZW4gZW5vdWdoLg==,,,,,W01pcmlhbV0KRGUgdG9kbyBtb2RvLCBjb250aW51byBwcmVvY3VwYWRhIGNvbSBvIEZyYWdtZW50byBkbyBDb3Jhw6fDo28gZGUgWW1pciBxdWUgZGVzYXBhcmVjZXUuClNlIHF1ZXJlbSBpbmNpdGFyIGNvbmZ1c8OjbywgbyBxdWUgYWNvbnRlY2V1IG5vIHRlbXBsbyBqw6EgYmFzdGEu,,W01pcmlhbV0KTm8gZGVqYSBkZSBpbnF1aWV0YXJtZSBlc2UgRnJhZ21lbnRvIGRlbCBDb3JhesOzbiBkZSBZbWlyIHF1ZSBoYSBkZXNhcGFyZWNpZG8uClNpIHF1ZXLDrWFuIHByb3ZvY2FyIGRpc3R1cmJpb3MsIHlhIGJhc3RhYmEgY29uIGxvIG9jdXJyaWRvIGVuIGVsIHRlbXBsby4=
qqoqDQ,,TWlyaWFtOiBJIGFtIGFsc28gY29uY2VybmVkIGFib3V0IHRoZSBtaXNzaW5nIEZyYWdtZW50IG9mIFltaXLigJlzIEhlYXJ0LiBUaGUgdHJvdWJsZSBhdCB0aGUgdGVtcGxlIHNob3VsZCBoYXZlIGJlZW4gZW5vdWdoIGFscmVhZHku,,,,,TWlyaWFtOiBEZSB0b2RvIG1vZG8sIGNvbnRpbnVvIHByZW9jdXBhZGEgY29tIG8gRnJhZ21lbnRvIGRvIENvcmHDp8OjbyBkZSBZbWlyIHF1ZSBkZXNhcGFyZWNldS4gTyBxdWUgYWNvbnRlY2V1IG5vIHRlbXBsbyBqw6EgYmFzdGEgcGFyYSBjYXVzYXIgY29uZnVzw6NvLg==,,TWlyaWFtOiBObyBkZWphIGRlIGlucXVpZXRhcm1lIGVzZSBGcmFnbWVudG8gZGVsIENvcmF6w7NuIGRlIFltaXIgcXVlIGhhIGRlc2FwYXJlY2lkby4gUGFyYSBwcm92b2NhciBkaXN0dXJiaW9zLCB5YSBiYXN0YWJhIGNvbiBlbCB0ZW1wbG8u
