YCMkAw,,S2VsbGFzdXM=,,,,,S2VsbGFzdXM=,,S2VsbGFzdXM=
YSMkAw,,LSBZb3UgaGF2ZSB0b28gbWFueSBpdGVtcyBpbiB5b3VyIHBvc3Nlc3Npb24uIENhbm5vdCBwcm9jZWVkLiAt,,,,,LSBWb2PDqiBlc3TDoSBjb20gbXVpdG9zIGl0ZW5zLiBOw6NvIHBvZGUgcHJvc3NlZ3Vpci4gLQ==,,LSBUaWVuZXMgZGVtYXNpYWRvcyBvYmpldG9zLiBObyBwdWVkZXMgY29udGludWFyLiAt
YiMkAw,,W0tlbGxhc3VzXQpIbW0uLi4gQSByb29raWUgYWxjaGVtaXN0LCBhcmUgeW91PyBJdCdzIGJlZW4gYSB3aGlsZQpzaW5jZSBJJ3ZlIHNlZW4gYW4gYWxjaGVtaXN0IGFzIGluY29tcGV0ZW50LWxvb2tpbmcgYXMgeW91LgpKdXN0IGJlY2F1c2UgeW91ciBqb2IgaXMgYWxjaGVtaXN0IGRvZXNuJ3QgbWVhbiBldmVyeW9uZQpoYXMgdGhlIHNhbWUgc2tpbGwgaW4gYWxjaGVteS4KS2VlcCBhdCBpdC4=,,,,,W0tlbGxhc3VzXQpIbW0uLi4gVW0gYWxxdWltaXN0YSBub3ZhdG8sIG7Do28gw6k/IEZheiB0ZW1wbwpxdWUgbsOjbyB2ZWpvIHVtIGFscXVpbWlzdGEgY29tIGFwYXLDqm5jaWEgdMOjbyBpbmNvbXBldGVudGUgcXVhbnRvIHZvY8OqLgpTw7MgcG9ycXVlIHN1YSBwcm9maXNzw6NvIMOpIGFscXVpbWlzdGEsIG7Do28gc2lnbmlmaWNhIHF1ZSB0b2Rvcwp0ZW5oYW0gYSBtZXNtYSBoYWJpbGlkYWRlIGVtIGFscXVpbWlhLgpDb250aW51ZSBzZSBlc2ZvcsOnYW5kby4=,,W0tlbGxhc3VzXQpIbW0uLi4gVW4gYWxxdWltaXN0YSBub3ZhdG8sIMK/bm8gZXMgYXPDrT8gSGFjZSB0aWVtcG8KcXVlIG5vIHZlbyB1biBhbHF1aW1pc3RhIGNvbiB1bmEgYXBhcmllbmNpYSB0YW4gaW5jb21wZXRlbnRlIGNvbW8gbGEgdHV5YS4KU29sbyBwb3JxdWUgdHUgdHJhYmFqbyBlcyBzZXIgYWxxdWltaXN0YSBubyBzaWduaWZpY2EgcXVlIHRvZG9zCnRlbmdhbiBsYSBtaXNtYSBoYWJpbGlkYWQgZW4gYWxxdWltaWEuClNpZ3VlIGVzZm9yesOhbmRvdGUu
YyMkAw,,W0tlbGxhc3VzXQpPbmx5IHdoZW4gdGhlIGV4cGxvcmF0aW9uIG9mIHRoZSB1bmtub3duIGFuZCBjb25zdGFudApzZWxmLWRpc2NpcGxpbmUgY29tZSB0b2dldGhlciB3aWxsIHRoZSBsaWdodCBzaGluZSB1cG9uCnlvdXIgYWxjaGVteSwgd2l0aG91dCBhIGRvdWJ0Lg==,,,,,W0tlbGxhc3VzXQpTb21lbnRlIHF1YW5kbyBhIGV4cGxvcmHDp8OjbyBkbyBkZXNjb25oZWNpZG8gZSBhIGNvbnN0YW50ZQphdXRvZGlzY2lwbGluYSBzZSB1bmlyZW0gw6kgcXVlIGEgbHV6IGJyaWxoYXLDoSBzb2JyZQpzdWEgYWxxdWltaWEsIHNlbSBkw7p2aWRhLg==,,W0tlbGxhc3VzXQpTb2xvIGN1YW5kbyBsYSBleHBsb3JhY2nDs24gZGUgbG8gZGVzY29ub2NpZG8geSBsYSBjb25zdGFudGUKYXV0b2Rpc2NpcGxpbmEgc2UgdW5hbiwgbGEgbHV6IGJyaWxsYXLDoSBzb2JyZQp0dSBhbHF1aW1pYSwgc2luIGR1ZGEu
ZCMkAw,,W0tlbGxhc3VzXQpPZiBjb3Vyc2UuLi4gYXQgdGhlIGVuZCBvZiB0aGF0IHJvYWQgbGllcyBhIGRvbWFpbiB0aGF0IG11c3Qgbm90IGJlIHRvdWNoZWQuLi4KQnV0IHVudGlsIHRoZW4sIGNvbnRpbnVlIHRvIGV4cGxvcmUgYW5kIHJlc2VhcmNoIHdpdGhvdXQgZW5kLg==,,,,,W0tlbGxhc3VzXQpDbGFyby4uLiBubyBmaW0gZGVzc2UgY2FtaW5obyByZXNpZGUgdW0gZG9tw61uaW8gcXVlIG7Do28gZGV2ZSBzZXIgdG9jYWRvLi4uCk1hcyBhdMOpIGzDoSwgY29udGludWUgYSBleHBsb3JhciBlIHBlc3F1aXNhciBzZW0gZmltLg==,,W0tlbGxhc3VzXQpDbGFyby4uLiBhbCBmaW5hbCBkZSBlc2UgY2FtaW5vIHlhY2UgdW4gZG9taW5pbyBxdWUgbm8gZGViZSBzZXIgdG9jYWRvLi4uClBlcm8gaGFzdGEgZW50b25jZXMsIGNvbnRpbsO6YSBleHBsb3JhbmRvIGUgaW52ZXN0aWdhbmRvIHNpbiBmaW4u
ZSMkAw,,W0tlbGxhc3VzXQpBbmQuLi4gdGFrZSB0aGUgdGltZSB0byBkZWVwbHkgY29uc2lkZXIsIGFsb25nIHdpdGggc2VsZi1kaXNjaXBsaW5lLAp3aGV0aGVyIHRoaXMgcGF0aCBpcyB0cnVseSB0aGUgcmlnaHQgb25lIG9yIG5vdC4=,,,,,W0tlbGxhc3VzXQpFLi4uIHJlc2VydmUgdW0gdGVtcG8gcGFyYSBjb25zaWRlcmFyIHByb2Z1bmRhbWVudGUsIGp1bnRhbWVudGUgY29tIGEgYXV0b2Rpc2NpcGxpbmEsCnNlIGVzdGUgY2FtaW5obyDDqSByZWFsbWVudGUgbyBjb3JyZXRvIG91IG7Do28u,,W0tlbGxhc3VzXQpZLi4uIHTDs21hdGUgZWwgdGllbXBvIHBhcmEgY29uc2lkZXJhciBwcm9mdW5kYW1lbnRlLCBqdW50byBjb24gbGEgYXV0b2Rpc2NpcGxpbmEsCnNpIGVzdGUgY2FtaW5vIGVzIHJlYWxtZW50ZSBlbCBjb3JyZWN0byBvIG5vLg==
ZiMkAw,,W0tlbGxhc3VzXQpBbnl3YXksIGRvIHlvdXIgYmVzdC4=,,,,,W0tlbGxhc3VzXQpEZSBxdWFscXVlciBmb3JtYSwgZmHDp2EgbyBzZXUgbWVsaG9yLg==,,W0tlbGxhc3VzXQpEZSB0b2RhcyBmb3JtYXMsIGhhemxvIGxvIG1lam9yIHF1ZSBwdWVkYXMu
ZyMkAw,,W0tlbGxhc3VzXQpZb3UncmUgYmFjay4uLiBBbHJpZ2h0LCBzaW5jZSB5b3UncmUgaGVyZSwgbGV0IG1lIHRlbGwgeW91IGEgYml0CmFib3V0IGFsY2hlbWlzdHMuCldoYXQgZG8geW91IHRoaW5rIGFsY2hlbXkgaXM/,,,,,W0tlbGxhc3VzXQpWb2PDqiB2b2x0b3UuLi4gTXVpdG8gYmVtLCBqw6EgcXVlIGVzdMOhIGFxdWksIGRlaXhlLW1lIGNvbnRhciB1bSBwb3Vjbwpzb2JyZSBvcyBhbHF1aW1pc3Rhcy4KTyBxdWUgdm9jw6ogYWNoYSBxdWUgw6kgYWxxdWltaWE/,,W0tlbGxhc3VzXQpIYXMgdnVlbHRvLi4uIE11eSBiaWVuLCB5YSBxdWUgZXN0w6FzIGFxdcOtLCBkw6lqYW1lIGNvbnRhcnRlIHVuIHBvY28Kc29icmUgbG9zIGFscXVpbWlzdGFzLgrCv1F1w6kgY3JlZXMgcXVlIGVzIGxhIGFscXVpbWlhPw==
aCMkAw,,W0tlbGxhc3VzXQpBaC4uLiBTb3JyeS4gVGhhdCB3YXMgYSBxdWVzdGlvbiBvZiBmYXIgdG9vIGdyYW5kIGEgc2NhbGUuCkknbGwganVzdCBnbyBhaGVhZCBhbmQgdGVsbCB5b3UgdGhlIGFuc3dlci4=,,,,,W0tlbGxhc3VzXQpBaC4uLiBEZXNjdWxwZS4gRXNzYSBmb2kgdW1hIHBlcmd1bnRhIGRlIGVzY2FsYSBtdWl0byBncmFuZGlvc2EuClZvdSBsb2dvIGxoZSBkYXIgYSByZXNwb3N0YS4=,,W0tlbGxhc3VzXQpBaC4uLiBMbyBzaWVudG8uIEVzYSBmdWUgdW5hIHByZWd1bnRhIGRlIHVuYSBlc2NhbGEgZGVtYXNpYWRvIGdyYW5kaW9zYS4KVGUgZGFyw6kgbGEgcmVzcHVlc3RhIGRpcmVjdGFtZW50ZS4=
aSMkAw,,W0tlbGxhc3VzXQpBbGNoZW15IGlzIGNvbW1vbmx5IGtub3duIGFzIGEgZ3JlZWQtcmlkZGVuLCBzY2FtbWVyLWxpa2UKZGlzY2lwbGluZSB0aGF0IHRyaWVzIHRvIG1ha2UgZ29sZCBmcm9tIG5vdGhpbmcsCmJ1dCBpdHMgZXNzZW5jZSBpcyBub3QgdGhhdC4gT2YgY291cnNlLCBpdCBkb2VzIHRyeSB0byBtYWtlIGdvbGQgZnJvbSBub3RoaW5nLi4u,,,,,W0tlbGxhc3VzXQpBIGFscXVpbWlhIMOpIGNvbXVtZW50ZSBjb25oZWNpZGEgY29tbyB1bWEgZGlzY2lwbGluYSBnYW5hbmNpb3NhLCB0cmFwYWNlaXJhLApxdWUgdGVudGEgZmF6ZXIgb3VybyBkbyBuYWRhLAptYXMgc3VhIGVzc8OqbmNpYSBuw6NvIMOpIGVzc2EuIENsYXJvLCBlbGEgdGVudGEgZmF6ZXIgb3VybyBkbyBuYWRhLi4u,,W0tlbGxhc3VzXQpMYSBhbHF1aW1pYSBlcyBjb23Dum5tZW50ZSBjb25vY2lkYSBjb21vIHVuYSBkaXNjaXBsaW5hIGNvZGljaW9zYSB5IHRyYW1wb3NhCnF1ZSBpbnRlbnRhIGNyZWFyIG9ybyBkZSBsYSBuYWRhLApwZXJvIHN1IGVzZW5jaWEgbm8gZXMgZXNhLiBDbGFybywgaW50ZW50YSBoYWNlciBvcm8gZGUgbGEgbmFkYS4uLg==
aiMkAw,,W0tlbGxhc3VzXQpCdXQgZnVuZGFtZW50YWxseSwgd2h5IHRyeSB0byBtYWtlIGdvbGQgZnJvbSBub3RoaW5nPwpUaGUgcmVhc29uIGlzIHNpbXBsZS4gQmVjYXVzZSB0aHJvdWdoIHRoZSBhY3Qgb2YgbWFraW5nIGdvbGQgZnJvbSBub3RoaW5nLApodW1hbnMgYmVsaWV2ZSB0aGV5IGNvbnRpbnVvdXNseSB0cmFpbiB0aGVtc2VsdmVzLg==,,,,,W0tlbGxhc3VzXQpNYXMgZnVuZGFtZW50YWxtZW50ZSwgcG9yIHF1ZSB0ZW50YXIgZmF6ZXIgb3VybyBkbyBuYWRhPwpBIHJhesOjbyDDqSBzaW1wbGVzLiBQb3JxdWUgYXRyYXbDqXMgZG8gYXRvIGRlIGZhemVyIG91cm8gZG8gbmFkYSwKb3MgaHVtYW5vcyBhY3JlZGl0YW0gcXVlIHRyZWluYW0gYSBzaSBtZXNtb3MgY29udGludWFtZW50ZS4=,,W0tlbGxhc3VzXQpQZXJvLCBmdW5kYW1lbnRhbG1lbnRlLCDCv3BvciBxdcOpIGludGVudGFyIGhhY2VyIG9ybyBkZSBsYSBuYWRhPwpMYSByYXrDs24gZXMgc2ltcGxlLiBQb3JxdWUgbWVkaWFudGUgZWwgYWN0byBkZSBoYWNlciBvcm8gZGUgbGEgbmFkYSwKbG9zIGh1bWFub3MgY3JlZW4gcXVlIHNlIGVudHJlbmFuIGEgc8OtIG1pc21vcyBjb250aW51YW1lbnRlLg==
