QOFoDA,,T3NjYXI=,,,,,T3NjYXI=,,T3NjYXI=
QeFoDA,,W09zY2FyXQpXZSd2ZSBjb25maXJtZWQgeW91ciBhYmlsaXR5IHRvIGNvbW11bmUgd2l0aCBvdXIgbmV3IGVnZ3MgaXMgc3VmZmljaWVudC4gTm93LCB3ZSdsbCB0ZXN0IHlvdSB3aXRoIGEgZGlmZmVyZW50IGNoYWxsZW5nZS4=,,,,,W09zY2FyXQpFdSBqw6Egc2FiaWEgbXVpdG8gYmVtIHF1ZSB2b2PDqiB0ZW0gY2FwYWNpZGFkZSBzdWZpY2llbnRlIHBhcmEgc2UgY29tdW5pY2FyIGNvbSBub3Nzb3Mgbm92b3Mgb3Zvcy4gQWdvcmEgdm91IHRlIGRhciB1bWEgcHJvdmHDp8OjbyB1bSBwb3VjbyBkaWZlcmVudGUu,,W09zY2FyXQpZYSBzw6kgbXV5IGJpZW4gcXVlIHRpZW5lcyBsYSBjYXBhY2lkYWQgc3VmaWNpZW50ZSBwYXJhIGNvbmVjdGFyIGNvbiBudWVzdHJvcyBudWV2b3MgaHVldm9zLiBBaG9yYSB0ZSBkYXLDqSB1bmEgcHJ1ZWJhIHVuIHBvY28gZGlmZXJlbnRlLg==
QuFoDA,,W09zY2FyXQpUaGlzIHdpbGwgYmUgYSB0ZXN0IHRvIG1lYXN1cmUgezB9J3MgcGF0aWVuY2Ugd2hlbiBkZWFsaW5nIHdpdGggb3VyIGtpbmQuIEl0IG1heSBiZSBhIHBhaW5mdWwgcHJvY2Vzcy4=,,,,,W09zY2FyXQpFc3RlIHNlcsOhIHVtIHRlc3RlIHBhcmEgYXZhbGlhciBhIHN1YSBwYWNpw6puY2lhLCB7MH0sIGFvIGxpZGFyIGNvbSBub3Nzb3Mgc2VtZWxoYW50ZXMuIFBvZGUgc2VyIHVtYSB0YXJlZmEgYmFzdGFudGUgZG9sb3Jvc2Eu,,W09zY2FyXQpFc3RhIHNlcsOhIHVuYSBwcnVlYmEgcGFyYSBtZWRpciB0dSBwYWNpZW5jaWEsIHswfSwgY3VhbmRvIHRlIGVuZnJlbnRhcyBhIGxvcyBkZSBudWVzdHJhIGVzcGVjaWUuIFB1ZWRlIHNlciB1bmEgdGFyZWEgYmFzdGFudGUgZG9sb3Jvc2Eu
Q+FoDA,,V2hhdCBkb2VzIHRoZSB0ZXN0IGVudGFpbD8=,,,,,Q29tbyBzZXLDoSBvIHRlc3RlPw==,,wr9FbiBxdcOpIGNvbnNpc3RlIGxhIHBydWViYT8=
ROFoDA,,W09zY2FyXQpBIGR5aW5nIGRyYWdvbiB3aWxsIGFwcGVhciBuZXh0IHRvIHlvdS4gXkZGMDAwMEVzY29ydCBpdCB0byB0aGUgaGVhbGluZyBzdG9uZXMgd2l0aG91dCBnZXR0aW5nIGl0IGtpbGxlZCBhbG9uZyB0aGUgd2F5Ll4wMDAwMDA=,,,,,W09zY2FyXQpVbSBkcmFnw6NvIMOgIGJlaXJhIGRhIG1vcnRlIGFwYXJlY2Vyw6EgYW8gbGFkbyBkZSB7MH0uIF5GRjAwMDAgTsOjbyBvIG1hdGUgZGUgZm9ybWEgYWxndW1hIGUgY29uZHV6YS1vIGF0w6kgcGVydG8gZGEgUGVkcmEgZGUgQ3VyYS5eMDAwMDAw,,W09zY2FyXQpBIHR1IGxhZG8gYXBhcmVjZXLDoSB1biBkcmFnw7NuIG1vcmlidW5kby4gXkZGMDAwMCBObyBsbyBtYXRlcyBiYWpvIG5pbmfDum4gY29uY2VwdG8geSBsbMOpdmFsbyBjZXJjYSBkZSBsYSBwaWVkcmEgY3VyYXRpdmEuXjAwMDAwMA==
ReFoDA,,W09zY2FyXQpFdmVyeSB0aW1lIGl0IGFwcHJvYWNoZXMgYSBoZWFsaW5nIHN0b25lLCBpdHMgdml0YWxpdHkgd2lsbCByZWNvdmVyIHNsaWdodGx5LiBZb3VyIHNlY29uZCB0ZXN0IGlzIHRvIGZ1bGx5IHJlc3RvcmUgdGhlIGRyYWdvbidzIHN0YW1pbmEgaW4gdGhpcyBzdGF0ZS4=,,,,,W09zY2FyXQpObyBtb21lbnRvIGVtIHF1ZSBlbGUgc2UgYXByb3hpbWFyIGRhIFBlZHJhIGRlIEN1cmEsIGEgdmlkYSBkbyBkcmFnw6NvIHZhaSBzZSByZWN1cGVyYXIgdW0gcG91Y28uIEEgc3VhIHNlZ3VuZGEgcHJvdmEsIHswfSwgw6kgcmVzdGF1cmFyIHRvZGEgYSB2aWRhIGRvIGRyYWfDo28gbmVzc2UgZXN0YWRvLg==,,W09zY2FyXQpFbiBlbCBtb21lbnRvIGVuIHF1ZSB0ZSBhY2VycXVlcyBhIGxhIHBpZWRyYSBjdXJhdGl2YSwgbGEgdmlkYSBkZWwgZHJhZ8OzbiBzZSByZWN1cGVyYXLDoSB1biBwb2NvLiBUdSBzZWd1bmRhIHBydWViYSwgezB9LCBlcyByZWN1cGVyYXIgdG9kYSBsYSBzYWx1ZCBkZWwgZHJhZ8OzbiBlbiBlc2UgZXN0YWRvLg==
RuFoDA,,W09zY2FyXQpGYWlsdXJlIG5vLiB7MH0uIFlvdSBuZWVkIHRvIGJlIGEgYml0IG1vcmUgY2FyZWZ1bC4gXjAwMDBGRkknbGwgcmVkdWNlIHRoZSBudW1iZXIgb2YgQm9uZSBBY2lkdXMgYXBwZWFyaW5nIG5lYXIgdGhlIGhlYWxpbmcgc3RvbmVzIGZvciB5b3UuIEhhbmcgaW4gdGhlcmUhXjAwMDAwMA==,,,,,W09zY2FyXQpUZW50YXRpdmEgZnJhY2Fzc2FkYSBuwrogezB9LCBuw6k/IFByZWNpc2EgdGVyIHVtIHBvdWNvIG1haXMgZGUgY3VpZGFkby4gXjAwMDBGRlZvdSBkaW1pbnVpciB1bSBwb3VjbyBvIG7Dum1lcm8gZGUgQm9uZSBBY2lkdXMgcXVlIGFwYXJlY2VtIHBlcnRvIGRhIFBlZHJhIGRlIEN1cmEsIGVudMOjbyB0ZW50ZSBvIHNldSBtZWxob3IuXjAwMDAwMA==,,W09zY2FyXQpZYSBlcyB0dSBmYWxsYSBuwrogezB9LiBUZW5kcsOhcyBxdWUgdGVuZXIgdW4gcG9jbyBtw6FzIGRlIGN1aWRhZG8uIF4wMDAwRkYgVGUgdm95IGEgcmVkdWNpciB1biBwb2NvIGxhIGNhbnRpZGFkIGRlIEJvbmUgQWNpZHVzIHF1ZSBhcGFyZWNlbiBjZXJjYSBkZSBsYSBQaWVkcmEgQ3VyYXRpdmEsIGFzw60gcXVlIMKhw6FuaW1vIV4wMDAwMDA=
R+FoDA,,SSdtIHF1aXR0aW5n,,,,,Vm91IHBhcmFy,,TWUgcmluZG8=
SOFoDA,,SSdtIHJlYWR5Lg==,,,,,VHVkbyBwcm9udG8u,,VG9kbyBsaXN0by4=
SeFoDA,,W09zY2FyXQpMZXQgbWUga25vdyB3aGVuIHlvdSdyZSByZWFkeS4=,,,,,W09zY2FyXQpBdmlzYSBxdWFuZG8gZXN0aXZlciB0dWRvIHByb250by4=,,W09zY2FyXQpBdsOtc2FtZSBjdWFuZG8gdG9kbyBlc3TDqSBsaXN0by4=
SuFoDA,,T3NjYXI6IFlvdSdyZSBzbyBwYXRpZW50ISBDb25ncmF0cyEgTm93LCBsZXQgbWUgZ3VpZGUgeW91IHRvIHlvdXIgbmV4dCB0ZXN0Lg==,,,,,T3NjYXI6IFF1ZSBwYWNpw6puY2lhIGluY3LDrXZlbC4gUGFyYWLDqW5zLiBWb3UgdGUgbGV2YXIgcGFyYSBhIHByw7N4aW1hIHByb3ZhLg==,,T3NjYXI6IFZheWEsIHF1w6kgZ3JhbiBwYWNpZW5jaWEgdGllbmVzLiBGZWxpY2lkYWRlcy4gVGUgbGxldmFyw6kgYSBsYSBzaWd1aWVudGUgcHJ1ZWJhLg==
