oBC7Bw,,T2NjdXB5IE9zIFBvcnRhbA==,,,,,UG9ydGFsIE9T,,UG9ydGFsIE9T
oRC7Bw,,W09jY3VweSBPcyBQb3J0YWxdClBQTCBoYXMgYmVlbiByZW1vdmVkLg==,,,,,W1BvcnRhbCBPU10KUFBMIGV4Y2x1w61kbw==,,W1BvcnRhbCBPU10KUFBMIGVsaW1pbmFkbw==
ohC7Bw,,W09jY3VweSBPcyBQb3J0YWxdClJlbW92ZSB0aGUgY29vbGRvd24gZm9yIG9jY3VweWluZyBPcy4=,,,,,W1BvcnRhbCBPU10KUmVtb3ZlciBlc3BlcmEgZGEgaW5zdMOibmNpYS4=,,W1BvcnRhbCBPU10KRWxpbWluYXIgdGllbXBvIGRlIGVzcGVyYSBkZSBsYSBpbnN0YW5jaWEu
oxC7Bw,,Q2FuY2Vs,,,,,Q2FuY2VsYXI=,,Q2FuY2VsYXI=
pBC7Bw,,UHJlcmVxdWlzaXRl,,,,,QWRpY2lvbmFyIHByw6ktcmVxdWlzaXRvcw==,,QWdyZWdhciBwcmVycmVxdWlzaXRvcw==
pRC7Bw,,UHJlLWluaXRpYWxpemF0aW9u,,,,,UmVzZXRhciBwcsOpLXJlcXVpc2l0b3M=,,UmVzdGFibGVjZXIgcHJlcnJlcXVpc2l0b3M=
phC7Bw,,UmVzZXQgY29udmVyc2F0aW9u,,,,,UmVzZXRhciBDb252ZXJzYQ==,,UmVzdGFibGVjZXIgY29udmVyc2FjacOzbg==
pxC7Bw,,Tm93IHdlIG5lZWQgdG8gcXVpY2tseSBwdXNoIGZvcndhcmQgd2l0aCB0aGUgQW5uaWhpbGF0aW9uIEJhdHRsZS4gV2UgZG9uJ3QgaGF2ZSBtdWNoIHRpbWUgbGVmdC4=,,,,,RGV2ZW1vcyBlbGltaW7DoS1sb3MgcmFwaWRhbWVudGUuIE7Do28gdGVtb3MgbXVpdG8gdGVtcG8u,,RGViZW1vcyBlbGltaW5hcmxvcyByw6FwaWRhbWVudGUuIE5vIHRlbmVtb3MgbXVjaG8gdGllbXBvLg==
qBC7Bw,,RXN0,,,,,RXN0,,RXN0
qRC7Bw,,W0VzdF0KVGhlIGFkdmFuY2UgdGVhbSdzIHJhaWx3YXkgdHJhbnNwb3J0IHJvdXRlIGhhcyBub3QgYmVlbiBzZWN1cmVkIHlldC4gV2UgY2FuJ3QgcHJvY2VlZCBhbnkgZnVydGhlciBsaWtlIHRoaXMu,,,,,W0VzdCBMb3ZlbG95XQpBcyB0cm9wYXMgYWluZGEgbsOjbyBnYXJhbnRpcmFtIGEgcm90YSBkZSB0cmFuc3BvcnRlIGZlcnJvdmnDoXJpby4gTsOjbyBkw6EgcGFyYSBlbnRyYXIgYXNzaW0u,,W0VzdCBMb3ZlbG95XQpMYXMgdHJvcGFzIGHDum4gbm8gaGFuIGFzZWd1cmFkbyBsYSBydXRhIGRlIHRyYW5zcG9ydGUgZmVycm92aWFyaW8uIE5vIHNlIHB1ZWRlIGVudHJhciBhc8OtLg==
qhC7Bw,,W0VzdF0KVGhlIGV4dGVybWluYXRpb24gbWlzc2lvbiB3YXMgcXVpdGUgc3VjY2Vzc2Z1bCwgYnV0Li4uIGl0IHNlZW1zIHdlJ2xsIG5lZWQgdG8gcGF0cm9sIHJlZ3VsYXJseSBldmVyeSBkYXkuIEZvciBtb3JlIGRldGFpbHMsIGNvbnN1bHQgd2l0aCBPcGVyYXRpb25zIE9mZmljZXIu,,,,,W0VzdCBMb3ZlbG95XQpBIGJhdGFsaGEgZm9pIGJlbSBzdWNlZGlkYS4uLiBtYXMgYWNobyBxdWUgZGV2ZW1vcyBwYXRydWxoYXIgdG9kb3Mgb3MgZGlhcy4gUG9yIGZhdm9yLCBjb252ZXJzZSBvcyBkZXRhbGhlcyBjb20gbyBPZmljaWFsIGRlIE9wZXJhw6fDtWVzLg==,,W0VzdCBMb3ZlbG95XQpMYSBiYXRhbGxhIGZ1ZSB1biDDqXhpdG8uLi4gcGVybyBjcmVvIHF1ZSB0ZW5kcmVtb3MgcXVlIHBhdHJ1bGxhciB0b2RvcyBsb3MgZMOtYXMuIEhhYmxhIGxvcyBkZXRhbGxlcyBjb24gZWwgT2ZpY2lhbCBkZSBPcGVyYWNpb25lcy4=
qxC7Bw,,T3MgT2NjdXBhdGlvbiBPcGVyYXRpb24=,,,,,T2N1cGHDp8OjbyBPUw==,,T2N1cGFjacOzbiBPUw==
rBC7Bw,,W0VzdF0KQWgsIHlvdeKAmXJlIGhlcmUuIEkgaGVhcmQgdGhhdCB0aGUgQWR2YW5jZSBQYXJ0eSBoYXMgdGFrZW4gY29udHJvbCBvZiB0aGUgcmFpbHdheSB0cmFuc3BvcnQgcm91dGUu,,,,,W0VzdCBMb3ZlbG95XQpBaCwgdm9jw6ogZXN0w6EgYcOtLiBPdXZpIGRpemVyIHF1ZSBhIHRyb3BhIGdhcmFudGl1IGEgcm90YSBmZXJyb3Zpw6FyaWEu,,W0VzdCBMb3ZlbG95XQpBaCwgeWEgbGxlZ2FzdGUuIEVzY3VjaMOpIHF1ZSBsYSB0cm9wYSBhc2VndXLDsyBsYSBydXRhIGZlcnJvdmlhcmlhLg==
rRC7Bw,,QXNrIGFib3V0IHRoZSBuZXh0IG9wZXJhdGlvbi4=,,,,,RSBhIHByw7N4aW1hIG9wZXJhw6fDo28/,,wr9ZIGxhIHByw7N4aW1hIG9wZXJhY2nDs24/
rhC7Bw,,W0VzdF0KV2UndmUgc2VjdXJlZCB0aGUgdHJhbnNwb3J0IHJvdXRlLCBidXQgdGhleSdsbCBwcm9iYWJseSBjb3VudGVyYXR0YWNrIHdpdGhpbiBhIGZldyBob3Vycy4gSWYgdGhhdCBoYXBwZW5zLCBhbGwgb3VyIGVmZm9ydHMgYW5kIHRoZSBvcGVyYXRpb24gd2UndmUgY2FycmllZCBvdXQgd2lsbCBiZSBmb3Igbm90aGluZy4=,,,,,W0VzdCBMb3ZlbG95XQpOw7NzIGFzc3VtaW1vcyBvIGNvbnRyb2xlIGZlcnJvdmnDoXJpbywgbWFzIG9zIGluaW1pZ29zIHBvZGVtIGNvbnRyYS1hdGFjYXIgbm92YW1lbnRlIGEgcXVhbHF1ZXIgbW9tZW50by4gRW50w6NvLCBub3NzYSBvY3VwYcOnw6NvIHBvZGVyw6Egc2VyIGludXRpbGl6YWRhLg==,,W0VzdCBMb3ZlbG95XQpIZW1vcyB0b21hZG8gZWwgY29udHJvbCBkZWwgZmVycm9jYXJyaWwsIHBlcm8gbG9zIGVuZW1pZ29zIHBvZHLDrWFuIGNvbnRyYWF0YWNhciBlbiBjdWFscXVpZXIgbW9tZW50by4gRW50b25jZXMsIG51ZXN0cmEgb2N1cGFjacOzbiBxdWVkYXLDrWEgZW4gbmFkYS4=
rxC7Bw,,W0VzdF0KV2UgcGxhbiB0byBjYXJyeSBvdXQgYSBtb3AtdXAgb3BlcmF0aW9uIGluIHRoZSBzdXJyb3VuZGluZyBhcmVhIHRvIHByZXZlbnQgYW55IGNvdW50ZXJhdHRhY2tzLiBPZiBjb3Vyc2UsIGlubm9jZW50IGNpdmlsaWFucyB3b24ndCBiZSBpbmNsdWRlZCBhcyB0YXJnZXRzLi4u,,,,,W0VzdCBMb3ZlbG95XQpQYXJhIGV2aXRhciBpc3NvLCBwbGFuZWphbW9zIGVsaW1pbmFyIHF1YWxxdWVyIG7Do28tY2l2aWwgbmEgw6FyZWEu,,W0VzdCBMb3ZlbG95XQpQYXJhIGV2aXRhcmxvLCBwbGFuZWFtb3MgZWxpbWluYXIgYSB0b2RvIGFxdWVsIHF1ZSBubyBzZWEgY2l2aWwgZW4gbGEgem9uYS4=
sBC7Bw,,QXNrIHdoYXQgbmVlZHMgdG8gYmUgcHJlcGFyZWQu,,,,,Q29tbyBzZSBwcmVwYXJhcj8=,,wr9Dw7NtbyBwcmVwYXJhcnNlPw==
sRC7Bw,,W0VzdF0KVGhlIGJyaWVmaW5nIHJlbGF0ZWQgdG8gdGhlIGJhdHRsZSB3aWxsIGJlIGdpdmVuIGFmdGVyIHdlIGVudGVyIHRoZSBvcGVyYXRpb24gYXJlYS4gTWFrZSBzdXJlIHRvIHByZXBhcmUgYW55IG5lY2Vzc2FyeSBzdXBwbGllcyBvbiB5b3VyIG93bi4=,,,,,W0VzdCBMb3ZlbG95XQpWb3UgaW5zdHJ1aXIgdm9jw6ogYXNzaW0gcXVlIGluaWNpYXJtb3MgYXMgb3BlcmHDp8O1ZXMuIFByZXBhcmUtc2UgY29tIG8gcXVlIHZvY8OqIGrDoSB0ZW0u,,W0VzdCBMb3ZlbG95XQpUZSBkYXLDqSBsYXMgaW5zdHJ1Y2Npb25lcyBjdWFuZG8gY29tZW5jZW1vcyBsYSBvcGVyYWNpw7NuLiBQcmVww6FyYXRlIGNvbiBsbyBxdWUgeWEgdGVuZ2FzLg==
shC7Bw,,W0VzdF0KV2UndmUgc2VjdXJlZCB0aGUgdHJhbnNwb3J0IHJvdXRlLCBidXQgdGhleSdsbCBwcm9iYWJseSBsYXVuY2ggYSBjb3VudGVyYXR0YWNrIHdpdGhpbiBhIGZldyBob3Vycy4=,,,,,W0VzdCBMb3ZlbG95XQpOw7NzIGFzc3VtaW1vcyBvIGNvbnRyb2xlIGRvIHRyYW5zcG9ydGUsIG1hcyBlbGVzIHByb3ZhdmVsbWVudGUgdsOjbyByZXZpZGFyIGVtIGFsZ3VtYXMgaG9yYXMu,,W0VzdCBMb3ZlbG95XQpIZW1vcyBhc2VndXJhZG8gZWwgdHJhbnNwb3J0ZSwgcGVybyBwcm9iYWJsZW1lbnRlIGNvbnRyYWF0YWNhcsOhbiBlbiB1bmFzIGhvcmFzLg==
sxC7Bw,,SWYgeW91IGFyYml0cmFyaWx5IGhhbmRsZSBtb25zdGVycyBpbnNpZGUgdGhlIF5GRjAwMDBkdW5nZW9uLCBzdWNoIGFzIGJ5IHRhbWluZyB0aGVtLCBpdCB3aWxsIG5vdCBiZSBjb25zaWRlcmVkIG5vcm1hbCBwcm9ncmVzc2lvbi4gUGxlYXNlIGtlZXAgdGhpcyBpbiBtaW5kLl4wMDAwMDA=,,,,,XkZGMDAwMEF0ZW7Dp8Ojbzogc2Ugdm9jw6ogdGVudGFyIGRvbWFyIG1vbnN0cm9zIG91IHJlYWxpemFyIHF1YWxxdWVyIG91dHJhIGHDp8OjbyBpcnJlbGV2YW50ZSByZWxhY2lvbmFkYSBhIG1vbnN0cm9zLCBlc3RhIG1hc21vcnJhIG7Do28gc2Vyw6EgY29uc2lkZXJhZGEgY29uY2x1w61kYS5eMDAwMDAw,,XkZGMDAwMEF0ZW5jacOzbjogc2kgaW50ZW50YXMgZG9tYXIgbW9uc3RydW9zIG8gcmVhbGl6YXIgY3VhbHF1aWVyIG90cmEgYWNjacOzbiBpcnJlbGV2YW50ZSByZWxhY2lvbmFkYSBjb24gbW9uc3RydW9zLCBlc3RhIG1hem1vcnJhIG5vIHNlIGNvbnNpZGVyYXLDoSBjb21wbGV0YWRhLl4wMDAwMDA=
