AElKAw,,TXVmZg==,,,,,TXVmZg==,,TWFuZ3VpdG8=
AUlKAw,,W011ZmZdCllvdSdyZSBjYXJyeWluZyB3YXkgdG9vCm11Y2ggc3R1ZmYgcmlnaHQgbm93LgpDb21lIGJhY2sgYWZ0ZXIgeW91IHB1dAp5b3VyIHN0dWZmIGluIEthZnJhIFN0b3JhZ2Uu,,,,,W011ZmZdClZvY8OqIGVzdMOhIGNhcnJlZ2FuZG8KbXVpdGEgY29pc2Egbm8gbW9tZW50by4KVm9sdGUgZGVwb2lzIGRlIGNvbG9jYXIKc3VhcyBjb2lzYXMgZW0gdW0gQXJtYXrDqW0gS2FmcmEu,,W011ZmZdCkxsZXZhcyBkZW1hc2lhZGFzCmNvc2FzIGFob3JhIG1pc21vLgpWdWVsdmUgZGVzcHXDqXMgZGUgcG9uZXIKdHVzIGNvc2FzIGVuIGVsIEFsbWFjw6luIGRlIEthZnJhLg==
AklKAw,,W011ZmZdCldoYXQgdGgtPyEgR2VleiwKeW91IGRpZG4ndCBoYXZlIHRvCnNjYXJlIG1lIGxpa2UgdGhhdCEKV2hhdCBpcyBpdCB0aGF0IHlvdSB3YW50Pw==,,,,,W011ZmZdCk8gcXVlIGRpYWIuLi4/IENhcmFtYmEsCm7Do28gcHJlY2lzYXZhCm1lIGFzc3VzdGFyIGFzc2ltIQpPIHF1ZSDDqSBxdWUgdm9jw6ogcXVlcj8=,,W011ZmZdCsKhwr9RdcOpLi4uPyEgQ2llbG9zLApubyB0ZW7DrWFzIHF1ZQphc3VzdGFybWUgYXPDrS4Kwr9RdcOpIHF1aWVyZXM/
A0lKAw,,WW91IGxvb2sgdHJvdWJsZWQu,,,,,Vm9jw6ogcGFyZWNlIHByZW9jdXBhZG8u,,UGFyZWNlIHF1ZSBhbGdvIHRlIGlucXVpZXRhLg==
BElKAw,,Tm90aGluZy4gVGFrZSBjYXJlIQ==,,,,,TmFkYS4gQ3VpZGUtc2Uh,,TmFkYS4gwqFDdcOtZGF0ZSE=
BUlKAw,,W011ZmZdCk9oLiBUaGF0J3MgYXdmdWxseQp0aG91Z2h0ZnVsIG9mIHlvdS4KSSB3YXMgdGhpbmtpbmcgYWJvdXQKYXNraW5nIHlvdSBmb3IgaGVscCwKYnV0IHlvdSBkb24ndCBsb29rIGxpa2UKeW91IGNvdWxkIGhhbmRsZSBpdC4gU29ycnku,,,,,W011ZmZdCk9oLiDDiSBtdWl0YSBnZW50aWxlemEKZGUgc3VhIHBhcnRlLgpFdSBlc3RhdmEgcGVuc2FuZG8gZW0KcGVkaXIgc3VhIGFqdWRhLAptYXMgYWNobyBxdWUgdm9jw6ogCm7Do28gc2VyaWEgY2FwYXouIERlc2N1bHBlLg==,,W011ZmZdCkFoLiBFc28gZXMgbXV5CmNvbnNpZGVyYWRvIGRlIHR1IHBhcnRlLgpFc3RhYmEgcGVuc2FuZG8gZW4KcGVkaXJ0ZSBheXVkYSwKcGVybyBubyBwYXJlY2UKcXVlIHB1ZWRhcyBtYW5lamFybG8uIExvIHNpZW50by4=
BklKAw,,W011ZmZdCldlbGwsIEknbSBhY3R1YWxseSBpbgpwcmV0dHkgYmlnIHRyb3VibGUuCkkgYm9ycm93ZWQgc29tZSBtb25leQpmcm9tIHRoaXMgbG9hbiBzaGFyawpuYW1lZCBeMDAwMEZGQmVsZGVyXjAwMDAwMCBpbiBBbGJlcnRhLgpJdCB3YXMgYSBiYWQgbW92ZSE=,,,,,W011ZmZdCkJlbSwgbmEgdmVyZGFkZSBlc3RvdQpjb20gdW0gZW5vcm1lIHByb2JsZW1hLgpQZWd1ZWkgZGluaGVpcm8gZW1wcmVzdGFkbwpjb20gdW0gYWdpb3RhCmNoYW1hZG8gXjAwMDBGRkJlbGRlcl4wMDAwMDAgZW0gQWxiZXJ0YS4KTsOjbyBmb2kgdW1hIGJvYSBpZMOpaWEh,,W011ZmZdCkJ1ZW5vLCBlbiByZWFsaWRhZCB0ZW5nbwp1biBwcm9ibGVtYSBiYXN0YW50ZSBncmFuZGUuCkxlIHBlZMOtIHByZXN0YWRvIGFsZ28gZGUgZGluZXJvCmEgZXNlIHVzdXJlcm8KbGxhbWFkb14wMDAwRkZCZWxkZXJeMDAwMDAwIGVuIEFsYmVydGEuCsKhRnVlIHVuYSBtYWxhIGp1Z2FkYSE=
B0lKAw,,W011ZmZdCk15IGJ1c2luZXNzIGhhc24ndCBiZWVuCmdvb2QsIGJ1dCBJIGZlbHQgbGlrZSBJIGRpZG4ndApoYXZlIGEgY2hvaWNlLiBJIG1hZGUgZW5vdWdoCm1vbmV5IHRvIHJlcGF5IGhpbSBub3csIGJ1dAp0aGVuIEkgbG9zdCBteSBib25kIG9mIGRlYnQu,,,,,W011ZmZdCk1ldXMgbmVnw7NjaW9zIG7Do28gZXN0YXZhbQpiZW0sIGVudMOjbyBhY2hlaSBxdWUgbsOjbyB0aW5oYQpvdXRyYSBlc2NvbGhhLiBDb25zZWd1aSBkaW5oZWlybwpzdWZpY2llbnRlIHBhcmEgcGFnYXIsIG1hcwpwZXJkaSBtZXUgcmVjaWJvLg==,,W011ZmZdCk1pIG5lZ29jaW8gbm8gaGEgZXN0YWRvCmJpZW4sIHBlcm8gc2VudMOtIHF1ZSBubwp0ZW7DrWEgb3BjacOzbi4gSGljZSBzdWZpY2llbnRlCmRpbmVybyBwYXJhIHBhZ2FybGUgYWhvcmEsIHBlcm8KcGVyZMOtIG1pIHBhZ2Fyw6ku
CElKAw,,W011ZmZdCldoZW4gSSBhc2tlZCBCZWxkZXIgaWYKSSBjb3VsZCBwYXkgaGltIGJhY2sgd2l0aG91dAp0aGF0IGJvbmQsIGhlIGluc2lzdGVkIHRoYXQKaGUgZGlkbid0IHJlbWVtYmVyIGxvYW5pbmcKbW9uZXkgdG8gbWUuIEkgYmV0IGhlIGp1c3QKd2FudHMgdG8ga2VlcCBteSBjb2xsYXRlcmFsIQ==,,,,,W011ZmZdClF1YW5kbyBwZXJndW50ZWkgYSBCZWxkZXIgc2UKcG9kZXJpYSBwYWdhciBhIGVsZSBzZW0KbyByZWNpYm8sIGVsZSBpbnZlbnRvdSBxdWUKbsOjbyBzZSBsZW1icmF2YSBkZSB0ZXIgbWUgZW1wcmVzdGFkbyBkaW5oZWlyby4gQXBvc3RvIHF1ZSBlbGUgc8OzIHF1ZXIgZmljYXIgY29tIG1pbmhhIGdhcmFudGlhIQ==,,W011ZmZdCkN1YW5kbyBsZSBwcmVndW50w6kgYSBCZWxkZXIgc2kKcG9kw61hIHBhZ2FybGUgc2luCmVzZSBkb2N1bWVudG8sIGluc2lzdGnDsyBlbiBxdWUKbm8gcmVjb3JkYWJhIGhhYmVybWUgcHJlc3RhZG8KZGluZXJvLiBBcHVlc3RvIGEgcXVlCnF1aWVyZSBxdWVkYXJzZSBjb24gbWkgZ2FyYW50w61hLg==
CUlKAw,,W011ZmZdCkkga25ldyB0aGF0IGd1eSB3YXMgc2hhZHkhCldvdWxkIHlvdSBoZWxwIG1lIGZpbmQgbXkKbG9zdCBib25kIG9mIGRlYnQ/IFlvdSBzZWUsCnRoZSBjb2xsYXRlcmFsIEkgZ2F2ZSBoaW0KaXMgcmVhbGx5IHZhbHVhYmxlIHRvIG1lLg==,,,,,W011ZmZdClNhYmlhIHF1ZSBlc3NlIGNhcmEgZXJhIHNhZmFkbyEKUG9kZSBtZSBhanVkYXIgYSBlbmNvbnRyYXIKbWV1IHJlY2libyBkZSBlbXByw6lzdGltbz8gU2FiZSwgYSBnYXJhbnRpYSBxdWUgZGVpeGVpIGNvbSBlbGUgw6kgbXVpdG8gdmFsaW9zYSBwYXJhIG1pbS4=,,W011ZmZdCsKhU2Fiw61hIHF1ZSBlc2Ugc3VqZXRvIGVyYSB0dXJiaW8hCsK/TWUgYXl1ZGFyw61hcyBhIGVuY29udHJhciBtaQpwYWdhcsOpIHBlcmRpZG8/IFZlcsOhcywKbGEgZ2FyYW50w61hIHF1ZSBsZSBkaQplcyBtdXkgdmFsaW9zYSBwYXJhIG3DrS4=
CklKAw,,RG8geW91IGtub3cgd2hlcmUgeW91IGxvc3QgaXQ/,,,,,Vm9jw6ogc2FiZSBvbmRlIHBlcmRldT8=,,wr9TYWJlcyBkw7NuZGUgbG8gcGVyZGlzdGU/
