gMKcDA,,QXNjdW5kYWlnYQ==,,,,,QXNjdW5kYWlnYQ==,,QXNjdW5kYWlnYQ==
gcKcDA,,LSBDYW5ub3QgcHJvY2VlZCAt,,,,,LSBOw6NvIMOpIHBvc3PDrXZlbCBwcm9zc2VndWlyIC0=,,LSBObyBzZSBwdWVkZSBwcm9jZWRlciAt
gsKcDA,,W0FzY3VuZGFpZ2FdClRoYW5rIHlvdSBmb3IgcGFydGljaXBhdGluZyBpbiB0aGUgQmF0dGxlIFBhc3MgU2Vhc29uIDEgZXZlbnQuClRoaXMgaXMgdGhlIFtOb3JtYWxdIEJhdHRsZSBQYXNzIFNlYXNvbiAxLgpQbGVhc2UgYWNjZXB0IGl0Lg==,,,,,W0FzY3VuZGFpZ2FdCk9icmlnYWRvIHBvciBwYXJ0aWNpcGFyIGRvIGV2ZW50byBCYXR0bGUgUGFzcyBTZWFzb24gMS4KRXN0ZSDDqSBvIEJhdHRsZSBQYXNzIFNlYXNvbiAxIFtOb3JtYWxdLgpSZWNlYmEtby4=,,W0FzY3VuZGFpZ2FdCkdyYWNpYXMgcG9yIHBhcnRpY2lwYXIgZW4gZWwgZXZlbnRvIEJhdHRsZSBQYXNzIFNlYXNvbiAxLgpFc3RlIGVzIGVsIEJhdHRsZSBQYXNzIFNlYXNvbiAxIFtOb3JtYWxdLgpSZWPDrWJlbG8u
g8KcDA,,W0FzY3VuZGFpZ2FdCkhlbGxvLiBXaGF0IGNhbiBJIGhlbHAgeW91IHdpdGg/,,,,,W0FzY3VuZGFpZ2FdCk9sw6EuIENvbW8gcG9zc28gYWp1ZMOhLWxvPw==,,W0FzY3VuZGFpZ2FdCkhvbGEuIMK/Q8OzbW8gcHVlZG8gYXl1ZGFydGU/
hMKcDA,,W0FzY3VuZGFpZ2FdCkkgYW0gQXNjdW5kYWlnYSwgaGVyZSB0byBjaGVjayB5b3VyIEJhdHRsZSBQYXNzIGluZm9ybWF0aW9uLgpJZiB5b3UgaGF2ZSBhbnkgcXVlc3Rpb25zIG9yIHdhbnQgdG8gcmVjZWl2ZSBCYXR0bGUgUGFzcyByZXdhcmRzLCBwbGVhc2UgbGV0IG1lIGtub3cu,,,,,W0FzY3VuZGFpZ2FdCkV1IHNvdSBhIEFzY3VuZGFpZ2EsIGVzdG91IGFxdWkgcGFyYSB2ZXJpZmljYXIgc3VhcyBpbmZvcm1hw6fDtWVzIGRvIFBhc3NlIGRlIEJhdGFsaGEuClNlIHZvY8OqIHRpdmVyIGFsZ3VtYSBkw7p2aWRhIG91IHF1aXNlciByZWNlYmVyIHJlY29tcGVuc2FzIGRvIFBhc3NlIGRlIEJhdGFsaGEsIHBvciBmYXZvciwgYXZpc2Uu,,W0FzY3VuZGFpZ2FdClNveSBBc2N1bmRhaWdhLCBlc3RveSBhcXXDrSBwYXJhIHZlcmlmaWNhciB0dSBpbmZvcm1hY2nDs24gZGVsIFBhc2UgZGUgQmF0YWxsYS4KU2kgdGllbmVzIGFsZ3VuYSBkdWRhIG8gcXVpZXJlcyByZWNpYmlyIHJlY29tcGVuc2FzIGRlbCBQYXNlIGRlIEJhdGFsbGEsIHBvciBmYXZvciBhdsOtc2FtZS4=
hcKcDA,,Q2hlY2sgTGV2ZWw=,,,,,VmVyaWZpY2FyIE7DrXZlbA==,,VmVyaWZpY2FyIE5pdmVs
hsKcDA,,Q2xhaW0gUmV3YXJkcw==,,,,,UmVzZ2F0YXIgUmVjb21wZW5zYXM=,,UmVjbGFtYXIgUmVjb21wZW5zYXM=
h8KcDA,,VXBncmFkZSBCYXR0bGUgUGFzcw==,,,,,QXR1YWxpemFyIFBhc3NlIGRlIEJhdGFsaGE=,,QWN0dWFsaXphciBQYXNlIGRlIEJhdGFsbGE=
iMKcDA,,Q2FuY2Vs,,,,,Q2FuY2VsYXI=,,Q2FuY2VsYXI=
icKcDA,,W0FzY3VuZGFpZ2FdCllvdXIgY3VycmVudCBsZXZlbCBhbmQgcG9pbnRzIGFyZToKTGV2ZWwgezB9IGFuZCB7MX0gcG9pbnRz,,,,,W0FzY3VuZGFpZ2FdClNldSBuw612ZWwgZSBwb250b3MgYXR1YWlzIHPDo286Ck7DrXZlbCB7MH0gZSB7MX0gcG9udG9z,,W0FzY3VuZGFpZ2FdClR1IG5pdmVsIHkgcHVudG9zIGFjdHVhbGVzIHNvbjoKTml2ZWwgezB9IHkgezF9IHB1bnRvcw==
isKcDA,,W0FzY3VuZGFpZ2FdClBsZWFzZSBzZWxlY3QgYW4gaXRlbSB0byBwcm9jZWVkLg==,,,,,W0FzY3VuZGFpZ2FdClBvciBmYXZvciwgc2VsZWNpb25lIHVtIGl0ZW0gcGFyYSBwcm9zc2VndWlyLg==,,W0FzY3VuZGFpZ2FdClBvciBmYXZvciwgc2VsZWNjaW9uYSB1biDDrXRlbSBwYXJhIHByb2NlZGVyLg==
