YLd8DA,,RWxtYQ==,,,,,RWxtYQ==,,RWxtYQ==
Ybd8DA,,W0VsbWFdCjxGT05UIFNJWkUgPSAxND48Qj5ObyEhITwvQj48L0ZPTlQ+CldoeSB3b24ndCB5b3UgdGVsbCBtZT8hCkkgZGVzZXJ2ZSB0byBrbm93ISEh,,,,,W0VsbWFdCjxGT05UIFNJWkUgPSAxND48Qj5Ow6NvISEhPC9CPjwvRk9OVD4KUG9yIHF1ZSB2b2PDqiBuw6NvIG1lIGNvbnRhPyEKRXUgdGVuaG8gdG9kbyBvIGRpcmVpdG8gZGUgc2FiZXIhISE=,,W0VsbWFdCjxGT05UIFNJWkUgPSAxND48Qj7CoU5vISEhPC9CPjwvRk9OVD4Kwr9Qb3IgcXXDqSBubyBtZSBsbyBkaWNlcz8hCsKhVGVuZ28gdG9kbyBlbCBkZXJlY2hvIGEgc2FiZXJsbyEhIQ==
Yrd8DA,,RWxtYTogQXJlIHlvdSBpZ25vcmluZyBtZSBub3c/,,,,,RWxtYTogVm9jw6ogdMOhIG1lIGlnbm9yYW5kbz8h,,RWxtYTogwr9NZSBlc3TDoXMgaWdub3JhbmRvPyE=
Y7d8DA,,W0tpcmFuXQpFdmVuIGlmIHlvdSBzYXkgdGhhdCwgYXMgSSd2ZSB0b2xkIHlvdSBtYW55IHRpbWVzLCB0aGVyZSdzIG5vdGhpbmcgd2UgY2FuIHRlbGwgeW91Lg==,,,,,W0tpcmFuXQouLi5Db21vIGrDoSBtZW5jaW9uZWkgdsOhcmlhcyB2ZXplcywgbsOjbyBow6EgbmFkYSBxdWUgcG9zc2Ftb3MgdGUgY29udGFyLg==,,W0tpcmFuXQpBdW5xdWUgbG8gZGlnYXMgYXPDrSwgY29tbyB5YSB0ZSBoZSBkaWNobyB2YXJpYXMgdmVjZXMsIGRlc2RlIG51ZXN0cm8gbGFkbyBubyBoYXkgbmFkYSBxdWUgcG9kYW1vcyBkZWNpcnRlLg==
ZLd8DA,,S2lyYW46IEFuZCBwbGVhc2Ugc3RvcCB5ZWxsaW5nLg==,,,,,S2lyYW46IFBhcmUgZGUgZ3JpdGFyLg==,,S2lyYW46IE5vIGdyaXRlcyBhc8OtLg==
Zbd8DA,,W0VsbWFdCjxGT05UIFNJWkUgPSAxND48Qj5MaWFyITwvQj48L0ZPTlQ+CllvdSdyZSBqdXN0IHRyeWluZyB0byBrZWVwIHRoZWlyIHBvd2VycyB0byB5b3Vyc2VsZiwgYXJlbid0IHlvdT8=,,,,,W0VsbWFdCjxGT05UIFNJWkUgPSAxND48Qj5NZW50aXJhITwvQj48L0ZPTlQ+ClZvY8OqIHTDoSB0ZW50YW5kbyBtb25vcG9saXphciB0b2RvIG8gcG9kZXIh,,W0VsbWFdCjxGT05UIFNJWkUgPSAxND48Qj7CoU1lbnRpcmEhPC9CPjwvRk9OVD4Kwr9Fc3TDoXMgdHJhdGFuZG8gZGUgYWNhcGFyYXIgdG9kbyBlbCBwb2RlciBkZSBlc2EgbWFuZXJhPw==
Zrd8DA,,RWxtYTogSG93IGRlc3BpY2FibGUhISEhISEhISEh,,,,,RWxtYTogQ09WQVJERSEhISEhISEhISE=,,RWxtYTogwqFRdcOpIG1lenF1aW5vISEhISEhISEhIQ==
Z7d8DA,,W0tpcmFuXQpUaGUgcG93ZXJzIG9mIGVsZW1lbnRhbHMgYXJlbid0IG91cnMtLW9yIGFueW9uZSBlbHNlJ3MtLXRvIGtlZXAuCkl0J3MgdXAgdG8gdGhlbSB0byBjaG9vc2Ugd2hvbSB0aGV5IGxlbmQgdGhlaXIgcG93ZXJzIHRvLg==,,,,,W0tpcmFuXQpPIHBvZGVyIGRvcyBFc3DDrXJpdG9zIEVsZW1lbnRhaXMgbsOjbyDDqSBhbGdvIHF1ZSBhbGd1w6ltIHBvc3NhIG1vbm9wb2xpemFyLgpBZmluYWwsIHPDo28gZWxlcyBxdWUgZGVjaWRlbSBzZSB2w6NvIGVtcHJlc3RhciBvIHBvZGVyLCBjZXJ0bz8=,,W0tpcmFuXQpFbCBwb2RlciBkZSBsb3MgZXNww61yaXR1cyBubyBlcyBhbGdvIHF1ZSBhbGd1aWVuIHB1ZWRhIGFjYXBhcmFyLgpTb24gZWxsb3MgcXVpZW5lcyBkZWNpZGVuIHNpIHRlIHByZXN0YW4gc3UgcG9kZXIgbyBubywgwr9ubz8=
aLd8DA,,W0VsbWFdCjxGT05UIFNJWkUgPSAxND48Qj5IbXBoISEhPC9CPjwvRk9OVD4KRmluZSEhIQpJZiB5b3Ugd29uJ3QgdGVsbCBtZSwgSSdsbCBmaW5kIG91dCBieSBhbnkgbWVhbnMgbmVjZXNzYXJ5ISEhIQ==,,,,,W0VsbWFdCjxGT05UIFNJWkUgPSAxND48Qj5IbXBmISEhPC9CPjwvRk9OVD4KVHVkbyBiZW0hISEKU2Ugdm9jw6ogbsOjbyBtZSBjb250YXIsIHZvdSBkZXNjb2JyaXIgZGUgcXVhbHF1ZXIgamVpdG8hISEh,,W0VsbWFdCjxGT05UIFNJWkUgPSAxND48Qj7CoUJhaCEhITwvQj48L0ZPTlQ+CsKhwqHCoVZhbGUhISEKU2kgbm8gbWUgbG8gZGljZXMsIGhhcsOpIGxvIHF1ZSBzZWEgbmVjZXNhcmlvIHBhcmEgZGVzY3VicmlybG8hISEh
abd8DA,,W0VsbWFdCl4wMEI3RUVLaXJhbl4wMDAwMDAgY2xlYXJseSBrbm93cyBzb21ldGhpbmcsIGJ1dCBoZSB3b24ndCB0ZWxsIG1lLg==,,,,,W0VsbWFdCsOJIF4wMEI3RUXDs2J2aW9eMDAwMDAwIHF1ZSBvIEtpcmFuIHNhYmUgZGUgYWxndW1hIGNvaXNhLCBtYXMgbsOjbyBxdWVyIG1lIGNvbnRhci4=,,W0VsbWFdCl4wMEI3RUVLaXJhbl4wMDAwMDAgc2VndXJvIHF1ZSBzYWJlIGFsZ28sIHBlcm8gbm8gbWUgbG8gZGljZS4=
ard8DA,,W0VsbWFdCkhtcGghISEKRmluZSEhIQpJZiB5b3Ugd29uJ3QgdGVsbCBtZSwgSSdsbCBmaW5kIG91dCBieSBhbnkgbWVhbnMgbmVjZXNzYXJ5ISEhIQ==,,,,,W0VsbWFdCkhtcGYhISEKVHVkbyBiZW0hISEKU2UgbsOjbyBtZSBjb250YXIsIHZvdSBkZXNjb2JyaXIgZGUgcXVhbHF1ZXIgamVpdG8hISEh,,W0VsbWFdCsKhQmFoIQrCocKhwqFWYWxlISEhClNpIG5vIG1lIGxvIGRpY2VzLCBoYXLDqSBsbyBxdWUgc2VhIG5lY2VzYXJpbyBwYXJhIGF2ZXJpZ3VhcmxvISEhIQ==
