IJXZBw,,Um9va2ll,,,,,THVraWU=,,THVraWU=
IZXZBw,,VGhlbiBJ4oCZbGwgYmUgY291bnRpbmcgb24geW91Lg==,,,,,RW50w6NvIGNvbnRvIGNvbSB2b2PDqi4=,,RW50b25jZXMsIHF1ZWRvIGEgc3UgY3VpZGFkby4=
IpXZBw,,V2hhdCBpcyBpdD8=,,,,,TyBxdWUgYWNvbnRlY2V1Pw==,,wr9RdcOpIG9jdXJyZT8=
I5XZBw,,W1Jvb2tpZV0KSSBtZWFuIHRoZSBpbnRydWRlcnMgaW5zaWRlIHRoZSBtYW5zaW9uLgpJdCBzZWVtcyBtb3JlIGFkbWluaXN0cmF0b3JzIGhhdmUgYmVlbiBoYXJtZWQgYnkgdGhlIEhlYXJ0IEh1bnRlcnMgYWdhaW4u,,,,,W0x1a2llXQrDiSBzb2JyZSBvcyBpbnZhc29yZXMgZGEgbWFuc8Ojby4KUGFyZWNlIHF1ZSBzdXJnaXJhbSBtYWlzIEF1dMO0bWF0YXMgcXVlYnJhZGFzIHBlbGEgQ2HDp2EtQ29yYcOnw6NvLg==,,W0x1a2llXQpNZSByZWZpZXJvIGFsIGludHJ1c28gZGVudHJvIGRlIGxhIG1hbnNpw7NuLgpQYXJlY2UgcXVlIGhhbiB2dWVsdG8gYSBhcGFyZWNlciBhZG1pbmlzdHJhZG9yZXMgcXVlIGhhbiBzdWZyaWRvIGRhw7FvcyBhIG1hbm9zIGRlIGxvcyBDYXphY29yYXpvbmVzLg==
JJXZBw,,W1Jvb2tpZV0KVGhpcyB0aW1lIGFzIHdlbGwsIHRoZXkgaW50ZXJmZXJlZCB3aXRoIGNvbW11bmljYXRpb25zIGZpcnN0LCBzbyBpdCBsb29rcyBsaWtlIHRoZSByZWd1bGFyIGFkbWluaXN0cmF0b3JzIHdlcmUgYXR0YWNrZWQgYmVmb3JlIHRoZSBzZWN1cml0eSBhZG1pbmlzdHJhdG9ycyBub3RpY2VkLg==,,,,,W0x1a2llXQpEZXN0YSB2ZXogaW50ZXJmZXJpcmFtIG5hcyBjb211bmljYcOnw6NvLCBlbnTDo28gYXMgQXV0w7RtYXRhcyBTZXJ2acOnYWlzIGZvcmFtIGF0YWNhZGFzIGFudGVzIHF1ZSBhcyBBdXTDtG1hdGFzIEd1YXJkYXMgcGVyY2ViZXNzZW0u,,W0x1a2llXQpFc3RhIHZleiB0YW1iacOpbiwgY29tbyBwcmltZXJvIGludGVyZmlyaWVyb24gbGFzIGNvbXVuaWNhY2lvbmVzLCBwYXJlY2UgcXVlIGxvcyBhZG1pbmlzdHJhZG9yZXMgY29tdW5lcyBmdWVyb24gYXRhY2Fkb3MgYW50ZXMgZGUgcXVlIGxvcyBhZG1pbmlzdHJhZG9yZXMgZGUgc2VndXJpZGFkIHNlIGRpZXJhbiBjdWVudGEu
JZXZBw,,W1Jvb2tpZV0KQWxwaGEgc2F5cyB0aGF0IGlmIGl04oCZcyBzaW1wbHkgYnJva2VuLCBpdCBjYW4gYmUgZml4ZWQsIGJ1dCB0aGVyZeKAmXMgYSBiaWdnZXIgcHJvYmxlbS4uLi4=,,,,,W0x1a2llXQpBIEdlcmVudGUgQWxwaGEgZGlzc2UgcXVlIGTDoSBwcmEgY29uc2VydGFyIHNlIGVzdGl2ZXJlbSBzw7MgZGFuaWZpY2FkYXMsIG1hcyBvIHByb2JsZW1hIMOpIG1haW9yLi4u,,W0x1a2llXQpMYSBzZcOxb3JpdGEgQWxwaGEgZGljZSBxdWUgc2kgc29sbyBlc3TDoSByb3RvLCBiYXN0YSBjb24gYXJyZWdsYXJsbywgcGVybyBoYXkgdW4gcHJvYmxlbWEgbWF5b3IuLi4u
JpXZBw,,W1Jvb2tpZV0KVGhlIGhhY2tlZCBib2RpZXMgaW1tZWRpYXRlbHkgY3V0IG9mZiBjb21tdW5pY2F0aW9ucyB0byBwcmV2ZW50IG5ldHdvcmsgY29udGFtaW5hdGlvbiwgc28gQWxwaGEgY2FuIG9ubHkgYXNzdW1lIHRoZSBzaWduYWwgd2FzIGN1dCBvZmYu,,,,,W0x1a2llXQpBIGNvbXVuaWNhw6fDo28gZm9pIGludGVycm9tcGlkYSBwYXJhIGV2aXRhciBhIGNvbnRhbWluYcOnw6NvIGRhIHJlZGUsIG1hcyBhIEdlcmVudGUgQWxwaGEgcHJlc3VtZSBxdWUgbyBzaW5hbCBmb2kgY29ydGFkby4=,,W0x1a2llXQpFbCBjdWVycG8gaGFja2VhZG8gY29ydGEgZGUgaW5tZWRpYXRvIGxhcyBjb211bmljYWNpb25lcyBwYXJhIGV2aXRhciBsYSBjb250YW1pbmFjacOzbiBkZSBsYSByZWQsIGFzw60gcXVlIGxhIHNlw7Fvcml0YSBBbHBoYSBzb2xvIHB1ZWRlIHN1cG9uZXIgcXVlIGxhIHNlw7FhbCBzZSBoYSBjb3J0YWRvLg==
J5XZBw,,W1Jvb2tpZV0KRXZlbiB0aGUgZnJpZW5kLW9yLWZvZSBpZGVudGlmaWNhdGlvbiBjb2RlIGlzIGJyb2tlbi4uLi4uLi4gV2UgaGF2ZSBubyBjaG9pY2UgYnV0IHRvIHN1YmR1ZSBzdWNoIGF1dG9tYXRyb25zIGJ5IGZvcmNlLg==,,,,,W0x1a2llXQpBdMOpIG8gY8OzZGlnbyBkZSBpZGVudGlmaWNhw6fDo28gZGUgYWxpYWRvIG91IGluaW1pZ28gZm9pIGNvcnJvbXBpZG8uLi4gRGlzc2VyYW0gcXVlIG7Do28gaMOhIG91dHJhIG9ww6fDo28gYWzDqW0gZGUgZGVzbGlnYXIgZXNzZXMgYXV0w7RtYXRvcyDDoCBmb3LDp2Eu,,W0x1a2llXQpJbmNsdXNvIGVsIGPDs2RpZ28gZGUgaWRlbnRpZmljYWNpw7NuIGFtaWdvLWVuZW1pZ28gZXN0w6EgZGHDsWFkby4uLi4uLi4gCkRpam8gcXVlIG5vIHF1ZWRhIG3DoXMgcmVtZWRpbyBxdWUgc29tZXRlciBhIGVzb3MgYXV0w7NtYXRhcyBwb3IgbGEgZnVlcnphLg==
KJXZBw,,W1Jvb2tpZV0KSWYgdGhlcmUgYXJlIGFueSBhdXRvbWF0cm9ucyB0aGF0IGF0dGFjayB1cywgaGUgdG9sZCBtZSB0byBkZWFsIHdpdGggdGhlbSB3aXRoIHRoYXQgaW4gbWluZCwgYW5kIHRoZW4gYnJpbmcgYmFjayB0aGVpciAiQ29yZS4i,,,,,W0x1a2llXQpTZSBob3V2ZXIgZm9ybW9zIGF0YWNhZG9zIHBvciBhbGd1bWEgYXV0w7RtYXRhLCBwb2RlbW9zIG5vcyBkZWZlbmRlciwgZGVzbGlnw6EtbG9zIGUgdHJhemVyIG8gTsO6Y2xlby4=,,W0x1a2llXQpQb3Igc2kgYWNhc28gaHViaWVyYSBhbGfDum4gYXV0w7NtYXRhIHF1ZSBub3MgYXRhcXVlLCBkaWpvIHF1ZSBsbyB0ZW5nYW1vcyBlbiBjdWVudGEsIGxvIGVsaW1pbmVtb3MgeSBsdWVnbyBsZSBsbGV2ZW1vcyBlbCAiTsO6Y2xlbyIu
KZXZBw,,QSBDb3JlPw==,,,,,UXVlIG7DumNsZW8/,,wr9Ow7pjbGVvPw==
KpXZBw,,W1Jvb2tpZV0KWW91IGtub3csIHRoZSB0aGluZyBpbiB0aG9zZSBhdXRvbWF0cm9uc+KAmSBjaGVzdHMuIElmIHdlIGhhdmUganVzdCB0aGF0LCBpdCBzZWVtcyB3ZSBjYW4gZml4IHRoZW0gc29tZWhvdy4KSXQgd291bGQgYmUgYSByZWxpZWYgaWYgd2UgY2FuIGF0IGxlYXN0IHJlY292ZXIgdGhlIGNvcmVzLi4uLg==,,,,,W0x1a2llXQrDiSB1bSBuw7pjbGVvIHF1ZSBmaWNhIG5vIHBlaXRvIGRlc3NhcyBhdXTDtG1hdGFzLiBDb20gZWxlcywgw6kgcG9zc8OtdmVsIGNvbnNlcnTDoS1sYXMgZGUgYWxndW1hIGZvcm1hLgpCb20sIHBlbG8gbWVub3Mgc2UgY29uc2VndWlybW9zIHJlY3VwZXJhciBvIG7DumNsZW8uLi4=,,W0x1a2llXQpNZSByZWZpZXJvIGEgZXNvIHF1ZSB0aWVuZW4gZW4gZWwgcGVjaG8gZXNvcyBhdXTDs21hdGFzLiAKQ29uIHNvbG8gZXNvLCBwYXJlY2UgcXVlIHNlIHB1ZWRlIGFycmVnbGFyIGRlIGFsZ8O6biBtb2RvLgpBbCBtZW5vcyBzZXLDrWEgdW5hIHN1ZXJ0ZSBzaSBwdWRpw6lyYW1vcyByZWN1cGVyYXIgZWwgbsO6Y2xlby4uLi4=
