oH5bDQ,,RXhvcmNpc3Q=,,,,,Sm9uY2hvc2E=,,RXhvcmNpc3Rh
oX5bDQ,,W0V4b3JjaXN0XQpOb3csIHRoaXMgaXMgdGhlIG5ldyBwbGFjZSB3aGVyZSB5b3Ugd2lsbCB0cmFpbi4gQXMgeW91IGNhbiBzZWUsIHRoZXJlIGFyZSBtYW55IHRyZWVzLg==,,,,,W0pvbmNob3NhXQpCZW0sIGVzdGUgw6kgbyBub3ZvIGx1Z2FyIG9uZGUgdm9jw6ogdHJlaW5hcsOhLiBDb21vIHBvZGUgdmVyLCBow6EgbXVpdGFzIMOhcnZvcmVzLg==,,W0V4b3JjaXN0YV0KQmllbiwgZXN0ZSBlcyBlbCBudWV2byBsdWdhciBkb25kZSBlbnRyZW5hcsOhcy4gQ29tbyB2ZXMsIGhheSBtdWNob3Mgw6FyYm9sZXMu
on5bDQ,,V2hhdCB0cmFpbmluZyB3aWxsIEkgZG8gaGVyZT8=,,,,,UXVlIHRpcG8gZGUgdHJlaW5hbWVudG8gZmFyZWkgYXF1aT8=,,wr9RdcOpIGVudHJlbmFtaWVudG8gaGFyw6kgYXF1w60/
o35bDQ,,W0V4b3JjaXN0XQpeMDAwMENEQnJpbmcgbWUgdHJlZSBicmFuY2hlc14wMDAwMDAuIFlvdSBtdXN0IG5ldmVyIGhhcm0gdGhlIHRyZWVzLiBZb3UgbXVzdCBvbmx5IHBpY2sgdXAgYnJhbmNoZXMgdGhhdCBmYWxsIHdoZW4gc2hha2VuIGJ5IHRoZSB3aW5kLiBCZSBjYXJlZnVsLCBhcyB0aGV5IGRpc2FwcGVhciB0aGUgbW9tZW50IHRoZXkgdG91Y2ggdGhlIGdyb3VuZC4=,,,,,W0pvbmNob3NhXQpeMDAwMENEVHJhZ2EgZ2FsaG9zXjAwMDAwMC4gSmFtYWlzIGRldmUgZmVyaXIgYXMgw6Fydm9yZXM6IHZvY8OqIGRldmUgcmVjb2xoZXIgYXBlbmFzIG9zIGdhbGhvcyBxdWUgY2FlbSBhbyBzZXJlbSBiYWxhbsOnYWRvcyBwZWxvIHZlbnRvLiBTZSBjYcOtcmVtIG5vIGNow6NvLCBkZXNhcGFyZWNlcsOjbyBpbWVkaWF0YW1lbnRlLCBlbnTDo28gdG9tZSBjdWlkYWRvLg==,,W0V4b3JjaXN0YV0KXjAwMDBDRFRyYWUgcmFtYXNeMDAwMDAwLiBObyBkZWJlcyBkYcOxYXIgbG9zIMOhcmJvbGVzIGJham8gbmluZ8O6biBjb25jZXB0by4gU29sbyBkZWJlcyByZWNvZ2VyIHkgdHJhZXIgbGFzIHJhbWFzIHF1ZSBjYWlnYW4gYWwgc2VyIG1lY2lkYXMgcG9yIGVsIHZpZW50by4gVGVuIGN1aWRhZG8sIHBvcnF1ZSBkZXNhcGFyZWNlcsOhbiBlbiBjdWFudG8gdG9xdWVuIGVsIHN1ZWxvLg==
pH5bDQ,,V2hhdC4uLj8=,,,,,SMOjLi4uPw==,,wr9FaC4uLj8=
pX5bDQ,,W0V4b3JjaXN0XQpXaHk/IERvZXMgdGhpcyBhbHNvIHNlZW0gdHJpdmlhbD8gRG9lcyBpdCBub3QgZmVlbCBsaWtlIHRyYWluaW5nPw==,,,,,W0pvbmNob3NhXQpQb3IgcXXDqj8gSXNzbyB0YW1iw6ltIHBhcmVjZSBpbnNpZ25pZmljYW50ZT8gUGFyZWNlIHF1ZSBuw6NvIMOpIHRyZWluYW1lbnRvPw==,,W0V4b3JjaXN0YV0Kwr9Qb3IgcXXDqT8gwr9Fc3RvIHRhbWJpw6luIHRlIHBhcmVjZSBpbnNpZ25pZmljYW50ZT8gwr9UZSBwYXJlY2UgcXVlIG5vIGVzIGVudHJlbmFtaWVudG8/
pn5bDQ,,W01vdW50YWluIExvcmRdCkV4b3JjaXN0LCB3aGF0IGFyZSB5b3UgZG9pbmcgaGVyZT8gTGVhdmluZyBvbmx5IFNvbCBhdCBob21lLg==,,,,,W1NlbmhvciBkYSBNb250YW5oYV0KSm9uY2hvc2EsIG8gcXVlIGVzdMOhIGZhemVuZG8gYXF1aT8gRSBhaW5kYSBkZWl4YW5kbyBvIFN1b2wgc296aW5obyBlbSBjYXNhLg==,,W1Nlw7FvciBkZSBsYSBtb250YcOxYV0KRXhvcmNpc3RhLCDCv3F1w6kgaGFjZXMgYXF1w60/IERlamFuZG8gc29sbyBhIFNvbCBlbiBjYXNhLg==
p35bDQ,,W0V4b3JjaXN0XQpJIGFtIHJlcGF5aW5nIGEgZGVidCwgc28gZG8gbm90IGludGVyZmVyZS4=,,,,,W0pvbmNob3NhXQpFc3RvdSBwYWdhbmRvIHVtYSBkw612aWRhLCBlbnTDo28gbsOjbyBhdHJhcGFsaGUu,,W0V4b3JjaXN0YV0KRXN0b3kgcGFnYW5kbyB1bmEgZGV1ZGEsIGFzw60gcXVlIG5vIGVzdG9yYmVzLg==
qH5bDQ,,W01vdW50YWluIExvcmRdCkxvb2sgYXQgdGhpcyBvbmUuIFN0aWxsIGFzIGNoZWVreSBhcyBldmVyLiBJIGFza2VkIHdoYXQgeW91IHdlcmUgZG9pbmcsIGFuZCB5b3UgdGVsbCBtZSBub3QgdG8gaW50ZXJmZXJlLiBXaGF0IGtpbmQgb2YgYW5zd2VyIGlzIHRoYXQ/IEhvdyBodXJ0ZnVsLg==,,,,,W1NlbmhvciBkYSBNb250YW5oYV0KT2xoZSBzw7MgcHJhIGlzc28uIENvbnRpbnVhIGF0cmV2aWRhIGNvbW8gc2VtcHJlLiBQZXJndW50ZWkgbyBxdWUgZXN0YXZhIGZhemVuZG8sIGUgZGl6IHBhcmEgbsOjbyBhdHJhcGFsaGFyLiBRdWUgamVpdG8gZGUgZmFsYXIuIElzc28gbWFnb2Eu,,W1Nlw7FvciBkZSBsYSBtb250YcOxYV0KTWlyYSBxdcOpIGFtaWdvLiBTaWd1ZXMgc2llbmRvIGlndWFsIGRlIGRlc2NhcmFkbyBxdWUgYW50ZXMuIFRlIHByZWd1bnRvIHF1w6kgaGFjZXMgeSBtZSBkaWNlcyBxdWUgbm8gZXN0b3JiZS4gwr9RdcOpIGZvcm1hIGRlIGhhYmxhciBlcyBlc2E/IFF1w6kgZnLDrW8u
qX5bDQ,,W01vdW50YWluIExvcmRdClRoZSBxdWlldCBtb3VudGFpbnNpZGUgd2FzIGdyb3dpbmcgc28gbGl2ZWx5IHRoYXQgc29tZXRoaW5nIGludGVyZXN0aW5nIHNlZW1lZCB0byBiZSBoYXBwZW5pbmcsIHNvIEkgZHJhZ2dlZCBteSBoZWF2eSBib2R5IG92ZXIgdG8gYXNrIHdoYXQgeW91IHdlcmUgZG9pbmch,,,,,W1NlbmhvciBkYSBNb250YW5oYV0KTyBzb3DDqSBkYSBtb250YW5oYSwgcXVlIGVyYSB0w6NvIHRyYW5xdWlsbywgZmljb3UgYWdpdGFkbyBwb3JxdWUgYWxnbyBpbnRlcmVzc2FudGUgcGFyZWNpYSBlc3RhciBhY29udGVjZW5kbywgZW50w6NvIGFycmFzdGVpIGVzdGUgY29ycG8gcGVzYWRvIGF0w6kgYXF1aSBwYXJhIHBlcmd1bnRhciBvIHF1ZSBlcmEh,,W1Nlw7FvciBkZSBsYSBtb250YcOxYV0KwqFMYSB0cmFucXVpbGEgbGFkZXJhIGRlIGxhIG1vbnRhw7FhIGVzdGFiYSB0YW4gYW5pbWFkYSBxdWUgYXJyYXN0csOpIG1pIHBlc2FkbyBjdWVycG8gaGFzdGEgYXF1w60gcGFyYSBwcmVndW50YXIgcXXDqSBwYXNhYmEh
qn5bDQ,,W0V4b3JjaXN0XQpTZWU/IFlvdSBhcmUgaW50ZXJmZXJpbmcgcmlnaHQgbm93Lg==,,,,,W0pvbmNob3NhXQpWw6o/IEFnb3JhIG1lc21vIHZvY8OqIGVzdMOhIGF0cmFwYWxoYW5kby4=,,W0V4b3JjaXN0YV0KWWEgdmVzLiBKdXN0byBhaG9yYSBlc3TDoXMgZXN0b3JiYW5kby4=
q35bDQ,,W01vdW50YWluIExvcmRdClRydWUgZW5vdWdoLCBidXQgaG93IGNvbGQgb2YgeW91Lg==,,,,,W1NlbmhvciBkYSBNb250YW5oYV0KRXN0w6EgY2VydG8sIG1hcyBxdWUgZ3Jvc3NlcmlhIGEgc3VhLg==,,W1Nlw7FvciBkZSBsYSBtb250YcOxYV0KVGllbmVzIHJhesOzbiwgcGVybyBxdcOpIGR1cm8gZXJlcy4=
rH5bDQ,,W0V4b3JjaXN0XQpBdCB0aGUgcmVxdWVzdCBvZiBzb21lb25lIEkga25vdywgSSB0b29rIG9uIGEgc2hvcnQtdGVybSBkaXNjaXBsZSBhbmQgaGF2ZSBiZWVuIHRyYWluaW5nIHRoZW0uIFJpZ2h0ISBUaGlzIHdvcmtzIG91dCB3ZWxsLiBZb3Ugc2hvdWxkIGZhY2UgbXkgZGlzY2lwbGUgZm9yIGEgYml0LiBEbyBub3QgYXR0YWNrIHRoZW0gaW4gZWFybmVzdC4=,,,,,W0pvbmNob3NhXQpBIHBlZGlkbyBkZSB1bSBjb25oZWNpZG8sIGFjZWl0ZWkgdW0gZGlzY8OtcHVsbyB0ZW1wb3LDoXJpby4gQWgsIGNlcnRvISBJc3NvIHZlbSBhIGNhbGhhci4gRW5mcmVudGUgbWV1IGRpc2PDrXB1bG8gdW0gcG91Y28uIE1hcyBuw6NvIGx1dGUgY29tIHRvZGEgYSBzZXJpZWRhZGUu,,W0V4b3JjaXN0YV0KSGUgYWNlcHRhZG8gYSB1biBkaXNjw61wdWxvIHRlbXBvcmFsIHBvciBwZXRpY2nDs24gZGUgdW4gY29ub2NpZG8geSBsbyBlc3RhYmEgZW50cmVuYW5kby4gwqFFc28gZXMhIEhhcyBsbGVnYWRvIGVuIGJ1ZW4gbW9tZW50by4gSGF6bGUgdW4gcG9jbyBkZSBvcG9uZW50ZSBhIG1pIGRpc2PDrXB1bG8uIFBlcm8gbm8gdmF5YXMgZW4gc2VyaW8u
rX5bDQ,,W01vdW50YWluIExvcmRdCldoeSBzaG91bGQgST8=,,,,,W1NlbmhvciBkYSBNb250YW5oYV0KRSBwb3IgcXVlIGV1IGRldmVyaWEgZmF6ZXIgaXNzbz8=,,W1Nlw7FvciBkZSBsYSBtb250YcOxYV0Kwr9ZIHBvciBxdcOpIGRlYmVyw61hIGhhY2VybG8/
